screen_name,followers_count,statuses_count,name,description
RealSkipBayless,2855882,39054,Skip Bayless,"Daily sports truth, hottest sports debate on TV, 9:30AM - 12:00 EST. Fox Sports 1, Maybe not what you want to hear, but need to hear."
stephenasmith,3835092,36357,Stephen A Smith,The real Stephen A. Smith. Check me out at https://t.co/aQAG7a4mRF.
NateSilver538,3171889,20881,Nate Silver,"Editor-in-Chief, @FiveThirtyEight. Author, The Signal and the Noise (https://t.co/EYTxvN6BLY). Sports/politics/food geek."
bomani_jones,451851,373621,Bomani Jones,"i meant to have ""el flaco"" as my name on here for a couple of days. i honestly think it stayed for something like two years. i'll come up with something else."
BillSimmons,5868357,26291,Bill Simmons,@HBO + @ringer (CEO) + The BS Podcast https://t.co/MwceMXicPK Past Life: @grantland33/@30for30
PFTCommenter,559706,51232,PFTCommenter,Host of @PardonMyTake podcast w/ @barstoolbigcat. Unverified (bad boy). Executive VP of Football Operatons for the Blake Bortles Wikipedia Club
darrenrovell,2029182,144012,Darren Rovell,"ESPN Sports Business Reporter, ABC News Business Contributor. Instagram: @darrenrovell."
WhitlockJason,291100,45797,Jason Whitlock,Co-host of @SFY on FS1. Voted Sexiest Black Man in America in most recent Gallup poll of women 25 to 50. Loves Ball State and Warren Central.
richarddeitsch,202169,183045,Richard Deitsch,"Father of twins; fan of Buffalo, Toronto & NYC; Radio at @FAN590 & @sportsnet; adjunct at @columbiajourn; Writer for The Athletic: https://t.co/hzNdsIutMi"
jemelehill,1073377,112554,Jemele Hill,Staff writer for The ATLANTIC. Born and raised by Detroit. Grew up at Michigan State.
mcuban,7769055,2964,Mark Cuban,#DallasStrong. insta:mcuban snap:mcuban DustMessaging: blogmaverick everything else https://t.co/jI9MZ8dDPQ
bykevinclark,49205,14513,Kevin Clark,"Writer, NFL for @ringer. Trying to tell you a story you've never heard before. @wsj alum. I am from Orlando."
DannyBKelly,26017,22348,Danny Kelly,staff writer @ringer | dantasy football @ringerpodcasts
minakimes,236069,46181,Mina Kimes,"Senior Writer @ ESPN The Magazine, crossword enthusiast, hater of the goal line fade"
BarstoolBigCat,659094,158190,Big Cat,Dan Katz. Chicago @barstoolsports /ARodCorp. chicagotips@barstoolsports Sirius 85 12-1 weekdays. Co-Host @PardonMyTake podcast w/ @PFTCommenter. Subscribe ⬇️
hen_ease,159754,18901,Henry Lockwood🥑🥑🥑,producer @barstoolsports @pardonmytake. 2017 Cure For Cole WiffleBall tourney + #RnR1 champion.
katienolan,432811,22692,Katie Nolan,i host a late night show on ESPN+ called Always Late
SIChrisMannix,175377,39675,Chris Mannix,Senior Writer | Sports Illustrated | @SInow | NBA analyst: @NBCSBoston | @DAZN_USA | @NBCOlympics | @ChrisAndCaron | Contributor: @FS1 | IG: SIChrisMannix | #BC
HowardBeck,180701,72347,Howard Beck,Senior NBA writer at Bleacher Report || New York Times & LA Daily News alum || I miss R.E.M. || I will not stick to sports || #PressOn
ShannonSharpe,670107,127796,shannon sharpe,"Graduate of Savannah State University / Co-Host FS1 ""Undisputed"" Pro Football Hall of Fame, 3X Superbowl Champ Broncos/Ravens Contact Info: mgmt@fritzmartin.com"
Chris_Broussard,1355959,6228,Chris Broussard,"@FOXSports @FS1 Analyst, co-Host of ‘“The Odd Couple” radio show & podcast. Founder of The K.I.N.G. Movement | Instagram: chrisbroussard68"
SheaSerrano,257600,108723,Shea Serrano,#1 new york times bestselling author of Basketball (And Other Things) and The Rap Year Book. host of VILLAINS. https://t.co/PgJuR0XzCu
Stephania_ESPN,250497,23178,Stephania Bell,"ESPN's injury analyst; physical therapist - Board Certified Orthopedic Clinical Specialist, Certified Strength and Conditioning Specialist. CA girl at heart..."
MatthewBerryTMR,991144,55656,Matthew Berry,"ESPN's Sr. Fantasy Analyst, host of The Fantasy Show on ESPN+, NYTimes Best Selling Author of Fantasy Life & founder of @FantasyLifeApp. Yes, I like your team."
FieldYates,334093,41068,Field Yates,NFL Insider for ESPN. Co-host of the Fantasy Focus Football podcast. Graduate of Belmont Hill and Wesleyan.
RobParkerFS1,36284,35711,Rob Parker,@FS1 @Undisputed @FoxSportsRadio @ShadowLeagueTSL @NABJsports Journalist of the Year @Columbiajourn Master's @MLB HOF voter @USC adjunct Sporty Cutz Barbershop
criscarter80,289290,11646,Cris Carter,Co Host with Jenna Wolfe/Nick Wright FIRST THINGS FIRST on FS1 6:30-9:30 am ET ; Pro Football Hall of Fame ; BUCKEYE ; IG: ccarter8080
getnickwright,260742,79440,nick wright,"@FTFonFS1, with @criscarter80 & @jennawolfe, everyday from 6:30-9:30am et on @FS1. 
#WhatsWright on SiriusXM 82 everyday from 6-8pm ET"
markschlereth,589949,62530,mark schlereth,Cohost @StinkAndEvans. Co-Owner of SGGC https://t.co/ukc39KEOv1 Podcast @ The Stinkin' Truth https://t.co/MZM0ggApV9 instagram @markschlereth
Buck,205327,4296,Joe Buck,I love all teams EXCEPT yours. For how I feel about most of this .. see Teddy Roosevelt Paris 1910 https://t.co/StWIrI7BCJ
TroyAikman,1546902,3435,Troy Aikman,"Dad
Former QB
NFL on Fox"
MikePereira,300174,24685,Mike Pereira,Former Vice President of Officiating in the National Football League. Current Rules Analyst at FOX Sports. Referee of Twitters 18th officiating crew
ErinAndrews,2877434,21239,Erin Andrews,🏈💃
GottliebShow,252726,80594,Doug Gottlieb,Host Doug Gottlieb Show on Fox Sports Radio/Iheart App-professional BIG MOUTH Fox Sports- Bball Analyst FS1/Stadium/BeIn/Westwood1/Compass/TheAthletic
Coach_Leach,122805,4099,Mike Leach,"Husband; Father; Head Football Coach of Washington State University; Author of NY Times Best Seller, Swing Your Sword; Go Cougs!"
ChrisBHaynes,128512,20956,Chris Haynes,Senior NBA Insider for Yahoo Sports. Fresno-raised. cbhaynes6@gmail.com.
