user_id,user,created_at,status_id,favorite_count,retweet_count,text,reply_count,ratio,timestamp_scrape,considered,posted,status_id_post,text_post,timestamp_post
x33537967,amyklobuchar,2018-11-01T16:40:32Z,x1058036076495814656,1088,320,Third Congressional District candidate @DeanBPhillips and I took an amusing break from...well...everything...and drove his government repair truck around Plymouth where I grew up.  Check out Constituents in Trucks Getting Coffee! Go Dean! https://t.co/prpx1rTRAg,72,0.051136364,2018-11-18T16:27:00Z,0,0,"","",
x19750789,AndrewBrandt,2018-11-10T18:55:09Z,x1061331442943307776,18,2,3rd star. #Sixers #TrustTheProcess https://t.co/NO8Mkdbr6m,3,0.15,2018-11-18T15:33:00Z,0,0,"","",
x123276343,BarstoolBigCat,2018-11-17T20:43:19Z,x1063895380776153088,563,73,Dwayne Haskins is so damn good.,30,0.047169811,2018-11-18T15:33:00Z,0,0,"","",
x23513252,beatingthebook,2018-11-13T14:31:18Z,x1062352205552979968,7,1,Beating The Book: Week 11 #NFL #GuessingLines w Vinny Magliulo @VSiNVinny in for Chris Andrews @andrewssports: https://t.co/wX6RbkenBo,2,0.25,2018-11-18T16:27:00Z,0,0,"","",
x214175859,BFawkesESPN,2018-11-09T22:28:35Z,x1061022766684663808,5,1,"""The Bengals are 10-1 ATS with eight outright wins in their past 11 games as a home underdog.""

https://t.co/RgpSUMjbMO",0,0,2018-11-18T16:27:00Z,0,0,"","",
x24828894,BigWos,2018-11-15T21:56:19Z,x1063188973462286336,63,16,Lmao damn https://t.co/NwxUxc5Mub,1,0.012658228,2018-11-18T16:27:00Z,0,0,"","",
x21897334,billbarnwell,2018-11-14T02:39:38Z,x1062535500219801600,75,2,"Just went to dinner and ate a delicious 8 ounce cow patty, what’s this about Florida?",3,0.038961039,2018-11-18T16:27:00Z,0,0,"","",
x55677432,BillCassidy,2018-09-30T13:43:59Z,x1046395234018578432,77,22,https://t.co/2hmFnVlbwZ,77,0.777777778,2018-11-18T16:27:00Z,0,0,"","",
x26103389,BillHaslam,2018-05-05T16:25:35Z,x992802498267230208,59,16,"Thank you to @AftertheBell and @FoxBusiness for welcoming me yesterday to share the Tennessee story of why our state is good for business and how we are attracting high-quality jobs. #TNWillLead
https://t.co/ezJrUU6Euh",6,0.08,2018-11-18T16:27:00Z,0,0,"","",
x23970102,BillOReilly,2018-10-25T00:51:11Z,x1055260447790764033,6215,1414,The leftist media going full throttle blaming President Trump for the bomb business. It’s pretty nasty. I’ve just posted a message about it on https://t.co/rryWmyXe7C. Hope you check it out.,673,0.088216018,2018-11-18T16:27:00Z,0,0,"","",
x32765534,BillSimmons,2018-11-07T16:33:42Z,x1060208683022409728,81,23,"Starting this over again because 2 tweeters had good suggestions: Possible NBA Tankapalooza 2019 slogans for @jalenrose to steal on Countdown!

I still don’t feel like there’s a no-brainer yet along the lines of Shitty for Smitty (1995) or Sorry for Jabari (2014)",140,1.346153846,2018-11-17T11:29:00Z,1,1,"",Congratulations @BillSimmons on your ratio of 1.35! This is the first time I've scored you. Be aware of your ratio with future tweets! https://twitter.com/BillSimmons/status/1060208683022409728,2018-11-17T23:02:32Z
x17078632,BobbyJindal,2017-07-20T00:21:50Z,x887829868238516224,231,52,"Praying for Senator McCain and his family.

https://t.co/f4tcusDWKl",8,0.028268551,2018-11-18T16:27:00Z,0,0,"","",
x14738157,BobMcDonnell,2013-12-16T22:30:44Z,x412711419021242368,4,1,Congratulations to the Notre Dame men's soccer team for winning the NCAA national championship! https://t.co/ZmZO3DWKRu  #NotreDameClassof76,12,2.4,2018-11-18T16:27:00Z,0,0,"","",
x21129105,bomani_jones,2018-11-09T14:59:13Z,x1060909680057335809,77,9,"your words are your own, up until the moment you put em into the world. that's the game, and it will always be the game. https://t.co/BvZHJFU5Pu",1,0.011627907,2018-11-17T11:29:00Z,1,0,"","",2018-11-18T20:37:31Z
x66891808,BrianSandoval,2017-03-01T20:44:19Z,x837040826001707008,12,2,Enjoyed attending the #JointAddress -- here's a picture from last night in case you missed it. https://t.co/TNT41cYDbf,5,0.357142857,2018-11-18T16:27:00Z,0,0,"","",
x47747074,brianschatz,2018-11-10T21:10:40Z,x1061365548154417152,1496,196,More California house seats in the process of flipping FYI.,26,0.01536643,2018-11-18T16:27:00Z,0,0,"","",
x21827185,brianschweitzer,2012-10-24T21:09:03Z,x261212730877435904,1,1,Governor and Steve Bullock listen to students today at MSU-Billings - Go Jackets! http://t.co/h8gcpGau,1,0.5,2018-11-18T16:27:00Z,0,0,"","",
x438550809,Buck,2018-02-17T17:50:04Z,x964919891634528256,79,4,More than you can even comprehend https://t.co/6ifXvvagrv,4,0.048192771,2018-11-18T10:23:00Z,1,0,"","",2018-11-18T20:37:45Z
x36396752,ButchOtter,2018-04-12T17:42:54Z,x984487033467895808,2,0,"April is “Financial Literacy Month,” and today I got the chance to present awards to this year’s winners of the Piggy Bank Beauty Contest.  Thank you to the Idaho Financial Literacy Coalition for helping these kids get a jump start on their financial planning. https://t.co/tCW5L3gNOk",1,0.5,2018-11-18T16:27:00Z,0,0,"","",
