user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text,reply_count,ratio,timestamp_scrape,considered,posted,status_id_post,text_post,timestamp_post
x32765534,BillSimmons,2018-11-18T00:01:46Z,x1063945322206916608,172,13,The Scituate football juggernaut keeps chugging along https://t.co/uKrBHjMKHq,16,0.086486486,2018-11-18T06:07:00Z,1,1,"","Congratulations @BillSimmons on your ratio of 0.09! This ratio is lower the previous one (1.35) I tweeted about (at 05:02 PM, 11/17/2018)!  https://twitter.com/BillSimmons/status/1063945322206916608",2018-11-18T20:37:32Z
x21129105,bomani_jones,2018-11-15T02:04:36Z,x1062889072207806464,19,4,https://t.co/Cv0EQl7spT #TheEveningJones https://t.co/Z7VoSwtwjQ,18,0.782608696,2018-11-17T11:29:00Z,1,1,"",Congratulations @bomani_jones on your ratio of 0.78! This is the first time I've scored you. Be aware of your ratio with future tweets! https://twitter.com/bomani_jones/status/1062889072207806464,2018-11-17T23:02:32Z
x438550809,Buck,2018-02-17T18:22:29Z,x964928050747060226,5,1,Too many Bucks... Unless you go for the trifecta and John Buck on the field.. I do love Buck M  What a GREAT guy https://t.co/BX3LytLNC8,4,0.666666667,2018-11-18T10:23:00Z,1,1,"",Congratulations @Buck on your ratio of 0.67! This is the first time I've scored you. Be aware of your ratio with future tweets!  https://twitter.com/Buck/status/964928050747060226,2018-11-18T20:37:45Z
x42040091,Chris_Broussard,2018-02-26T20:08:37Z,x968216250185867264,60,5,"I’m an official voter. Gimme your opinions:
https://t.co/7J2g8ccAQq",199,3.061538462,2018-11-18T06:07:00Z,1,1,"",Congratulations @Chris_Broussard on your ratio of 3.06! This is the first time I've scored you. Be aware of your ratio with future tweets!  https://twitter.com/Chris_Broussard/status/968216250185867264,2018-11-18T20:37:40Z
x278829038,Coach_Leach,2018-08-24T07:52:05Z,x1032898323718451200,54,15,Check this out. Outstanding! A sequel to my previous monkey text. This guy is tough. I would love to coach him! https://t.co/cfvT0KGDKd,8,0.115942029,2018-11-18T10:23:00Z,1,1,"",Congratulations @Coach_Leach on your ratio of 0.12! This is the first time I've scored you. Be aware of your ratio with future tweets!  https://twitter.com/Coach_Leach/status/1032898323718451200,2018-11-18T20:37:49Z
x718728986,criscarter80,2018-11-03T18:36:25Z,x1058790016544137217,38,5,"I'm so freaking frustrated with him, Weber and let's not forget Paris Campbell. We still can't run the rock. https://t.co/5bnlk0wO2E",11,0.255813953,2018-11-18T10:23:00Z,1,1,"",Congratulations @criscarter80 on your ratio of 0.26! This is the first time I've scored you. Be aware of your ratio with future tweets!  https://twitter.com/criscarter80/status/1058790016544137217,2018-11-18T20:37:42Z
x62587361,davidaldridgedc,2018-11-04T20:07:56Z,x1059175431964971008,6,2,"Current OL, L-R: Christian, Nsekhe, Roullier, Bergstrom, Moses.",3,0.375,2018-11-18T10:23:00Z,1,1,"",Congratulations @davidaldridgedc on your ratio of 0.38! This is the first time I've scored you. Be aware of your ratio with future tweets!  https://twitter.com/davidaldridgedc/status/1059175431964971008,2018-11-18T20:37:53Z
x93129160,getnickwright,2018-11-06T00:12:55Z,x1059599475155656709,21,2,Help my buddy out &amp; add your experience by voting in his poll. https://t.co/uPixpoq5sY,7,0.304347826,2018-11-18T10:23:00Z,1,1,"",Congratulations @getnickwright on your ratio of 0.30! This is the first time I've scored you. Be aware of your ratio with future tweets!  https://twitter.com/getnickwright/status/1059599475155656709,2018-11-18T20:37:43Z
x34930912,GottliebShow,2018-11-18T02:05:24Z,x1063976436522991616,5,0,"Raiders after Gruden, Cowboys,Jets, Giants after Parcells. Everyone wants a nice guy https://t.co/87Y0w9K8sd",8,1.6,2018-11-18T10:23:00Z,1,1,"",Congratulations @GottliebShow on your ratio of 1.60! This is the first time I've scored you. Be aware of your ratio with future tweets!  https://twitter.com/GottliebShow/status/1063976436522991616,2018-11-18T20:37:48Z
x355190623,hen_ease,2018-10-28T14:00:22Z,x1056546217977675776,14,0,"🚨 CONTEST ALERT 🚨

Giving out 3 of our new #GeauxTigers LSU shirts to 3 people who tweet us pics of them watching the @BSSAdvisors today anytime between now and 8pm. Must use #BeAdvised to enter https://t.co/vBu1xvfJcJ",14,1,2018-11-18T06:07:00Z,1,1,"",Congratulations @hen_ease on your ratio of 1.00! This is the first time I've scored you. Be aware of your ratio with future tweets!  https://twitter.com/hen_ease/status/1056546217977675776,2018-11-18T20:37:38Z
