user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text,reply_count,ratio,ratio_inv,timestamp_scrape
x43139414,RealSkipBayless,2018-11-12T16:44:35Z,x1062023362061328390,78,12,Why I had a problem with Tyreek Hill's TD celebration. Next on @undisputed,48,0.533333333,1.875,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T16:31:12Z,x1062019994429480962,225,17,Why I still like the Cowboys to win the NFC East (by default). Next on @undisputed,107,0.44214876,2.261682243,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T03:37:52Z,x1061825377201319936,376,38,If only Dallas had an Ertz. Or a Dallas Goedert.,151,0.3647343,2.741721854,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T15:59:45Z,x1062012078381195265,140,15,No way the Pats get back to the Super Bowl? Next on @undisputed,56,0.361290323,2.767857143,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T04:59:25Z,x1061845900157308929,1336,265,Tyson Chandler just got away with a goal-tend on Trae Young's last scoop shot.,573,0.357901312,2.794066318,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T15:41:10Z,x1062007401316929537,160,11,Why I give Dak the bulk of the credit for last night's win at Philly. Next on @undisputed,56,0.32748538,3.053571429,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T03:12:57Z,x1061819105794093056,880,82,If only Dak had an Ertz.,287,0.298336798,3.351916376,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-11T20:49:43Z,x1061722663024881665,709,135,Shannon Sharpe says Belichick deserves 75% of the credit for the NE dynasty. Yet his defenses keep getting torched. Last yr's SBowl. At Jax. At Det. KC at home. And now 34 points to Tenn with 7 mins left.,221,0.261848341,3.819004525,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T01:27:57Z,x1061792683457314816,557,63,How many times this season has Dak had to start inside his 10???,148,0.238709677,4.189189189,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T14:56:24Z,x1061996137781940225,269,23,Why yesterday wasn’t Brady’s fault. And why Brees is now the NFL’s MVP. Next on @undisputed,68,0.232876712,4.294117647,2018-11-12T16:44:00Z
