user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x21129105,bomani_jones,2018-11-12T20:45:03Z,x1062083878918279170,17,3,4pm ET @bomani_jones  and @PabloTorre  will be on @HIGHNOONonESPN  #HighNoon #recordseries
x21129105,bomani_jones,2018-11-12T21:12:55Z,x1062090889521172480,23,1,you’re right. https://t.co/yGxIBPUmzf
x21129105,bomani_jones,2018-11-12T21:30:53Z,x1062095411987517441,785,220,"any excuse to show bobby petrino in that neck brace, lying his ass off. #highnoon https://t.co/lxN2TCJ5vJ"
x21129105,bomani_jones,2018-11-12T22:27:32Z,x1062109666321276929,3496,1364,"if i may take a moment to discuss this, perhaps the greatest moment in the history of relatively-basic cable and a text book study in rhetorical warfare... https://t.co/if78vxlWpp"
x21129105,bomani_jones,2018-11-12T22:38:52Z,x1062112520872308737,124,8,"man, you got all the way to the end and played yourself. https://t.co/V32fnW6EcR"
x21129105,bomani_jones,2018-11-13T01:03:18Z,x1062148867377037312,904,187,gotta give it to matt barkley: turned an audition into a job. https://t.co/SpCrAooOf7
x21129105,bomani_jones,2018-11-13T01:34:59Z,x1062156841210335232,913,191,"we all had the same joke. it was a great joke, too. https://t.co/qzztKBTzI6"
x21129105,bomani_jones,2018-11-13T14:28:39Z,x1062351541812822016,282,67,not sure anything is #hustlinbackwards quite like arguing about that jill scott video before 9:30 eastern.
x21129105,bomani_jones,2018-11-13T15:01:12Z,x1062359732231593985,8,2,subscribe to #TheRightTime with @bomani_jones on the @espn app or where ever you get your podcast https://t.co/SbHk1xGfJI
x21129105,bomani_jones,2018-11-13T19:15:04Z,x1062423617793863690,25,9,"new #TheRightTime! jimmy in philly, melo in houston, peter man...gone, y’all getting balled up by the pros, and the wu and tribe! https://t.co/sVzfSw1FSL"
x21129105,bomani_jones,2018-11-13T20:45:05Z,x1062446274480365568,12,0,4pm ET @bomani_jones  and @PabloTorre  will be on @HIGHNOONonESPN  #HighNoon #recordseries
x21129105,bomani_jones,2018-11-13T21:30:30Z,x1062457704726315011,137,29,"it’s been real, peter man. it’s been real. #highnoon https://t.co/td0Ar334mk"
x21129105,bomani_jones,2018-11-13T21:50:08Z,x1062462645721354241,54,4,wait what https://t.co/KdFvu9LL2R
x21129105,bomani_jones,2018-11-13T21:50:31Z,x1062462739073953792,54,9,"it’s a reference you don’t get, champ. i prefer jokes you don’t get. https://t.co/Djjj77w07n"
x21129105,bomani_jones,2018-11-13T21:50:58Z,x1062462852689260545,25,0,anyone else get irate while i was on the train?
