user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x24828894,BigWos,2018-11-15T21:56:19Z,x1063188973462286336,63,16,Lmao damn https://t.co/NwxUxc5Mub
x24828894,BigWos,2018-11-16T01:20:58Z,x1063240476977913856,5,1,CP can’t really get to his spots as consistently as he used to when bigs would switch.
x24828894,BigWos,2018-11-16T01:35:03Z,x1063244020615266305,0,1,“Lethargic” as my man Clyde would say https://t.co/u8cLm3SMeX
x24828894,BigWos,2018-11-16T01:39:56Z,x1063245249969979392,1,0,https://t.co/Mm0WNT1aQW
x24828894,BigWos,2018-11-16T01:59:32Z,x1063250182270152705,3,0,"Damn, Get Lifted really a modern day Blassic"
x24828894,BigWos,2018-11-16T02:03:53Z,x1063251278678044672,3,1,🗣 JAMES HARDEN JUST MADE A RIGHTY LAYUP!!!!!
x24828894,BigWos,2018-11-16T02:05:36Z,x1063251710045433856,41,12,This time last year mans was calling Jordan Bell the second coming of KG 😩😩😩😩😩😩
x24828894,BigWos,2018-11-16T02:09:30Z,x1063252692569546752,13,0,I’m trying to remember the part where I said this team would win without Steph 🤔🤔. #strawman #whendiddubsfansbecomebostonpeople https://t.co/bKxJrt5KLt
x24828894,BigWos,2018-11-16T02:11:14Z,x1063253125891379200,0,0,I got yelled at several times on the podcast and on here about how “good” homie “already is”. Shit was comical!! https://t.co/zRd4iqHtRw
x24828894,BigWos,2018-11-16T02:17:22Z,x1063254671614066691,0,0,MILKY WAYYYYYYYYY https://t.co/BiXBvQ00aV
x24828894,BigWos,2018-11-16T02:29:35Z,x1063257743891456001,6,0,Mans never been in Marquee when it shut down AYE!!! 🦉🦉 https://t.co/TOyhDk0JZ6
x24828894,BigWos,2018-11-16T02:45:45Z,x1063261813628788736,2,0,https://t.co/TGavghQ06W
x24828894,BigWos,2018-11-16T03:48:30Z,x1063277604285739008,8,0,"Arena empty as hell, even for a clipper game loll"
x24828894,BigWos,2018-11-16T04:03:46Z,x1063281445915901953,3,0,Lou Will look coolie
x24828894,BigWos,2018-11-16T04:04:35Z,x1063281651478749185,4,0,Mike Scott ... STILL IN THE LEAGUE
x24828894,BigWos,2018-11-16T04:06:15Z,x1063282071995527169,16,0,Lou Will being Somali is type funny to me
x24828894,BigWos,2018-11-16T04:11:11Z,x1063283315296264192,0,0,#blackprivilege https://t.co/N0NquOnaWe
x24828894,BigWos,2018-11-16T17:49:05Z,x1063489144066736128,2,0,Oh ok @MichaelRyanRuiz rejoin with Do Not Disturb 🔥🔥🔥🔥🔥🔥
x24828894,BigWos,2018-11-16T18:04:42Z,x1063493076432314368,15,0,Y’all both stupid as all hell. That’s why I can’t respond. https://t.co/6x9ukgH0m2
x24828894,BigWos,2018-11-16T21:25:42Z,x1063543657746186240,10,3,I don’t get the yams enfatuation. Same with sweet potato of every form/variety https://t.co/Pn5LOcmaOs
x24828894,BigWos,2018-11-16T23:46:33Z,x1063579105143078912,20,1,"Damn, Eli Manning is considered one of the best players to ever play his position? Really?"
x24828894,BigWos,2018-11-17T00:00:11Z,x1063582533592346625,2,0,Narcos finally byke
x24828894,BigWos,2018-11-17T00:45:54Z,x1063594039390363648,9,1,Son from Narcos season 3 really think he Ed Norton 😩😩
x24828894,BigWos,2018-11-17T02:51:22Z,x1063625616325435395,17,1,"Well see y’all next time, Boston."
x24828894,BigWos,2018-11-17T16:52:13Z,x1063837221919182848,10,1,My favorite part about #NarcosMexico so far his how the Sinaloan boys make those uppity city folks scrunch up their faces every time. It’s awesome
x24828894,BigWos,2018-11-17T17:16:00Z,x1063843207690117120,9,1,Oh and Homecoming is a beast of a show. God damn lol
x24828894,BigWos,2018-11-17T17:22:27Z,x1063844829988188162,0,0,Wait what country is Walter’s mom supposed to be from? Bc she just said something in Creole lololol #HomecomingTV
x24828894,BigWos,2018-11-17T18:19:32Z,x1063859196792193024,7,7,Certain things your money can’t buy
x24828894,BigWos,2018-11-17T19:39:06Z,x1063879220013592576,0,0,Why?! https://t.co/02zfvr6vtv
x24828894,BigWos,2018-11-17T23:00:56Z,x1063930012481466369,33,9,Wayne’s verse on Cant Believe It is the blueprint for Thugger’s style. It’s all there in the verse. Amazing
x24828894,BigWos,2018-11-18T04:26:01Z,x1064011820388634624,1,0,https://t.co/ZZorPmAD1t
