user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x23970102,BillOReilly,2018-10-25T00:51:11Z,x1055260447790764033,6215,1414,The leftist media going full throttle blaming President Trump for the bomb business. It’s pretty nasty. I’ve just posted a message about it on https://t.co/rryWmyXe7C. Hope you check it out.
x23970102,BillOReilly,2018-10-25T12:09:21Z,x1055431116050649088,5376,1210,Amazing hypocrisy on display by the leftist media covering the bomb story. I call it out in the Message of the Day on https://t.co/lJObnAakkl.
x23970102,BillOReilly,2018-10-25T15:43:43Z,x1055485061783580673,4490,1798,"Every person in the migrant caravan needs food, water &amp; facilities. There are vehicles involved &amp; tents &amp; other things that cost money. There are organizers on the scene--https://t.co/9XVZzcgdom"
x23970102,BillOReilly,2018-10-25T15:48:15Z,x1055486203653447680,3046,1164,"In August, the activist group Pueblo Sin Fronteras put the word out on social media that asylum could be obtained in America if certain directions were followed. Thus, the planned mass journey began to take shape."
x23970102,BillOReilly,2018-10-25T19:37:03Z,x1055543784648388614,3203,775,CBS glorifies George Soros who was a bomb target.  I have to correct the record on Soros and will do so on the @NoSpinNews tonight on https://t.co/rryWmyXe7C.
x23970102,BillOReilly,2018-10-25T21:00:00Z,x1055564657816154113,867,156,"Earlier this year, the migrant child separation deal on the border worked well for the left as President Trump had to change his immigration policy because “babies were being ripped from their mothers.”"
x23970102,BillOReilly,2018-10-25T21:15:00Z,x1055568432752680962,2565,820,"The plan seems to be to goad President Trump into doing something that will mobilize young liberals and Hispanics to vote for Democrats in the midterms. 

https://t.co/9XVZzcgdom"
x23970102,BillOReilly,2018-10-26T11:00:01Z,x1055776055481425922,15712,4463,Don’t count on the corrupt American media to uncover the money behind the caravan just as the press ignored the presence of far left zealots in the Kavanaugh controversy.
x23970102,BillOReilly,2018-10-26T11:05:00Z,x1055777308466798592,5041,1524,"Again, a journalist’s mission is to try to find the truth of a story.  Do you think that’s happening in the age of Trump?

Do you?

https://t.co/9XVZzcxOfU"
x23970102,BillOReilly,2018-10-26T13:29:29Z,x1055813669685248002,2970,1188,CBS News not telling the truth about George Soros.  Please check out the Message of the Day on https://t.co/rryWmyXe7C--https://t.co/ViXxhI94pp
