user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x14738157,BobMcDonnell,2013-12-16T22:30:44Z,x412711419021242368,4,1,Congratulations to the Notre Dame men's soccer team for winning the NCAA national championship! https://t.co/ZmZO3DWKRu  #NotreDameClassof76
x14738157,BobMcDonnell,2016-09-22T15:37:05Z,x778981449689096192,173,105,My name is Bob McDonnell and I am back on Twitter!
x14738157,BobMcDonnell,2016-09-22T15:55:20Z,x778986043173396480,88,30,"""I cannot thank deeply enough those who supported my family and me through this long walk through the dark valley"" -Bob's official statement"
x14738157,BobMcDonnell,2016-09-23T13:55:34Z,x779318290820636672,49,17,"I know not fully what the future holds as I enter the “fourth quarter” of life. I do know it will be a wonderful adventure, -Bob"
x14738157,BobMcDonnell,2016-09-23T20:57:12Z,x779424401557073920,64,13,"Judge Spencer filed the final Order of Dismissal today and friends, 43 months later, this battle has finally ended."
x14738157,BobMcDonnell,2016-09-24T15:26:12Z,x779703490423746562,26,5,Had a wonderful time yesterday on @SXMPolitics with @rickungar talking about the dismissal! https://t.co/HTLIn4Kiym
x14738157,BobMcDonnell,2016-10-24T02:18:28Z,x790376885092057089,34,3,"Spent the day at the JT Walk supporting a great cause, with great friends! https://t.co/Q3ft8FZB66"
x14738157,BobMcDonnell,2016-11-07T00:29:50Z,x795422974530699264,92,19,Over 300 Virginians gathered to celebrate the vindication of Governor McDonnell today https://t.co/wodjiuRNPe
x14738157,BobMcDonnell,2016-11-21T23:27:57Z,x800843220456538112,37,9,"Former Gov. McDonnell will be teaching at Regent University

https://t.co/9QaXMuxxNR"
x14738157,BobMcDonnell,2016-12-28T18:14:54Z,x814172788776960000,10,2,Photos from the Victory Celebration in Virginia Beach can be found at: https://t.co/yNevJ4y1Nm
x14738157,BobMcDonnell,2017-01-13T23:17:00Z,x820047021314809856,29,7,Throwback to Governor McDonnell's final State of the Commonwealth Address #ThrowbackThursday (photo courtesy of @paulshanks) https://t.co/J94nHZMzMD
x14738157,BobMcDonnell,2017-03-15T15:56:18Z,x842041776219295744,20,6,Very proud of my dear friend for his nomination to serve as solicitor general! https://t.co/UfOrcv0kg5
x14738157,BobMcDonnell,2017-09-25T03:48:25Z,x912161845246611456,24,4,"Thanks for carpooling, Ed! https://t.co/OO9aSRZxxr"
x14738157,BobMcDonnell,2017-10-03T13:19:04Z,x915204558078513153,19,1,My thoughts and prayers go out to all of the victims of the tragedy in Las Vegas...
x14738157,BobMcDonnell,2018-01-02T22:48:35Z,x948325174151139329,24,2,Happy New Year from Former Governor McDonnell and his entire family. May you and your family be blessed. https://t.co/dC86x1zGk8
x14738157,BobMcDonnell,2018-01-04T21:19:28Z,x949027525266694151,18,3,Stay safe and warm in the snow! #snowday
x14738157,BobMcDonnell,2018-04-21T01:02:45Z,x987496828408156160,17,4,Glad I could join you all at this great event! https://t.co/EBMyY4DE92
x14738157,BobMcDonnell,2018-05-07T03:46:42Z,x993336292917342208,28,3,"Today during the annual Crush Cancer event to benefit @sloan_kettering cancer research, I was fortunate enough to meet this courageous woman who has battled cancer for over two decades. A textbook definition of strength. https://t.co/Oo5p6ZsXHD"
