user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x66891808,BrianSandoval,2017-03-01T20:44:19Z,x837040826001707008,12,2,Enjoyed attending the #JointAddress -- here's a picture from last night in case you missed it. https://t.co/TNT41cYDbf
x66891808,BrianSandoval,2017-03-04T17:19:37Z,x838076476490657792,7,4,"Gov. Sandoval declares March ""Colorectal Cancer Awareness Month"" https://t.co/V78gHmQvS6"
x66891808,BrianSandoval,2017-03-08T17:44:00Z,x839532165016739840,2,0,"""Governor praises brigade for sacrifices"" https://t.co/I90qvQjbs9"
x66891808,BrianSandoval,2017-03-08T19:49:00Z,x839563621613068288,5,4,"Nevada governor wants no qualifiers for Education Savings Account recipients https://t.co/3wSOPlxw3u via @reviewjournal 

#schoolchoice"
x66891808,BrianSandoval,2017-03-13T18:13:40Z,x841351568301543425,16,7,Sandoval’s increase in student spending would lift Nevada near national average https://t.co/B4JMRqFzGX via @reviewjournal
x66891808,BrianSandoval,2017-03-14T02:22:05Z,x841474483525419008,20,9,"RJ: Sandoval’s increase in student spending would lift Nevada near national average https://t.co/vSE2ZvJ8M4 

#nvedu #education https://t.co/lZoat5Gxp5"
x66891808,BrianSandoval,2017-03-14T18:11:00Z,x841713286659874817,22,11,"Happy Birthday to the #BiggestLittleCity slogan. 88 years ago today: ""Biggest Little City"" named Reno's slogan https://t.co/S1RxSnB788"
x66891808,BrianSandoval,2017-03-14T20:28:00Z,x841747764136579072,7,2,Are you walking to school this week? @nevadadot Encourages Nevada Schoolchildren to Walk to School This Week https://t.co/To2dzqP1eP #nvedu
x66891808,BrianSandoval,2017-03-14T20:55:00Z,x841754559529730048,22,3,"Proud of the Pack. 

@NevadaHoops #marchmadness #battleborn 

https://t.co/y1HBOCheEM"
x66891808,BrianSandoval,2017-03-15T16:11:00Z,x842045476794957824,2,1,"It's Nevada Moves Week again, learn more here: https://t.co/To2dzqP1eP"
x66891808,BrianSandoval,2017-03-16T15:29:02Z,x842397303277260801,21,5,"Here's a throwback picture of when a deer wanted to take a walk with us in Carson City during ""Nevada Moves Week"". #TBT #NevadaMoves https://t.co/D5sMbs5thf"
