user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x25471833,CariChampion,2018-10-26T03:24:53Z,x1055661515250917376,14,0,Splain Phil’s connection
x25471833,CariChampion,2018-10-26T03:42:06Z,x1055665849015525376,157,36,Count it!!!!!🔥🔥
x25471833,CariChampion,2018-10-26T04:17:57Z,x1055674873316397056,445,64,Kobe has his game day attire under the suit. He’s ready! Lol
x25471833,CariChampion,2018-10-26T04:31:24Z,x1055678258161676294,64,13,You’re crazy https://t.co/LoxiLROWoG
x25471833,CariChampion,2018-10-26T04:56:27Z,x1055684562087362560,257,53,Lightskinnnnnnnnnnnnnnn
x25471833,CariChampion,2018-10-26T05:01:52Z,x1055685922946084864,104,24,Give him his and one..
x25471833,CariChampion,2018-10-26T05:01:59Z,x1055685954608914432,197,24,Guess what y’all!!!!
x25471833,CariChampion,2018-10-26T05:03:16Z,x1055686273988345856,813,221,Kobe is a fan. Stop trying to divide the greats!
x25471833,CariChampion,2018-10-26T05:04:42Z,x1055686634883043328,167,30,He’s starting to come into his own... https://t.co/uDKr9qqXsH
x25471833,CariChampion,2018-10-26T05:05:51Z,x1055686925971972097,419,48,Again guess what y’all... GAME OVER... I dare y’all to @ me!
x25471833,CariChampion,2018-10-26T05:06:13Z,x1055687019119038464,180,40,We AIGHT. Y’all see it!
x25471833,CariChampion,2018-10-26T05:06:25Z,x1055687069446488064,308,80,Kobe at every game.
x25471833,CariChampion,2018-10-26T05:46:39Z,x1055697192411787265,7,0,Meetings! https://t.co/fauMP1pTUO
x25471833,CariChampion,2018-10-26T05:50:35Z,x1055698183433543681,87,19,Time out. Hilarious. https://t.co/SkUXezY8Vl
x25471833,CariChampion,2018-10-26T05:54:58Z,x1055699284442591233,140,14,Soooo. I’m lol’n https://t.co/Z6MQ0l6pos
x25471833,CariChampion,2018-10-26T12:27:48Z,x1055798144967929859,225,31,This did make me KeKe ... https://t.co/131XkNz2HM
x25471833,CariChampion,2018-10-26T17:36:08Z,x1055875742146342912,60,6,Amazing. I had a chance to meet her. She’s special. https://t.co/Zj5I2V1ezF
x25471833,CariChampion,2018-10-28T01:31:59Z,x1056357879073009664,165,23,Quickly becoming a temporary favorite! https://t.co/H4GER8mBfU
x25471833,CariChampion,2018-10-28T01:32:35Z,x1056358032282607617,410,65,Me after I get my hair did... https://t.co/tQtIQRyQU8
x25471833,CariChampion,2018-10-28T03:40:30Z,x1056390221267271681,398,96,😂 https://t.co/dhIRCljMZz
x25471833,CariChampion,2018-10-28T16:36:50Z,x1056585594829123584,159,46,"If you love punishment. Visit downtown LA.  Throughout the day MLB, NBA, NFL, MLS and NHL all have games. LA Sports Equinox https://t.co/HhmThXahar"
x25471833,CariChampion,2018-10-31T15:38:10Z,x1057657991196037120,1396,372,Halloween CLASSIC https://t.co/Kv28B0Yk9M
x25471833,CariChampion,2018-11-01T00:28:23Z,x1057791426648363009,28,2,Seriously! You went all out?! And they’re coming thru half way. Rude. https://t.co/yziUlJMaQv
x25471833,CariChampion,2018-11-01T19:56:11Z,x1058085314084794370,142,10,Yo @DavidLloydESPN ... I really think you’re SUPER😂🙏🏾 https://t.co/EqpEgiWhyg
x25471833,CariChampion,2018-11-01T22:14:43Z,x1058120175281627137,29,2,I get the hint.. you want to do the show by yourself!!! *clears throat* https://t.co/3Z1qgdKSPI
x25471833,CariChampion,2018-11-02T21:36:33Z,x1058472959730376704,68,6,Sidenote: if you drive a Prius- you can’t go over 40mph. Ppl who drive fast and wreckless in THAT CAR could be considered a hypocrite! (Doesn’t go with saving the environment message)
x25471833,CariChampion,2018-11-03T22:21:53Z,x1058846756857757696,382,70,Of ALL TIME?? https://t.co/Wkuw9e5fWB
x25471833,CariChampion,2018-11-04T00:01:06Z,x1058871722831564800,131,8,Lightskkinnnnnnnn. How y’all feel?
x25471833,CariChampion,2018-11-05T03:16:00Z,x1059283160653918208,236,41,This is gross
x25471833,CariChampion,2018-11-05T03:24:05Z,x1059285196162232321,123,7,Seriously @joshhart is always on the hustle. Quickly becoming a fav.  #lightskinnnnnnnnn
x25471833,CariChampion,2018-11-05T03:27:12Z,x1059285979771486213,18,1,So @sergeibaka playing by himself.  Good job! https://t.co/wB76SUHGNt
x25471833,CariChampion,2018-11-05T03:35:28Z,x1059288057201930247,313,35,This is embarrassing. It’s a full melt down.  Im watching these players get mad at one another!
x25471833,CariChampion,2018-11-05T03:36:08Z,x1059288225183760385,72,12,There’s no defense. Who takes care of the land!?!?!?!
x25471833,CariChampion,2018-11-05T03:37:14Z,x1059288504365006848,2147,106,Mood  @ 44-69 https://t.co/pX3fNJZMyT
x25471833,CariChampion,2018-11-05T05:23:31Z,x1059315251022163968,22,3,Ppl who care about me https://t.co/l9MVgtHjtz
x25471833,CariChampion,2018-11-07T20:45:39Z,x1060272087196086272,13,1,I’m so excited! Please join me if you can!! https://t.co/jIBfAXrrNy
x25471833,CariChampion,2018-11-08T06:02:23Z,x1060412193609461765,63,5,He made a nice difference https://t.co/oCNJ3WWeHd
x25471833,CariChampion,2018-11-08T06:34:42Z,x1060420326394187777,31,5,I’m on the phone with DG with @AmericanAir ... and they are not accomadating at all! I’m done forever...  arggghhh
x25471833,CariChampion,2018-11-08T07:05:10Z,x1060427993502216192,103,6,I try to tell myself it’s November ... relax lady https://t.co/FstOPaqNrg
x25471833,CariChampion,2018-11-08T17:44:19Z,x1060588842674241536,52,4,Agreed! 😂 https://t.co/x1GYyLsjS9
x25471833,CariChampion,2018-11-09T01:15:48Z,x1060702461025955840,42,11,Had the great @Candace_Parker on the podcast but now you can WATCH on the @espn plus app! https://t.co/CZkarUangL. She talks life on and off the court! And what’s next? 🙏🏾.
x25471833,CariChampion,2018-11-09T03:26:50Z,x1060735437029834752,145,17,That’s not fair.
