user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x15324851,ChrisCoons,2018-10-11T16:23:50Z,x1050421729905074176,620,265,"When a crisis like the disappearance of Jamal Khashoggi occurs, we need American diplomats in key posts around the world to ensure the United States can respond quickly &amp; effectively. Right now, though, the Trump Admin hasn’t even nominated ambassadors for Turkey or Saudi Arabia."
x15324851,ChrisCoons,2018-10-11T17:06:28Z,x1050432455587577857,54,24,"Protecting our children’s health is critical to our nation’s future. I urge the FTC to investigate Big Tobacco’s use of deceptive social media advertising to target young people. 

Read our letter: https://t.co/w06JAxx5iy"
x15324851,ChrisCoons,2018-10-11T17:56:14Z,x1050444979334762497,133,37,"The music performed by pre-1972 artists is an important part of our shared cultural heritage. It’s the music many of us listened to growing up. 

It’s simply not fair that those legacy artists do not have to be compensated when Americans now listen to their music digitally."
x15324851,ChrisCoons,2018-10-11T21:03:27Z,x1050492096187195392,46,15,Proud to have co-led this letter to the State Department with @SenBobCasey and @SenJeffMerkley. Looking forward to seeing the Department’s response. https://t.co/D44w5qPxUP
x15324851,ChrisCoons,2018-10-11T22:32:12Z,x1050514431510237185,255,53,"From Nepal to South Sudan, I have seen firsthand how girls are catalysts for a more peaceful, just, and prosperous world.  Let’s work together to ensure girls have the right to pursue their dreams and reach their full potential. Today we celebrate girls everywhere #DayOfTheGirl"
x15324851,ChrisCoons,2018-10-12T16:36:05Z,x1050787197220204544,143,15,"Today, Pastor Andrew Brunson was released by a Turkish court and is on his way back to the US.  While it is appalling that Pastor Brunson was detained for two years in Turkey on unfounded charges, today I join with his family &amp; people around the country to celebrate his freedom."
x15324851,ChrisCoons,2018-10-15T22:55:14Z,x1051969777676242945,228,58,"Of the many things Paul Allen did in his remarkable life, I particularly remember his commitment to fighting Ebola, which devastated parts of West Africa. His generosity made a real difference and saved lives. 

https://t.co/Gg1kodFhkJ"
x15324851,ChrisCoons,2018-10-18T20:59:47Z,x1053027889870979073,57,22,Another victory on the NTD front. U.S. investment in global health makes a difference and I’m thrilled to see this continued progress! https://t.co/RsX4plxElz
x15324851,ChrisCoons,2018-10-19T16:29:59Z,x1053322377524842497,134,77,"This week, Sen McConnell just made it extremely clear what Republicans want to do to our health care system when he defended the lawsuit that could END protections for people with pre-existing conditions: https://t.co/zPnKrhA5cf"
x15324851,ChrisCoons,2018-10-20T01:26:26Z,x1053457378975322114,2180,582,"While Saudi Arabia has long been an important U.S. partner in the Middle East, our shared interests should not require us to abandon our values, which include our commitment to a free press, human rights, and the rule of law."
x15324851,ChrisCoons,2018-10-22T00:10:42Z,x1054163097659813889,302,227,"Senate Republicans made it crystal clear what they want to do next year to the Affordable Care Act, to Medicare, to Medicaid, and to Social Security. 

https://t.co/gty6M3i5MJ"
x15324851,ChrisCoons,2018-10-22T19:07:05Z,x1054449078019473408,30,7,Great conversation this morning with the New Castle County Chamber of Commerce - thank you for having me and for all you do for New Castle County! https://t.co/79JqCSwzpj
x15324851,ChrisCoons,2018-10-23T21:25:37Z,x1054846328986091521,1512,829,"This is simply not true. 

The Trump administration is supporting a lawsuit that would undo protections for pre-existing conditions, while top Republicans are also calling for cuts to Medicare, Medicaid, and Social Security. https://t.co/LxVkyRxJpZ"
x15324851,ChrisCoons,2018-10-24T13:29:23Z,x1055088868825972736,44,16,Let’s make history this #WorldPolioDay! Eradicating polio globally will be one of the world’s greatest achievements in public health. Join me to ensure every child worldwide has a @ShotAtLife and is immunized against polio. #VaccinesWork
x15324851,ChrisCoons,2018-10-24T14:08:18Z,x1055098661636661248,63,37,"Half of Yemen’s population could soon be at risk of famine, underscoring the need to sustain humanitarian aid and ensure the Saudi-led coalition is taking measures to protect civilians. https://t.co/wRsjGhkk2k"
x15324851,ChrisCoons,2018-10-24T16:58:38Z,x1055141529768132608,16,9,ICYMI: I joined w/former Obama admin official Puneet Talwar to write @TheNatlInterest essay arguing for closer U.S.-India ties https://t.co/zkwt2QFF9W
x15324851,ChrisCoons,2018-10-24T17:12:42Z,x1055145066447151104,298,79,"Threats and attempted violence against public officials, journalists, or anyone else have no place in this country.  

Today is yet another reminder of the sacrifices our first responders make to keep all Americans safe."
x15324851,ChrisCoons,2018-10-24T20:32:01Z,x1055195226082627584,122,18,"I’m proud that Democrats and Republicans worked together to pass legislation that will provide critical tools to help states like Delaware combat the opioid epidemic. 

Today, the President signed that bipartisan legislation into law."
