user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x150078976,ChrisMurphyCT,2018-11-05T18:19:07Z,x1059510437421686784,94,20,Stopped by Colony Diner in Wallingford and reminded people to turn out tomorrow for @APMcKeen and Mary Mushinsky. https://t.co/FcRmteqqSQ
x150078976,ChrisMurphyCT,2018-11-05T18:27:58Z,x1059512665196974087,1111,578,"Listen, @OzForGovCT is a decent guy. But he’s got zero shot to win, and a vote for him tomorrow is as good as a vote for Donald Trump. 

If votes for Oz put Trump’s guy Stefanowski over the top, Trump celebrates a win in Connecticut."
x150078976,ChrisMurphyCT,2018-11-05T19:28:01Z,x1059527775051075585,93,62,Do you know when you're voting tomorrow? Do you know where your polling place is? Visit https://t.co/5JF8YpbIdZ for everything you need to know and make a plan to vote. https://t.co/O6FIjQAf8x
x150078976,ChrisMurphyCT,2018-11-05T19:29:27Z,x1059528135769759746,369,43,"I can relate, Walt. https://t.co/mLO2lRokQc"
x150078976,ChrisMurphyCT,2018-11-05T20:32:55Z,x1059544109789126661,1280,312,"QUICK THREAD: Whatever happens tomorrow, 2018 will be looked upon as a pivot moment in politics of gun violence. 

In Florida, Georgia, Colorado, Texas, etc candidates finally figured out the only mistake you can make is to be too weak in your support of gun safety measures."
x150078976,ChrisMurphyCT,2018-11-05T23:24:26Z,x1059587270133641217,415,97,"Tomorrow, we vote. But tonight, I’m proud to stand with @NedLamont and our Dem ticket in West Hartford to remind voters what we stand for: fair wages, opportunities no matter your zip code, affordable health care &amp; an economy that cuts taxes for families, not corporations. https://t.co/ga2EwIjbu5"
x150078976,ChrisMurphyCT,2018-11-06T02:42:15Z,x1059637052390555649,2788,604,"My single goal in the United States Senate is to represent Connecticut voices and Connecticut values, for the state that has meant so much to me and my family. I hope that tomorrow, you'll give me that chance again. https://t.co/8OgfuFskXb"
x150078976,ChrisMurphyCT,2018-11-06T11:05:36Z,x1059763724469317633,330,121,Today's the day! Polls in Connecticut are OPEN from 6am to 8pm. All the info you need is at https://t.co/5JF8YptjCz. Let's get out there and win this thing. https://t.co/Iy4EWbjkQE
x150078976,ChrisMurphyCT,2018-11-06T11:42:02Z,x1059772895386329089,1025,111,"My wife says my lucky pants “disappeared”. Very, very suspect. 

But yes, lunch at the Torrington Burger King and hopefully “chicken fries” are still a thing. #electionday #superstitions https://t.co/QtdmCTgPu3"
x150078976,ChrisMurphyCT,2018-11-06T12:51:02Z,x1059790259834232839,4996,829,I think I was just there! Turnout was crazy huge and my informal exit poll suggests about 6 in 10 were voting for Beto. https://t.co/8HNZsB7f43
x150078976,ChrisMurphyCT,2018-11-06T13:19:48Z,x1059797497017786368,246,170,Did you miss the voter registration deadline? You can still register to vote on election day in Connecticut. Here's everything you need to know: https://t.co/IC0SyTXZsM
x150078976,ChrisMurphyCT,2018-11-06T13:45:27Z,x1059803955407007744,102,15,Live in the car on the way to vote in Cheshire  https://t.co/Yzpgu3HmTh
x150078976,ChrisMurphyCT,2018-11-06T16:19:08Z,x1059842628135673857,453,54,Cathy and I just voted (with an assist from the boys) at our polling place in Cheshire. Have you made a #plantovote yet? If you need help figuring it out go to https://t.co/32D4DUriJN. No excuses!! https://t.co/d3Z8vD2T3M
x150078976,ChrisMurphyCT,2018-11-06T18:27:33Z,x1059874946099359745,2731,722,No big deal. Just @samwaterston spending the whole day driving Waterbury voters to the polls for @JahanaHayesCT. https://t.co/ESoncytq5h
x150078976,ChrisMurphyCT,2018-11-06T19:22:57Z,x1059888890646065152,594,58,"Tradition continues. Election Day lunch at Torrington Burger King. And yes, chicken fries are still on the menu. And still super delicious. #Vote2018 https://t.co/cGUJTEJj8z"
x150078976,ChrisMurphyCT,2018-11-06T20:46:18Z,x1059909862627442689,479,117,Just stoped by the polls in Westport with @WillHaskellCT. You’ve got four more hours to go and vote 🗳 https://t.co/xX5ENWCGVx
x150078976,ChrisMurphyCT,2018-11-06T21:01:20Z,x1059913645998653441,350,27,"While I’ve been cross-crossing the state my wife Cathy has been stopping into HQs, bringing donuts, and firing up volunteers. https://t.co/V3rDsesU3b"
x150078976,ChrisMurphyCT,2018-11-06T21:25:37Z,x1059919758370443266,155,23,Our #FightBackCT volunteers have been amazing and they are working hard until the very last minute. https://t.co/GtM8j5P4v2
x150078976,ChrisMurphyCT,2018-11-06T22:19:37Z,x1059933349014368256,299,77,This is our chance to shape our future. We've got just a few more hours to make it happen. Keep going. https://t.co/wG9qr6sxRF
x150078976,ChrisMurphyCT,2018-11-07T00:13:06Z,x1059961907552141312,470,172,If you’re at your polling place and in line by 8pm you will be allowed to vote! https://t.co/HsTWCO8OYH
x150078976,ChrisMurphyCT,2018-11-07T02:41:05Z,x1059999147913330688,12149,1174,"Thank you. From the deepest depths of my heart, thank you for giving me the opportunity of a lifetime to represent this state that I love so much in the United States Senate. https://t.co/dObZATCdDj"
x150078976,ChrisMurphyCT,2018-11-07T04:22:44Z,x1060024728298098688,1253,200,"Amazing, history making win for my pal @JahanaHayesCT! She changed the game and won by inspiring thousands of new activists and voters. She’s going to be a star for the 5th district in Congress. Get ready Washington! https://t.co/QHqjPnuwF6"
x150078976,ChrisMurphyCT,2018-11-07T15:53:05Z,x1060198459884650496,2286,305,I am so grateful to Connecticut for making @NedLamont our next Governor. He’s going to work for every single one of us - whether you voted for him or not. He’ll be a breath of fresh air and I can’t wait to get down to work with him.
x150078976,ChrisMurphyCT,2018-11-07T18:13:16Z,x1060233741510029312,516,36,"The day after each of my elections, I return to Capitol Lunch in my mother’s hometown of New Britain to say thank you to voters who entrusted me with this big job. Great to be back there today. https://t.co/MQCNwpbJTA"
x150078976,ChrisMurphyCT,2018-11-07T19:20:38Z,x1060250694404505600,1034,139,"To everyone who made calls, knocked doors and volunteered their time these past few months. To everyone who cast their vote. To everyone who put their faith in me. Thank you. https://t.co/Siyl2TAj6P"
x150078976,ChrisMurphyCT,2018-11-07T20:57:39Z,x1060275110433751044,37597,11372,"Jeff Sessions did not resign. He was fired. 

Jeff Sessions did not resign. He was fired. 

Jeff Sessions did not resign. He was fired. 

Say it with me."
x150078976,ChrisMurphyCT,2018-11-07T23:41:12Z,x1060316266739712000,1824,391,THREAD// One big theme from election night- candidates who stood up to the gun lobby won big. They were bold and unapologetic in their support for smarter gun laws and voters agreed.
x150078976,ChrisMurphyCT,2018-11-08T14:07:16Z,x1060534221771542528,18859,5276,"To my colleagues - you’re blind if you don’t see what’s going on. Your unconscionable silence in the face of 

Newtown
Orlando
Las Vegas
Parkland
Pittsburgh

is interpreted as endorsement by madmen contemplating mass violence.

None of it is inevitable. 

WE CAN STOP ALL THIS."
x150078976,ChrisMurphyCT,2018-11-08T17:35:29Z,x1060586620670431232,90,17,"I’m in Hartford with @BethBye5, @TurcoNewington and our amazing #FightBackCT volunteers. 

During the last four days of GOTV, #FightBackCT volunteers made more than 1 MILLION calls and knocked on more than 230,000 doors. 

https://t.co/AL5DZqwDyK"
x150078976,ChrisMurphyCT,2018-11-08T19:29:44Z,x1060615370069995521,2515,1033,Republicans will try to use the courts to shut down a full recount. Just get ready for this - adjust your schedules bc we may all have to get down to Florida if they try to to use the courts to stop all ballots from being counted. https://t.co/VSDSDfnEjE
x150078976,ChrisMurphyCT,2018-11-08T21:33:55Z,x1060646621669744641,29161,8945,"What is the point of this thread?

That the votes shouldn’t be counted?

Or that the votes shouldn’t be counted if counting them results in a Democrat winning?

Or that the votes shouldn’t be counted if the local election officials are Democrats that Republicans don’t like? https://t.co/bbNklmC4oH"
x150078976,ChrisMurphyCT,2018-11-08T23:48:17Z,x1060680439445233664,2344,1263,"We've seen this before. Republicans in Florida will try to stop the recount and declare Rick Scott the winner. We can't let that happen. 

@NelsonForSenate can't do it without our help. Can you chip in $5 to help fund the recount? Donate: https://t.co/BS4yZmmuF4"
x150078976,ChrisMurphyCT,2018-11-09T03:33:38Z,x1060737149270667264,14776,4381,"This is all made up.

Republicans, this is decision time - if you use your political power in Florida to shut down this vote, just so your guy can win, then it's over. Democracy is officially dying. https://t.co/cKvGPat4S7"
x150078976,ChrisMurphyCT,2018-11-09T03:42:00Z,x1060739254568079360,18062,7117,You're on notice - the 2000 GOP recount playbook will come back out in 2018. At issue are thousands of mysterious ballots where votes were cast for Gov but not Senate. Solving this requires a hand recount - the exact same hand recount that was shut down in Bush v. Gore.
x150078976,ChrisMurphyCT,2018-11-09T03:59:12Z,x1060743584603914241,3778,891,"What? A box with a label on it, that no one even looked in, is now evidence of voter fraud?? I have deep respect for @marcorubio, but trying to invent a conspiracy by scouring the internet and retweeting any bs photos you find is so junior varsity. https://t.co/1mvwKvFFmd"
x150078976,ChrisMurphyCT,2018-11-09T12:01:29Z,x1060864955128397824,37795,7467,"Good morning. 

Count all the votes in Florida and Arizona."
x150078976,ChrisMurphyCT,2018-11-09T12:28:48Z,x1060871827805913088,7068,1752,"And Georgia. And, like, anywhere the votes haven’t been counted. Because if u don’t count votes, you don’t got a democracy. https://t.co/v6czNsajAB"
