user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x24742737,ChrisRyan77,2018-10-10T16:07:03Z,x1050055118140268544,35,6,This @alyssabereznak piece is so smart about how the flood of memes before A STAR IS BORN change the way audiences watched A STAR IS BORN in theaters https://t.co/XQ5iZZOpYc
x24742737,ChrisRyan77,2018-10-11T19:22:10Z,x1050466606751436800,50,11,.@YourManDevine reads Jimmy Butler's hole cards with his @ringer debut https://t.co/ZCnavhfDuC
x24742737,ChrisRyan77,2018-10-12T15:37:46Z,x1050772522336047104,22,9,New @thewatchpod on the season finale of #BetterCallSaul and a great conversation with #ManiacNetflix creator @patrickerville https://t.co/dbj0OgmH1z
x24742737,ChrisRyan77,2018-10-12T17:42:26Z,x1050803896199733248,28,1,"Tag yourself, I'm ""THE ROOM IS BUGGED"" https://t.co/4cr5n130Wt"
x24742737,ChrisRyan77,2018-10-16T15:07:50Z,x1052214541524729856,9,5,"New @thewatchpod is a quick talk with @andygreenwald about FIRST MAN and BEIRUT (Don Draper, hostage negotiator movie), and then a chat with @carlagugino about her amazing new show #TheHauntingOfHillHouse https://t.co/dbj0OgmH1z"
x24742737,ChrisRyan77,2018-10-16T19:55:16Z,x1052286876621582336,55,1,.@MalloryRubin and @netw3rk are running the NBA through the @binge_mode machine! https://t.co/GYNkqazgDn
x24742737,ChrisRyan77,2018-10-16T20:08:18Z,x1052290157125103616,71,6,Kind of wish S2 of SUCCESSION was just the Roy fam buying the Lakers https://t.co/8a2zxvUyA9
x24742737,ChrisRyan77,2018-10-16T21:26:39Z,x1052309871557730304,358,50,TAKEHUNTER III is here!!! @netw3rk @micahpeters_ @_tkparker @billsimmons @jga41agher https://t.co/pqrbNGa7nL
x24742737,ChrisRyan77,2018-10-17T15:58:27Z,x1052589667869024256,25,7,"Second episode of ""The Leap"" is out from @ringer and @jkylemann/@dimedrophoops! New installment focuses on Phoenix's Josh Jackson https://t.co/8K9wBmlBNi"
x24742737,ChrisRyan77,2018-10-17T16:48:36Z,x1052602288999546880,179,4,"I really wanted to make a 9-minute  @rwohan goals and assists compilation soundtracked with trance music, but that was too much work so I will just say I've worked with him for years now, and he's one of the funniest and brightest minds I've had the pleasure to come across"
x24742737,ChrisRyan77,2018-10-19T01:27:18Z,x1053095210387890176,58,4,Ask us anything https://t.co/Czda4JkZRO
x24742737,ChrisRyan77,2018-10-23T01:31:17Z,x1054545762732756992,71,6,[EXTREMELY LEONIDAS VOICE] New @thewatchpod celebrating 300 podcast episodes w/ @andygreenwald https://t.co/wCzRVrYHG1
x24742737,ChrisRyan77,2018-10-23T18:18:32Z,x1054799246723964928,85,16,"""You do not need to be the smartest team in the league; you just have to find one team dumber than you and you’ll get value"" @bykevinclark https://t.co/axnqUayIzk"
x24742737,ChrisRyan77,2018-10-23T21:35:39Z,x1054848854468657152,12,0,The Dirty Nil are back on their At Budokan/In Utero bullshit https://t.co/UXWYlX4yLJ
x24742737,ChrisRyan77,2018-10-24T15:42:52Z,x1055122459635048449,17,5,"Great hoops on the site today with Luka, Lakers, and 5 Most Interesting Teams:

@JonathanTjarks https://t.co/D14EqUCUfU
@_JohnGonz https://t.co/flgMzQTtq5
@YourManDevine https://t.co/MUwXWXM9JQ"
x24742737,ChrisRyan77,2018-10-25T16:46:47Z,x1055500933973430272,24,3,"In the first episode of the Big Picture pod on its new feed, @SeanFennessey talked to Paul Dano, who directed one of my favorite movies of the year, WILDLIFE https://t.co/Vx9479Rit9"
x24742737,ChrisRyan77,2018-10-30T03:30:21Z,x1057112445003554816,36,4,"VICKY, I JUST WANNA AVE A CHAT - New @thewatchpod w/ @andygreenwald on #bodyguardnetflix plus what album we'd use as I.P. to make a movie or TV show (a la Luca Guadagnino/Blood On the Tracks) https://t.co/3WqbBpC5Dx"
x24742737,ChrisRyan77,2018-10-30T17:23:04Z,x1057322003982508032,102,14,"Defense used to win championships in the NBA, now it's just ... kind of in the way. This is incredible work by @JustinVerrier on the state of defending in a league drunk on pace and space https://t.co/eItG6QSbmn"
x24742737,ChrisRyan77,2018-10-30T22:57:46Z,x1057406233680871425,27,6,"Gotten some fun responses to this one so far. @andygreenwald and I talked about adapting RUMORS, Neil Young's ON THE BEACH, Raekwon's ONLY BUILT FOR CUBAN LINX, and more on @thewatchpod https://t.co/inGQckYEfS"
x24742737,ChrisRyan77,2018-10-31T16:17:21Z,x1057667852839186432,111,3,"We couldn't afford Brian Cox or any horses, but we did OK https://t.co/N5PhnaFdWx"
x24742737,ChrisRyan77,2018-11-02T15:49:47Z,x1058385691585859584,9,2,"SOME PODS!
Group Chat: breaking down early season NBA tiers: https://t.co/DiyrXlvJcR
The Watch: Thrones prequel, SABRINA, and BODYGUARD w/ @julietlitman https://t.co/1kbBB1de8E
The Big Picture: the five best Western movies since 1993 w/ @SeanFennessey https://t.co/Vx9479Rit9"
x24742737,ChrisRyan77,2018-11-06T16:46:29Z,x1059849511521017856,22,5,New @thewatchpod! Me and @andygreenwald unleashes the David Shire piano for a long chat about the first half of #HomecomingTV and we also get to the chopper for Rick G. and talk about the Universification of #TheWalkingDead https://t.co/dbj0OgmH1z
x24742737,ChrisRyan77,2018-11-07T16:12:16Z,x1060203288665047041,8,3,.@brofromanother did some really amazing frame analysis to unpack how @samesmail imbued #HomecomingTV with the paranoia cinema of the 1970s https://t.co/dtTDLZTCye
x24742737,ChrisRyan77,2018-11-09T16:45:15Z,x1060936366593196032,7,2,"New @thewatchpod w/ @andygreenwald talking about the ROGUE ONE prequel coming to Disney +, the Jesse Pinkman sequel, and the second half of #HomecomingTV https://t.co/dbj0OgmH1z"
x24742737,ChrisRyan77,2018-11-13T23:57:50Z,x1062494781715079168,13,1,New @thewatchpod! Talking about the passing and legacy of Stan Lee w/ @andygreenwald and then chatting #HomecomingTV w/ creators Eli Horowitz and @MicahBloomberg https://t.co/dbj0OgmH1z
x24742737,ChrisRyan77,2018-11-16T02:51:03Z,x1063263149489500160,11,1,"New @thewatchpod! @andygreenwald on streaming/digital giants pairing with indie studios, plus an awesome conversation with #NarcosMexico exec producer Eric Newman on the new season of the show https://t.co/dbj0OgmH1z"
