user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x101008987,CKlosterman,2018-01-24T21:38:41Z,x956280119265382404,15,1,"@BlindWaveProd Hey, I just saw this. Many podcasts have used those questions, but I feel like this was the best I've ever seen it done (esp. the ""gay conman Jesus"" concept)."
x101008987,CKlosterman,2018-02-14T20:10:51Z,x963868157717889025,13,1,"""The farmer did not dry clean the sheep."" https://t.co/JDFcoSZw2y"
x101008987,CKlosterman,2018-02-23T20:32:07Z,x967135003250376704,357,47,I can’t believe we’re actually discussing this.
x101008987,CKlosterman,2018-02-28T20:08:14Z,x968940929229836289,127,42,https://t.co/0n0OpvRRAn
x101008987,CKlosterman,2018-03-27T16:26:10Z,x978669519844462593,14,4,"Two events: Next Thursday (April 5), I will be interviewing Rex Sorgatz about his book (THE ENCYCLOPEDIA OF MISINFORMATION) at the Powell's in Beaverton. Details here: https://t.co/8XjCNMggWV  [1]"
x101008987,CKlosterman,2018-03-27T16:27:59Z,x978669976193126400,19,1,"Then on April 19 (also a Thursday), I will be interviewing Sloane Crosley about her new essay collection (LOOK ALIVE OUT THERE) at the Powell's in downtown PDX. Details here: https://t.co/dhAnLvwnzQ  [ 2 ]"
x101008987,CKlosterman,2018-04-05T02:44:01Z,x981724107946409989,301,160,"A black computer bag containing a Mac laptop has been lost on the MAX red line train, headed toward the PDX airport. If this item is located, please contact this account. There is a reward."
x101008987,CKlosterman,2018-04-05T14:19:40Z,x981899172956614658,125,1,"Computer has been located. Also, it wasn’t mine. But I appreciate the concern."
x101008987,CKlosterman,2018-04-05T22:24:50Z,x982021271075500032,19,1,"Just a reminder. Again, this is at the Cedar Hills Crossing location. https://t.co/3T6lfIVeke"
x101008987,CKlosterman,2018-04-27T19:04:56Z,x989943497703636992,391,26,"My latest book (which is an anthology of journalism and essays from the past 12 years) will be released in softcover on May 1. If you buy it, I will come to your house and wash your car. https://t.co/u9EVHjJ49Q"
x101008987,CKlosterman,2018-04-30T20:19:51Z,x991049511802884097,46,8,"PEOPLE OF SEATTLE: I'm doing an event in your town this Saturday. It's at the University Book Store at 5:30 pm (kind of an odd time, I realize, but convenient for those who intend to get blasted later that night). The Q &amp; A will be lively. Details here: https://t.co/E5hY3NtGIu"
x101008987,CKlosterman,2018-05-11T16:33:08Z,x994978726994587648,108,7,"I will be at Powell's Bookstore (here in Portland) next Monday at 7:30 pm (May 14). In order to accentuate the event's ""local eccentricity,"" I will perform the reading while assembling a ship inside a glass bottle. https://t.co/afmnoBWYnb"
x101008987,CKlosterman,2018-05-13T23:43:23Z,x995811778641592320,577,84,This is impressive. https://t.co/inzNIfPh2i
x101008987,CKlosterman,2018-05-20T20:00:36Z,x998292428334366720,36,0,I can confirm the accuracy of this tweet. https://t.co/qFMmvLPD8k
x101008987,CKlosterman,2018-05-21T21:48:55Z,x998682071911415808,38,1,"I'll be reading at Booksmith in SF on Thursday at 7 pm. I realize this is not ideal timing for NBA fans, but the Warriors will probably be up 3-1, anyway. Also, there will likely be more open chairs and a high temp of only 61, no hopefully no one will faint his time. https://t.co/te8GybnN0j"
x101008987,CKlosterman,2018-05-23T18:58:09Z,x999363874930417664,28,0,I’ll be speaking at Skylight Books in LA at 7:30 pm this Friday. Skeletons welcome. https://t.co/4Fv3tVfeTI
x101008987,CKlosterman,2018-06-05T02:46:46Z,x1003830461448122369,165,51,Straightforward. https://t.co/1bBLJwrUl5
x101008987,CKlosterman,2018-07-02T22:26:42Z,x1013911873412984832,917,146,https://t.co/uFiblhzIpC
x101008987,CKlosterman,2018-08-06T18:47:45Z,x1026540346275028994,162,10,"So this is a bit curious: I'm doing a reading (and being interviewed) in north Portland, in some random woman's living room, reading excerpts from a new book I won't release until 2019. Space is limited (25 seats). Info here: https://t.co/wN6crrpREZ"
x101008987,CKlosterman,2018-09-06T13:23:18Z,x1037692719336812544,135,16,"Thanks to @LaneBrown  on this, the Eddie Van Halen of editing jokes about Eddie Van Halen https://t.co/Czn1lJ5wKZ"
x101008987,CKlosterman,2018-09-06T20:00:14Z,x1037792610130120704,5,0,"@EddieTrunk Hey man, thanks. That was very cool to listen to."
x101008987,CKlosterman,2018-09-26T19:41:57Z,x1045035768194846720,78,21,"This is a pretty good re-creation of an untelevised event.

https://t.co/OxGiWS6hAk"
