user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x48049415,DannyLeroux,2018-11-15T01:36:51Z,x1062882085000568832,33,1,"For whatever reason, I am already comfortable with Jimmy Butler in a Sixers uniform."
x48049415,DannyLeroux,2018-11-15T01:39:46Z,x1062882821809696768,5,0,Love that read and pass by Okogie to Saric at the rim.
x48049415,DannyLeroux,2018-11-15T01:57:49Z,x1062887362382901248,18,1,Isaac just blocked an Embiid dunk
x48049415,DannyLeroux,2018-11-15T02:04:35Z,x1062889067354849280,12,1,The funniest thing is this is true of multiple Shaq Harrison teams this season. https://t.co/aApOwAa3Cy
x48049415,DannyLeroux,2018-11-15T02:06:14Z,x1062889479810121728,14,1,Trying to figure out which is more surprising: Orlando’s huge run to make this a game or Wilson Chandler bringing the Sixers back
x48049415,DannyLeroux,2018-11-15T02:11:03Z,x1062890694459633664,15,1,The yarn-getter is back https://t.co/lk7IEeVjkd
x48049415,DannyLeroux,2018-11-15T02:12:21Z,x1062891020868698113,4,1,#LeaguePassAlert for Sixers/Magic
x48049415,DannyLeroux,2018-11-15T02:15:14Z,x1062891747745787904,29,0,Fully on board with Simmons trying to go off-the-backboard to himself when caught without a dribble in the lane. Guys should do it more often.
x48049415,DannyLeroux,2018-11-15T02:28:10Z,x1062895001548423168,9,1,I said these Bulls were going to break @StephNoh. Even I did not expect it to happen this quickly. https://t.co/PRtocZC361
x48049415,DannyLeroux,2018-11-15T02:36:03Z,x1062896985420623872,4,0,Kyle Lowry just got crushed drawing a charge on Drummond. #FixTheCharge
x48049415,DannyLeroux,2018-11-15T02:44:43Z,x1062899164198055936,4,0,#LeaguePassAlert for Pistons/Raptors
x48049415,DannyLeroux,2018-11-15T03:15:52Z,x1062907007043166209,28,3,Whoa whoa whoa- a pick and pop big got a wide open three against the Bucks?
x48049415,DannyLeroux,2018-11-15T03:26:16Z,x1062909621113737216,61,5,"Towns with a big block on AD, then a huge Wiggins dunk. I am here for it."
x48049415,DannyLeroux,2018-11-15T03:45:00Z,x1062914336585277445,5,0,New piece for @TheAthleticSF about what options would and would not be available for the Warriors if Kevin Durant leaves next July : https://t.co/mU2zYAO4Hs
x48049415,DannyLeroux,2018-11-15T09:45:26Z,x1063005041567588353,4,0,"New @RealGM Radio podcast! @BenGolliver on Draymond/Durant, Jimmy Butler trade and much more: https://t.co/ljz4kvv30F"
x48049415,DannyLeroux,2018-11-15T15:11:00Z,x1063086973546520576,5,0,"New @RealGM Radio podcast! @BenGolliver on Draymond/Durant, the Jimmy Butler trade and much more: https://t.co/ljz4kvv30F"
x48049415,DannyLeroux,2018-11-15T17:09:00Z,x1063116669134852097,4,2,"New @RealGM Radio podcast! @BenGolliver on Draymond/Durant, the Jimmy Butler trade and much more- https://t.co/ljz4kvv30F"
x48049415,DannyLeroux,2018-11-15T18:47:59Z,x1063141578636546048,7,1,Useful exercise from @kpelton on what the Warriors would look like (and possible record) if KD leaves next summer: https://t.co/npFlx2Gsn6
x48049415,DannyLeroux,2018-11-15T21:20:00Z,x1063179835432939520,2,0,"New @RealGM Radio podcast! @BenGolliver on Draymond/Durant, the Jimmy Butler trade and much more https://t.co/ljz4kvds97"
x48049415,DannyLeroux,2018-11-16T01:16:20Z,x1063239311670239232,2,1,#NBACast is up on Periscope and Twitch. Watch the game with @NateDuncanNBA and me: https://t.co/razJp0v7hv
x48049415,DannyLeroux,2018-11-16T01:20:00Z,x1063240233238462464,0,0,"New @RealGM Radio podcast! @BenGolliver on Draymond/Durant, the Jimmy Butler trade and much more : https://t.co/ljz4kvv30F"
x48049415,DannyLeroux,2018-11-16T05:57:14Z,x1063310001479966721,3,1,Gallo seeing that pass was great. Much better scoring chance.
x48049415,DannyLeroux,2018-11-16T05:59:27Z,x1063310561121693696,17,0,Lou.
x48049415,DannyLeroux,2018-11-16T06:38:10Z,x1063320302443102208,5,1,"My Report Card analysis of Warriors/Rockets is in @TheAthleticSF's app under the Scores tab. Which role players can handle time in a Rockets series, Houston leaving guys open, Looney's spin and dunk plus much more."
x48049415,DannyLeroux,2018-11-16T16:35:00Z,x1063470501002063872,1,1,"ICYMI: @BenGolliver and I on the Warriors drama, Butler trade and more for @RealGM Radio: https://t.co/ljz4kvv30F"
x48049415,DannyLeroux,2018-11-16T17:13:47Z,x1063480261675864064,28,3,Thon time? https://t.co/Flw9YftHCR
x48049415,DannyLeroux,2018-11-16T17:29:32Z,x1063484226777960449,4,0,Whoa- that is a longer absence than I expected https://t.co/uTrnqaRrTy
x48049415,DannyLeroux,2018-11-16T17:33:39Z,x1063485259113619457,68,5,"Wait, Thibodeau not communicating information someone should know but is not what they want to hear? First time that has happened recently. https://t.co/PxEZlYKEn1"
x48049415,DannyLeroux,2018-11-16T18:10:00Z,x1063494408635670529,0,0,"My Report Card analysis of Warriors/Rockets is in @TheAthleticSF's app under the Scores tab. Which role players can handle time in a Rockets series, Houston leaving guys open, Looney's spin and dunk plus much more"
x48049415,DannyLeroux,2018-11-16T20:10:59Z,x1063524857067974656,14,2,.@Sam_Vecenie and I just spent the last few minutes thinking of where Lowry and DeRozan could reunite as unrestricted free agents in 2020.
x48049415,DannyLeroux,2018-11-16T21:10:00Z,x1063539706841976832,1,0,"ICYMI- @BenGolliver and I on the Warriors drama, Butler trade and more for @RealGM Radio: https://t.co/ljz4kvds97"
x48049415,DannyLeroux,2018-11-16T22:24:58Z,x1063558572003385344,16,2,.@kpelton's piece on the Bucks today brings up some interesting historical data on lopsided victories: https://t.co/6aJawanLu1
x48049415,DannyLeroux,2018-11-17T00:16:54Z,x1063586742941274112,4,0,I flipped over for a second to verify and got very angry. Why wear black and white alts vs. Brooklyn? https://t.co/0r8gB8t4cA
x48049415,DannyLeroux,2018-11-17T00:24:19Z,x1063588607519158272,10,1,"Unfortunately for the Jazz, it looks like they are picking up where they left off in Dallas."
