user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x858750770,DarthAmin,2018-11-10T03:09:03Z,x1061093351867535360,13,1,Did @miamiheat forget to update their SE division champions banner? https://t.co/ei5B8qWgT0
x858750770,DarthAmin,2018-11-10T05:24:42Z,x1061127486841458688,7,0,🔥🔥🔥🔥🔥🔥🔥 https://t.co/fDtxafdv9L
x858750770,DarthAmin,2018-11-10T17:54:06Z,x1061316079845281795,62,4,Bang bang https://t.co/A7OqixkMMw
x858750770,DarthAmin,2018-11-10T18:25:34Z,x1061323997466558464,13,0,Hahahahaha https://t.co/L2bIOzCRj5
x858750770,DarthAmin,2018-11-10T19:58:56Z,x1061347495534567424,538,88,😂😂😂😂😂 https://t.co/jMrzWOkaiD
x858750770,DarthAmin,2018-11-10T20:01:02Z,x1061348025874956289,57,6,I got bumped to later in the show so you could talk to the dude who played Jack Ryan?!? https://t.co/HVcOehdXsV
x858750770,DarthAmin,2018-11-12T14:22:34Z,x1061987623386918912,45,0,Local hour shenanigans on @LeBatardShow https://t.co/LADqx6b6gn
x858750770,DarthAmin,2018-11-14T01:27:15Z,x1062517281664589826,240,11,"My kid just said to me “I think LeBron should play for the Warriors. They’re pretty good”

Lmao my kid loves LeBron enough to wish he played for the best team in the league 😂😂😂"
x858750770,DarthAmin,2018-11-14T01:37:55Z,x1062519965633282048,27,5,"I said ""yeah but that probably wouldn't be fair to everyone else""

Kid: ""why not?""

Raising them right lol https://t.co/WUQVGStdeN"
x858750770,DarthAmin,2018-11-14T04:25:38Z,x1062562172956368896,185,31,"DANNNNNNNN!

*beep*

The Rockets...are back! *beep*"
x858750770,DarthAmin,2018-11-14T14:57:41Z,x1062721234163589120,128,12,There is no one in the world with a better read of the internal workings of the Golden State Warriors than Marcus Thompson https://t.co/WIlsVzG4VQ
x858750770,DarthAmin,2018-11-14T18:24:23Z,x1062773252802535424,18,4,"If you’re not listening to @SiriusXMNBA right now, you just missed the most FIRE 19 minutes on Golden State’s issues....but good news: we are still going for another 2.5 hrs! Me, @talkhoops &amp; @adaniels33"
x858750770,DarthAmin,2018-11-14T19:28:51Z,x1062789476479655937,1,0,Challenge me @KingOfQueenz
x858750770,DarthAmin,2018-11-14T20:18:02Z,x1062801853958774785,2,0,This is awesome....my whole family cant wait for Wreck it Ralph 2!!!! https://t.co/HYjtDZpVTG
x858750770,DarthAmin,2018-11-14T20:38:36Z,x1062807030140936192,184,7,Phoenix is #1 ....Denver airport is nowhere near Denver! https://t.co/Tu2qWz0MnA
x858750770,DarthAmin,2018-11-14T20:39:16Z,x1062807199301410820,7,0,Someone please make a gif of @billygil mind being blown.... cant wait for Disney+ to launch!! https://t.co/eQsW3IRVaX
x858750770,DarthAmin,2018-11-14T20:42:03Z,x1062807898596745216,18,5,Wall St Journal apparently loves landing and waiting for 45 min for a gate to open up https://t.co/8LiOyC5BOq
x858750770,DarthAmin,2018-11-14T21:44:38Z,x1062823649466474497,45,3,"Also the reason I don’t think Rick Carlisle likes me very much either. Thanks, @espn_macmahon , shoulda known better than to stick up for you! https://t.co/7EvWFBUn3O"
x858750770,DarthAmin,2018-11-14T21:53:13Z,x1062825805825241089,7,0,It has clear at all the terminals that matter (nobody flies United!) https://t.co/NWqsUfOrp3
x858750770,DarthAmin,2018-11-14T23:40:51Z,x1062852895589068802,31,0,Or I could just fly into the airport and know how far it is from the city. https://t.co/Z2lXiQKuIk
x858750770,DarthAmin,2018-11-15T03:47:23Z,x1062914938413301760,11,1,Was Kyrie rocking a Beyond Meat hat postgame??
x858750770,DarthAmin,2018-11-15T04:16:47Z,x1062922335605350400,11,0,My firest take ever https://t.co/WyoCCnI47Z
x858750770,DarthAmin,2018-11-15T09:24:27Z,x1062999761266008064,22,2,🔥🔥🔥 https://t.co/mny2wvhVVN
x858750770,DarthAmin,2018-11-15T15:56:21Z,x1063098388428677125,17,3,Suns game got crazy last night! https://t.co/x48JdqFf5L
x858750770,DarthAmin,2018-11-15T16:06:53Z,x1063101035932078081,10,0,Shout out to the 36 paycheck option https://t.co/fFMI2LHS2w
x858750770,DarthAmin,2018-11-15T19:15:29Z,x1063148499720720384,293,51,Shout out to this sister doing her thing!! If anyone knows her @ please let me know!! https://t.co/2AgEajdEVf
x858750770,DarthAmin,2018-11-15T20:40:15Z,x1063169832080850946,1,0,@Elite https://t.co/wvNpY9sCLf
x858750770,DarthAmin,2018-11-15T22:45:50Z,x1063201436073259014,40,8,The magic of Teen Titans Go! https://t.co/O42AqF68yh
x858750770,DarthAmin,2018-11-16T00:13:07Z,x1063223401811070977,9,0,I’m glad someone picked up on that!!!! https://t.co/2KxaeW5KCH
x858750770,DarthAmin,2018-11-16T00:55:40Z,x1063234112108949504,119,9,#AndreRobersonHive lives apparently https://t.co/WP5gKTwl96
x858750770,DarthAmin,2018-11-16T01:02:26Z,x1063235814476328960,18,0,😂😂😂😂 https://t.co/VgBAPYelyn
x858750770,DarthAmin,2018-11-16T03:17:03Z,x1063269690166796288,10,1,For those listening to ⁦@talkhoops⁩ &amp; me on ⁦@MadDogRadio⁩ this is the Ballers pic https://t.co/lQqYU2O4eV
