user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x95251230,ESPNLunardi,2018-08-22T20:54:52Z,x1032370543834492928,13,4,"Might make it harder, or at least different, this year. Personally I've lessened the weight of RPI for the last several seasons. Still the same crap shoot of 10 people looking at similar results and not knowing what they'll truly value. https://t.co/HUaApB6eWR"
x95251230,ESPNLunardi,2018-08-22T22:12:07Z,x1032389983582081024,21,3,I'd settle for actual intelligence. https://t.co/Eixq9pYbvF
x95251230,ESPNLunardi,2018-08-23T12:05:21Z,x1032599674941857793,12,1,"Would love to, but NCAA not releasing. https://t.co/i9eYwxhuwX"
x95251230,ESPNLunardi,2018-08-23T19:03:00Z,x1032704776864243712,18,3,Exactly. See you after football! 😎 https://t.co/oFuQs2SC0k
x95251230,ESPNLunardi,2018-08-24T15:43:41Z,x1033017006533038080,12,1,"All of that makes perfect sense, but the NCAA isn't releasing any comparisons. https://t.co/bIIyNNLMFI"
x95251230,ESPNLunardi,2018-08-30T01:43:20Z,x1034979853827747841,11,0,Count me in! Grew up there. ⛳️ https://t.co/S0uNIoBT0y
x95251230,ESPNLunardi,2018-08-31T21:10:02Z,x1035635848694378497,17,1,You definitely got the seeding right. 😉 https://t.co/ThvkBf2Q5j
x95251230,ESPNLunardi,2018-09-01T15:37:24Z,x1035914526372384769,50,2,Is @BillWalton there?!? 😉 https://t.co/S8igbX9ul0
x95251230,ESPNLunardi,2018-09-05T02:26:06Z,x1037164942691065858,35,3,Glad you got checked! https://t.co/RImzgHAHdA
x95251230,ESPNLunardi,2018-09-08T12:56:35Z,x1038410770810327040,6,0,FedExology https://t.co/lKuVMeP60G
x95251230,ESPNLunardi,2018-09-09T19:41:27Z,x1038875048570961920,8,0,"Perfect time and place to say you outkicked your coverage. Also, lady time my team played there it won the Super Bowl. 😉 https://t.co/5Nn69gpVLM"
x95251230,ESPNLunardi,2018-09-11T03:29:11Z,x1039355143848902656,26,0,Because most people fly to another city with no intention of spending the night. https://t.co/br7CIwMANq
x95251230,ESPNLunardi,2018-09-14T03:11:49Z,x1040437938100862976,14,4,"So the ""under"" was a bad play. 😉 https://t.co/yXl4JGDDaL"
x95251230,ESPNLunardi,2018-09-14T03:21:40Z,x1040440418163453952,36,3,Yes. No bubble this year. https://t.co/DbmfMgv4Rz
x95251230,ESPNLunardi,2018-09-14T03:22:08Z,x1040440535230672896,231,24,Count me in. https://t.co/x3vaX52vWP
x95251230,ESPNLunardi,2018-09-14T03:27:13Z,x1040441815072235521,15,0,Top four. https://t.co/NssWLjHJAG
x95251230,ESPNLunardi,2018-09-14T03:27:52Z,x1040441978796888065,4,0,Not leaning that way now. https://t.co/fCkxyP1YE9
x95251230,ESPNLunardi,2018-09-14T03:28:42Z,x1040442188952481797,9,0,Optimistic bubble. https://t.co/BHpb0PfKhp
x95251230,ESPNLunardi,2018-09-14T03:31:28Z,x1040442882019287040,12,1,Have to no comment anything Hurricane-related tonight. https://t.co/yqfKSkeAQo
x95251230,ESPNLunardi,2018-09-14T03:32:12Z,x1040443067189420032,34,10,Romeo is the real deal. https://t.co/q3OoNjXOQE
x95251230,ESPNLunardi,2018-09-14T03:32:40Z,x1040443183682007042,7,0,Eagles?!? 😉 https://t.co/72dabfgaJN
x95251230,ESPNLunardi,2018-09-14T03:33:06Z,x1040443295963467776,2,0,Not yet. https://t.co/bnof8pjWnP
x95251230,ESPNLunardi,2018-09-14T03:34:22Z,x1040443614030176257,5,5,More like 2-3 for me. https://t.co/Y4DVTfcWyH
x95251230,ESPNLunardi,2018-09-14T03:36:10Z,x1040444064129331200,57,7,They're due. https://t.co/7MrylwA4T9
x95251230,ESPNLunardi,2018-09-14T03:39:30Z,x1040444905045274624,7,0,Will do this again soon with better answers. Just getting started with fall scouting and only a few leagues are complete. But the questions are exciting! 👍🏀 https://t.co/G0wNcLAzfI
x95251230,ESPNLunardi,2018-09-14T03:40:38Z,x1040445190027259905,41,1,P.S.: Still a little more ⛳️ before full-on hoops mode.
x95251230,ESPNLunardi,2018-09-21T01:42:19Z,x1042952131676913664,18,2,Great product. Can't wait for extra hoops! 🏀🏀 https://t.co/WikVRfmsC4
x95251230,ESPNLunardi,2018-09-23T00:46:08Z,x1043662766370971649,24,3,Like last year?!? https://t.co/VmGr75SOQD
x95251230,ESPNLunardi,2018-09-26T00:52:22Z,x1044751497752453125,19,0,Definitely St. Bernadette's! https://t.co/8nwKujGjM4
x95251230,ESPNLunardi,2018-09-27T19:20:31Z,x1045392760872873984,14,0,Thinking about it... https://t.co/1cLOY8ifA0
x95251230,ESPNLunardi,2018-09-28T14:30:31Z,x1045682167848869895,6,0,Welcome to the club. 😉 https://t.co/de5QWvr20x
x95251230,ESPNLunardi,2018-10-03T00:57:56Z,x1047289612954218498,32,1,Scrapple (Philly thing!). https://t.co/dN5mN1zOWX
x95251230,ESPNLunardi,2018-10-06T01:58:03Z,x1048391905103503360,14,1,"Gets more improbable every year, but never impossible, because 1-2 players (and/or a special coach) are so much more impactful in hoops. https://t.co/ChwOW5V2nB"
x95251230,ESPNLunardi,2018-10-07T18:01:33Z,x1048996767138807808,38,1,"Totally random: It's October 7th and I'm on the beach in New Jersey. If this ever happens on Selecting Sunday, I may just retire! (Please hold your applause...) https://t.co/I9mKorzLQL"
x95251230,ESPNLunardi,2018-10-07T18:28:30Z,x1049003551752704002,42,4,Bernard King and Ernie Grunfeld might be among those to disagree. Not to mention Sir Charles. https://t.co/QQayUAnRc6
x95251230,ESPNLunardi,2018-10-07T18:35:42Z,x1049005360999280640,24,0,"Leaning toward Oct. 15, if only because that date used to mean something! https://t.co/ukS7QKxAVh"
x95251230,ESPNLunardi,2018-10-11T18:49:25Z,x1050458363631464448,15,5,Must be that time... https://t.co/rkn6HBl2nU
x95251230,ESPNLunardi,2018-10-11T23:16:33Z,x1050525592343535616,32,6,"Here's the updated pre-season schedule for Bracketology content: Tue., Oct. 16 (best and worst schedules); Fri., Oct. 26 (TBD); Tue., Oct. 30 (pre-season bracket); Mon., Nov. 5 (team seed ranges...NEW feature). And feel free to suggest for TBD date!"
x95251230,ESPNLunardi,2018-10-11T23:18:32Z,x1050526091323031552,14,1,"The moment you've been waiting for: Link to Bracketology Cruise next May is live! Bermuda, here we come!! https://t.co/0bGpDWfSuD"
x95251230,ESPNLunardi,2018-10-11T23:21:04Z,x1050526729163481088,5,1,Never said that... 😎 https://t.co/cmFW6VRkwN
x95251230,ESPNLunardi,2018-10-12T02:55:11Z,x1050580610325118978,5,0,For you? $100... https://t.co/aP2U2se03r
x95251230,ESPNLunardi,2018-10-15T12:58:13Z,x1051819532833251331,253,23,On the bubble? Shocking... https://t.co/UgAuy77zLL
x95251230,ESPNLunardi,2018-10-23T02:48:24Z,x1054565169991421952,56,2,"Monday the 29th, thanks! https://t.co/0yylH39Mh1"
x95251230,ESPNLunardi,2018-10-24T03:46:08Z,x1054942087026827264,19,5,"Same deck chairs, too. https://t.co/lvFN691YFt"
