user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x82657929,EnergyGOP,2018-09-13T16:49:39Z,x1040281364640223232,0,1,📺Sen. @LisaMurkowski asks witness panel about #LNG import capacity in Europe→ https://t.co/nCgdqMKw2H
x82657929,EnergyGOP,2018-09-13T21:55:56Z,x1040358443192860673,5,6,Sen. @LisaMurkowski: Our nation is well-positioned to assist our allies in diversifying their energy supplies and achieving a greater level of #EnergySecurity → https://t.co/CNeiRCAklu
x82657929,EnergyGOP,2018-09-17T22:09:26Z,x1041811392368701441,1,1,"""As our nuclear leadership declines, we are simultaneously losing our ability to influence security and nonproliferation decisions. Taking our place—but not always sharing our views—are countries that could put world security interests at risk"" @LisaMurkowski #NELA2018 #ICYMI⬇️ https://t.co/hhTB5TqAGO"
x82657929,EnergyGOP,2018-09-20T23:56:20Z,x1042925456289349633,3,2,#HurricaneMaria #USVI #FuerzaPuertoRico https://t.co/ppdL1xBW27
x82657929,EnergyGOP,2018-09-24T21:47:43Z,x1044342643017297920,3,2,"More Information → https://t.co/BtkRTQQroE 
Watch Live → https://t.co/9FLQQDcPaQ 
@Energy @argonne @UChicagoIME @Microsoft
@BerkeleyLab #quantum"
x82657929,EnergyGOP,2018-09-25T14:23:32Z,x1044593246364684288,2,2,"Did someone say #quantum? Lot's of excitement about today's hearing on the Department of @Energy's efforts in the field of quantum information #science!
Watch live here → https://t.co/9FLQQDcPaQ https://t.co/90SsskmIrI"
x82657929,EnergyGOP,2018-09-25T14:49:36Z,x1044599806906249216,0,2,📺Sen. @LisaMurkowski’s opening statement → https://t.co/hSi7nAZLSM
x82657929,EnergyGOP,2018-09-25T15:02:57Z,x1044603168263479297,2,1,Department of @Energy @ScienceUnderSec Paul Dabbar: 40 percent of all the Nobel Prizes in the world in physics are from people who work just in our #NationalLabs.
x82657929,EnergyGOP,2018-09-25T15:21:27Z,x1044607822292537345,0,1,"📺Sen. @LisaMurkowski: Are bright, focused individuals being wooed away by other nations that are perhaps investing more in this initiative? #quantum https://t.co/dPp1CjJB7R"
x82657929,EnergyGOP,2018-09-25T15:25:56Z,x1044608952921706496,3,1,"Sen. @SteveDaines: This is a fascinating and very important topic. #quantum
https://t.co/9FLQQDcPaQ"
x82657929,EnergyGOP,2018-09-25T16:44:37Z,x1044628754344144896,9,3,"Excitement grew throughout today’s #quantum hearing, reporters were present the entire two hours, perhaps concerned there may be an extremely small chance Sen. @LisaMurkowski would disappear by #QuantumTunneling. https://t.co/IecDsZR4eQ"
x82657929,EnergyGOP,2018-09-25T17:22:42Z,x1044638338291027970,0,1,Sen. @LisaMurkowski: #Quantum technologies can change the world → https://t.co/oGYdXhDk2E
x82657929,EnergyGOP,2018-09-26T14:06:51Z,x1044951435207684097,1,2,Happening now🔽 https://t.co/MR2EJoasTO
x82657929,EnergyGOP,2018-09-26T14:12:56Z,x1044952968913661952,3,5,"Sen. @LisaMurkowski: We’ve passed a number of bills to promote hydropower — a renewable resource that is clean, baseload, and I think frequently left out of the equation. #CleanEnergyWeek"
x82657929,EnergyGOP,2018-09-26T14:15:21Z,x1044953577595314177,2,4,"Sen. @LisaMurkowski: There is a lot more we can do on #hydropower, particularly on permitting reforms that will ease regulatory barriers and bring down project costs.  #CleanEnergyWeek https://t.co/6vdIF2OQQJ"
x82657929,EnergyGOP,2018-09-26T14:25:44Z,x1044956191187718145,13,8,"Sen. @LisaMurkowski: Along with 7 other senators, I recently introduced the Nuclear Energy Leadership Act, that will help restore our status as the global leader for this clean, safe, and reliable technology. #CleanEnergyWeek #NELA2018"
x82657929,EnergyGOP,2018-10-01T17:53:16Z,x1046820357829746690,0,1,"#ICYMI: Last week S.1768, the National Earthquake Hazards Reduction Program Reauthorization Act, passed the Senate by unanimous consent. The bipartisan legislation will strengthen our nation’s #earthquake preparedness with innovative tools and technology. https://t.co/TjWV1DRl06"
x82657929,EnergyGOP,2018-10-02T13:49:58Z,x1047121514762579968,4,3,"Business meeting to consider pending legislation:
Watch Live → https://t.co/0gOmlPfNwY 
More Information → https://t.co/ZoIXM6Z3BR"
x82657929,EnergyGOP,2018-10-02T14:43:43Z,x1047135042957447169,27,4,"Hottest ticket on Capitol Hill is clearly ENR’s markup, where we are reporting 40 bills this morning, including #RestoreOurParks. Great to see so much #energy and interest with so many #reporters showing up to cover it. https://t.co/JPEyHR48e9"
x82657929,EnergyGOP,2018-10-02T16:22:02Z,x1047159783449645059,11,4,"By a vote of 19 - 4, the #RestoreOurParks Act advances from committee."
x82657929,EnergyGOP,2018-10-02T16:37:25Z,x1047163653810737152,5,2,"Not just wild, but wildly successful #WomenInEnergy https://t.co/w5f9ZR66J0"
x82657929,EnergyGOP,2018-10-03T15:51:58Z,x1047514606569058304,2,2,"#ICYMI: Yesterday the Committee held a business meeting to consider and approve 40 bills focused on #parks maintenance, geologic #mapping, water resource management, #wildfire prevention, #recreation, and public lands."
x82657929,EnergyGOP,2018-10-10T00:22:38Z,x1049817444800376832,21,5,"Congratulations @COP_Alaska! Great news for the economy, jobs, TAPS and #EnergyDominance! https://t.co/UgsNBD2C1d"
x82657929,EnergyGOP,2018-10-11T13:44:58Z,x1050381746926161920,3,2,"More Information → https://t.co/ZwbgMH5LOu
Watch Live → https://t.co/IhdY3anKGI 
@ESIFlabs @NREL @UTCNow @Illinois_Alma @pjminterconnect #grid #blackstart"
x82657929,EnergyGOP,2018-10-11T14:35:33Z,x1050394477767131141,0,1,"Sen. @LisaMurkowski: The question we have to be able to answer is: should all of the grid go down, how will we restart our generating stations, repower the lines, and safely deliver electricity to homes and businesses? #blackstart
https://t.co/NRsACXs2oO"
x82657929,EnergyGOP,2018-10-11T14:56:14Z,x1050399681363234817,0,1,"Mr. Yardley @Illinois_Alma: These capabilities can be achieved only if academia, industry, and government work closely together in focused #research, development, and #education programs."
x82657929,EnergyGOP,2018-10-11T15:20:15Z,x1050405725212688384,1,0,"Sen. @LisaMurkowski asks witness panel about the #blackstart fuel sources, reliance on a single fuel source and what progress is being made for diversification of fuel sources. https://t.co/U2saqJM6qE"
x82657929,EnergyGOP,2018-10-11T15:21:27Z,x1050406026611236864,2,0,"Sen. @LisaMurkowski: I’m curious to know more how #hydropower can play into this fuel source as that #alternative (…) a ready fuel source that’s just sitting there with a level of #availability that perhaps you don’t see with outside fuel sources, like diesel or gas. https://t.co/QKIPWb3ow4"
x82657929,EnergyGOP,2018-10-11T15:29:39Z,x1050408091555123200,0,0,".@SenCoryGardner: To see a small town, #Colorado kid, the #EasternPlains, grow up and run a #laboratory with world-renowned #scientists is pretty doggone exciting and says something great about this country. https://t.co/IhdY3anKGI"
x82657929,EnergyGOP,2018-10-11T15:40:35Z,x1050410844113305602,3,2,Torres: Hydropower can play an important role in #blackstart. It’s one of the most economically effective&amp; #efficient generation sources for blackstart b/c it does not need a lot of power to get its turbines running as you might need for some of these other generation types@NREL
x82657929,EnergyGOP,2018-10-11T15:45:09Z,x1050411991721005056,3,1,"Torres: I think where it is an abundant resource, where #water is an abundant resource, it makes tremendous sense. #Hydropower
@NREL https://t.co/IhdY3anKGI (2/2) https://t.co/qOiCUakusK"
