user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x40923070,GovBrewer,2018-06-20T20:40:47Z,x1009536562453856256,15,4,At 3 &amp; 5 PM I’ll be on with @MacandGaydos @KTAR923 discussing today’s executive order by @realDonaldTrump to stop separating children and parents who cross the border illegally. Tune in!
x40923070,GovBrewer,2018-06-22T05:05:11Z,x1010025885968109568,94,4,"The @FoxNews studios and green rooms just won’t be the same anymore without @krauthammer I’m certainly going to miss seeing Charles Krauthammer and chatting about life, politics and our great country. He was always extraordinarily kind to me every time we saw each other. https://t.co/msNwNK10nf"
x40923070,GovBrewer,2018-06-27T21:23:57Z,x1012084141938970625,15,4,"At 3 &amp; 5 PM I’ll be on with @MacandGaydos @KTAR923 discussing #SCOTUS &amp; Justice Kennedy’s retirement, @PressSec being asked to leave the Red Hen restaurant, and @FLOTUS  visiting Phoenix children’s shelter tomorrow.  Tune in!"
x40923070,GovBrewer,2018-06-29T14:12:36Z,x1012700365316227073,29,12,"@realDonaldTrump’s leadership, not Congress, is helping kids at the border. Read my op-ed in the @detroitnews here https://t.co/eam63tLogW"
x40923070,GovBrewer,2018-06-30T01:24:18Z,x1012869401308114944,123,35,"Border arrests in May topped 50,000. With border reforms @realDonaldTrump is Making America Safe Again. Thank you @POTUS! https://t.co/PHWKKtdIms"
x40923070,GovBrewer,2018-06-30T02:56:35Z,x1012892627581132800,37,9,I was honored to host an event this week for my terrific friend @KimberlyYeeAZ. She’ll be a wonderful Arizona State Treasurer. Don’t forget to Vote for Kimberly Yee! https://t.co/JSr5xZWUe4
x40923070,GovBrewer,2018-06-30T14:47:29Z,x1013071530052313093,143,63,"5 years ago today, AZ sufferered the unfathomable loss of 19 elite Granite Mountain Hotshots amid the Yarnell Hill Fire - the deadliest wildfire in AZ’s history.  As dark a day I can remember. Let’s remember their sacrifice &amp; give our gratitude for these courageous firefighters. https://t.co/hu0jvWO631"
x40923070,GovBrewer,2018-07-04T17:00:35Z,x1014554578732253186,79,15,Happy Birthday America! Let’s remember why we celebrate today: FREEDOM - the principal that makes it a privilege to call the United States home. We’re blessed to live in the greatest country on earth. Say a prayer for the servicemen and women who risk their lives for our freedom. https://t.co/LuLlBeNK1R
x40923070,GovBrewer,2018-07-06T03:03:39Z,x1015068730668138496,39,8,"As @POTUS @realDonaldTrump leads, Democrats stall long-term fixes for border crisis. Read me op-ed in @DMRegister. https://t.co/XWGK9SM7IQ"
x40923070,GovBrewer,2018-07-11T21:31:10Z,x1017159386144182272,13,4,"At 3 &amp; 5:15 PM I’ll be on with @MacandGaydos @KTAR923 discussing #SCOTUS &amp; nomination of Judge Kavanaugh, feds missing the deadline to reunite immigrant children and parents, and the Smothers Brothers!  Tune in!"
x40923070,GovBrewer,2018-07-14T15:59:47Z,x1018163156986703881,65,23,Don’t blame @POTUS @realDonaldTrump on immigration as Democrats stonewall solutions in Congress. Read my op-ed in today’s Arizona Republic. @azcentral  https://t.co/VMhacykPxO
x40923070,GovBrewer,2018-07-18T19:57:36Z,x1019672555228024832,13,1,"At 3 &amp; 5:30 PM I’ll be on with MacandGaydos@KTAR 923 discussing today’s “Issues”.
TUNE IN and listen!"
x40923070,GovBrewer,2018-07-25T19:54:49Z,x1022208570278825985,11,6,Don’t forget. I’ll be on with MacandGaydos@KTAR92.3 at 3PM today discussing President Trump &amp; legislative immunity. Tune in and Listen!
x40923070,GovBrewer,2018-07-27T00:07:35Z,x1022634569286053892,74,19,"It’s with shock and sorrow that we learned of last night’s murder of @Arizona_DPS Trooper Tyler Edenhofer. Please pray for him, his family and fellow brothers and sisters in law enforcement as we mourn this tragedy &amp; pray for the recovery of Trooper Dalin Dorris who was also shot"
x40923070,GovBrewer,2018-07-31T16:08:40Z,x1024325983204040704,21,4,What a storm last night! Lost a couple of trees in my yard including this one blocking my front door!   #Monsoon2018 https://t.co/sCAWUwpMcQ
