user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x34308692,GovJayNixon,2017-01-03T19:22:07Z,x816364033376915456,6,5,St. Louis unemployment hits 15-year low | David Nicklaus | https://t.co/o2HNJbM9Bq. Missouri Moving Forward https://t.co/hzxFnAkoJJ
x34308692,GovJayNixon,2017-01-03T21:19:01Z,x816393450488795136,13,1,Placing a call to Dade Co. PA Gary Troxel - a dedicated public servant who will now serve as Associate Circuit Judge https://t.co/OY1V7uRNmJ https://t.co/K2XEgeOUuz
x34308692,GovJayNixon,2017-01-03T21:31:59Z,x816396713892151297,17,5,"On the phone with experienced prosecutor Theresa Kenney, who I appointed today as Jasper County Prosecuting Attorney https://t.co/ogAQVJPolc https://t.co/rK5I1ZAyJa"
x34308692,GovJayNixon,2017-01-03T21:43:54Z,x816399715331883009,6,0,"Making 3rd appt. call of the day to longtime chief asst. PA Tiffany Yarnell, new Assoc. Circ. Judge in Taney County https://t.co/f7h2a3kSx3 https://t.co/78Tc4galJ3"
x34308692,GovJayNixon,2017-01-04T17:22:02Z,x816696202016198656,7,1,Pastor Randy Gariss from #Joplin: a man of great faith w/ message I look forward to at Gov Prayer Breakfast tomorrow https://t.co/2auVY1vohr
x34308692,GovJayNixon,2017-01-04T19:18:47Z,x816725581828096000,6,5,Governor's Prayer Brkfst is tradition at start of each legislative session. Will be pleased to have Gov-elect @EricGreitens join me on dais.
x34308692,GovJayNixon,2017-01-04T22:37:06Z,x816775490182770689,12,6,"#MO boards &amp; commissions serve citizens in many ways. I made several appts., inc. to Child Abuse &amp; Neglect Review Bd https://t.co/pJ3BvrEifk"
x34308692,GovJayNixon,2017-01-05T00:36:50Z,x816805622981230592,19,2,Welcoming 85 college students from across #MO -future leaders of society &amp; our state- who are at Governor's Student Leadership Forum this wk https://t.co/XDPgpYiOzj
x34308692,GovJayNixon,2017-01-05T10:19:16Z,x816952196113846272,12,6,"We've had some light snow in Jefferson City overnight, but the Governor's Prayer Breakfast this morning is definitely on!"
x34308692,GovJayNixon,2017-01-05T11:05:59Z,x816963953737744385,11,6,"Governor's Prayer Breakfast live-streamed at 7:30 am w/ music, readings &amp; message from Randy Gariss beginning at 8  https://t.co/RylcFnHG1y"
x34308692,GovJayNixon,2017-01-05T16:20:22Z,x817043068939620353,10,1,Gathering for Governor's Prayer Brkfst to hear inspiring words from Randy Gariss. Glad to be joined by Gov-elect @EricGreitens &amp; wife Sheena https://t.co/E8bbxFM8zi
x34308692,GovJayNixon,2017-01-05T16:51:40Z,x817050946815586304,11,3,#MO already leads in new jobs in 9-state area &amp; more jobs announced today for #STL by cabinet retailer @cliqstudios https://t.co/88J4pCv7ih
x34308692,GovJayNixon,2017-01-05T17:45:18Z,x817064446040408064,13,4,"Offering at Governor's Prayer Brkfst raised $2,714 for @MidMoSamaritan, which does tremendous work for people in need; &gt;$22K raised in 8 yrs"
x34308692,GovJayNixon,2017-01-05T20:16:09Z,x817102405733072897,6,3,8 yrs ago #SLPS were unaccredited. Today they're poised 4 full accreditation thx to great work by @SLPS_SUPT &amp; team https://t.co/HzpkGScy48
x34308692,GovJayNixon,2017-01-05T20:26:03Z,x817104898936410112,21,6,So proud of the progress being made here at St. Louis Public Schools #SLPS @SLPS_SUPT https://t.co/g6MZZO2kY6
x34308692,GovJayNixon,2017-01-05T22:57:32Z,x817143021108072449,17,7,Thanking caregivers @EasterSealsMW for helping kids with autism learn and thrive. https://t.co/nyKVzrlD0y
x34308692,GovJayNixon,2017-01-05T23:16:05Z,x817147688651264001,30,18,"Because there's no school tomorrow in De Soto &amp; Strafford b/c of bad weather, my visits planned for there have been canceled."
