user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x89193992,GovJeffColyer,2018-09-16T16:40:28Z,x1041366217645334529,40,2,Had a great time at the @KansasStateFair with friends and family yesterday. We even got to go backstage with the @TheBeachBoys! https://t.co/FWwdTWu2c5
x89193992,GovJeffColyer,2018-09-17T13:57:15Z,x1041687529286758400,84,18,My deepest condolences to the family of @SGCountySheriff Deputy Robert Kunze who lost his life yesterday in the line of duty. We honor him for his bravery and send our thoughts and prayers to all his fellow deputies during this difficult time. #ksleg #ThinBlueLine
x89193992,GovJeffColyer,2018-09-17T15:09:48Z,x1041705786915921921,14,3,I joined the Governor’s Education Council by Zoom this morning. We spoke about the work of our subcommittees and how we can leave a long-lasting effect on the improvement of the educational system in Kansas! #ksleg #ksed https://t.co/Zt10OHey1S
x89193992,GovJeffColyer,2018-09-17T19:02:10Z,x1041764264275595264,28,5,Happy birthday to the NFL’s newest star @PatrickMahomes5! Congratulations on the record setting start: 10 TDs in first 3 games! #ChiefsKingdom https://t.co/XYKGYDMroM
x89193992,GovJeffColyer,2018-09-17T21:12:30Z,x1041797065142153218,33,11,"On this day in 1787, thirty-nine delegates from across the American colonies signed the greatest governing document the world has ever seen. Happy #ConstitutionDay! https://t.co/HEO3DdATv1"
x89193992,GovJeffColyer,2018-09-18T16:11:36Z,x1042083727772471296,11,1,Happy Birthday to the @usairforce! https://t.co/jenjOj0ibI
x89193992,GovJeffColyer,2018-09-20T21:09:28Z,x1042883464561876994,13,3,Congratulations to Washburn Rural HS (@USD437) on being named 2018 National Performing Arts School of the year! #ksleg #ksed https://t.co/LBIzeLyKGA
x89193992,GovJeffColyer,2018-09-21T20:21:54Z,x1043233880239693824,38,2,Thank you to @kansashistory and @IkeLibrary for replacing this well-worn portrait of President Eisenhower that has been hanging outside the Governor’s Office for over 20 years! #ksleg https://t.co/H9hC5AdnSf
x89193992,GovJeffColyer,2018-09-21T20:41:50Z,x1043238900523839488,3,0,Enjoyed the opportunity to engage with Chinese dignitaries at the 2018 Annual Gala hosted by the Chicago Chamber of Commerce. Had some great discussions on trade opportunities between Kansas &amp; China. #ksleg https://t.co/Jwl1OpGB1j
x89193992,GovJeffColyer,2018-09-21T21:04:56Z,x1043244712117895169,8,1,"To those held captive in service of their nation, and to those who never made it home, you are not forgotten. We salute you today. #POWMIARecognitionDay https://t.co/gEy0XXapHG"
x89193992,GovJeffColyer,2018-09-26T19:34:10Z,x1045033808825847808,30,12,GREAT NEWS: Personal income in Kansas continues to rise! #kselg https://t.co/PW2L8yUidF
x89193992,GovJeffColyer,2018-09-26T21:22:30Z,x1045061072263229440,33,8,Thank you @POTUS for agreeing to open trade negotiations with Japan. We have a long history and a great relationship with Japan as our 2nd biggest export partner. Continuing to build on that relationship is very important to farmers and ranchers in Kansas. #ksleg
x89193992,GovJeffColyer,2018-09-27T18:12:42Z,x1045375695310991360,15,6,I am pleased that @WestarEnergy and the KCC have settled on a rate decrease that passes savings on to our hard-working Kansans! #ksleg https://t.co/WXYCVfeYm8
x89193992,GovJeffColyer,2018-10-01T15:32:41Z,x1046784976023408640,16,9,#ksleg #usmca https://t.co/wuVUpjCMCn
x89193992,GovJeffColyer,2018-10-01T18:27:10Z,x1046828887911649280,24,6,"I am pleased to see that we have once again had another healthy month of positive revenue reported in Kansas. We have a growing economy, wages are up 4.8 percent, and our total revenue numbers give us plenty of room to both adequately fund schools and cut taxes. #ksleg"
x89193992,GovJeffColyer,2018-10-02T18:47:17Z,x1047196338805456896,4,2,"Happy to address the @KansasDOL Safety &amp; Health Conference today. When a person goes into work every day, it should be with the expectation that they will be able to go home and see their families at days end. @KansasDOL puts in place the programs to ensure that happens. #ksleg https://t.co/N84KZB3Jhe"
x89193992,GovJeffColyer,2018-10-03T15:44:20Z,x1047512685863211008,10,8,"We are announcing today our coordinated effort to apply $30 million in federal grants toward addressing prevention and treatment of substance use disorders in Kansas. 

Read more about the plans from @KDHE and @KDADSOfficial:

https://t.co/lEM38RMUNt
https://t.co/vg5eE7KCcK https://t.co/z6a6Nr6JND"
x89193992,GovJeffColyer,2018-10-04T14:37:59Z,x1047858374241636352,7,3,"It was great to be invited to the ATEA Region 5 conference at @KansasCityKSCC this morning. In my time as Governor we have made tech ed a priority, working with educators and the business community to ensure our students are prepared for the jobs of the 21st century. #ksed #ksleg https://t.co/y6RsGAETLZ"
x89193992,GovJeffColyer,2018-10-04T15:22:16Z,x1047869518045990912,7,1,Welcome to the Sunflower State! Be sure to have some of our famous BBQ. https://t.co/aguRkg0Flo
x89193992,GovJeffColyer,2018-10-04T15:50:52Z,x1047876715001864192,11,6,"I'm proud to announce the reappointment of William Feuerborn and the appointment of Allen Schmidt and Mark Hutton to the @ksregents. Bill, Allen, and Mark bring a great amount of experience and talent to the board and I am excited they’ve agreed to serve our great state! #ksleg https://t.co/cDHQqFLA5a"
x89193992,GovJeffColyer,2018-10-04T19:43:14Z,x1047935192160190466,18,7,"Good News: Kansas is “trending up” in it's use of technology in Government according to the Center for Digital Government. Read about it here: https://t.co/wQJgzWAG2B
#ksleg https://t.co/PQbvXxjbJ5"
x89193992,GovJeffColyer,2018-10-05T21:19:38Z,x1048321842971381760,5,1,"Congratulations to these great Kansas schools for being named #BlueRibbonSchools by the @usedgov for 2018! Read more here: https://t.co/UJkVjBQle4
#ksleg #ksed https://t.co/3k0cy9wtYu"
x89193992,GovJeffColyer,2018-10-06T00:14:03Z,x1048365733334454272,8,2,"This evening I had a chance to speak with delegates from China to talk about strengthening economic ties, trade growth, and the strong cultural bonds we already share. #ksleg https://t.co/bTg2WRt5ml"
x89193992,GovJeffColyer,2018-10-06T01:20:15Z,x1048382396117254147,10,0,"I was proud to speak tonight about the mutual benefits of greater Kansas - China relations, and to share some highlights of the successes we have both enjoyed.
#ksleg https://t.co/ddmQl63ZO4"
x89193992,GovJeffColyer,2018-10-06T20:48:57Z,x1048676509240741888,23,3,"Statement on the confirmation of Brett Kavanaugh to the #SCOTUS. 
#ksleg https://t.co/bju8ZOeRtU"
x89193992,GovJeffColyer,2018-10-08T18:17:40Z,x1049363209747161089,11,3,Proud to welcome the @TaborCollege Presidential Leadership Scholars to the Governor’s Office today! These bright young people represent the future of our great state! #ksleg https://t.co/BOzDOPkFUR
x89193992,GovJeffColyer,2018-10-08T20:05:02Z,x1049390229113774080,13,1,It was a great honor to receive the @LeagueKSMunis award for Intergovernmental Leadership. It is humbling to be recognized for what I see to be the key function of elected officials: working together to get the job done! #ksleg https://t.co/O0m2K8bWNA
x89193992,GovJeffColyer,2018-10-09T17:16:48Z,x1049710283697135616,16,5,Thank you @KansasChamber for co-hosting a celebration of Kansas Manufacturing Month with @bgproducts. I enjoyed touring the great facility and discussing future growth opportunities! #ksleg https://t.co/XCdl2SzEkR
x89193992,GovJeffColyer,2018-10-10T15:29:35Z,x1050045688325820416,16,6,Every person has value and giving individuals with disabilities opportunities for meaningful employment empowers them toward self-sufficiency and a greater sense of personal growth. I am pleased to see that our state continues to improve its ranking in this very important area. https://t.co/yueGOAPpjQ
x89193992,GovJeffColyer,2018-10-11T16:26:37Z,x1050422428575457281,16,2,It was a pleasure to discuss all the positive steps Kansas has taken to find and utilize renewable energy sources at the Governor's energy conference this morning in Manhattan. #ksleg https://t.co/Gqzgvd6zg2
x89193992,GovJeffColyer,2018-10-11T19:05:05Z,x1050462309443936261,23,4,It was my great honor to send off our brave @KansasGuard soldiers as they deploy to help the hurricane response in Florida. Kansas always stands ready to answer the call to help our neighbors in times of need. #ksleg #HurricaneMichael https://t.co/JUPHJz6HRJ
x89193992,GovJeffColyer,2018-10-11T20:34:44Z,x1050484868386316288,17,1,"While I’m certain the result of last night’s Soyuz rocket launch was a disappointment for many, I am glad to know Col. Nick Hague from Hoxie, KS and Russian Cosmonaut Ovchinin were able to make it safely back to earth. We wish them the best on future missions! #ksleg https://t.co/qX8Axklh9z"
x89193992,GovJeffColyer,2018-10-12T16:51:14Z,x1050791011918729217,27,7,"Our teachers are the ones that help change lives, and in doing so, help change the world. I'd like to congratulate Linda Dishman of Berryton Elementary School on winning the @Milken Educator Award! #ksleg #ksed https://t.co/KEjkSAwQmk"
x89193992,GovJeffColyer,2018-10-12T23:43:27Z,x1050894747886387200,15,3,Today I had a chance to tour the Fab Lab and Innovation Learning Center at @IndependenceCC. This state-of-the-art facility is the first lab of its kind at a Kansas Community College and provides opportunities for great hands-on vocational and academic education. #ksleg https://t.co/LZsErRGiQ0
