user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x234141596,GovMalloyOffice,2018-10-10T12:58:00Z,x1050007539792793600,9,13,"To check whether you're registered to vote, click here: https://t.co/l5N8cZs5PG

In #Connecticut, the deadline to register for the upcoming election is October 30.

(You can also register on the same day as the election, however it is strongly encouraged to register in advance) https://t.co/1fWf3KabPa"
x234141596,GovMalloyOffice,2018-10-10T16:10:05Z,x1050055878324510720,9,5,"WATCH LIVE: Governor Malloy is participating in the @verainstitute's #ReimaginePrison conference to discuss recent reforms that we implemented in #Connecticut to help offenders lead successful lives and reduce crime.

Live stream https://t.co/YcXcWdayTZ https://t.co/WZ0J1kofTA"
x234141596,GovMalloyOffice,2018-10-10T17:50:16Z,x1050081089769926657,6,6,"The @SBAgov has approved Gov. Malloy's request for disaster assistance resulting from the May 15 tornadoes and severe storms that impacted parts of Connecticut. Homeowners and businesses are eligible to receive loans to help with cost of damages.

DETAILS: https://t.co/b6L5SGMF4z https://t.co/HVvKzsYn8W"
x234141596,GovMalloyOffice,2018-10-10T19:36:31Z,x1050107832543191041,14,7,"Global fintech company @ideanomicshq has officially purchased the former @UConn campus in #WestHartford. The company plans to turn the 58-acre site into a high-tech development called Fintech Village. The company will create 330 new jobs at the location.

https://t.co/4UO7yb0b8C"
x234141596,GovMalloyOffice,2018-10-11T14:00:08Z,x1050385564078346240,23,10,"Let's celebrate the diversity of our 🌎. Nobody should be afraid to be themselves, to love, and to be loved. #NationalComingOutDay ❤️🏳️‍🌈

Here's some local resources that #LGBT individuals who are coming out and their allies might find helpful: https://t.co/ufsCM0qLW4 https://t.co/2CHzvQJXwF"
x234141596,GovMalloyOffice,2018-10-12T14:07:01Z,x1050749683814023168,19,8,"We created the #CTAirportAuthority to free @Bradley_Airport from bureaucracy that hamstrung it in the past &amp; bring a renewed focus to make it more attractive to new routes, airlines &amp; ways to increase our economic viability – now those efforts are being internationally recognized https://t.co/1dGSrFwn2T"
x234141596,GovMalloyOffice,2018-10-14T23:11:47Z,x1051611557522755584,21,20,"If you will be out of town on Election Day (November 6) or have a disability that prevents you from voting in person, you may be eligible to vote via #AbsenteeBallot.

Fill out this application and send it to your local Town Clerk as soon as possible: https://t.co/GVZ9WW5Ys1 https://t.co/QKhP1zteSd"
x234141596,GovMalloyOffice,2018-10-15T19:40:28Z,x1051920763727568897,14,6,"Medical experts recommend that anyone over the age of 6 months old be vaccinated for the flu. The benefits of immunization outweigh the risks.

Now is the time to get a #FluShot.

To learn about flu vaccines and where in #CT you can obtain one, click here: https://t.co/EsEzzGoCIx https://t.co/GxLV9eqjaw"
x234141596,GovMalloyOffice,2018-10-16T16:16:13Z,x1052231748967387136,20,10,"Congrats to Mrs. Sheena Graham, a performing arts and choir teacher at #Bridgeport's Harding High School, who has been named #Connecticut's 2019 #TeacheroftheYear!

Gov. Malloy &amp; @EducateCT Cmsr Wentzell surprised her with the news this morning.

DETAILS: https://t.co/otV0KdFPPZ https://t.co/22AeeRyAPx"
x234141596,GovMalloyOffice,2018-10-16T19:38:08Z,x1052282562872266752,13,6,"#Connecticut has a safe option for parents who are unable to provide care to a newborn. The #SafeHavenLaw allows babies to be relinquished at any emergency room - no questions asked. Babies will be safely protected and parents can remain anonymous.

INFO: https://t.co/GiEVM8SQRT https://t.co/8vnThauOaQ"
x234141596,GovMalloyOffice,2018-10-17T20:48:11Z,x1052662581935124480,1,3,Statement from Gov. Malloy on today's approval by @CIDNEWS of the merger between @CVSHealth and @Aetna → https://t.co/n7S6NUDg1Z https://t.co/Ep9nzjWPAo
x234141596,GovMalloyOffice,2018-10-18T18:03:22Z,x1052983491074363392,10,6,"Gov. Malloy is wearing purple today to show support for domestic violence awareness and #PurpleThursday.

Approximately 1 in 4 women and 1 in 7 men have experienced severe physical violence by an intimate partner. Free services are available 24/7: https://t.co/P77zU8oB72 @CTCADV https://t.co/WhmS98VVAW"
