user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x216481299,GovMarkDayton,2018-09-03T16:22:28Z,x1036650645045104643,93,18,"Today, and every day, we thank those who work so hard to build a better Minnesota. Wishing all Minnesotans a safe and happy #LaborDay! https://t.co/uJ0eDUFYEA"
x216481299,GovMarkDayton,2018-09-04T17:45:40Z,x1037033968917532673,118,18,"Today, Governor Dayton visited Carver Elementary School to welcome kids back to school. Wishing a great first day of school to all students and educators in Minnesota! #BackToSchool https://t.co/klCWv4uzvx"
x216481299,GovMarkDayton,2018-09-05T17:52:06Z,x1037397979118874625,31,10,"Last week, @BusinessMN named @MMBCommunicates' Britta Reitan and @MnHealth's Margaret Kelly as Top Women in Finance in 2018.

Thanks in part to their great service, Minnesota has regained AAA bond ratings and now has one of the nation's strongest Budget Reserves.

#BetterMN https://t.co/SeM1sToOlD"
x216481299,GovMarkDayton,2018-09-06T17:48:29Z,x1037759456103346177,103,31,"#TBT to 2016 when Gov. Dayton appointed Justice Anne McKeig to the MN Supreme Court. Justice McKeig, the 1st Native American judge to serve on the MN Supreme Court, returned the court to a female majority for the 1st time since 1991.

Read more: https://t.co/qIEuyiEVy5

#BetterMN"
x216481299,GovMarkDayton,2018-09-07T16:23:34Z,x1038100474388533248,15,4,"This week in the news: @MnVeteran opens a new dental clinic at Minneapolis Veterans Home, @MnDEED grant funding supports Daikin’s factory expansion in Faribault, and @MnAgriculture funding supports MN’s agricultural marketing.

Learn More: https://t.co/yXjxH5ydcH

#BetterMN https://t.co/WuCFtX5JTy"
x216481299,GovMarkDayton,2018-09-07T20:07:29Z,x1038156825059844096,16,5,"Today, Governor Dayton visited Hokah to assess storm damage caused by recent severe weather and discuss future recovery efforts with local officials. https://t.co/nkStzGeZeZ"
x216481299,GovMarkDayton,2018-09-10T14:19:45Z,x1039156478333071360,35,15,"Interested in helping build a #BetterMN for young women across the state? Gov. Dayton and @WomensFndnMN invite young women to apply for positions with the Young Women’s Initiative of Minnesota.

Applications are due this Friday, Sept. 14!

Learn More: https://t.co/6PjRdEV78J https://t.co/H4X0SLyxUU"
x216481299,GovMarkDayton,2018-09-10T18:02:10Z,x1039212450929946624,81,25,"In celebration of the leadership and positive contributions of the 30,000 @GirlScouts members in Minnesota, Governor Dayton has proclaimed this week “Girl Scout Spirit Week” across the state! 
 
Read the full proclamation here: https://t.co/DF2QeeSE1J https://t.co/gytNnoLa6j"
x216481299,GovMarkDayton,2018-09-11T15:43:07Z,x1039539846090514432,51,19,"In honor and respect of the victims of the terrorist attacks on September 11th, 2001, Governor Dayton has proclaimed today “Patriot Day and A Day of Service and Remembrance” in the State of Minnesota. #September11th

Read More: https://t.co/C0cssCwkvl https://t.co/J9o0mlFMNh"
x216481299,GovMarkDayton,2018-09-11T19:17:49Z,x1039593875361460224,72,9,"It’s a beautiful time of the year to get out and explore the great outdoors in Minnesota! 

#OnlyinMN #JustAddNature🍁🍂 https://t.co/AnykEeRMF7"
x216481299,GovMarkDayton,2018-09-12T19:47:25Z,x1039963711673442304,9,5,"Have you seen the bright green trucks on MN freeways? The @MnDOTtraffic FIRST program reduces congestion, prevents crashes, and offers assistance in roadside situations.

Watch this video to learn more about how #OurMN tax dollars are building a #BetterMN: https://t.co/fEZ7JkYa0p"
