user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x231854033,GovPeterShumlin,2017-10-04T19:15:09Z,x915656556242505731,2,0,Nice to see @MylanNews has to pay up for ripping Americans off. #BigPharma must be held accountable. https://t.co/OmcD55yiEh
x231854033,GovPeterShumlin,2017-10-09T21:58:21Z,x917509564710506497,7,1,Today we celebrate #IndigenousPeoplesDay to honor the rich culture and heritage of the peoples native to this land.
x231854033,GovPeterShumlin,2017-10-10T22:32:39Z,x917880586756337666,3,1,Law signed by @JerryBrownGov helps monitor price hikes by #BigPharma in CA. Lets build on it &amp; fix our broken system https://t.co/Uxawku5swa
x231854033,GovPeterShumlin,2017-10-16T20:06:57Z,x920018246216175616,1,0,#BigPharma &amp; its gov. puppets systematically let the #opioidcrisis kill loved ones. This is #treason #BenedictPharma https://t.co/y6hCsZxutE
x231854033,GovPeterShumlin,2017-10-17T19:14:13Z,x920367361496092673,2,0,"The greed of #BigPharma has lead to an unparalleled health crisis ""They need to be held accountable""@McCaskillOffice https://t.co/vGzt2DeSfL"
x231854033,GovPeterShumlin,2017-10-20T20:03:18Z,x921466877448110080,6,0,"The false narrative didn’t work, so @realDonaldTrump &amp; #GOP passed a budget to sabotage  #ACA while giving the ultra-wealthy a tax break."
x231854033,GovPeterShumlin,2017-10-23T21:05:04Z,x922569587480256513,4,2,"Great nations don't silence science @EPAScottPruitt, they face their problems with will and integrity. #ClimateChange #EPA"
x231854033,GovPeterShumlin,2017-10-24T16:49:26Z,x922867639923421185,10,2,.@realDonaldTrump this does not make America great. https://t.co/gI2pXoc9jj
x231854033,GovPeterShumlin,2017-10-25T19:23:29Z,x923268798085464065,13,2,This great nation was built on the dream of freedom by immigrants of the past. #DACA Dreamers deserve to live here &amp; enjoy that freedom too.
x231854033,GovPeterShumlin,2017-10-26T16:04:31Z,x923581115843084288,14,1,What took you so long @realDonaldTrump? Words mean nothing without action. It is your duty to stop the #opioidepidemic.
x231854033,GovPeterShumlin,2017-10-26T19:58:15Z,x923639934786908160,4,0,We are seeing #climatechange in effect. The future needs renewable infrastructure and transparency. #PuertoRico  @CarmenYulinCruz
x231854033,GovPeterShumlin,2017-10-30T19:36:27Z,x925084001718726657,1,0,The #OpioidEpidemic will only cease with compassion and action from EVERY community up to the White House @voxdotcom https://t.co/IBImmlExY3
x231854033,GovPeterShumlin,2017-11-04T19:14:28Z,x926890409124683776,0,0,"""It’s up to all of us to get involved."" https://t.co/JFCZ78ZhfX"
x231854033,GovPeterShumlin,2017-11-06T00:05:20Z,x927325994763112453,11,2,Make coal the energy of the past. We must take #ClimateAction with or without #POTUS #COP23
x231854033,GovPeterShumlin,2017-11-06T18:39:05Z,x927606277030768640,3,1,Prayers to the Sutherland Springs community facing this sickening tragedy. The terror of mass shootings is unacceptable in our society.
x231854033,GovPeterShumlin,2017-11-07T14:42:16Z,x927909070031466496,5,2,We must address #climatechange now! Every country agrees it’s not a bad deal @realDonaldTrump you bring the US shame https://t.co/BrmQq7dNxs
x231854033,GovPeterShumlin,2017-11-08T17:28:11Z,x928313212818395136,12,2,Great victory for #Medicaid and the people of #Maine. All Americans deserve access to affordable healthcare. @Governor_LePage you must serve your constituents and abide by democracy.
x231854033,GovPeterShumlin,2017-11-09T14:54:28Z,x928636916962136065,8,2,"If we have money for war, we have money for healthcare. #MedicareForAll is possible if we invest wisely and put our vulnerable first. @SenSanders @SenWarren https://t.co/tPSc8e2grl"
x231854033,GovPeterShumlin,2017-11-11T19:42:24Z,x929434151320727552,4,0,We thank and celebrate all the people who have fought and served our country on #VeteransDay. Your sacrifices will never be forgotten.
x231854033,GovPeterShumlin,2017-11-13T21:22:16Z,x930184060336594946,4,3,After calling the #opioidepidemic a public health emergency THIS is what you do? @realDonaldTrump hiring a #BigPharma crook to run the #HHS means you don't care that millions of American suffer from a broken healthcare system. https://t.co/ORNbIKQIu0
x231854033,GovPeterShumlin,2017-11-15T00:32:30Z,x930594320880754688,3,1,#Opioid pills are addictive by design. We must help people with chronic pain not get them hooked. Interesting work being done on alternatives @Neurosci2017  https://t.co/fDmGZ0Twti
x231854033,GovPeterShumlin,2017-11-15T17:32:50Z,x930851095097856012,91,49,The @GOP tried to repeal the #ACA but failed because millions of Americans rely on it. Trying to sabotage it through the #GOPtaxscam is just wrong.
x231854033,GovPeterShumlin,2017-11-17T17:34:21Z,x931576255132119041,9,4,"The inequality in the #GOPTaxScam is outrageous. @realDonaldTrump you personally gain while low income Americans pick up the tab. This country needs #Healthcare #ClimateAction and #RacialJustice, not extortion from the rich. #KillTheBill"
x231854033,GovPeterShumlin,2017-11-22T21:54:30Z,x933453664005558272,12,3,A man who is more concerned with making a quick buck than providing people with medicine that literally saves their lives has no business being in our government. https://t.co/ucBmILu0OU
x231854033,GovPeterShumlin,2017-11-23T17:30:42Z,x933749664842690562,9,0,Happy Thanksgiving!! May this be a day of unity and thanks among friends and family!
x231854033,GovPeterShumlin,2017-11-26T22:22:40Z,x934910302008770562,4,0,We know #opioid pills are highly addictive. It is time to start treating pain in ways that don’t threaten people’s lives. https://t.co/q6ogLAwMN8
x231854033,GovPeterShumlin,2017-11-28T22:06:46Z,x935631075354796033,4,2,"The #OpioidCrisis is an institutional tragedy that must be addressed now. @realDonaldTrump it has been a month since you declared it a national health emergency, and still no real action. Americans deserve better than your hollow and insulting words. https://t.co/kUZKFxIIZB"
x231854033,GovPeterShumlin,2017-11-29T17:31:04Z,x935924083652550662,6,6,The #GOPTaxScam is @SenateMajLdr @SpeakerRyan omitting their deficit hawk rhetoric to give @realDonaldTrump the only legislative win of his appalling presidency. Kicking people off their #Healthcare while giving a tax break to the rich is sickening. #TaxDebate
x231854033,GovPeterShumlin,2017-12-01T17:10:49Z,x936643763509841925,5,0,The #GOPTaxScam will do major damage to essential government programs while raising the national deficit. It is sad to see so many Senators willing to sacrifice the well-being of citizens to give tax breaks to the rich.
x231854033,GovPeterShumlin,2017-12-04T16:33:23Z,x937721503214383104,8,1,This weekend the #GOP carried out an assault on middle and working class tax payers and the #Healthcare and #SocialSecurity which they rely. A truly despicable use of government to pass such a damning bill.
x231854033,GovPeterShumlin,2017-12-06T14:57:48Z,x938422225316777984,9,1,"To everyone effected by the #CaliforniaWildfires, stay safe. How many unusually extreme weather events will it take before we commit to #ClimateAction?"
x231854033,GovPeterShumlin,2017-12-12T14:57:28Z,x940596468670443526,45,18,There should be no one in the US who must fear a trip to the doctor will put them in debt. #SinglePayer is the most just and equitable way to fix our broken system and provide everyone with quality healthcare. #SB562 @4HealthyCA
x231854033,GovPeterShumlin,2017-12-20T21:08:33Z,x943588959627677697,14,3,Students are the future. Health insurance relieves debt in our broken system. Deductibles help people buy homes and support their families. Degrading all these is an attack on Americans future and present #GOPTaxScam
x231854033,GovPeterShumlin,2017-12-26T21:22:28Z,x945766789421715456,38,5,".@realDonaldTrump you admit we need a gov't healthcare plan while your greedy #GOPTaxScam undermines the one we have. The #ACA isn’t perfect, but at least Obama cared."
x231854033,GovPeterShumlin,2018-01-08T22:35:04Z,x950496100930211845,9,0,"Today, 91 Americans died from opioid overdoses. Tomorrow, 91 Americans will die from opioid overdoses. As each critical moment of this epidemic passes @realDonaldTrump wastes the American people's time with TALK about an election that is over. It's time to face the present. https://t.co/OsCGUyp1GG"
x231854033,GovPeterShumlin,2018-01-18T20:39:35Z,x954090918621188096,10,3,"#Dreamers are employees, students and community members. It is completely against American values to tear 800,000 young people from the country that they contribute to. This will never make America great. #ProtectDreamers"
x231854033,GovPeterShumlin,2018-01-24T16:08:38Z,x956197057211052032,14,1,"Shameful that @realDonaldTrump is attempting to use #DACA like bargaining chips for his waste of an investment ""wall"". #Dreamers create, contribute and grow our country. Will never be able to say the same about #TheWall"
x231854033,GovPeterShumlin,2018-01-29T16:12:30Z,x958009969944735745,2,2,"Disturbing to watch the #WhiteHouse produce propaganda to trick American citizens into supporting #ImmigrationReform that does not make sense. Read up on our current system, don't fall for their #fakenews. https://t.co/TDsdwwxAi5"
x231854033,GovPeterShumlin,2018-01-31T01:40:58Z,x958515416506294272,2,1,Numbers don't lie. #BigPharma is flooding the American public with dangerous drugs to make a dollar while the public suffers. https://t.co/klrTFQpLI5
x231854033,GovPeterShumlin,2018-01-31T18:21:59Z,x958767332796588037,5,0,#ClimateChange is an expensive burden to bear. It's time to accept and invest.  #RenewableEnergy https://t.co/UmGGA8msEE
x231854033,GovPeterShumlin,2018-02-05T18:37:14Z,x960583109321347073,6,0,People in the UK took to the streets because they know healthcare is a right and fear having a system that looks anything like ours. Americans face choosing between treatment and paying the bills. Those in the UK do not. How can you say no thanks to that? https://t.co/3MbS3ijCnS
x231854033,GovPeterShumlin,2018-02-07T18:28:31Z,x961305688826957824,6,0,Good luck to all of our #VermontOlympians competing in #PyeongChang2018!
x231854033,GovPeterShumlin,2018-02-08T19:30:20Z,x961683636100661249,6,0,Great article outlining the individuals representing our state in the #WinterOlympics2018. Go Team USA 🇺🇸 https://t.co/nxBtSa4IG2
x231854033,GovPeterShumlin,2018-02-12T17:21:55Z,x963100870111055874,5,0,Thank you @SenJohnMcCain and @SenatorBaldwin for speaking out in the interest of all Americans. It's time to stand up to greedy #BigPharma and stop the exploitation of our fellow citizens.  #healthcareisaright https://t.co/KoaXek9wgh
x231854033,GovPeterShumlin,2018-02-14T18:31:47Z,x963843226804326402,1,0,"More than 70 percent of the American people have spoken out to #ProtectDreamers. We all know #Dreamers are students, coworkers and friends. When will you catch on, @realDonaldTrump?"
x231854033,GovPeterShumlin,2018-02-22T20:29:04Z,x966771847701426177,1,0,We must get legislation in place to #ProtectDreamers before March 5th. It is time for the #GOP and @realDonaldTrump stop it with the nonsense! https://t.co/uEUF7o4rhU
x231854033,GovPeterShumlin,2018-02-26T20:59:32Z,x968229064237617153,3,3,The #SCOTUS decision is a win for #DACA for the moment but the battle to #ProtectDreamers is far from over. We must keep the pressure on Congress to undo the disasters coming from the #WhiteHouse
x231854033,GovPeterShumlin,2018-03-06T19:05:04Z,x971099362884489216,5,1,Happy Town Meeting Day! I appreciate all the Vermonters across the state today coming together to truly participate in civic engagement. #TMDVT
x231854033,GovPeterShumlin,2018-03-07T13:26:51Z,x971376634136813568,1,1,"In order to get a grip on the #OpioidEpidemic rocking our nation we must work together to build solutions. Check out my article below to read about the ""hub and spoke"" model we created here in VT and how @GovRaimondo has built upon it in RI https://t.co/kp57vNWG63"
x231854033,GovPeterShumlin,2018-03-08T19:09:15Z,x971825189360226307,5,0,"Today we take time to celebrate women all across the globe. From our state of Vermont to the other side of the world, women inspire and lead change. Let us take these thoughts of celebration into each and every day. #HappyInternationalWomensDay"
x231854033,GovPeterShumlin,2018-03-15T11:57:05Z,x974253145068068866,11,1,Guns have absolutely no place in American classrooms. Time and time again we are reminded that this is not the answer. https://t.co/FpCGJcJIo4
x231854033,GovPeterShumlin,2018-03-26T19:24:42Z,x978352058456858624,2,0,These are the steps that must be taken by organizations in our medical industry to get a grip on the ongoing epidemic. We must see all organizations take a stand against #BigPharma and overly prescribed opioids. https://t.co/xHvVKPKwXv
x231854033,GovPeterShumlin,2018-04-02T16:35:44Z,x980846251662077952,6,1,Someone ought to remind @realDonaldTrump how #DACA really was ended. More than shameful to watch the president play games with a policy that the American people support. We will not stop supporting #Dreamers https://t.co/avd2fIeE5p
x231854033,GovPeterShumlin,2018-04-23T16:26:41Z,x988454118451744769,11,2,"While we all enjoy such beautiful weather today, let us continue the celebrations from #EarthDay and invest in protecting the Vermont landscape that surrounds us through #RenewableEnergy"
x231854033,GovPeterShumlin,2018-09-10T16:12:50Z,x1039184934253027335,1,0,"The opioid epidemic that many Vermonters and citizens across the US face today, needs to be combated by supporting medical addiction studies and treatments  https://t.co/NJC0mwy2a3"
x231854033,GovPeterShumlin,2018-09-11T20:05:16Z,x1039605816448479233,3,0,"Today we remember and honor the victims and families affected by the tragedy of 9/11/2001. Yet in our nation’s darkest moments we learned to come together in unity. It is important to remember today more than ever, that we are stronger together than we are apart. #neverforget"
x231854033,GovPeterShumlin,2018-09-16T22:06:04Z,x1041448156066717696,4,0,Ensuring the health of Vermonters is a top priority. https://t.co/zUFYFBZKz0
x231854033,GovPeterShumlin,2018-09-17T20:25:21Z,x1041785199489687553,2,0,"Professor Christine Blasey Ford's allegations against Judge Brett Kavanaugh deserves a serious investigation before a vote is taken on his Supreme Court Nomination. She deserves the ability to testify to have her story be told. 
https://t.co/AX0Aykrnhz via @vtdigger"
x231854033,GovPeterShumlin,2018-09-17T20:33:21Z,x1041787214093537281,3,0,Bipartisan bills that fight the opioid epidemic are integral to protecting American citizens health and wellbeing against these serious drugs. I am confident great steps will be made together in combating this important issue. https://t.co/NEKNKE2euP
x231854033,GovPeterShumlin,2018-09-18T14:41:19Z,x1042061006166532096,4,1,"Immigration has been one of our nations strengths that has cultivated innovation, ingenuity, and inclusivity. It is shameful that the administration is hurting refugees escaping persecution. As a nation, we can do better. https://t.co/NG7aZ1fXxZ"
x231854033,GovPeterShumlin,2018-09-18T19:13:32Z,x1042129512144748544,0,0,"The rising threat of climate change must be treated with swift local and federal action, by continuing to invest in renewable energy policies! https://t.co/qk196wgQo6"
x231854033,GovPeterShumlin,2018-09-18T21:56:55Z,x1042170629401858048,2,0,Vermont’s commitment to preserving our natural beauty and resources makes Vermonters everywhere proud. https://t.co/Bc75H0oKnS
x231854033,GovPeterShumlin,2018-09-19T20:32:58Z,x1042511891233480705,2,1,An interesting piece about strides PA is taking to address opoipid addiction that could be applicable to VT. https://t.co/uylbI3osz3
x231854033,GovPeterShumlin,2018-09-25T18:15:52Z,x1044651715058954242,4,0,Remember to register to vote today for the midterm elections in November. The ability to participate and strengthen the democratic process is encapsulated within your right to vote! #NationalVoterRegistraionDay
x231854033,GovPeterShumlin,2018-09-27T19:11:50Z,x1045390577909542912,0,0,"Dr. Ford showed immense courage in testifying today, and has inspired millions of Americans to step up and speak out against sexual harassment and assault. If Judge Kavanaugh truly has nothing to hide he should asking for nothing less than a full FBI investigation. https://t.co/2jxtUc57ZY"
