user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x213795411,GovWalker,2018-10-20T15:44:13Z,x1053673250943852546,17,4,Go @BadgerFootball! #OnWisconsin 🏈
x213795411,GovWalker,2018-10-20T17:02:40Z,x1053692989430812676,35,15,"Foxconn is a big deal for WI! Their commitment to hiring and supporting highly-skilled veterans continues to show why! #WisVetsForward
https://t.co/9hEeFxJAUG"
x213795411,GovWalker,2018-10-20T19:46:21Z,x1053734183082909696,27,12,"We’re investing in worker training programs to help more people find rewarding careers right here in Wisconsin! #WIWorking
https://t.co/CggrPKL9vj"
x213795411,GovWalker,2018-10-20T22:11:07Z,x1053770616921300994,74,17,Let’s close this out and bring the World Series to Milwaukee! #OurCrewOurOctober https://t.co/PkTUAX0pWL
x213795411,GovWalker,2018-10-21T03:56:13Z,x1053857463999623168,219,32,Tough @Brewers loss. Was a fun season to watch and we are #WIProud of the team!
x213795411,GovWalker,2018-10-21T16:49:35Z,x1054052088701956096,11,3,No @Packers today but there is still plenty to see and enjoy across Wisconsin. #TravelWI https://t.co/HXdognABio
x213795411,GovWalker,2018-10-21T18:10:44Z,x1054072509514084354,27,15,Manufacturing is coming back to America and Wisconsin is creating thousands of jobs because of it! #MadeinWI https://t.co/nrgoQfJRto
x213795411,GovWalker,2018-10-21T20:06:21Z,x1054101605879033858,118,58,There are more people working in Wisconsin than ever before this year and we just hit 8 months of record unemployment (3% or below).
x213795411,GovWalker,2018-10-21T20:55:11Z,x1054113892266319874,168,54,We inherited a $3.6 billion budget deficit and turned it into a surplus again this year.
x213795411,GovWalker,2018-10-21T22:03:36Z,x1054131111998226432,106,34,Our state budget invested more actual dollars into schools than ever before - an extra $200 each year for every student in every school across the state.
x213795411,GovWalker,2018-10-22T15:00:01Z,x1054386902818807811,33,17,"We are investing in broadband to give students across the state the tools they need to succeed in the classroom. Since 2015, we have helped connect more than 279,000 students so they can compete in today’s digital world! #StudentSuccess"
x213795411,GovWalker,2018-10-22T18:00:00Z,x1054432197237788672,17,6,#StudentSuccess https://t.co/BNGR83O1H1
x213795411,GovWalker,2018-10-22T20:44:14Z,x1054473528181972994,26,13,Gateway Technical College’s $6.5 million iMET Center expansion is a product of the #FoxconnRippleEffect creating even more opportunities right here in Wisconsin! #WIWorking https://t.co/noC7UN2bR3
x213795411,GovWalker,2018-10-22T21:03:00Z,x1054478249680666625,31,12,Wisconsin has had 8 STRAIGHT MONTHS of unemployment at or below 3.0%! That’s a historic record – we are open for business! #WIWorking https://t.co/fVAIwPkF3C
x213795411,GovWalker,2018-10-23T14:57:45Z,x1054748717079769088,40,22,"We are seeing more of the #FoxconnRippleEffect throughout Wisconsin. It is clear that Foxconn is putting Wisconsin businesses, students, and working families first.
 
https://t.co/4tLJdZIsw2"
x213795411,GovWalker,2018-10-23T17:16:34Z,x1054783653639806977,50,15,"Wisconsin is a national leader in manufacturing, an industry that is providing family-supporting jobs across the state! #WIWorking https://t.co/V3kFYGv4d2"
x213795411,GovWalker,2018-10-23T18:14:28Z,x1054798225562046464,15,6,.@stellaandchewys $30 million expansion in Oak Creek is another example of how businesses are thriving and growing right here in Wisconsin. #OpenForBusiness https://t.co/Im2agYQ86i
x213795411,GovWalker,2018-10-23T20:09:28Z,x1054827165819301888,30,16,We’re making it easier for our highly-skilled veterans to transition from the military to rewarding careers here in Wisconsin. #WisVetsForward https://t.co/4fHm4ImFbD
x213795411,GovWalker,2018-10-23T22:51:07Z,x1054867843349708800,18,8,"If you were impacted by flooding in Crawford, Dane, Juneau, La Crosse, Monroe, Richland, Sauk, or Vernon counties, register with @fema ASAP for possible disaster assistance! https://t.co/uNEW3dmf5h"
x213795411,GovWalker,2018-10-24T14:15:14Z,x1055100405380718598,27,12,The unemployment rate dropped or held steady in all 12 of WI’s metro areas for the 59th consecutive month! #WIWorking https://t.co/MmFJWhYI9F
x213795411,GovWalker,2018-10-24T15:13:19Z,x1055115026049175552,28,16,The La Crosse - Onalaska metropolitan area saw its all-time low unemployment rate for any month on record at 2.0%! Outstanding. #WIWorking
x213795411,GovWalker,2018-10-24T16:21:15Z,x1055132121214410752,18,7,"We are committed to helping schools ensure their students, parents, and teachers feel safe.

https://t.co/LR5l02eGRA"
x213795411,GovWalker,2018-10-24T19:14:04Z,x1055175611780620288,117,22,An attempted terrorist act against any American is an attack against all Americans. We are united in our stand against acts of terrorism.
x213795411,GovWalker,2018-10-24T20:14:47Z,x1055190892657696768,23,16,Our Wisconsin-based solutions are helping to stabilize rising premiums on the individual marketplace and make health care more affordable and accessible for people across Wisconsin. #AccountableGov https://t.co/KqrFcMbDvO
x213795411,GovWalker,2018-10-25T13:31:08Z,x1055451696070041606,42,16,We signed bipartisan legislation allowing utilities to help homeowners remove service lines and put $26 million into awards to remove lead service lines.
x213795411,GovWalker,2018-10-25T14:11:38Z,x1055461886853070848,41,12,"There are 100,794 job openings posted today on: 
https://t.co/01ppbC8S6T."
x213795411,GovWalker,2018-10-25T17:45:40Z,x1055515752168611841,38,6,"We are investing in our workforce to ensure job seekers can find a job, businesses can create and fill positions, and Wisconsin remains competitive for generations to come! #WIWorking"
x213795411,GovWalker,2018-10-25T19:34:29Z,x1055543136347398146,32,10,"These are historically good times for Wisconsin’s economy. We are setting records across the state and we’ve been at or below 3 percent unemployment since February! #WIWorking
 
https://t.co/Cw0C6DLnzh"
x213795411,GovWalker,2018-10-25T21:32:29Z,x1055572831227072512,90,54,ICYMI: Wisconsin’s unemployment rate has held near record low levels for 8 straight months – which includes 23 counties who tied or set all-time lows in the month of September! #WIWorking https://t.co/D9tvvDcV86
