user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x243271477,GovernorQuinn,2014-10-03T21:40:50Z,x518153728541884416,1,1,"This Latino Heritage Month, we honored one of Naperville’s own, Olgha Sierra Sandman, who organized… http://t.co/Re6mbOLapd"
x243271477,GovernorQuinn,2014-10-03T21:58:03Z,x518158059643092993,0,0,Investing in Chicago's parks like Sherman will ensure that our youngest residents can play rain or… http://t.co/6vmc0l9Tfs
x243271477,GovernorQuinn,2014-10-03T22:30:17Z,x518166174681419776,7,8,Wishing all those observing Yom Kippur an easy fast and a blessed day of atonement.
x243271477,GovernorQuinn,2014-10-04T13:05:09Z,x518386341705297921,8,15,This #ShopIllinoisSaturday I encourage everyone to support the small businesses in their community by buying goods and services locally.
x243271477,GovernorQuinn,2014-10-04T15:45:00Z,x518426568163860482,15,13,At @StarvedRockpark where the leaves are changing and a new state investment will expand &amp; protect this great land. http://t.co/05PhDHidaV
x243271477,GovernorQuinn,2014-10-04T19:23:26Z,x518481539156680704,7,11,Wishing a happy &amp; blessed #Eid to all  those celebrating. #EidalAdha reminds us to share our bread with the hungry. #EidMubarak
x243271477,GovernorQuinn,2014-10-04T23:27:24Z,x518542934510411776,3,6,Today with Ald.Graham &amp; some of Chicago's strongest voices against domestic violence I announced funding for a new @WINGSProgramINC shelter.
x243271477,GovernorQuinn,2014-10-04T23:32:03Z,x518544105652387841,8,17,I commend all those who take a stand against domestic violence in their community &amp; work to advocate for victims. http://t.co/bIckIiy9ze
x243271477,GovernorQuinn,2014-10-06T16:50:14Z,x519167762745139201,14,6,I applaud today's Supreme Court decision to reject appeals that would prevent loving couples from joining together in marriage.
x243271477,GovernorQuinn,2014-10-06T16:51:12Z,x519168003552735232,16,16,Each state that lifts unconstitutional bans against marriage equality &amp; allows couples to marry equally is a victory for our entire country.
x243271477,GovernorQuinn,2014-10-07T19:20:38Z,x519567997661229056,1,7,It's Renewable Energy Education Week-check out how @IllinoisDCEO is encouraging clean energy production in #Illinois. http://t.co/PYeOjm6IU8
x243271477,GovernorQuinn,2014-10-11T02:10:11Z,x520758229454688257,4,5,It was a great day at U of I for the opening of their new state-of-the-art Electrical &amp; Computer Engineering building. #ECEupgrade
x243271477,GovernorQuinn,2014-10-11T02:11:03Z,x520758445020962816,2,3,The @eceILLINOIS facility will enhance educational opportunities &amp; fuel job-creating research breakthroughs in #IL. http://t.co/QNL8ENBzYv
x243271477,GovernorQuinn,2014-10-11T02:12:12Z,x520758734893498368,6,21,#Illinois believes investing in students &amp; higher education builds a brighter future for us all. http://t.co/Xet34GKoku
x243271477,GovernorQuinn,2014-10-11T18:15:16Z,x521001100929822720,3,6,A growing tech industry is creating jobs across #Illinois. Happy to announce @springcm will add 500 jobs in #IL. http://t.co/UusuSC9uKJ
