user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x14845376,GrahamBlog,2015-11-03T22:30:18Z,x661671770840141825,8,5,Will be speaking with @hughhewitt tonight at 6pm about the threat posed by radical Islam.  LISTEN LIVE: https://t.co/vYVNgm5A99
x14845376,GrahamBlog,2015-11-03T22:45:03Z,x661675483893927938,7,4,Speaking with @hughhewitt at 6pm about how we defeat ISIL and protect our homeland.  LISTEN: https://t.co/vYVNgm5A99
x14845376,GrahamBlog,2015-11-03T23:00:19Z,x661679324890705920,8,9,Going live with @HughHewitt in just a few minutes on defeating the threat posed by radical Islam.  LISTEN LIVE: https://t.co/vYVNgm5A99
x14845376,GrahamBlog,2015-11-03T23:03:04Z,x661680019056386049,8,4,On with @HughHewitt.  Tune in. https://t.co/vYVNgm5A99
x14845376,GrahamBlog,2015-11-06T12:59:43Z,x662615342900973568,19,11,Speaking this morning to the Rotary Club Charleston Breakfast. #chsnews https://t.co/yB0QXM0RnB
x14845376,GrahamBlog,2015-11-06T13:11:07Z,x662618213411364864,61,40,If we don't destroy ISIL they will grow stronger. And it's clear -- they want to kill Americans.
x14845376,GrahamBlog,2015-11-06T14:38:38Z,x662640235906494464,4,5,"Senator Graham to address Rotary Club, appear on News 2 Midday https://t.co/SYVahuUayu via WCBD"
x14845376,GrahamBlog,2015-11-14T12:56:53Z,x665513734106927105,24,14,"Tune into @TheTodayShow @NBCNews today at 8:15am ET, I will be on discussing the tragedy in Paris."
x14845376,GrahamBlog,2015-11-16T19:55:57Z,x666343971032010754,55,41,"The American people
are ready to take on radical Islam because they see it for what it is -- a threat to our homeland and way of life."
x14845376,GrahamBlog,2015-11-16T20:34:25Z,x666353650298707968,33,27,"I’m calling for a timeout on Syrian refugees.  Interview with @foxnewsradio @GibsonRadio on #ParisAttacks

LISTEN: https://t.co/xhxQoJ6U66"
x14845376,GrahamBlog,2015-11-18T17:30:35Z,x667032164979113985,67,75,"I’m going to introduce an authorization to use Military Force against ISIL that is not limited by Time, Geography or Means."
x14845376,GrahamBlog,2015-11-18T17:37:40Z,x667033947205947392,8,13,AUMF BACKGROUND: 1)Use of military force and associated powers possessed by the United States are authorized to degrade and destroy ISIL.
x14845376,GrahamBlog,2015-11-18T17:45:14Z,x667035849695981568,3,8,AUMF BACKGROUND #2) No geographic limits are placed on American military or intelligence services in the fight against ISIL.
x14845376,GrahamBlog,2015-11-18T17:50:07Z,x667037080183148544,3,9,AUMF BACKGROUND #3) No expiration date.
x14845376,GrahamBlog,2015-11-18T17:55:12Z,x667038358409867264,4,11,AUMF BACKGROUND 4) No prohibition on sending American forces on the ground to combat ISIL.
x14845376,GrahamBlog,2015-11-18T18:00:32Z,x667039701686087682,6,9,AUMF BACKGROUND 5) No prohibitions on ability to disrupt online terrorist recruitment activities/propaganda/communications.
x14845376,GrahamBlog,2015-11-18T18:02:05Z,x667040090472845313,11,17,Background on Graham Authorization for Use of Military Force https://t.co/3i6XacDdJs
x14845376,GrahamBlog,2015-11-24T14:37:34Z,x669162949462892544,12,15,Today with @KellyAyotte and @generalelectric @JeffImmelt discussing importance of #EXIM Bank to American workers. https://t.co/wE6ivV1eRg
x14845376,GrahamBlog,2015-11-29T15:03:36Z,x670981443183640576,7,7,Speaking with CBS @FaceTheNation this morning from Baghdad about the threat posed by ISIL.
x14845376,GrahamBlog,2015-11-29T15:43:23Z,x670991453301141505,7,7,About to go on CBS @FaceTheNation from Baghdad about the threat posed by radical Islam.
x14845376,GrahamBlog,2015-11-29T15:45:36Z,x670992012506767361,6,6,Now on CBS @FaceTheNation from Baghdad.
x14845376,GrahamBlog,2015-11-29T15:47:19Z,x670992443249152004,7,21,If we don't destroy ISIL in Syria we will be attacked here at home in the United States.
x14845376,GrahamBlog,2015-11-29T15:49:02Z,x670992876445294593,16,17,We don’t have enough American troops inside of Iraq to destroy ISIL anytime soon.
x14845376,GrahamBlog,2015-12-02T21:07:49Z,x672160263358038017,47,25,Thoughts &amp; prayers are with #SanBernardino
x14845376,GrahamBlog,2015-12-03T13:35:30Z,x672408819742429184,13,16,Holding press conference at 11:30 am this morning to introduce Authorization for Use of Military Force (AUMF) against the ISIL.
x14845376,GrahamBlog,2015-12-03T16:30:15Z,x672452801054638080,7,8,Graham introduces Authorization to Use Military Force (AUMF) against ISIL. VIEW: https://t.co/4nm2co4dwT
x14845376,GrahamBlog,2015-12-03T16:35:35Z,x672454139926958080,4,4,Legislative Text of Authorization to Use Military Force https://t.co/4nm2colOVt
x14845376,GrahamBlog,2015-12-03T16:55:08Z,x672459061460344834,10,9,"Authorization to Use Military Force (AUMF) I introduced today won't limit us in terms of time, geography, or means in fight against #ISIL."
x14845376,GrahamBlog,2015-12-03T16:57:01Z,x672459533344768000,12,8,"We will destroy ISIL wherever they reside, fight them as long as they pose a threat, and we are ‘All-In’ when it comes to their destruction."
x14845376,GrahamBlog,2015-12-03T16:58:06Z,x672459806846922752,23,20,We have two choices regarding ISIL – fight them in their backyard or fight them in ours.  I choose to fight them in their backyard
x14845376,GrahamBlog,2015-12-03T16:59:19Z,x672460115832909824,8,8,"5 Major provision of AUMF. 

1) Use of military force by the United States is authorized to destroy ISIL."
x14845376,GrahamBlog,2015-12-03T16:59:50Z,x672460244707123200,4,8,2) No geographic limits are placed on American military in the fight against ISIL.
x14845376,GrahamBlog,2015-12-03T17:00:16Z,x672460354891481088,5,5,3) No expiration date.
x14845376,GrahamBlog,2015-12-03T17:00:40Z,x672460454145470464,8,6,4) No prohibition on sending American forces on the ground to combat ISIL.
x14845376,GrahamBlog,2015-12-03T17:01:22Z,x672460628527882240,13,6,"5) No prohibitions on ability of the US to disrupt online terrorist recruitment activities, terrorist propaganda, or communications."
x14845376,GrahamBlog,2015-12-04T02:17:05Z,x672600479826911232,7,5,I don’t think there is any doubt that the shutdown of EXIM cost us jobs in South Carolina and across the nation. #ExImBank
x14845376,GrahamBlog,2015-12-04T02:17:56Z,x672600694193594368,8,5,This wasn't an academic debate.  There were real people holding real jobs who were hurt by the closing of EXIM. #EximBank
x14845376,GrahamBlog,2015-12-04T02:34:36Z,x672604889999122433,14,18,My statement on the reauthorization of #EximBank. #ExIm4jobs https://t.co/rAcwpS3uwO
x14845376,GrahamBlog,2015-12-06T14:27:31Z,x673509075372613632,26,25,There's a 9/11 style attack coming to America -- and I can tell you who is planning it: The leaders of ISIL. #MTP
x14845376,GrahamBlog,2015-12-07T01:27:13Z,x673675094510714880,156,123,President Obama is intentionally misleading the nation about the threat we face from ISIL.
x14845376,GrahamBlog,2015-12-07T01:28:40Z,x673675460363067392,49,48,President Obama is also overselling the successes we are having on the battlefield.  His strategy will not destroy ISIL and he knows it.
x14845376,GrahamBlog,2015-12-07T14:11:51Z,x673867521926254592,10,2,Will be speaking with Fox News this morning at 9:30 about President Obama's address to the nation last night.
x14845376,GrahamBlog,2015-12-07T14:33:24Z,x673872942279839744,11,2,Now speaking with Fox News regarding the threat posed to our nation by ISIL.
x14845376,GrahamBlog,2015-12-07T14:42:50Z,x673875319456157697,45,32,"President Obama does not have a new strategy to defeat ISIL. Last night's speech was a new coat of paint on his old, failed ideas."
x14845376,GrahamBlog,2015-12-07T15:00:54Z,x673879865288998917,9,1,Speaking with @foxnewsradio @kilmeade about threat posed to our nation by radical Islam in a few minutes.  LISTEN:https://t.co/x3bL6e5o30
x14845376,GrahamBlog,2015-12-07T15:13:43Z,x673883090163507201,14,6,Now speaking with @FoxNewsRadio @kilmeade about threat posed by radical Islam.  LISTEN: https://t.co/x3bL6e5o30
x14845376,GrahamBlog,2015-12-08T20:51:18Z,x674330434294194176,15,17,Letter to Pres Obama detailing why he should support my Authorization to Use Military Force (AUMF) against ISIL.  https://t.co/p8e3dkgE3r
x14845376,GrahamBlog,2015-12-08T20:52:44Z,x674330793964118016,21,10,"My AUMF allows for the use of military force, including the use of US ground troops, wherever, whenever, and however needed to destroy ISIL."
x14845376,GrahamBlog,2015-12-08T20:54:22Z,x674331204758433793,36,12,We must send a clear message to ISIL -- we will hunt you down and kill you no matter how long it takes. You are not safe anywhere.
x14845376,GrahamBlog,2015-12-08T20:54:56Z,x674331348392374272,33,18,The destruction of ISIL must be a top national security priority.
x14845376,GrahamBlog,2015-12-08T20:55:31Z,x674331495214022657,10,7,"My AUMF provides the latitude required to destroy ISIL and any of its successor organizations, using the full power of our military."
x14845376,GrahamBlog,2015-12-09T15:49:59Z,x674616991416639488,8,7,Now questioning the FBI Director about the threat of terrorism. WATCH: https://t.co/uFO89WOQj5
x14845376,GrahamBlog,2015-12-09T17:00:37Z,x674634766122139648,5,1,About to question Secretary of Defense Carter about the Authorization to Use Force (AUMF). WATCH: https://t.co/AsnIJNFcjq
x14845376,GrahamBlog,2015-12-09T17:04:06Z,x674635646581891073,8,5,Will soon question Secretary of Defense Carter about the Authorization to Use Force (AUMF). WATCH: https://t.co/AsnIJNWNaY
x14845376,GrahamBlog,2015-12-09T17:07:03Z,x674636385987510272,21,10,Now questioning Secretary Carter about lack of strategy to defeat ISIL.  WATCH: https://t.co/AsnIJNFcjq
x14845376,GrahamBlog,2015-12-16T19:06:10Z,x677203078173601792,23,8,Pleased the year-end funding bill Congress will soon vote on provides funding for the MOX Fuel Fabrication Facility at Savannah River Site.
x14845376,GrahamBlog,2015-12-18T15:05:42Z,x677867339581227008,22,7,Pleased the year-end spending bill contains funding to begin and complete construction of a new federal courthouse in Greenville.
x14845376,GrahamBlog,2015-12-18T15:06:17Z,x677867484716732416,30,10,"The new facility will be called the Carroll A. Campbell Jr. Federal Courthouse, in honor of the late Governor of SC. #yeahthatgreenville"
x14845376,GrahamBlog,2016-01-05T21:25:28Z,x684485892954800128,62,55,Every American should be concerned about the #executiveaction announced by President Obama today. https://t.co/OSSFaOVVLp
x14845376,GrahamBlog,2016-01-11T20:55:16Z,x686652620409298946,28,10,What a special day and season this has been for @ClemsonFB. Go Tigers!  #ALLIN
x14845376,GrahamBlog,2016-01-13T03:09:43Z,x687109240104861697,65,31,"A majority of American’s believe that our country is headed in the wrong direction. Unfortunately, I believe they’re right. #SOTU16"
x14845376,GrahamBlog,2016-01-13T03:10:01Z,x687109315623305216,46,24,"At home, our economy is stagnate and abroad, our nation is very much at risk. #SOTU16"
x14845376,GrahamBlog,2016-01-13T03:10:27Z,x687109424410923008,70,37,I heard nothing from President Obama tonight to suggest that we’re actually going to destroy ISIL. #SOTU16
x14845376,GrahamBlog,2016-01-13T03:10:45Z,x687109498696261632,83,50,I fear 2016 will be a very dangerous year abroad and a challenging year here at home. I hope and pray I'm wrong. #SOTU16
x14845376,GrahamBlog,2016-01-13T03:35:27Z,x687115716819050497,186,74,South Carolina Governor @nikkihaley did an outstanding job tonight and we’re all very proud of her. #SOTU16
x14845376,GrahamBlog,2016-01-17T21:49:27Z,x688840581557153792,45,24,Thoughts on the release of prisoners from Iran and the nuclear deal. https://t.co/BVrctPZ9B6
x14845376,GrahamBlog,2016-01-19T14:38:04Z,x689456795048275971,11,2,Will be speaking with Fox News Channel in just a few minutes.  Tune in!
x14845376,GrahamBlog,2016-01-19T14:56:26Z,x689461420233129985,38,17,I think the Supreme Court will strike down President Obama’s immigration action. https://t.co/ftdtkDocA1
x14845376,GrahamBlog,2016-01-19T15:10:57Z,x689465070900805632,18,5,About to speak with Fox News Brian @kilmeade Radio.  Hope you tune in.  https://t.co/dEW6aKHyxo
x14845376,GrahamBlog,2016-01-21T18:41:48Z,x690242912119037954,26,16,ICYMI: Discussed the threat posed by Iran and likelihood sanctions relief funds go to terror funding. WATCH: https://t.co/qS6faFQRQn
x14845376,GrahamBlog,2016-01-28T15:59:43Z,x692738835688484864,13,5,WATCH: https://t.co/KIpz1s3QEy  https://t.co/HevyDPECnm
