user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x370706811,Herring_NBA,2018-11-16T22:32:43Z,x1063560523445403648,10,1,Awesome https://t.co/hKlV0jCEM2
x370706811,Herring_NBA,2018-11-17T01:14:14Z,x1063601172655812608,60,6,☔️☔️☔️Motion to make these purple Prince uniforms a permanent alternate in Minnesota ☔️☔️☔️
x370706811,Herring_NBA,2018-11-17T01:42:07Z,x1063608188229091328,10,1,Rubio got kicked in the jaw trying to contest a Redick jumper. Wow.
x370706811,Herring_NBA,2018-11-17T01:58:29Z,x1063612307983532032,25,4,"Siakam and that spin move, man..."
x370706811,Herring_NBA,2018-11-17T02:15:15Z,x1063616527365271554,6,1,"“This has been their best play” —@karalawson20, half-jokingly on Dwight Howard’s offensive rebounds for the Wizards’ offense. Wiz are down 110-94. Dwight with 25 &amp; 17"
x370706811,Herring_NBA,2018-11-17T02:20:47Z,x1063617918351622144,13,0,I’m assuming this happened bc reporters asked Stotts whether he was a fan of Prince ahead of team’s game in Minnesota tonight. My eyes are burning https://t.co/vqsVRIFQcf
x370706811,Herring_NBA,2018-11-17T02:31:44Z,x1063620676047855616,16,0,Siakam’s length on defense looked as if it made Morris rethink his decision to shoot and force the travel
x370706811,Herring_NBA,2018-11-17T02:43:09Z,x1063623547204108290,7,0,"Lowry tried to draw a charge on Tatum, who he’s already drawn two charges on this season."
x370706811,Herring_NBA,2018-11-17T02:48:53Z,x1063624990376030208,166,36,The East semis and finals are gonna be absolute fire this year
x370706811,Herring_NBA,2018-11-17T02:59:56Z,x1063627770549465089,9,1,"TWolves showing consistent hustle these past three games, and it makes a massive difference"
x370706811,Herring_NBA,2018-11-17T03:19:09Z,x1063632607261413383,42,7,"Really tough last few mins from Knicks. Not boxing out; losing AD in the paint, allowing him to get loose for lobs; broken/disjointed possession where no one touched the ball but Trier. Still a really young team"
x370706811,Herring_NBA,2018-11-17T03:29:26Z,x1063635195608383488,48,5,"Normally wouldn’t care much about a franchise rebounding record, but the fact that Gasol surpassed ZBo in Memphis — on a night where ZBo was in the arena/in town for the game — is a cool coincidence."
x370706811,Herring_NBA,2018-11-17T04:08:31Z,x1063645028487258112,7,2,"He tweeted this at halftime, lmao (also, Bulls’ fans are smart) https://t.co/HPIgCmNVW6"
x370706811,Herring_NBA,2018-11-17T04:15:31Z,x1063646792460451840,9,0,Hutchison is really good at finding open spots in the defense to sneak into as a cutter
x370706811,Herring_NBA,2018-11-17T04:55:38Z,x1063656888578072576,17,1,This is terrifying. https://t.co/R4zl3NGSJW
x370706811,Herring_NBA,2018-11-17T18:13:52Z,x1063857768132739075,29,3,"Can’t believe I’m saying this, but I can’t wait for Michigan to play Ohio State. They look like complete trash"
x370706811,Herring_NBA,2018-11-17T20:23:13Z,x1063890321581457408,22,2,"OSU’s defense is soooo bad, and I already know they’re gonna play like the 85 Bears next week, bc of course"
x370706811,Herring_NBA,2018-11-17T20:30:23Z,x1063892123441917954,27,4,"I hate OSU more than anyone, but how was that a pass interference call? That ball was thrown soooo high. Looked uncatchable"
x370706811,Herring_NBA,2018-11-17T20:30:55Z,x1063892257588355090,6,0,"also, Urban Meyer hasn't looked well at all this half."
