user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x329761746,IndianCommittee,2018-03-09T16:07:07Z,x972141743188709377,8,5,"ICYMI: check out the @SenateYouth blog post on #USSYP alum and former @IndianCommittee intern, @JoshuaDillinger, who now teaches high school art on the Navajo Nation. You make the committee proud, Josh! https://t.co/NyniqDQYwe https://t.co/TnMhFg3RFX"
x329761746,IndianCommittee,2018-03-13T19:46:15Z,x973646440189882369,3,5,Tomorrow at 2:30 PM ET the @IndianCommittee will hold an oversight hearing on combating the opioid abuse epidemic in Indian Country. For witness testimony and live video visit https://t.co/PSWKCEF7ZO
x329761746,IndianCommittee,2018-03-14T15:24:27Z,x973942942472818688,7,6,"TODAY at 2:30 PM: @IndianCommittee to hold a hearing on combating the #opioidcrisis in Indian Country, featuring testimony from @USAO_NM, @samhsagov, @IHSgov, @NIHB1 and the Port Gamble S'Klallam Tribe https://t.co/x2SCWf9kSt"
x329761746,IndianCommittee,2018-03-14T18:36:34Z,x973991291641049095,3,3,WATCH LIVE: @SenJohnHoeven convenes hearing on opioid abuse epidemic in Indian Country https://t.co/x2SCWf9kSt
x329761746,IndianCommittee,2018-03-19T22:13:48Z,x975857900446011392,10,4,"Native American communities have been hit hard by the #opioid crisis. Last week, @SenJohnHoeven led an oversight hearing to explore how Congress, the administration, tribes &amp; tribal orgs can work together to combat the opioid epidemic in Indian Country https://t.co/LsDM0BlEnW"
x329761746,IndianCommittee,2018-03-21T14:35:44Z,x976467400760725504,1,3,Today's @IndianCommittee business meeting and oversight hearing have been postponed. They will be rescheduled for a later date https://t.co/IQnNpq3yyq
x329761746,IndianCommittee,2018-03-23T19:07:42Z,x977260618943291392,7,7,"The Senate recently passed 6 bills for Indian Country, including important tribal economic development, public safety and education initiatives https://t.co/pmHU2lCkfO"
x329761746,IndianCommittee,2018-04-11T13:47:54Z,x984065508185137152,14,13,"TODAY at 2:30 PM ET: @IndianCommittee will markup @SenJohnHoeven-sponsored bills to improve accountability at the IHS &amp; strengthen tribal self-governance, followed by an oversight hearing on the President's FY 2019 budget request for Indian programs https://t.co/S4qJ51qH2Z"
x329761746,IndianCommittee,2018-04-11T18:30:51Z,x984136713881694208,0,5,WATCH LIVE: @IndianCommittee markup &amp; oversight hearing https://t.co/U1fB1m6uEp
x329761746,IndianCommittee,2018-04-17T17:06:43Z,x986289866160967681,7,5,"Tara Sweeney, nominee to be Asst. Sec. for Indian Affairs at @Interior, today met with @IndianCommittee Chairman @SenJohnHoeven to discuss shared priorities for Native American communities. https://t.co/7GyCbscJnx"
x329761746,IndianCommittee,2018-04-18T17:36:16Z,x986659691693559808,2,5,TODAY at 2:30 PM ET: @IndianCommittee will hold an oversight to discuss the successes of tribal self-governance &amp; discuss improvements for the future https://t.co/En16sIfjjF
x329761746,IndianCommittee,2018-04-18T18:37:41Z,x986675147418587136,3,6,WATCH LIVE: @IndianCommittee oversight hearing on tribal self-governance https://t.co/aJUBXiOhj8
x329761746,IndianCommittee,2018-04-18T21:26:12Z,x986717558647742464,13,3,"Today's panel of tribal leaders from the Mille Lacs Tribe of Ojibwe, Muscogee (Creek) Nation, Ysleta del Sur Pueblo, and Mescalero Apache Tribe discussed the progress made through tribal self-governance &amp; recommendations for future improvements https://t.co/En16sIfjjF https://t.co/04Mr7dNgtg"
x329761746,IndianCommittee,2018-04-25T14:47:22Z,x989153903001337856,2,4,TODAY at 2:30 PM ET: @IndianCommittee will hold a legislative hearing to review two California tribal land bills https://t.co/QhozxKYhOa
x329761746,IndianCommittee,2018-04-25T18:33:01Z,x989210689276440576,2,2,"WATCH LIVE: @IndianCommittee legislative hearing to receive testimony on two California tribal land bills, H.R. 597 &amp; H.R. 1491 https://t.co/QhozxKYhOa"
x329761746,IndianCommittee,2018-05-08T21:19:48Z,x993963701437894656,8,3,"Tomorrow at 4 PM ET, the @IndianCommittee will hold a hearing to consider the nomination of Tara Sweeney to be Assistant Secretary for Indian Affairs at the Department of the Interior https://t.co/UNXtyVQlUV"
x329761746,IndianCommittee,2018-05-09T19:35:05Z,x994299738274004992,4,5,WATCH LIVE at 4 PM ET: @IndianCommittee hearing to consider the nomination of Tara Sweeney to be Assistant Secretary for Indian Affairs at the Department of the Interior https://t.co/UNXtyVQlUV
x329761746,IndianCommittee,2018-05-16T18:24:32Z,x996818697707753472,3,4,"WATCH LIVE at 2:30 PM ET: business meeting to consider two bills, including the bipartisan CROPS for Indian Country Act (S. 2804), followed by an oversight hearing on @BureauIndianEdu school safety https://t.co/jgGnvBSa4E"
x329761746,IndianCommittee,2018-06-06T18:05:05Z,x1004423949344759808,2,1,"Today at 2:30pm ET, the @IndianCommittee will vote on the nomination of Tara Sweeney to serve as the Assistant Secretary for Indian Affairs at the Department of the Interior. Tune in here https://t.co/1lLNlceznk"
x329761746,IndianCommittee,2018-06-06T19:53:49Z,x1004451312673673216,12,8,Today the @IndianCommittee unanimously advanced Tara Sweeney's nomination to be Asst. Sec. for Indian Affairs at @Interior to the full Senate https://t.co/TpAokXidQS
