user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x16056306,JeffFlake,2018-06-17T20:11:20Z,x1008441989241528321,1602,62,First Father’s Day without him. I miss my wonderful dad. https://t.co/PFmY2luFHG
x16056306,JeffFlake,2018-06-19T03:39:20Z,x1008917119340351488,3495,521,"Thank you, @laurawbush, for speaking out https://t.co/abhVYrHIBf"
x16056306,JeffFlake,2018-06-20T11:52:25Z,x1009403593936506880,10104,3476,"""Tender Age"" shelters for toddlers? This gets even worse as the layers are peeled back. End the policy, Mr. President. https://t.co/KfyAXo6yTG"
x16056306,JeffFlake,2018-06-25T00:10:31Z,x1011038895449018368,5610,1185,"Left or right, nobody deserves this kind of treatment.  https://t.co/cDCpQW0avk"
x16056306,JeffFlake,2018-06-27T03:03:34Z,x1011807220219203584,1010,223,"Trade wars are not won, only lost. https://t.co/Lgw3Yb1390"
x16056306,JeffFlake,2018-06-27T04:06:43Z,x1011823113997357056,3495,556,Decency wins. https://t.co/42sM9UH2da
x16056306,JeffFlake,2018-06-27T14:31:03Z,x1011980230368645127,388,86,I just published “Travel Ban” https://t.co/vEFVryaeU9
x16056306,JeffFlake,2018-06-28T16:00:49Z,x1012365209892282369,2508,1111,This story is going to be played out all over the country. Nobody wins trade wars. https://t.co/2EvKh1XDfg
x16056306,JeffFlake,2018-07-01T18:39:31Z,x1013492312859725825,5419,1618,"This is so wrong, Mr. President. When we confront China on unfair trade practices, we need our allies, especially those in the EU, with us, not against us. https://t.co/TJn9rirc2T"
x16056306,JeffFlake,2018-07-03T20:32:52Z,x1014245614316605440,750,136,"We shouldn't be picking winners and losers here.
https://t.co/kT9K9neOIA"
x16056306,JeffFlake,2018-07-03T20:55:26Z,x1014251291730677760,458,53,"Grateful to our NATO allies like Latvia, with whom we share a commitment to security and prosperity. https://t.co/QzOGzsjiJU"
x16056306,JeffFlake,2018-07-04T10:31:14Z,x1014456592626929664,887,111,"July 4th from Europe: “Oh, it’s home again, and home again, America for me! I want a ship that’s westward bound to plough the rolling sea,
To the blesséd Land of Room Enough beyond the ocean bars,
Where the air is full of sunlight and the flag is full of stars.” - Henry Van Dyke"
x16056306,JeffFlake,2018-07-05T22:40:17Z,x1015002454382047232,655,70,"Our bipartisan, bicameral delegation was greeted warmly by Finland’s President in Turku this morning with homegrown rhubarb juice. We thanked President Niinisto for Finland’s strong and enduring friendship with the United States. We’re thankful for such wonderful allies. https://t.co/jxmjkK0DAJ"
x16056306,JeffFlake,2018-07-06T11:55:04Z,x1015202467875905538,1480,395,"Again, nobody wins trade wars https://t.co/pT8Svz1pQk"
x16056306,JeffFlake,2018-07-11T00:13:47Z,x1016837922098761728,21666,5084,"FINALLY, Senate will push back on the President’s abuse of Section 232 to impose tariffs. We will vote Wednesday on a “Motion to Instruct,” a first step toward reasserting Congress’s constitutional role on tariffs."
x16056306,JeffFlake,2018-07-11T17:30:46Z,x1017098886580666368,7852,1866,"By a vote of 88-11, the senate just took the first step to rein in the President’s abuse of trade authority by using national security as justification to levy tariffs."
x16056306,JeffFlake,2018-07-11T21:38:47Z,x1017161305021734913,13019,2948,"When we were attacked on 9/11, our NATO allies rushed to our defense. They have remained stedfast ever since, sacrificing thousands of lives in Afghanistan over these many years to keep us safe. I hope they know how much we appreciate their commitment and friendship."
x16056306,JeffFlake,2018-07-12T17:58:52Z,x1017468347896729607,3116,527,"At approximate 2:00pm EDT I will deliver a senate floor speech titled Friends, Foes &amp; Peace"
x16056306,JeffFlake,2018-07-13T18:05:35Z,x1017832425353719808,287,87,My thoughts on the upcoming meeting between President Trump and Vladimir Putin https://t.co/UZD8HCundr
x16056306,JeffFlake,2018-07-13T19:02:15Z,x1017846686054354944,30690,6446,"Mr. President, as today’s indictments reaffirm, election interference is not a question to be asked of Vladimir Putin, but a statement to be made to Vladimir Putin: You interfered in our elections."
x16056306,JeffFlake,2018-07-16T16:14:02Z,x1018891518654976000,111508,31512,I never thought I would see the day when our American President would stand on the stage with the Russian President and place blame on the United States for Russian aggression. This is shameful.
