user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x237770636,JohnCarneyDE,2018-09-29T16:37:49Z,x1046076590772367360,11,8,"Earlier this year, I held a roundtable on the risks of offshore drilling with @USInterior Deputy Secretary David Bernhardt, who encouraged Delawareans to write letters and to make their voices heard on offshore drilling.

⬇️ Send your letter #netde https://t.co/3hn0hMemh3"
x237770636,JohnCarneyDE,2018-09-29T18:09:00Z,x1046099538493296640,28,5,You can really feel the momentum and progress in communities throughout the City of Wilmington https://t.co/7KW5dkE34n https://t.co/r25GeVx7dP
x237770636,JohnCarneyDE,2018-10-01T19:02:23Z,x1046837751834918914,32,12,"I wrote an op-ed about why it's time to recognize Wilmington as the great city that it is. No city will ever be perfect, but the worst thing we can do is not believe we are as good as we are. It’s time, Wilmington. #itstimewilmde 

Read my full op-ed here https://t.co/0zIEqvKDWh"
x237770636,JohnCarneyDE,2018-10-01T21:33:11Z,x1046875699448025088,11,1,"We are proud to recognize September 15th–October 15th as Hispanic Heritage Month and to celebrate the life, work, culture, and traditions of Hispanic Delawareans across the First State. https://t.co/XTmFHXJY6F"
x237770636,JohnCarneyDE,2018-10-02T15:57:11Z,x1047153531952812032,12,4,Dropped by the @NCCVoTech district office this morning to thank the Governor’s Construction Career Expo planning committee! Thank you for the time and energy you and all of our partners put into making our Construction Career Expo a success. #DEBuilds https://t.co/6inSkv6443
x237770636,JohnCarneyDE,2018-10-02T16:39:03Z,x1047164065410375680,10,2,Great turnout for the Governor’s Cup 5k Run/Walk at Woodburn! Thanks @LtGovHall_Long and @Delaware_DHSS for helping us kick off the event. https://t.co/irSSVq7h3l
x237770636,JohnCarneyDE,2018-10-02T16:47:06Z,x1047166093763203072,25,2,Thanks to all of the Governor’s Cup 5K participants for promoting health and wellness in @delaware_gov! #healthDE #netDE https://t.co/nZsG9uGS0s
x237770636,JohnCarneyDE,2018-10-03T13:05:27Z,x1047472701718323200,5,0,"🔜 Watch live as we launch a new initiative to improve addiction treatment in Delaware. #helpisherede #netde 

▫️https://t.co/PJjVnTk88S
OR
▫️https://t.co/UL7HORhtj9 

@Delaware_DHSS @LtGovHall_Long https://t.co/00orXOyYGZ"
x237770636,JohnCarneyDE,2018-10-03T13:31:04Z,x1047479145473691648,10,1,"In the first 2 years of my administration– working with the General Assembly– we have:
 —increased access to naloxone
—eliminated coverage discrimination for people being treated for addiction or mental illness
—created a first-in-the-nation Overdose System of Care #helpisherede"
x237770636,JohnCarneyDE,2018-10-03T14:55:44Z,x1047500452017967104,8,2,"The new @Delaware_DHSS START Initiative system of care will provide 24/7 support from peer recovery specialists, like Susan from Project Engage. #helpisherede #netde https://t.co/xBeXEKgwNO"
