user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x36362259,JohnClaytonNFL,2018-10-26T12:00:48Z,x1055791349855850496,13,2,Game of Week – Drw Brees All Day https://t.co/GOdq2wUIPS https://t.co/OQTpWACCkT
x36362259,JohnClaytonNFL,2018-10-26T18:42:34Z,x1055892461162123264,11,3,"This week on my @710ESPNSeattle podcast ""SCHOOLED w/The Professor"", @mvp86hinesward stopped by to talk about the new @AAFLeague &amp; why this is a developmental league that has been much needed for Football.

Listen here:
iOS- https://t.co/KTZdZDcBde
Android- https://t.co/acjeIyBeJH https://t.co/HzfnOFYui4"
x36362259,JohnClaytonNFL,2018-10-26T22:28:31Z,x1055949320053252096,4,1,Clayton Friday – O-line Injuries Piling Up https://t.co/lMsfEK4m0m https://t.co/Vbt3PBKtkQ
x36362259,JohnClaytonNFL,2018-10-26T23:54:45Z,x1055971023504506881,12,5,Week 8 Betting Trends You’d Be Foolish to Ignore https://t.co/MnZ0q7gOb5 https://t.co/M6y2ZDP2IV
x36362259,JohnClaytonNFL,2018-10-27T00:09:06Z,x1055974635240673280,2,1,Dr. Chao Friday – Cam Newton Should be All Good https://t.co/87KyQsVjGZ https://t.co/6qGQC7DP5L
x36362259,JohnClaytonNFL,2018-10-27T14:03:16Z,x1056184561024094208,11,1,Fantasy Saturday – Adrian Peterson All Day https://t.co/LZHl6upLg6 https://t.co/8O0C91U6Yx
x36362259,JohnClaytonNFL,2018-10-29T12:02:12Z,x1056878867158368256,11,1,MNF Preview — Go Big on Patriots https://t.co/Wtr6JlmUqv https://t.co/IdtvdRFuur
x36362259,JohnClaytonNFL,2018-10-29T16:01:14Z,x1056939020415131649,111,13,It is Time for Tampa Bay Buccaneers to Move on From Jameis Winston https://t.co/B7GK4iKPEf https://t.co/o6tXInsjK6
x36362259,JohnClaytonNFL,2018-10-29T16:06:59Z,x1056940467349217281,16,4,"The big trend in the NFC in Week 8 was to run your way into playoff contention. Carolina, Seattle, Chicago, Washington and Philadelphia did just that. Check out the column in today’s Washington Post.  https://t.co/IKJhg0InnC"
x36362259,JohnClaytonNFL,2018-10-29T16:13:49Z,x1056942190327287809,122,16,You knew someone was going to get fired in Cleveland but I thought it wouldn’t happen until the bye week. The Browns are better but there was too much drama with the coaching staff.
x36362259,JohnClaytonNFL,2018-10-29T16:18:10Z,x1056943284486991872,183,41,Big decisions coming in next 28 hours. Trade deadline. Replacement for Hue Jackson. Bucs starting QB. Stay tuned.
x36362259,JohnClaytonNFL,2018-10-29T16:58:57Z,x1056953546804027392,3,0,Monday Morning MD — CTE controversy at Boston University https://t.co/NkXFru6Iwm https://t.co/N46nwfdSBQ
x36362259,JohnClaytonNFL,2018-10-29T17:17:24Z,x1056958190770769920,707,261,This is getting crazy in Cleveland. Hue Jackson and Todd Haley out and Gregg Williams not getting interim job.
x36362259,JohnClaytonNFL,2018-10-29T17:39:19Z,x1056963706788110336,3,1,.@WilliamsonNFL has you covered for Monday Night Football. #Patriots #BillsMafia Check out https://t.co/zn7ou8DDcy for a free trial. https://t.co/Wtr6JlEvi3
x36362259,JohnClaytonNFL,2018-10-29T17:42:54Z,x1056964605690372096,23,5,"Lots of stuff going on today at https://t.co/zn7ou8DDcy 
@ProFootballDoc has a great Monday look at injuries
https://t.co/NkXFrtP77M
@WilliamsonNFL has a deep look at what #Buccaneers should do about Winston
https://t.co/B7GK4j2qvN
Check us out for a free trial. @ClaytonFootball"
x36362259,JohnClaytonNFL,2018-10-29T20:41:50Z,x1057009637638189056,12,1,Hue Jackson Headlines Mid-Season Black Monday https://t.co/0tP9lVNdUK https://t.co/h8aFa38Fhe
x36362259,JohnClaytonNFL,2018-10-30T13:00:45Z,x1057255990578610179,17,5,This is How Browns Should Build Around Baker Mayfield https://t.co/1M6lflLeOy https://t.co/XqRlt3FZA0
x36362259,JohnClaytonNFL,2018-10-30T18:01:45Z,x1057331740270710785,12,3,"Coming up next on my @710ESPNSeattle show, @SeanUnfiltered joins me for his weekly segment &amp; to give his ""Salisbury's Take"". Plus, we down ""Four Downs"" on the biggest question in the @NFL.

Tune in here:
📻 – https://t.co/xNDqQbuq11
📱 - https://t.co/7j8FzmPVT2 ."
x36362259,JohnClaytonNFL,2018-10-30T18:39:57Z,x1057341350939480065,6,1,"Much appreciated @WilliamsonNFL @ProFootballDoc @corryjoel @BWilliamsonNFL @ClaytonFootball 
Check out https://t.co/zn7ou8DDcy for a free trial. https://t.co/MzesV3IJav"
x36362259,JohnClaytonNFL,2018-10-30T18:57:21Z,x1057345731659513856,19,2,Tampa Bay has Big Financial Decision to Make on Jameis Winston https://t.co/sUu7Re0ogS https://t.co/OsmmrbMXpj
x36362259,JohnClaytonNFL,2018-10-30T19:03:54Z,x1057347378070544384,6,3,"Off to another good start:
@corryjoel has a look at tough decision looming for #Buccaneers
https://t.co/sUu7RehZ8q
@WilliamsonNFL writes what #Browns need to do to help Baker Mayfield
https://t.co/1M6lfm2PG6
Check out https://t.co/zn7ou8DDcy for a free trial."
x36362259,JohnClaytonNFL,2018-10-31T00:48:35Z,x1057434122027704320,10,2,NFL Has No Trade Problem — 99 trades https://t.co/a3lgCLILi7 https://t.co/KVht6jk5bj
x36362259,JohnClaytonNFL,2018-10-31T01:00:04Z,x1057437010942521345,47,9,Just Draft Baby! Raiders T-Shirt https://t.co/PT50QgHkqh
x36362259,JohnClaytonNFL,2018-10-31T01:01:00Z,x1057437246389776384,63,18,"This is good stuff for #Raiders fans
Just Draft Baby! Raiders T-Shirt https://t.co/PT50QgHkqh"
x36362259,JohnClaytonNFL,2018-10-31T13:00:40Z,x1057618356948344833,5,2,Trade Deadline Fantasy Impact – Some Winners in Green Bay https://t.co/pTVGma03sv https://t.co/N6nTzskah9
x36362259,JohnClaytonNFL,2018-10-31T19:16:25Z,x1057712919259996160,7,4,"Really good fantasy info here on yesterday's big moves by @WilliamsonNFL
Check out https://t.co/zn7ou8DDcy for a free trial.  @ClaytonFootball https://t.co/2PX6GdKJY7"
x36362259,JohnClaytonNFL,2018-10-31T22:57:44Z,x1057768615129292801,11,0,Trade trends – How Rams Landed Dante Fowler https://t.co/iz1cT0npRF https://t.co/OAZPJLJa5V
x36362259,JohnClaytonNFL,2018-11-01T13:00:43Z,x1057980758256697344,12,2,"TNF Preview – Raiders, 49ers Right in Thick of Race for Top Pick https://t.co/Y2dEJW1cX7 https://t.co/aTvEnEWdq5"
x36362259,JohnClaytonNFL,2018-11-01T17:10:19Z,x1058043571754942464,10,2,Making Financial Sense of Trading-Deadline Moves https://t.co/mDICjilEuo https://t.co/yVhasSaoux
x36362259,JohnClaytonNFL,2018-11-01T17:22:18Z,x1058046587463643136,6,2,"Off to another strong day
@corryjoel breaks down money terms of deadline deals
https://t.co/Y2dEJWiNOF
@WilliamsonNFL looks at six teams vying for top pick which is storyline of #Raiders #49ers game
https://t.co/Y2dEJWiNOF
Check out https://t.co/zn7ou8DDcy for a free trial."
x36362259,JohnClaytonNFL,2018-11-01T22:10:51Z,x1058119203335606272,44,15,Going One-on-One with Venerable Philip Rivers https://t.co/zeuoNE9him https://t.co/617O4CEjc1
x36362259,JohnClaytonNFL,2018-11-01T22:14:45Z,x1058120185909899264,30,4,Our interview with Philip Rivers is unlocked. Check it out. @ClaytonFootball #Chargers https://t.co/gr1Iez1XiH
x36362259,JohnClaytonNFL,2018-11-02T02:09:08Z,x1058179168918093824,2373,297,This Raiders team is bad but I can’t believe it is this bad.
x36362259,JohnClaytonNFL,2018-11-02T13:01:24Z,x1058343316092321792,32,6,Game of Week – Saints-Rams Should be Fantasy Bonanza https://t.co/kbH5pgEq7j https://t.co/so6vol8vwE
x36362259,JohnClaytonNFL,2018-11-02T17:46:45Z,x1058415128012451840,8,2,Really good stuff by @WilliamsonNFL  for #Rams #Saints fantasy info @ClaytonFootball https://t.co/KHSkF0klh9
x36362259,JohnClaytonNFL,2018-11-02T19:57:19Z,x1058447987712630784,14,4,Week 9 Betting Trends You'd Be Foolish to Ignore -- excellent breakdown from @bwcrossingbroad (unlocked article) https://t.co/8AZIMkLDip https://t.co/MUvyGUpKCP
x36362259,JohnClaytonNFL,2018-11-02T22:09:43Z,x1058481303496978432,8,1,Injuries may be Difference in Tight NFC North https://t.co/BbCTebpVjS https://t.co/uCWSM3an13
x36362259,JohnClaytonNFL,2018-11-03T00:11:52Z,x1058512044868190210,12,3,"Dr Chao Friday – Big-Time QBs Banged Up, but Should Play https://t.co/VYpmMoDauz https://t.co/1hPXrEwKjl"
x36362259,JohnClaytonNFL,2018-11-03T00:15:14Z,x1058512894130712576,7,2,.@ProFootballDoc great Friday injury work completes a great day of fantasy and betting info at https://t.co/SMQMsL7iEN Check us out for a free trial. @ClaytonFootball https://t.co/XrSxuJsyne
x36362259,JohnClaytonNFL,2018-11-03T14:01:18Z,x1058720780119429120,4,1,Fantasy Saturday – Stay away from Allen Robinson https://t.co/ogg8389Y0R https://t.co/b2AkDaL5Hz
x36362259,JohnClaytonNFL,2018-11-03T17:38:16Z,x1058775381572898816,4,2,"Let @WilliamsonNFL help you with your final fantasy decisions Check out https://t.co/E4mRcgejgo for a free trial
https://t.co/ogg838rySp"
x36362259,JohnClaytonNFL,2018-11-03T17:39:19Z,x1058775644706824192,29,10,This interview with Philip Rivers is unlocked @ClaytonFootball #Chargers https://t.co/gr1Iez1XiH
x36362259,JohnClaytonNFL,2018-11-05T16:30:49Z,x1059483183501271040,16,2,MNF Preview – Amari Cooper can have Big Cowboys’ Debut https://t.co/OWBtV8uvIU https://t.co/okYxSJbYu3
x36362259,JohnClaytonNFL,2018-11-05T16:53:00Z,x1059488766484721665,12,2,Monday Morning MD: — Sloppy fields means fewer injuries https://t.co/8HFSAIOekr https://t.co/tOTg1h0F6L
x36362259,JohnClaytonNFL,2018-11-05T17:33:30Z,x1059498958693625856,47,2,It’s the halfway mark for the NFL season so let’s breakdown the MVP race on the NFL’s five best teams in this week’s Washington Post column. The offense this season is incredible.
x36362259,JohnClaytonNFL,2018-11-05T20:23:12Z,x1059541663700250624,26,6,"With the NFL season halfway done, I ranked the top 5 MVP candidates: https://t.co/aPs6fLT49n"
x36362259,JohnClaytonNFL,2018-11-06T13:01:41Z,x1059792938551705600,41,6,Baltimore Ravens’ Problem is Players not John Harbaugh https://t.co/ZUgrrEVPmC https://t.co/ihMi5Kh8Ii
x36362259,JohnClaytonNFL,2018-11-06T17:55:44Z,x1059866939298766848,169,35,Happy to announce new price plan  $39.99 a year or $3.99 a month. Please check out https://t.co/zn7ou8DDcy for free trial. We give you nitty gritty NFL coverage from a great team @ProFootballDoc @corryjoel @WilliamsonNFL @BWilliamsonNFL
x36362259,JohnClaytonNFL,2018-11-06T18:31:09Z,x1059875853998403584,11,3,Miami Dolphins’ Curious Case of Reshad Jones https://t.co/dcBYk50VKa https://t.co/E7RfI25sC0
x36362259,JohnClaytonNFL,2018-11-06T20:00:56Z,x1059898447548084224,8,2,NFC East is a Mess – who will Emerge https://t.co/6ck54i3Di6 https://t.co/DKXxrlXCXl
x36362259,JohnClaytonNFL,2018-11-07T19:04:01Z,x1060246511177658368,5,0,Fantasy Fact or Fiction – Aaron Rodgers Has New Toy https://t.co/dA29pjfv9s https://t.co/a7l5voj5TK
x36362259,JohnClaytonNFL,2018-11-07T20:44:43Z,x1060271853883875331,5,0,Demaryius Thomas Experiences Age Reality of an WR https://t.co/BjjUXp2XRw https://t.co/1iw0ame6cn
x36362259,JohnClaytonNFL,2018-11-07T23:12:54Z,x1060309146187325443,17,2,49ers’ Star Tight End George Kittle Goes One-on-One https://t.co/xqlGC2vIIs https://t.co/sxKyvxcQaj
x36362259,JohnClaytonNFL,2018-11-07T23:22:10Z,x1060311476466999296,24,5,This is free and unlocked. Check out https://t.co/zn7ou8DDcy for a  free trial. @ClaytonFootball https://t.co/X6KNkFUSaK
x36362259,JohnClaytonNFL,2018-11-07T23:24:17Z,x1060312008824770560,10,0,We look at some deep age metrics of WRs and it made #Broncos trade of D. Thomas understandable. Check out https://t.co/E4mRcgejgo for a free trial and reduced prices. @ClaytonFootball https://t.co/xnhfJTZjoh
x36362259,JohnClaytonNFL,2018-11-08T13:00:37Z,x1060517445365104645,25,5,Panthers-Steelers Could Be QB Show https://t.co/GWiS0p6p5A https://t.co/UM6cDrsmsf
x36362259,JohnClaytonNFL,2018-11-08T20:19:25Z,x1060627874791743488,17,1,Dallas Cowboys Have a Dak Prescott Dilemma https://t.co/XgEigH9Qf0 https://t.co/HApqXQT7az
x36362259,JohnClaytonNFL,2018-11-08T20:34:41Z,x1060631717537570827,7,2,Bad WR Deal Led Dez Bryant to New Orleans Saints https://t.co/GRxk21O9YC https://t.co/65wdUZjMJ9
x36362259,JohnClaytonNFL,2018-11-08T20:45:18Z,x1060634389292363776,9,2,Lot of good WR free agent trend info in here as well. @ClaytonFootball https://t.co/C2geeENQIg
x36362259,JohnClaytonNFL,2018-11-08T20:47:35Z,x1060634964130062336,6,1,Great stuff from @corryjoel as usual. Check out https://t.co/zn7ou8DDcy  for a free trial at our reduced prices. https://t.co/Qjd74Sx1sd
