user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x13218102,JohnCornyn,2018-11-09T23:27:19Z,x1061037550012452864,63,23,"The new Texas Live! entertainment facility will create approximately 1,100 permanent jobs in Arlington—good news for the Texas economy. Thanks, Mayor Jeff Williams, for showing me around this afternoon. https://t.co/jQzFbWXTEj"
x13218102,JohnCornyn,2018-11-10T13:28:02Z,x1061249122114658304,280,137,Broward County’s troubled election history https://t.co/acB73mreBa
x13218102,JohnCornyn,2018-11-10T15:50:44Z,x1061285032415936512,279,173,FBI Records Show Former FBI Director James Comey’s Use of Personal Email - Cause of Action Institute https://t.co/f1gYGH8Fz1
x13218102,JohnCornyn,2018-11-10T15:51:34Z,x1061285245679472641,308,188,"The FBI reviewed 526 pages, released only 156 pages, and withheld 370 pages in full. https://t.co/X56NxUXD6K"
x13218102,JohnCornyn,2018-11-10T15:53:08Z,x1061285637943427073,119,56,"Notably, the FBI withheld 7 emails under the FOIA’s law enforcement exemption, which applies only where the govt shows (1) a law enforcement proceeding is pending or prospective, and (2) release of information could reasonably be expected to cause some articulable harm. https://t.co/euPBoZV6WH"
x13218102,JohnCornyn,2018-11-10T15:53:52Z,x1061285823319031808,276,153,"""And according to news reports, Comey “stressed that his personal email was never used for classified or sensitive work.” https://t.co/z3hcALjbzb"
x13218102,JohnCornyn,2018-11-10T15:57:53Z,x1061286835295522817,41,12,The United States Marine Corps is 243 @playbookplus
x13218102,JohnCornyn,2018-11-11T13:01:49Z,x1061604912147189760,1016,295,Dan Crenshaw started the week as an SNL joke and ended it as a GOP star. The real story came before that. https://t.co/kOGY3R8FP4
x13218102,JohnCornyn,2018-11-11T13:10:19Z,x1061607053200945152,256,75,"“[T]here’s a lot of lessons to learn here,” Crenshaw said, addressing the camera as he sat next to Davidson. “Not just that the left and right can still agree on some things but also this: Americans can forgive one another. We can remember what brings us together as a country.” https://t.co/rGiVosUJQL"
x13218102,JohnCornyn,2018-11-11T13:10:45Z,x1061607160508043264,191,53,"He encouraged Americans to connect with veterans by telling them, “Never forget,” instead of just “thanks for your service.” https://t.co/VZIY0qirYW"
x13218102,JohnCornyn,2018-11-11T14:01:03Z,x1061619820658130946,154,85,Houston Chronicle retracts 8 stories after reporter Mike Ward uses questionable sources - CBS News https://t.co/l8KDTKtmRa
x13218102,JohnCornyn,2018-11-11T14:02:20Z,x1061620140306063360,671,243,"Self-government requires a free press. To maintain its credibility with the American people, we need more of this: https://t.co/Kc6lsy9EJF"
