user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x18020081,JohnKasich,2018-10-13T13:35:02Z,x1051104025431683073,341,37,"Explorers. Innovators. Leaders.
 
You can find it all here in Ohio.
 
So proud to call Neil Armstrong one of our own! https://t.co/VylzVR8FBS"
x18020081,JohnKasich,2018-10-13T22:19:34Z,x1051236028701442048,6348,1724,"It is on all of us.
 
Americans must stand up for these children separated from their parents at the border. https://t.co/Lqswbw76PY"
x18020081,JohnKasich,2018-10-14T15:57:01Z,x1051502143994236929,699,126,"DC should start paying attention to how many governors, both Republican and Democrat, are working together with their state legislatures to take on today’s problems. https://t.co/ZkTMqR2jtJ"
x18020081,JohnKasich,2018-10-14T23:19:31Z,x1051613501515603968,83,15,"Hard workers. Cost savings. Fast Growth.
 
Just a few things companies can expect to find when they come to Ohio.
 
https://t.co/UQrLF4S1OV"
x18020081,JohnKasich,2018-10-15T13:35:15Z,x1051828854678085632,151,17,"Over the past 8 years, we’ve worked hard to once again make Ohio the home of innovators and entrepreneurs. 

It’s working. #OhioWorks https://t.co/3ytdw2z29Y"
x18020081,JohnKasich,2018-10-15T16:39:30Z,x1051875220284461056,35,4,"No state has done more to lower workers compensation costs while maintaining the safe environment workers need. 

Yet another reason why #OhioWorks.

https://t.co/4K23vMIC3y"
x18020081,JohnKasich,2018-10-15T16:56:10Z,x1051879418153627653,5246,1129,America must get to the bottom of what happened to Jamal Khashoggi. Then we must take action. Human rights are more important than a defense contractor’s bottom line. https://t.co/erNGFBGqtA
x18020081,JohnKasich,2018-10-16T14:24:54Z,x1052203735093514241,476,98,"Of course we all want “our side” to win, but that doesn’t mean we must win-at-all-cost. 
 
That’s how America loses.
 
Read my column in USA Today on how the zero-sum game is driving America backward: https://t.co/tJQEWdFBHK https://t.co/m37vxHcn74"
x18020081,JohnKasich,2018-10-16T15:06:32Z,x1052214212150353920,89,23,"These business leaders are doing the absolute right thing by putting their principles over profit.

Treasury Secretary @stevenmnuchin1 should follow their lead.

https://t.co/wmilnslZx1 https://t.co/Wpus0Mzt8S"
x18020081,JohnKasich,2018-10-16T17:23:42Z,x1052248734678097920,93,17,I'll be on @MSNBC's @hardball tonight with @HardballChris. Tune in at 7PM ET! https://t.co/bfdn1RoAO6
x18020081,JohnKasich,2018-10-16T20:30:02Z,x1052295625516158978,129,11,Hope you can tune in at 7:20PM ET tonight! https://t.co/hBOHErUCfm
x18020081,JohnKasich,2018-10-17T00:11:06Z,x1052351257220968448,7316,1811,"America is an idea. It’s not about money. That’s what President @realDonaldTrump doesn’t understand. Americans have died for our FREEDOMS, not so a select few can get rich. We need to stand for our values. https://t.co/vaRRDhjat4"
x18020081,JohnKasich,2018-10-17T14:17:09Z,x1052564172658094082,155,34,"Ohio has the most cities on this list of the best cities for jobs. 

What we've done is working. 
Let's keep our foot on the gas. 

Ohio leads. #OhioWorks

https://t.co/OuSp3nhYWK"
x18020081,JohnKasich,2018-10-17T19:20:19Z,x1052640467433730048,983,261,"This isn’t conservative. We can and must do better. 

https://t.co/jDzrhB3zQX"
x18020081,JohnKasich,2018-10-17T23:09:25Z,x1052698121820622848,164,21,"Our Ohio Office for Opportunities for New Americans has helped so many immigrants like Radhika Reddy find work and call Ohio Home.
 
Read her story here: https://t.co/CklGfRASKW"
x18020081,JohnKasich,2018-10-18T13:52:24Z,x1052920332561080321,96,14,"It is never too early to prepare the workforce of tomorrow.

From pre-school to college, it’s important that students gain the skills they need to get a job. 

Kudos to Barberton schools taking the initiative to make sure #OhioWorks for the future. 

https://t.co/J67aKcF157"
x18020081,JohnKasich,2018-10-18T17:33:41Z,x1052976020972871680,136,18,"We totally get that overburdensome red tape slows down the wheels of job creation. So I’m proud our Common Sense Initiative has reviewed 12,000 rules, with more than half being amended or rescinded. 

It’s important to find that balance, and Ohio is making it happen. #OhioWorks"
x18020081,JohnKasich,2018-10-18T23:19:10Z,x1053062966604632064,510,109,"""Tuition Has Increased Sharply at Public Colleges and Universities""
 
Except Ohio.
 
👀⬇️ https://t.co/FNenIIvA5p"
x18020081,JohnKasich,2018-10-19T12:46:29Z,x1053266133879586816,165,18,"Another strong jobs report this morning!
 
There is a reason Ohio continues to outpace the nation in job growth – we’ve kept our budget balanced and strong, responsibly cut taxes by $5 billion, and so much more.

https://t.co/qsogXNai3J"
x18020081,JohnKasich,2018-10-19T16:58:58Z,x1053329672673681410,68,9,"Ohio jobs are now growing much faster than the nation – 39 percent faster. 

That hasn’t happened by accident. It’s taken cooperation and smart policies here in Ohio to build a strong climate for investment and growth.

What we’ve been doing works. #OhioWorks https://t.co/IMI7kThP57"
x18020081,JohnKasich,2018-10-19T21:52:32Z,x1053403549869195264,71,15,"Good news, and inching ever closer to our record in private sector job creation!

https://t.co/LI1R96VWuN"
x18020081,JohnKasich,2018-10-20T00:17:27Z,x1053440019053101056,169,23,New data from the U.S. Department of Labor shows Ohio wages continuing to grow faster than the nation. https://t.co/9qumgohbuZ
x18020081,JohnKasich,2018-10-20T17:03:56Z,x1053693310429216769,128,19,"Ohio is number 1 in the Midwest for job creation.
 
Learn about the important policies we’ve put in place to get us there!
 
https://t.co/uLee8jUHNl
 
#OhioWorks https://t.co/zQKIxbiSgN"
x18020081,JohnKasich,2018-10-20T22:57:37Z,x1053782317540499456,85,11,"One step closer to smarter and safer transportation.
 
It all begins right here in Ohio! https://t.co/xS7rKoDcHy"
x18020081,JohnKasich,2018-10-21T19:47:27Z,x1054096848640712706,480,72,Preparing our children for the jobs of tomorrow means we need to do a better job of connecting businesses to our schools and exploring career options with mentors and counselors. https://t.co/duW77mnJFj
x18020081,JohnKasich,2018-10-22T14:45:40Z,x1054383288767397889,129,17,"A very cool event. Really appreciate the opportunity, as well as your efforts to dig deeper into the meaning and importance of the first amendment. https://t.co/xg4cPbAMOJ"
x18020081,JohnKasich,2018-10-22T20:16:16Z,x1054466486469836801,93,16,"We need a stronger, larger cyber force, and Ohio is happy to lead the way.    

https://t.co/6RdZIbbaNv"
