user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x41023170,KNegandhiESPN,2018-11-07T19:09:27Z,x1060247879774822400,6,0,Damn. This is terrible news. I saw Carlos recently. He was a good man who loved his family. I feel so bad for his family. https://t.co/eTbndNFWig
x41023170,KNegandhiESPN,2018-11-08T03:38:19Z,x1060375939715121153,45,0,Looking forward to lunch @sagesteele! #heretheycome https://t.co/ry8UDFT5ZQ
x41023170,KNegandhiESPN,2018-11-08T19:08:57Z,x1060610141236723712,4,1,This is great. https://t.co/0MhtbXx6Lh
x41023170,KNegandhiESPN,2018-11-08T22:50:57Z,x1060666008283811841,19,3,Loved being a part of SC Veterans Day coverage through the years. So much fun showcasing our country’s best at Annapolis. https://t.co/lM7vw4rIa5
x41023170,KNegandhiESPN,2018-11-08T23:39:35Z,x1060678247732731907,101,4,"Eagles and Cowboys fans, check out the top 10 plays from that rivalry next on SportsCenter."
x41023170,KNegandhiESPN,2018-11-08T23:52:36Z,x1060681525098897414,11,1,"I love this rivalry. Every year, @darrenwoodson28 and I have fun w the trash talk. If you can’t have fun, you’re not doing it right. https://t.co/Esp2BgnNxl"
x41023170,KNegandhiESPN,2018-11-09T03:56:17Z,x1060742848524492800,14,3,Wake Forest is about to pull a shocker at N.C. State. Wolfpack w some poor play calling late and then allowing Wake to drive the field for the go-ahead TD w less than a minute to go. A complete stunner.
x41023170,KNegandhiESPN,2018-11-09T20:36:34Z,x1060994576549363720,41,1,Have a friend that looks at you the way  @jayharrisespn looks at me. 😎 https://t.co/J3Cg6BWnci
x41023170,KNegandhiESPN,2018-11-10T16:33:47Z,x1061295866374430720,34,1,That’s the biggest lobster I’ve ever seen.
x41023170,KNegandhiESPN,2018-11-10T16:37:39Z,x1061296840581279745,14,2,This is fantastic. Well done by @notthefakeSVP on this. Tami literally knows everyone on campus. She beat cancer. And ALWAYS has a smile on her face. We will all miss Tami! https://t.co/qcD78rW9nz
x41023170,KNegandhiESPN,2018-11-10T17:11:58Z,x1061305476544188418,28,8,Digging @AF_Falcons helmets today. https://t.co/lfu0u0FuyT
x41023170,KNegandhiESPN,2018-11-10T17:54:37Z,x1061316211768807424,305,40,Jimmy!!!!!!
x41023170,KNegandhiESPN,2018-11-10T18:04:57Z,x1061318810953805825,302,26,"The long term success of this deal comes down to next summer but let’s face it, the Sixers had to make a bold move now w Embiid and Simmons. They needed a fearless star. https://t.co/O1J0xF2G37"
x41023170,KNegandhiESPN,2018-11-10T22:23:57Z,x1061383992321163264,2,0,"Bedlam scoring record was set last year - 114 combined pts. 
At the half in Norman, OU-Oklahoma St are more than halfway there (34-28)."
x41023170,KNegandhiESPN,2018-11-11T00:07:11Z,x1061409969545842689,42,7,"Northwestern wins the Big 10 West. Going back to 1992, they’re the first team to go winless in non-conference play but play in their conference championship game."
x41023170,KNegandhiESPN,2018-11-11T00:19:33Z,x1061413083535564800,16,0,Go for 2.
x41023170,KNegandhiESPN,2018-11-11T02:00:11Z,x1061438408810217472,121,11,Armstead is having a monster night. 4 TDs and counting. @Temple_FB
x41023170,KNegandhiESPN,2018-11-11T03:37:59Z,x1061463017790025728,197,15,Temple-Houston is every game I’ve ever played on NCAA CFB 2014.
x41023170,KNegandhiESPN,2018-11-11T03:53:55Z,x1061467027209097216,192,28,Raise em @Temple_FB @CoachCollins. Here’s to @track_chaser and @iamvb_87 on their record-setting night. Get some rest defense. Finish the season strong. https://t.co/2YJDBnKx3f
x41023170,KNegandhiESPN,2018-11-11T04:48:09Z,x1061480675969261569,10,2,@EatTeam_2 keep eatin..
x41023170,KNegandhiESPN,2018-11-11T17:33:42Z,x1061673335950581760,45,2,Been lucky to go on the road for SportsCenter through the years and cover the men and women who serve our country on a daily basis. Thank you Veterans and thank you to your families for your sacrifice. https://t.co/uW3CPc7dDT
x41023170,KNegandhiESPN,2018-11-12T00:04:30Z,x1061771680656318464,47,21,#SaluteToService #NeverForget
x41023170,KNegandhiESPN,2018-11-12T01:59:53Z,x1061800720712765440,663,69,I never want to see that defense again. Nightmares at Tennessee.
x41023170,KNegandhiESPN,2018-11-12T02:08:39Z,x1061802926551822336,139,15,Eagles offense is flat.
x41023170,KNegandhiESPN,2018-11-12T02:20:38Z,x1061805940889079809,24,4,Tre Sullivan not having the best half.
x41023170,KNegandhiESPN,2018-11-12T02:47:19Z,x1061812658565996544,477,75,Embarrassing drive. Embarrassing first half.
x41023170,KNegandhiESPN,2018-11-12T03:58:08Z,x1061830478578282496,89,10,Eagles offense with a complete 2nd half turnaround. In sync. Fast paced. Have a purpose. Need the defense to stop screen pass chunk plays.
x41023170,KNegandhiESPN,2018-11-12T04:18:04Z,x1061835494563164161,211,34,I got nothing.
x41023170,KNegandhiESPN,2018-11-12T04:34:57Z,x1061839744055865344,111,16,Collapses vs. Tennessee and Carolina will haunt them all season. https://t.co/BPkAM6mmBV
x41023170,KNegandhiESPN,2018-11-13T01:42:19Z,x1062158685324087297,322,27,He’s 20. I’m not gonna crush him. It doesn’t make the situation better. I just feel bad his shot is regressing to where it was a year ago. It doesn’t make sense.
x41023170,KNegandhiESPN,2018-11-14T02:38:12Z,x1062535140054917120,175,9,Protect the T. Nice win @TUMBBHoops. Raise em! https://t.co/Z9rrDDQ1a6
x41023170,KNegandhiESPN,2018-11-14T21:30:08Z,x1062819998102708224,144,23,"We all know what Jimmy Butler can do on the offensive side but according to Second Spectrum, only Jrue Holiday (541) has spent more possessions guarding the league’s 25-PPG scorers than Butler (525) over the last two seasons. #HereTheyCome @Sixers"
x41023170,KNegandhiESPN,2018-11-14T22:36:49Z,x1062836778351161345,192,15,"Last time the Eagles were 8+ point underdogs? 2015 vs. the Patriots.. Sam Bradford and Chip Kelly shocked the Patriots in Foxboro.. in reality, it was Malcolm Jenkins, Darren Sproles and Najee Goode who won that game"
x41023170,KNegandhiESPN,2018-11-15T02:30:45Z,x1062895650990424064,469,32,You can’t blow a 16-pt lead in the 4th quarter on a night when the big guy gets a triple double.. but it’s November and only Game 1 w Jimmy. Friday night in Philly will be loud..
x41023170,KNegandhiESPN,2018-11-15T02:36:24Z,x1062897072582639616,15,1,But you can’t spell my name right even when it’s in the twitter handle. https://t.co/5QmhbyekuG
x41023170,KNegandhiESPN,2018-11-15T02:49:10Z,x1062900284668698624,31,7,I feel like we’re going to be saying that a lot this season. https://t.co/l4If81RmtP
x41023170,KNegandhiESPN,2018-11-15T19:39:07Z,x1063154447063359494,121,10,"Stop the slander, I see nothing wrong w ketchup on Mac and cheese, eggs and Hot Dogs.. it’s a requirement https://t.co/SOFR4ttY8I"
x41023170,KNegandhiESPN,2018-11-16T19:36:52Z,x1063516270325374979,634,104,Moses was one of my favorite covers. Love that SI did this. #heretheycome @sixers https://t.co/k7vekyiNXc
x41023170,KNegandhiESPN,2018-11-16T20:21:45Z,x1063527562851303424,51,5,Credit to @alexsubers on the @sixers stuff. Love it. https://t.co/D7U2Vw9Lt4
x41023170,KNegandhiESPN,2018-11-16T23:46:26Z,x1063579074126336001,7,0,"A few years ago, @darrenwoodson28 had to hold up an Eagles jersey. I was pretty confident heading into Sunday night. Can’t wait for the rematch. https://t.co/ue9vxCzlLN"
x41023170,KNegandhiESPN,2018-11-17T17:52:51Z,x1063852481740967941,78,17,Alabama is tied at 7 vs. The Citadel. It's the first time Alabama has been tied in the 2nd quarter ALL SEASON.
x41023170,KNegandhiESPN,2018-11-17T18:17:59Z,x1063858807317647360,32,8,"Alabama and The Citadel are tied at 10 at the halftime in Tuscaloosa. The Tide were a 54.5 pt favorite. Meanwhile, The Citadel having some fun w some SEC teams. https://t.co/slBaI3PPGf"
x41023170,KNegandhiESPN,2018-11-17T19:53:22Z,x1063882810757390337,93,15,👀 🦉👊🏽 @EatTeam_2 going Odell w the ✋🏽 @Temple_FB https://t.co/KmZUjgcRAa
x41023170,KNegandhiESPN,2018-11-17T20:11:07Z,x1063887276353163264,507,68,"Down 17, score 27 unanswered for @Temple_FB on senior day. 🦉👊🏽 Raise em!! https://t.co/y8Grl4W19V"
x41023170,KNegandhiESPN,2018-11-17T20:33:51Z,x1063892996016562177,26,2,"Incredible bounce favoring Maryland.. After dealing with so much off the field, Terps have been playing with so much heart today.. one win away from a Bowl berth.."
x41023170,KNegandhiESPN,2018-11-17T20:45:29Z,x1063895927226843136,73,14,This OSU-Maryland game is bananas
x41023170,KNegandhiESPN,2018-11-17T21:07:21Z,x1063901426986950656,63,1,"He was wide open.. I feel terrible for Pigrome, Canada and the Terps.. Ohio State took every punch in a 15-round fight.. on to Michigan"
x41023170,KNegandhiESPN,2018-11-17T21:53:31Z,x1063913045347495938,1111,60,You are Notre Dame. You don’t need gimmick pinstripes or blue lids. Stay true to the iconic gold helmets and classic threads. https://t.co/xnGij6pJFl
x41023170,KNegandhiESPN,2018-11-18T03:05:50Z,x1063991644926685185,317,16,Jim-my Buck-ets!!
x41023170,KNegandhiESPN,2018-11-18T03:13:30Z,x1063993574398836736,17,1,Kyler Murray looked like Michael Vick on that TD run.
