user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x432895323,LindseyGrahamSC,2018-11-03T18:47:56Z,x1058792911251365888,2094,380,Awesome day in #DeathValley with friends watching dominating performance by ⁦@ClemsonFB⁩ #GoTigers ⁦@henrymcmaster⁩ ⁦@SenatorTimScott⁩ ⁦@nikkihaley⁩ ⁦@RepJeffDuncan⁩ ⁦@PamelaEvette⁩ ⁦@ClemsonPrez⁩ https://t.co/zCoqDhRPr7
x432895323,LindseyGrahamSC,2018-11-05T12:14:06Z,x1059418579014168576,4028,686,"Speaking with @foxandfriends in just a few minutes.

Tune in! 

#RedWave2018 
#GOP https://t.co/4NEoLFcLdG"
x432895323,LindseyGrahamSC,2018-11-05T12:17:40Z,x1059419473004900352,663,90,Planning on it! https://t.co/Mpv43XRIGM
x432895323,LindseyGrahamSC,2018-11-05T12:30:00Z,x1059422579709132800,313,70,"Speaking with @hughhewitt about the #2018Midterms in 2 minutes.

Tune in!

LISTEN: https://t.co/4FslSczFh3"
x432895323,LindseyGrahamSC,2018-11-05T12:32:00Z,x1059423081188315137,287,55,"Now speaking with @hughhewitt.

LISTEN:
https://t.co/4FslSci3St"
x432895323,LindseyGrahamSC,2018-11-05T15:30:00Z,x1059467876820672512,44799,14771,If @BarackObama's jobs numbers were anywhere close to what we’re talking about with President @realDonaldTrump......the media would stop the Earth from rotating to make sure everybody heard about it!
x432895323,LindseyGrahamSC,2018-11-05T19:17:51Z,x1059525217452736513,934,223,"Speaking in Montana in support of @MattForMontana!

WATCH: https://t.co/WCA3TFfaIi"
x432895323,LindseyGrahamSC,2018-11-05T21:09:42Z,x1059553366362243077,5650,1775,"If there is an award for being “Out of Touch” in the 2018 election cycle, I would nominate Jared @PolisForCO, the Democratic candidate for Governor of Colorado. (1/4)"
x432895323,LindseyGrahamSC,2018-11-05T21:27:50Z,x1059557928636702725,2258,751,"Great rally with @VP Pence and @MattForMontana.

Victory in the air for Republicans in Montana! https://t.co/i1p9nkxLjI"
x432895323,LindseyGrahamSC,2018-11-06T00:37:38Z,x1059605691479011328,6213,1742,"Just finished up a great day campaigning with @VP Pence for @MattForMontana and @KristiNoem!

Incredible energy across America for our GOP candidates!

Now I'm headed home to vote!

#RedWaveRising"
x432895323,LindseyGrahamSC,2018-11-06T15:57:20Z,x1059837143114280960,7791,2688,"Senators that were against #Kavanaugh deserve to lose.

https://t.co/UC8iKvhn2c

#RedWaveRising2018"
x432895323,LindseyGrahamSC,2018-11-06T18:49:00Z,x1059880344768385024,5680,2224,"Mrs. Taylor’s expression of grief, pride in her husband’s service, and patriotism was beyond moving.  

It puts in perspective the sacrifices that are made for freedom and security at home and abroad.

Required reading for every American.

https://t.co/cGgGtIsOdO"
x432895323,LindseyGrahamSC,2018-11-07T02:00:13Z,x1059988864046190593,8161,1648,"Congratulations to my good friend @henrymcmaster on winning reelection as Governor of South Carolina! 

#SCGov https://t.co/fVcReBU1gI"
x432895323,LindseyGrahamSC,2018-11-07T02:20:03Z,x1059993856517816323,1229,168,"Speaking with @NBC at 9:30 pm on the latest election results.

Tune In!"
x432895323,LindseyGrahamSC,2018-11-07T02:26:28Z,x1059995470913789952,1292,188,"Speaking with @NBC in just a few minutes about #2018Midterm elections.

Tune In!"
x432895323,LindseyGrahamSC,2018-11-07T02:48:10Z,x1060000930739970049,44754,10576,"When the GOP maintains control of the Senate, the conservative judicial train is going to keep running!"
x432895323,LindseyGrahamSC,2018-11-07T03:00:00Z,x1060003908406403076,573,81,Speaking with @CBS at 10:05 pm tonight.
x432895323,LindseyGrahamSC,2018-11-07T03:02:23Z,x1060004509638934528,824,118,"About to speak with @CBS about my take on the #2018MidTermElections.

Tune in!"
x432895323,LindseyGrahamSC,2018-11-07T03:26:58Z,x1060010695088095233,2600,305,"Speaking with @foxnews about #2018Midtermelections in just a few minutes.

Tune In!"
x432895323,LindseyGrahamSC,2018-11-07T03:32:33Z,x1060012102092550146,801,114,"Speaking with @FoxNews in just a minute from @ClemsonUniv. 

Tune in! https://t.co/cIhfsAC5IX"
x432895323,LindseyGrahamSC,2018-11-07T03:43:51Z,x1060014945738338304,41355,8618,"One of the reasons we are winning big in the Senate tonight is because of the way Democrats treated Brett Kavanaugh. 

#FACT"
x432895323,LindseyGrahamSC,2018-11-07T04:46:35Z,x1060030733685874689,26131,7460,"Proud to have supported @DanCrenshawTX in the GOP Primary.

This American HERO is not a “hit-man” but now a Congressman.

https://t.co/9drTtbPzKT"
x432895323,LindseyGrahamSC,2018-11-07T14:45:19Z,x1060181408524705792,17762,4708,"What has been referred to as the #KavanaughEffect should actually be called:

 #KavanaughsRevenge"
x432895323,LindseyGrahamSC,2018-11-07T17:41:24Z,x1060225722030145536,46041,13069,It’s apparent to me the White House press corps lives in a bubble and the way they are conducting themselves today will do NOTHING to improve their standing with the American people.
x432895323,LindseyGrahamSC,2018-11-07T20:23:34Z,x1060266532725506048,15115,3182,"Jeff Sessions served our nation well and honorably as Attorney General.  

He has dedicated his whole life to conservatism and upholding the Rule of Law. (1/3)"
x432895323,LindseyGrahamSC,2018-11-07T20:48:57Z,x1060272919560028174,3466,743,"Speaking with @seanhannity in just a few minutes about the latest on #2018MidtermElections and #JeffSessions.

LISTEN:
https://t.co/EqNG02sJ7Q"
x432895323,LindseyGrahamSC,2018-11-08T19:54:23Z,x1060621573143584768,501,170,The decision to terminate the MOX program is a colossal mistake. https://t.co/gUM9PgLJql
x432895323,LindseyGrahamSC,2018-11-08T21:34:32Z,x1060646779048341504,9668,2238,"I very much enjoyed being with the President and First Lady at the investiture of Justice Brett Kavanaugh.

https://t.co/qpO49Hhjku"
x432895323,LindseyGrahamSC,2018-11-09T00:00:01Z,x1060683389295046656,2063,338,"Speaking with @marthamaccallum tonight on @FoxNews about 7:35 pm.

Tune in!"
x432895323,LindseyGrahamSC,2018-11-09T00:30:00Z,x1060690935313354752,2909,499,"Speaking with @marthamaccallum in just a few minutes about the search for a new Attorney General, Mueller investigation, and more.  

Tune in!"
x432895323,LindseyGrahamSC,2018-11-09T02:53:56Z,x1060727160053350406,35389,13293,"I couldn’t agree with @ScottforFlorida more about the apparent shenanigans going on in Broward and Palm Beach.

https://t.co/Ak2sCoDAtS"
