user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x24478346,MarcSesslerNFL,2018-11-02T21:52:20Z,x1058476931518148608,57,3,"Congratulations to @Gil_Brandt, who always takes the time, whenever we see him, to talk football and life and history. A wonderful guy. Deserving of all that is heaidng his way. https://t.co/MXrc1ata3m"
x24478346,MarcSesslerNFL,2018-11-03T21:39:20Z,x1058836045591015424,201,16,The concept of Sam Bradford making mega-millions to do literally nothing has grown dangerously tiresome.
x24478346,MarcSesslerNFL,2018-11-04T18:40:50Z,x1059153513479987200,41,9,"#Browns are in bad shape out of the gate allowing plays of 21, 25, 25 and 50 yards to the Chiefs in the first quarter alone."
x24478346,MarcSesslerNFL,2018-11-05T03:42:42Z,x1059289877378789382,93,9,Flying over America: #PinkPony
x24478346,MarcSesslerNFL,2018-11-05T06:45:10Z,x1059335796342149122,30,4,Metcalf was a running back and return man in '93 and largely used that way from '89-94. I'd peg his shift to WR with June Jones' Falcons in '95. #Browns fans long decried 'Metcalf up the middle.' He'd be a fascinating player today. https://t.co/f1Pf4hT9bB
x24478346,MarcSesslerNFL,2018-11-05T21:20:14Z,x1059556017250349056,218,17,"'Honestly, no one cares anymore. Why would I? I don't want to waste the energy. I have to block some of the best players on the best defense in the world. Do you think I'm going to worry about a guy who's not here?' 

- Steelers guard David DeCastro on Le'Veon Bell's absence https://t.co/HKf0IPL7tb"
x24478346,MarcSesslerNFL,2018-11-06T01:16:02Z,x1059615359030878208,10,2,Can’t wait to read this epic by one of my favorites: @BobGlauber. https://t.co/qwbkxqIYX3
x24478346,MarcSesslerNFL,2018-11-06T02:06:50Z,x1059628139993808897,58,1,The only one who gets me🌲 https://t.co/Gf6ZiuHTWi
x24478346,MarcSesslerNFL,2018-11-06T03:22:37Z,x1059647213981229057,99,11,The Cowboys are an energy drain.
x24478346,MarcSesslerNFL,2018-11-06T03:37:05Z,x1059650853840154625,165,6,The Titans are an energy drain. https://t.co/evY4yosmIu
x24478346,MarcSesslerNFL,2018-11-06T04:05:44Z,x1059658062108061696,95,5,CUT TO: The Dallas Cowboys handing their season away.
