user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x1099199839,MartinHeinrich,2018-09-05T13:27:37Z,x1037331416936341505,50,19,"This is a victory for public access and the people of New Mexico. Thanks to folks like AG @HectorBalderas, and local residents like Ed Olona for making this victory possible! https://t.co/k0ogDcg3wJ"
x1099199839,MartinHeinrich,2018-09-05T22:33:56Z,x1037468902454910977,27,11,My questions for Facebook and Twitter during the Senate Intelligence Committee hearing today about foreign influence operations and their use of social media platforms: https://t.co/8SL6Y3DsKR
x1099199839,MartinHeinrich,2018-09-06T16:04:09Z,x1037733197231124480,32,15,The Land and Water Conservation Fund has been vital not only to protecting the places we love—from neighborhood parks to national monuments—but also to creating new access points and opening up previously inaccessible portions of public land. #SaveLWCF https://t.co/qxl8XV2cVl
x1099199839,MartinHeinrich,2018-09-06T17:14:53Z,x1037750999761514498,61,19,Thank you to the @ABQCityCouncil for unanimously passing a resolution to support the Land and Water Conservation Fund. I will keep fighting to permanently reauthorize and fully fund LWCF. #SaveLWCF https://t.co/QVFqh8x0Te
x1099199839,MartinHeinrich,2018-09-06T17:21:57Z,x1037752779635404801,547,194,"If this Administration thinks treating children and families humanely is too much to ask, then DHS Secretary Nielsen should do the honorable thing and resign. They need to get real and stop looking for cruel shortcuts that tear families apart."
x1099199839,MartinHeinrich,2018-09-07T18:24:49Z,x1038130985936642049,370,111,Thank you to all the New Mexicans who are engaged and making their voices heard as the Supreme Court confirmation process unfolds in the Senate. This note was just dropped off at my office in Albuquerque. I stand with you in opposing Brett Kavanaugh’s nomination! #WhatsAtStake https://t.co/3Z40Jqx4rU
x1099199839,MartinHeinrich,2018-09-10T21:09:48Z,x1039259669544333313,54,16,"As a Westerner &amp; hunter, I'm proud to pass important sagebrush habitat restoration legislation. Restoring sagebrush landscapes to their natural state is vital for mule deer &amp; other sage-dependent species &amp; mitigating the risk of dangerous wildfires. https://t.co/9nvJ4AVati"
x1099199839,MartinHeinrich,2018-09-11T13:04:15Z,x1039499866307743744,237,48,"Today our nation pauses to remember those who lost their lives during the terrorist attacks on September 11, 2001. We will never forget them or the brave first responders who risked their lives to help their fellow Americans."
x1099199839,MartinHeinrich,2018-09-11T16:28:54Z,x1039551367893995521,131,47,"I’m proud to lead a bipartisan coalition from NM, CO, &amp; KS to preserve $50 million in federal funding to maintain Amtrak service on the Southwest Chief route. @SenatorTomUdall @SenBennetCO @SenCoryGardner @JerryMoran @SenPatRoberts &amp; I will keep fighting for the Southwest Chief. https://t.co/9KlxeoV71r"
x1099199839,MartinHeinrich,2018-09-12T14:19:36Z,x1039881214671421447,105,58,"By gutting the EPA's methane rule, the Trump administration is taking a major step backward for protecting public health, responsibly developing our natural gas resources, and meeting our responsibility to mitigate the impacts of climate change. https://t.co/4I3Vi88ZO9"
x1099199839,MartinHeinrich,2018-09-12T17:02:14Z,x1039922142937272322,98,39,Reduced snowpack and warmer temperatures are putting unprecedented pressures on the Rio Grande. We need to get serious about climate change. #ActOnClimate https://t.co/y9RcQwTWdx
