user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x18023868,MassGovernor,2018-10-26T20:00:36Z,x1055912098277023748,15,4,"FRONT PAGE NEWS: Gov. Charlie Baker and @MassHHS Secretary Marylou Sudders come to Lynn to announce more funds to battle opioid addiction

Read more in today's @itemlive: https://t.co/MACIrRe6JE https://t.co/OMfXyKGjKq"
x18023868,MassGovernor,2018-10-27T17:46:56Z,x1056240847237378049,490,67,"I am horrified by the mass shooting in Pittsburgh, and my thoughts are with the victims, their families and the first responders. We must work together to overcome this evil and violence."
x18023868,MassGovernor,2018-10-28T19:20:09Z,x1056626693086044160,1004,193,The Commonwealth stands with the Tree of Life Synagogue family and the entire Pittsburgh community. Our shared American values of inclusion rise above the hate behind the violence. https://t.co/MGVWh9Mfq0
x18023868,MassGovernor,2018-10-29T03:41:41Z,x1056752910250508289,1399,234,"Congratulations to the #WorldSeries Champion Boston #RedSox! What a team. What a run. Thanks for the ride, all year long. Who’s ready for a duck boat parade? #DamageDone https://t.co/Kj9l2VVvuw"
x18023868,MassGovernor,2018-10-29T16:01:16Z,x1056939030670123008,6,8,"When we started focusing on the opioid and heroin epidemic in 2015, the term fentanyl was hardly mentioned. Today, fentanyl and the drug dealers who sell it continue to fuel the deadly heroin and opioid epidemic ravaging our communities. https://t.co/Ilr8AypQoE https://t.co/XlTj6gDrIR"
x18023868,MassGovernor,2018-10-29T17:48:40Z,x1056966060195360769,43,20,"Our Admin has been focused on strengthening supports for the more than 365,000 men + women in MA who have served our country, and today were at @ChelseaSOHO for the groundbreaking of what will be a state of the art community living center, originally in our capital budget. 🇺🇸 https://t.co/Be2VJEXAvI"
x18023868,MassGovernor,2018-10-29T21:22:08Z,x1057019780601991168,14,6,"“The new long term care facility at the Chelsea Soldiers’ Home will improve the quality of services and care provided to the Commonwealth’s men and women who have answered the call of duty and served our nation.” | 🇺🇸 #veterans @ChelseaSOHO 

🔗 : https://t.co/QWSiNgBDRc https://t.co/p2EoWMZPqw"
x18023868,MassGovernor,2018-10-29T21:25:36Z,x1057020653063286784,10,5,"“We are confident that the increased communication and coordinated police work this legislation supports will lead to safer communities and we urge the Legislature to enact this bill promptly.” | #opioidcrisis 

Fentanyl Interdiction Program Proposed 🔗: https://t.co/8mVIfqzvjR https://t.co/JFMIDqHigF"
x18023868,MassGovernor,2018-10-30T16:57:35Z,x1057315588983439360,21,7,"We're incredibly proud of our efforts to ensure that the benefits of our thriving #lifesciences sector are experienced throughout Massachusetts, and I was pleased to celebrate this significant milestone for the Gloucester Marine Genomics Institute today. https://t.co/rsXUTeIj9n https://t.co/fYl43lfkcQ"
x18023868,MassGovernor,2018-10-30T17:38:34Z,x1057325904928690176,14,4,"FRONT PAGE NEWS: Baker seeks more money to target fentanyl dealers

The goal of the pilot program is to target dealers who often avoid crackdowns in one community by moving their operations to neighboring cities and towns. | #opioidcrisis 

@GDTnews: https://t.co/kkSzNlCokF https://t.co/FndGW3ike3"
x18023868,MassGovernor,2018-10-30T18:59:08Z,x1057346181104312320,19,7,"This $318 million Whittier Bridge project fully replaced + widened a bridge and improved a 4-mile section of the highway—a complex infrastructure improvement project that is a testament to the hard work and careful planning of @MassDOT. 

Project details: https://t.co/emPkgMdWBF https://t.co/b4Lto7hmio"
x18023868,MassGovernor,2018-10-30T20:09:34Z,x1057363906107187201,5,3,"“This is truly great news. Unfortunately fentanyl is one of many nightmares we all share,” said Donald Caisey, President of the Boston Police Detectives Benevolent Society. #opioidcrisis

Baker-Polito Administration Proposes #Fentanyl Interdiction Program: https://t.co/7zeZe4MNhZ https://t.co/RWpbpM5C98"
x18023868,MassGovernor,2018-10-30T20:35:36Z,x1057370457891110914,8,5,"“The Massachusetts Coalition of Police appreciates the efforts of the Governor and the Lt. Governor in their attempts to assist law enforcement in stemming the flow of #Fentanyl to our communities,"" said Scott Hovsepian, @masscopaflcio President. 

🔗: https://t.co/7zeZe4MNhZ https://t.co/wv8K1RRe8o"
x18023868,MassGovernor,2018-10-30T21:01:56Z,x1057377082207072257,10,6,"“This new facility will position GMGI as a leader in marine biotechnology by applying the most innovative tools for new discoveries that impact human health, biotechnology and fisheries and we are pleased that it will serve as a hub here on Cape Ann.”

🔗: https://t.co/rsXUTeIj9n https://t.co/lckBMCQ5Do"
x18023868,MassGovernor,2018-10-31T15:33:40Z,x1057656861493735434,14,6,"🇺🇸 On Monday, Governor Charlie Baker and @SpeakerDeLeo broke ground for the new long term care facility at the Chelsea Soldiers’ Home. #veterans

📷: https://t.co/ZtKSPZ4W0U 
Press Release 🔗: https://t.co/Y0VR4dbAXh https://t.co/GR9nhyPkLJ"
x18023868,MassGovernor,2018-10-31T15:49:06Z,x1057660742932021248,233,36,It was great to celebrate the #RedSox #WorldSeries Championship with the @TheJimmyFund at #FenwayPark this morning. These special Sox fans are rolling with their @RedSox in the duck boats. #RedSoxParade https://t.co/wfSKwaJAwe
x18023868,MassGovernor,2018-10-31T18:22:12Z,x1057699274681737216,11,5,"📰 FRONT PAGE NEWS: ""The future, in all its tantalizing possibility, came calling Tuesday along the city's Inner Harbor, as the Gloucester Marine Genomics Institute formally opened its new research facility."" @STheken @MALifeSciences 

🗞️ @GDTnews: https://t.co/EYrJ5fCEjx https://t.co/hdIHO737Dj"
x18023868,MassGovernor,2018-10-31T18:48:41Z,x1057705936951894016,6,3,"🗞️ FRONT PAGE NEWS: “This was what we call one of our mega projects. Our mega projects are really special things. There is a lot that goes into making them a reality.”

📰 @newburyportnews: Crowd gathers for John Greenleaf Whittier Bridge project ceremony https://t.co/0is3YScy5m https://t.co/BFSjXww5oz"
