user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x39556712,MikeBeebeAR,2014-05-05T20:35:39Z,x463416759353999360,3,9,Disaster Response Centers will open in the three additional counties later this week.
x39556712,MikeBeebeAR,2014-05-05T20:59:05Z,x463422656646094848,3,4,"The #ARtornado did not touch down in Randolph County, but the area received flooding rains from the same system, which is why it's included."
x39556712,MikeBeebeAR,2014-05-06T13:57:23Z,x463678917543358464,4,6,Part of promoting STEM education is making it fun!  Here's @arkmod's Kevin Delaney on @fallonshow Monday night. http://t.co/TzqaZxDfjb
x39556712,MikeBeebeAR,2014-05-07T00:19:26Z,x463835461580886017,58,42,Standing Room Only tonight for the Mayflower-Vilonia baseball game. Great show of support for these communities. Go Eagles! #RebuildTheNest
x39556712,MikeBeebeAR,2014-05-07T17:46:21Z,x464098929177411585,16,28,"Governor Beebe is now on board Marine One, will be helping identify areas of #ARtornado damage while touring by air with the President."
x39556712,MikeBeebeAR,2014-05-07T18:07:08Z,x464104158581096448,15,11,Marine One has touched down in Vilonia.
x39556712,MikeBeebeAR,2014-05-07T19:56:53Z,x464131776622120960,33,39,Governor Beebe says the families of those who died were incredibly well-composed and grateful for the President's visit. #ObamaAR
x39556712,MikeBeebeAR,2014-05-07T20:06:34Z,x464134213139062784,12,10,Vilonia High School student Casey Williams stepped up after the storm and became a leading coordinator of volunteers and donations.
x39556712,MikeBeebeAR,2014-05-07T20:10:52Z,x464135294912978944,236,222,"Her only goal was to help her town, but today she was in the President's speech, &amp; got her ultimate selfie. #ObamaAR http://t.co/kBWXcF2Ej4"
x39556712,MikeBeebeAR,2014-05-09T20:20:18Z,x464862444309843969,5,8,Arkansas has asked @fema to add nine counties to the #ARTornado disaster declaration for public assistance.  News release coming shortly.
x39556712,MikeBeebeAR,2014-05-09T20:50:31Z,x464870050604666880,0,2,And here's the news release: http://t.co/TSWkJNrRWA #ARtornado
x39556712,MikeBeebeAR,2014-05-09T23:14:42Z,x464906336732336128,2,3,"Correction:  The request to @fema would add ten counties to the federal disaster declaration, not nine."
x39556712,MikeBeebeAR,2014-05-13T01:22:36Z,x466025686356881408,10,17,We received @fema approval of our request to expand the #ARTornado disaster declaration. Eleven counties now qualify for Public Assistance.
x39556712,MikeBeebeAR,2014-05-13T16:03:07Z,x466247274083803136,2,5,"Ben E. Keith announces $60 million expansion in North Little Rock, will add 74 jobs. http://t.co/jkLeXdpwyN #ARJobs"
x39556712,MikeBeebeAR,2014-05-14T20:21:31Z,x466674692196007936,6,14,"U.S. and Arkansas flags will be lowered to half-staff on Thursday, May 15, to commemorate Peace Officers Memorial Day."
x39556712,MikeBeebeAR,2014-05-23T18:02:54Z,x469901299811491840,8,6,Have a safe and fun Memorial Day weekend. U.S. And Arkansas flags will fly at half-staff Monday to remember the sacrifices of the fallen.
x39556712,MikeBeebeAR,2014-05-23T19:02:06Z,x469916196058300416,3,5,"Governor Beebe is releasing $500,000 in State funds to help Pulaski County with debris removal from the #ARTornado. http://t.co/rpIBKtPwAV"
x39556712,MikeBeebeAR,2014-05-28T14:51:26Z,x471665054681530368,3,8,Governor Beebe's statement on the passing of Maya Angelou: http://t.co/bBLdDZjm6O
x39556712,MikeBeebeAR,2014-05-28T14:51:51Z,x471665158419251202,14,34,"""Maya Angelou showed how strength, determination and honesty can take us all to the heights of greatness.” - Governor Mike Beebe"
x39556712,MikeBeebeAR,2014-05-30T01:11:42Z,x472183537173798912,10,4,"On JFK's 97th birthday, Gov. Beebe repeats the charge of Kennedy's inaugural to @ARBoysState, just as he did last night to #ARGirlsState."
x39556712,MikeBeebeAR,2014-06-06T13:35:48Z,x474907511078653952,9,9,"""The eyes of the world are upon you. The hopes and prayers of liberty-loving people everywhere march with you."" Gen. Eisenhower, Jun 6, 1944"
x39556712,MikeBeebeAR,2014-06-06T15:38:46Z,x474938457349824512,42,77,"Arkansas flags will fly at half-staff on Saturday, June 7, to honor Dr. Maya Angelou."
x39556712,MikeBeebeAR,2014-06-13T20:12:21Z,x477544020395048960,2,4,"Governor Beebe's weekly column focuses on 1,600 new jobs announced in Arkansas over the past few weeks. http://t.co/ZpRXylkVuP #ARNews"
x39556712,MikeBeebeAR,2014-06-24T19:09:09Z,x481514383630016512,4,32,Governor Beebe has signed the call for a Special Session. News release with details coming shortly.
x39556712,MikeBeebeAR,2014-06-24T19:29:58Z,x481519622240223233,1,14,"Details on special session, scheduled to begin Monday, June 30 at 4:00 p.m.: http://t.co/vmdFdeuE65"
x39556712,MikeBeebeAR,2014-06-27T18:35:59Z,x482593197529391104,1,5,Governor Beebe has added the lottery monitor games bill to the Special Session call. #arleg
x39556712,MikeBeebeAR,2014-06-27T18:42:05Z,x482594733131173889,8,24,"Governor Beebe has ordered Arkansas flags to fly at half-staff on Saturday, June 28, to mark the 100-year anniversary of the start of WWI."
x39556712,MikeBeebeAR,2014-06-30T22:51:14Z,x483744598645161984,3,2,"Watch Governor Beebe answer questions from Arkansas Governor's School students, Thursday, July 3 at 7:00 p.m. on @AETN."
x39556712,MikeBeebeAR,2014-07-08T18:06:38Z,x486572079190659072,2,9,Governor Beebe is headed to Brinkley to view damage from recent flooding. His tour will begin at 2:00 p.m. Tuesday at Brinkley City Hall.
x39556712,MikeBeebeAR,2014-07-14T13:14:21Z,x488672851718074368,7,18,Arkansas's booth at the @FIAFarnborough Air Show in London. http://t.co/UMN7qFfUu8
x39556712,MikeBeebeAR,2014-07-14T13:21:35Z,x488674673174282240,1,10,Seeing the latest in unmanned aerial vehicle (drone) technology at @FIAFarnborough. http://t.co/TzDiPaIgYU
x39556712,MikeBeebeAR,2014-07-14T13:26:23Z,x488675879862931456,4,7,Thousands of companies and investors will come through the @FIAFarnborough trade show this week. http://t.co/Bl0rgaTdqp
x39556712,MikeBeebeAR,2014-07-18T16:41:11Z,x490174455160000512,2,4,Governor Beebe spent Friday meeting with more than a dozen Czech companies in Prague.
x39556712,MikeBeebeAR,2014-07-18T16:42:22Z,x490174753509232640,0,3,"The companies are involved in many business sectors, including industrial manufacturing, aerospace and small-arms production."
x39556712,MikeBeebeAR,2014-07-18T16:43:33Z,x490175047802572800,9,3,"We don't have photos of the meetings, so enjoy a few shots of this beautiful European capital city. http://t.co/LTxC5MYaS8"
x39556712,MikeBeebeAR,2014-07-18T16:44:59Z,x490175411742310400,7,8,An official at the U.S. Embassy in Prague says he remembers only three governors making official visits here in the past 15 years.
x39556712,MikeBeebeAR,2014-07-19T20:21:34Z,x490592301883064320,27,14,Governor and Mrs. Beebe in front of the famous Charles Bridge in Prague. http://t.co/C4F7fQ47j6
x39556712,MikeBeebeAR,2014-07-28T20:56:12Z,x493862510463045632,0,0,Arkansas's Drug Director is retiring. http://t.co/HDfp8mvbO3
x39556712,MikeBeebeAR,2014-07-31T19:32:10Z,x494928523639783424,1,4,"Victims of the late-June storms and floods in Monroe, St. Francis and Woodruff Counties can now apply for state aid: http://t.co/ppQP6gOhRY"
x39556712,MikeBeebeAR,2014-08-05T17:13:01Z,x496705448414695425,14,44,"Since January, Arkansas has seen the sharpest drop in uninsured rates in the nation. http://t.co/oXjo8NOZ7e #PrivateOption #arnews #arleg"
x39556712,MikeBeebeAR,2014-08-12T15:52:33Z,x499221911923351552,1,6,Here's the video of Monday's school broadband announcement with @EdSuperHighway: http://t.co/JUcYcv8Wss
x39556712,MikeBeebeAR,2014-08-13T15:50:45Z,x499583848372793346,3,3,Governor Beebe celebrates progress at the Arkansas Veterans Home in Fayetteville and a new collaboration with UAMS. http://t.co/VXLsroFg24
x39556712,MikeBeebeAR,2014-08-14T22:30:35Z,x500046855443857409,10,7,Numerous people have issued the #ALSIceBucketChallenge to Governor Beebe. We will post his response this evening.
x39556712,MikeBeebeAR,2014-08-14T23:05:35Z,x500055664039690241,41,56,Challenge accepted.  http://t.co/XvtPkQk91k #ALSIceBucketChallenge
x39556712,MikeBeebeAR,2014-08-15T19:06:57Z,x500357996653084672,3,8,Governor Beebe opens the Southern Governors Association Meeting in Little Rock. @billclinton speaking now. #SoGovs14 http://t.co/ETgPDM46Ft
x39556712,MikeBeebeAR,2014-08-16T14:16:29Z,x500647288742879232,1,3,"Governor Beebe, @dismang and others are discussing how the Private Option came together in Arkansas at SGA. #SoGovs14"
x39556712,MikeBeebeAR,2014-08-16T14:24:59Z,x500649425900163073,0,2,Panel also discussing health care transformation. @GovernorOMalley says innovative hospitals have reduced unnecessary admissions. #SoGovs14
x39556712,MikeBeebeAR,2014-08-16T15:07:34Z,x500660141835161601,2,3,Governor Beebe says states will eventually need to band together to push for the inclusion of Medicare in payment transformation. #SoGovs14
x39556712,MikeBeebeAR,2014-08-20T14:27:06Z,x502099511519744004,3,8,"South Arkansas lands a 2nd wood pellet production plant in a month, as Highland Pellets heads to Pine Bluff: http://t.co/lc2UZ4GOrz #ARJobs"
x39556712,MikeBeebeAR,2014-08-22T21:24:55Z,x502929432240082945,5,8,Unemployment Insurance advances Arkansas received during the Great Recession will be repaid by year's end: http://t.co/9SvUuvOj0S #arnews
x39556712,MikeBeebeAR,2014-09-02T17:58:30Z,x506863752890036224,0,0,@DassaultFalcon has broken ground on a $60 million expansion in Little Rock: http://t.co/ncvrGcr7MR
x39556712,MikeBeebeAR,2014-09-10T19:20:57Z,x509783604008730624,9,11,"To commemorate Patriot Day, U.S. and Arkansas flags will be flown at half-staff from sunrise to sunset on Thursday, September 11."
x39556712,MikeBeebeAR,2014-09-10T20:16:58Z,x509797702066917377,2,5,"We have hosted many, many news conferences over the years, but very few with robots. http://t.co/0oeAmMNazJ #omgrobots"
x39556712,MikeBeebeAR,2014-09-12T16:40:41Z,x510468049875394560,13,15,Congratulations to @AmeriCorps and @billclinton for 20 successful years. Governor Beebe's column: http://t.co/GFi1tnG4LK #AmeriCorps20
x39556712,MikeBeebeAR,2014-09-17T15:49:01Z,x512266987544649728,6,7,"Beaudet Aviation, a supplier for @DassaultFalcon, will establish its first U.S. facility in Little Rock. http://t.co/BIlfXBz9BE #ARJobs"
x39556712,MikeBeebeAR,2014-09-20T19:08:39Z,x513404387247804417,36,40,Governor Beebe announces that his gubernatorial archives will be housed at @ArkansasState. Beebe is the only AR governor who is a graduate.
x39556712,MikeBeebeAR,2014-09-20T19:11:07Z,x513405010072571906,25,20,"""Without this place, I would never have become governor."" @ArkansasState #AState http://t.co/NkK2JYauqo"
x39556712,MikeBeebeAR,2014-09-20T19:21:53Z,x513407718485663744,8,9,The historic Kays House will house a reproduction of Beebe's State Capitol office. Very similar dimensions. #AState http://t.co/NsDWDgQTNI
x39556712,MikeBeebeAR,2014-09-20T19:26:55Z,x513408983580020736,8,7,"After fundraising efforts, the Kays House will also be home to the Mike Beebe Economic Development &amp; Education Institute. #AState"
x39556712,MikeBeebeAR,2014-09-22T16:20:54Z,x514086947933782016,3,3,Arkansas's biggest single economic-development project is officially underway. http://t.co/5EvuENjix6 #ARJobs http://t.co/Uobc4XWdan
x39556712,MikeBeebeAR,2014-09-24T16:41:00Z,x514816783329792000,5,10,Standing Room Only on the bank of the Arkansas River for the #USMarshalsMuseum groundbreaking. http://t.co/BYEhY67bv5
x39556712,MikeBeebeAR,2014-09-24T16:59:08Z,x514821347579797504,4,5,The view from the #USMarshalsMuseum site. #NaturalState http://t.co/hnr8veVrLR
x39556712,MikeBeebeAR,2014-09-24T17:40:16Z,x514831698463563776,5,5,Groundwork for the #USMarshalsMuseum is officially underway. Lots of work still ahead to get it finished. http://t.co/D2kIUeqNEi
x39556712,MikeBeebeAR,2014-09-24T22:09:00Z,x514899327568068608,0,1,"@HHSGov report estimates $5.7 billion national reduction in uncompensated care for 2014, highlights Arkansas. http://t.co/XQ2lgvIo0F #ARNews"
x39556712,MikeBeebeAR,2014-10-02T20:20:50Z,x517771209539596288,7,7,"Today, Arkansas finished repaying the U.S. Government $360 million in unemployment insurance. How we did it: http://t.co/7mCJ6V4FUJ #ARNews"
