user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x232268199,NYGovCuomo,2018-10-12T17:53:39Z,x1050806720858066945,131,39,"Coming soon: 44 new electric vehicle charging ports in Rochester &amp; Buffalo! Expanding our EV infrastructure across the state will help us reduce greenhouse gas emissions and combat climate change. So far, NY has helped install 2,000 charging ports.
https://t.co/Kfs92zBBLP"
x232268199,NYGovCuomo,2018-10-13T23:43:03Z,x1051257035583614976,2878,1274,"Authorities must review these videos immediately and make arrests and prosecute as appropriate.  Hate cannot and will not be tolerated in New York.  

Here's a message from a Queens boy to the so-called 'proud boys' – ​NY has zero tolerance for your bs. ​https://t.co/xGxIqeZumm"
x232268199,NYGovCuomo,2018-10-14T19:42:25Z,x1051558864825532417,201,44,"Today we recognize New York's faith groups and clergy, who do so much to alleviate the suffering of the neediest, build communities, and give a sense of meaning and belonging to so many. We thank you for your dedication and service in helping others. #ClergyAppreciationDay"
x232268199,NYGovCuomo,2018-10-15T17:39:54Z,x1051890423160033281,128,41,"This funding will help provide the critical support needed to help New Yorkers affected by HIV/AIDS live full lives with a safe place to call home.  I will always fight to ensure the most vulnerable among us have access to decent and affordable housing.
https://t.co/wBwgDK0XgP"
x232268199,NYGovCuomo,2018-10-15T19:20:23Z,x1051915708865699841,75,24,"Getting a flu shot is the best way to stay healthy as flu season approaches. I encourage all New Yorkers to get vaccinated as soon as possible — contact your local health care provider or pharmacy.
https://t.co/C44VSdV7Mu"
x232268199,NYGovCuomo,2018-10-15T22:16:27Z,x1051960016973025280,150,44,"The new Hudson Link bus service will take commuters across the Governor Mario M. Cuomo bridge in 31 new state-of-the-art buses with connections to Metro-North stations in Westchester County.

Learn more:
https://t.co/eoPo88jX39"
x232268199,NYGovCuomo,2018-10-16T16:57:41Z,x1052242184739667968,802,363,This was the GOP's plan all along. Give billions in tax cuts to the richest Americans and corporations — then slash social programs that the less fortunate rely on. We won't let them get away with it. https://t.co/l4WytJAGOL
x232268199,NYGovCuomo,2018-10-16T20:10:18Z,x1052290657811881985,185,39,"All across the state, New York is investing in airports big and small. Today we broke ground on the $24.7 million expansion of Ithaca Tompkins Regional Airport. This expansion will bring more visitors to the Southern Tier and help the upstate economy thrive. https://t.co/hCkEmqxcku"
x232268199,NYGovCuomo,2018-10-17T18:10:10Z,x1052622816443535360,203,34,The beautiful new Schenectady Train Station is a smart investment for a city in the midst of a renaissance. https://t.co/pB9egZpJgp
x232268199,NYGovCuomo,2018-10-17T20:10:54Z,x1052653197389717505,236,96,"Hate has no place in New York. I am directing the @NYSPolice Hate Crimes Unit to monitor these anti-Semitic incidents as well as all acts of bias and work with local law enforcement to ensure those responsible are held to account.
https://t.co/TzSYMajaJi"
x232268199,NYGovCuomo,2018-10-18T14:28:49Z,x1052929496704274433,342,104,Last night I toured the Gateway Tunnel to expose corrosion and damage. These tunnels are over 100 years old and were damaged during Sandy. They urgently need to be replaced. President Trump and the federal gov't needs to stop playing politics &amp; fund their share of the repairs. https://t.co/0jmp7hUq2I
x232268199,NYGovCuomo,2018-10-18T17:40:54Z,x1052977837005819906,341,86,These tunnels are deteriorating and it will be multiple years before anything new can be built. Time is of the essence. https://t.co/zWihIe4sQR
x232268199,NYGovCuomo,2018-10-19T11:39:03Z,x1053249164602150912,358,122,"The Hudson River tunnels are in urgent need of repair. The federal government must stop playing politics and fund the Gateway Tunnel project—the nation’s most urgent major infrastructure project. 

Here’s the video I sent President Trump: https://t.co/TH1PVXLdPb"
x232268199,NYGovCuomo,2018-10-22T19:50:23Z,x1054459974045392896,50,17,Congrats to @UofR @RITtigers and @SUNYSFLK! https://t.co/qVnoi0DFRo
x232268199,NYGovCuomo,2018-10-22T20:41:47Z,x1054472909874479107,132,53,"Discriminating against pregnant people is illegal and we will hold employers who violate the law fully accountable.

Pregnant or breastfeeding in the workplace? Know your rights:
https://t.co/uhIsVMeYwB https://t.co/t2v88UPL1b"
x232268199,NYGovCuomo,2018-10-22T22:57:48Z,x1054507138507247618,605,172,"For many of us, pets are part of the family, and no one should be forced to abandon them in the event of an evacuation.

This common-sense legislation will bring comfort to pet owners in times of distress. https://t.co/xP2AT5Rn9K"
x232268199,NYGovCuomo,2018-10-23T17:26:12Z,x1054786079100977153,94,17,"Today is the opening of the new student-designed community playground at P.S. 218 in Brooklyn! This playground is part of the state's Vital Brooklyn initiative that will expand access to green space and outdoor recreation. 
https://t.co/0U0WSX1dj0"
x232268199,NYGovCuomo,2018-10-24T16:47:39Z,x1055138765889552384,173,101,Gov. Cuomo Holds Briefing with NYPD and Mayor De Blasio https://t.co/qRO2K1ZSKD
x232268199,NYGovCuomo,2018-10-24T16:58:04Z,x1055141386830405632,794,259,We are New Yorkers. We are smart. We are tough. We are resilient and we will not allow these terrorists to change the way we lead our lives. https://t.co/fA2cmtFfGb
x232268199,NYGovCuomo,2018-10-24T21:06:20Z,x1055203864281079811,614,250,"Out of an abundance of caution, I am deploying additional National Guard soldiers and directing State law enforcement to double security at vital transportation assets across New York.

New Yorkers have never succumbed to fear or intimidation, and today will be no different. https://t.co/8XxY7jWYTJ"
x232268199,NYGovCuomo,2018-10-26T18:43:22Z,x1055892659221524481,119,36,"Today we mourn the loss of a great public servant, our dear friend Drew Zambelli. I've known Drew for more than 35 years. He was more than just an advisor to my father and me — he was part of our family. We send our deepest condolences to his wife Barbara and their children. https://t.co/B6lAYn4EMa"
x232268199,NYGovCuomo,2018-10-26T19:35:40Z,x1055905823589888000,107,41,"Wet, windy and potentially snowy weather is on the way for the weekend and I have directed state agencies to prepare roads, personnel and supplies for possible hazardous conditions. I urge all New Yorkers to make sure they are prepared.
https://t.co/r53adpZNRd"
x232268199,NYGovCuomo,2018-10-27T17:08:18Z,x1056231125117472770,869,241,New York grieves for those who were killed and prays for those who were injured in this heinous anti-Semitic attack in Pittsburgh. As a nation we must stand together and stand against the corrosive and destructive forces of hate in all of its forms. https://t.co/eyBfd11tS7
x232268199,NYGovCuomo,2018-10-28T17:16:47Z,x1056595648114515968,1554,288,"I am directing that flags be flown at half-staff in honor of the victims of the hate-inspired shootings in Pittsburgh and Kentucky. We mourn for the victims, and I join with all New Yorkers to call for peace and civility and to denounce hate in all its forms."
x232268199,NYGovCuomo,2018-10-28T17:17:03Z,x1056595715399413762,549,133,"The events of the past week do not represent who we are as a nation. The hateful rhetoric and violence are ripping at the fabric of America, and it must stop. In this hour of darkness, we must unite and not divide — and we must stand together against the corrosive forces of hate."
x232268199,NYGovCuomo,2018-10-29T20:50:00Z,x1057011691190403073,799,224,Our country must stand together against the corrosive and destructive forces of hate. https://t.co/hth881fGno
x232268199,NYGovCuomo,2018-10-30T17:24:34Z,x1057322382786990082,167,72,"Hate crimes have no place in New York and this funding will help those who are targeted due to their ideology, beliefs, or mission to take additional steps to increase the security of their facilities and keep our communities safe. https://t.co/tg2vHRv8hI"
x232268199,NYGovCuomo,2018-10-31T00:20:42Z,x1057427104646742019,277,101,We must stand together and stand against the corrosive and destructive forces of hate in all of its forms. https://t.co/13FA9l9khb
x232268199,NYGovCuomo,2018-10-31T00:39:03Z,x1057431723951226881,437,120,"We have zero tolerance for discrimination and hate in the State of New York.

Hate is not protected by our law. Not in speech or in action. 

You have my word as Governor that we will stamp out discrimination whenever and wherever it rears its ugly head. https://t.co/13FA9l9khb"
x232268199,NYGovCuomo,2018-10-31T02:15:52Z,x1057456088885407745,768,195,There is no place for hate in our state and New York lives by the credo: that the most powerful four-letter word is still love. https://t.co/Z5rc5b5UFX
x232268199,NYGovCuomo,2018-10-31T17:34:20Z,x1057687226493100035,175,39,Very happy to announce that the $79.4 million modernization of the Greater Rochester International Airport is completed on time and on budget! This project will bring new jobs and growth and the Airport will be a beautiful front door to the entire Finger Lakes region. https://t.co/Y05PWi2rVd
x232268199,NYGovCuomo,2018-10-31T19:28:22Z,x1057715926433447937,178,65,"It is unconscionable that any company would force someone to choose between job security and the health of herself and her child. In New York, discrimination against those who are pregnant is illegal, and we will hold employers who violate the law fully accountable. https://t.co/BSUV9LBXos"
x232268199,NYGovCuomo,2018-11-01T14:35:43Z,x1058004664103460865,169,48,"We lost a giant of the transportation planning world this week. Bill Wheeler epitomized what public service is all about – selflessly getting important things done for the people of the state. We will miss him dearly.
https://t.co/ojSxN5mR1Z"
