user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x142334996,OHPressSec,2016-08-12T19:17:05Z,x764178913425813504,1,0,The 1st #OhioExports interns made a lasting impact on global sales for small businesses. https://t.co/gfulF1z8w9 https://t.co/9QPnH4adEU
x142334996,OHPressSec,2016-08-30T16:07:06Z,x770654083237679105,4,4,"Great to see stories that highlight those on the frontlines
of helping the drug addicted. https://t.co/s33MDs947C"
x142334996,OHPressSec,2016-08-30T19:12:35Z,x770700763702169600,4,4,"“This is a battle Ohio cannot afford to lose and only with
your help can we have any hope of success."" https://t.co/7HxW5LqqEu"
x142334996,OHPressSec,2016-09-01T18:01:49Z,x771407728631812096,4,2,"#OhioWorks. READ MORE: https://t.co/jnOIUbWWWp,
https://t.co/r0mMBlOfns https://t.co/oucPNRbZex"
x142334996,OHPressSec,2016-09-12T14:56:39Z,x775347399476797440,2,1,"We can all #HelpOhioHeroes by spreading awareness &amp;
sharing resources to prevent tragic veteran suicide. https://t.co/SWPGBQAns5"
x142334996,OHPressSec,2016-09-12T19:19:16Z,x775413487388483586,12,9,Robust discussion today w/Cabinet on Ohio's battle against drug abuse. https://t.co/JXgER8fpC1
x142334996,OHPressSec,2016-09-13T18:24:43Z,x775762145401331716,10,2,"Gov. Kasich asks workforce board to work w/educators, higher ed &amp;labor to find strategies for future workforce needs https://t.co/gjD8K0qpWv"
x142334996,OHPressSec,2016-09-16T00:33:55Z,x776579835657322502,1,0,Q&amp;A after bipartisan strategy session will stream live around 11:30am. https://t.co/kR97Di3wBv
x142334996,OHPressSec,2016-09-16T19:25:00Z,x776864480793882625,6,3,WHAT THEY ARE SAYING: Support for Trans-Pacific Partnership Trade Agreement https://t.co/wH0Oz8iG1R
x142334996,OHPressSec,2016-09-16T19:36:39Z,x776867413015064576,3,2,WHAT THEY ARE SAYING: Support for Trans-Pacific Partnership Trade Agreement https://t.co/xO9pdcPhIs
x142334996,OHPressSec,2016-09-16T19:48:22Z,x776870363129053184,3,2,WHAT THEY ARE SAYING: Support for Trans-Pacific Partnership Trade Agreement https://t.co/8bp3rQTeqq
x142334996,OHPressSec,2016-09-16T20:02:27Z,x776873904279347200,3,2,WHAT THEY ARE SAYING: Support for Trans-Pacific Partnership Trade Agreement https://t.co/Agk7BzQ7zh
x142334996,OHPressSec,2016-09-16T20:15:44Z,x776877247160586240,3,2,WHAT THEY ARE SAYING: Support for Trans-Pacific Partnership Trade Agreement https://t.co/rGYZVOispa
x142334996,OHPressSec,2016-09-16T20:32:14Z,x776881403027939329,6,5,WHAT THEY ARE SAYING: Support for Trans-Pacific Partnership Trade Agreement https://t.co/2craYgnw55
x142334996,OHPressSec,2016-09-27T16:56:17Z,x780813321452781568,5,2,"Packed house of 1,600 economic development leaders from across the globe here in Cleveland. #IEDCCleveland https://t.co/Ol8XwySMCZ"
x142334996,OHPressSec,2016-09-28T20:37:14Z,x781231314821378049,5,4,Ohio high school students &amp; their families saved $110M in college tuition in the 1st year of College Credit Plus! https://t.co/aBKwnXsmbD
x142334996,OHPressSec,2016-10-03T16:11:54Z,x782976481735639041,2,2,Gov. @JohnKasich celebrates the ribbon cutting of a new fitness center at Liberty High School. https://t.co/uuYzuPZjUT
x142334996,OHPressSec,2016-10-04T18:43:03Z,x783376904485269508,1,2,"Ohio's Crisis Text Line is now available statewide. The free, confidential service operates 24/7 at 741741. https://t.co/gAtmRQx3dD"
x142334996,OHPressSec,2016-10-28T15:39:55Z,x792028129669906436,2,7,"Ohio is creating an economic climate for job creation. 
@fuyaousa is seizing this opportunity.
https://t.co/sOVRMkVZKI"
x142334996,OHPressSec,2016-11-04T14:08:50Z,x794541919472939008,6,5,"Great attendance at our first student summit to stop sexual assault on campus.
https://t.co/aSJyTlB0NA"
x142334996,OHPressSec,2016-11-04T19:17:09Z,x794619513153224704,12,4,"Much gratitude for the continued service of all those inducted into the Ohio Veterans Hall of Fame this year.
https://t.co/AU5kYPYi3p https://t.co/xDPasK7rUE"
x142334996,OHPressSec,2016-11-17T19:41:27Z,x799336669723947009,2,2,"Through Ohio’s Shared Living Program, families open their home &amp;hearts to someone w/developmental disabilities. MORE:https://t.co/h6eaIF9sGs"
x142334996,OHPressSec,2016-11-22T19:17:18Z,x801142531014742016,1,0,"With a record numbers of travelers expected this holiday season, stay ahead of the crowd with #OHGO https://t.co/gYG60WYytO"
x142334996,OHPressSec,2016-11-25T18:31:58Z,x802218287463563264,3,4,"""Kasich has pushed for Ohio to be a leader in the fast-advancing testing and research of autonomous vehicles."" https://t.co/g7hrO6wTuS"
x142334996,OHPressSec,2016-11-25T20:08:23Z,x802242549780021249,0,1,Go Bucks! cc:@ESPNCFB @BleacherReport @espn @NBCSports @NCAAFootball @SportsCenter https://t.co/JSuFPUfWH4
x142334996,OHPressSec,2016-12-12T22:52:50Z,x808444528252375040,0,0,THE CANTON REPOSITORY: Lawmakers ease naloxone rules for schools https://t.co/Q8KmmRJ5Yc
x142334996,OHPressSec,2016-12-27T22:27:20Z,x813873929752346625,5,9,"What They Are Saying: HB 554
READ HERE: https://t.co/7DvBxQwBqf"
x142334996,OHPressSec,2017-01-18T15:39:06Z,x821743729182703619,4,2,A reminder: @JohnKasich said no to this. https://t.co/85aCYNAdgA
x142334996,OHPressSec,2017-01-30T23:05:32Z,x826204728426119171,0,5,What They're Saying About Gov. Kasich's Budget: https://t.co/BFBghWLNRe
x142334996,OHPressSec,2017-01-30T23:24:36Z,x826209527662051329,1,4,What They're Saying About Gov. Kasich's Budget: https://t.co/SLJtD4rMJW
x142334996,OHPressSec,2017-02-01T17:00:04Z,x826837534575562752,4,5,Ohio has invested $1B into fighting the opiate epidemic https://t.co/6pnOsrWCHO #apforum2017
x142334996,OHPressSec,2017-02-01T17:16:14Z,x826841601481830400,9,3,"""Fiscal balance and stability have been – and will continue to be – the most important signal Ohio can send to job creators"" #apforum2017 https://t.co/RUsL5mdH20"
x142334996,OHPressSec,2017-02-06T22:16:34Z,x828729122599878656,5,3,"Want to show your gratitude to OH veterans? Hire one!
Register your biz today to discover the benefits of hiring veterans &amp;
military spouses https://t.co/BTyUYa9Zb4"
x142334996,OHPressSec,2017-02-13T19:57:19Z,x831230794622435328,5,4,"""Ohioans no longer need to move to some other state in order to pursue cutting-edge, high-paying careers"" https://t.co/lS6uZR9uyj"
x142334996,OHPressSec,2017-03-07T14:28:14Z,x839120511628165124,4,3,"Great local tips for those visiting Sandusky for State of the State.
Click here for a chance to attend the address: https://t.co/eNNGLQfhKV https://t.co/U04m4r0N25"
x142334996,OHPressSec,2017-03-22T23:01:46Z,x844685561684283393,1,1,Best of luck in this new chapter of your career. https://t.co/xsnMQQCkB2
x142334996,OHPressSec,2017-03-30T14:18:42Z,x847453034477047808,80,31,"LIVE Gov. Kasich is joined by legislators &amp; key health licensing boards to announce new limits on opiate prescribing
https://t.co/Trn1cKewjI"
x142334996,OHPressSec,2017-04-03T18:42:21Z,x848968935265501185,1,0,cc:@amazon_policy https://t.co/KT0fMbujjH
x142334996,OHPressSec,2017-04-03T23:03:03Z,x849034542585450498,29,10,Looks like @sandusky2018 is really rolling out the red carpet for the State of the State address. #OHSotS https://t.co/giXXpmrscP
x142334996,OHPressSec,2017-04-04T22:35:36Z,x849390021564145664,2,0,Gov. Kasich takes a few minutes before the State of the State address to snap some pictures. #OHSotS https://t.co/htSWMk4iE9
x142334996,OHPressSec,2017-04-04T22:49:17Z,x849393463909109761,1,0,The city of Sandusky is lined up for tonight's State of the State. #OHSotS https://t.co/E6cbSF3P02
x142334996,OHPressSec,2017-04-04T23:06:51Z,x849397884713922560,1,2,It's almost time. Watch LIVE at https://t.co/pYRQe1HZ3f #OHSOTS https://t.co/QfIkUvzEWd
x142334996,OHPressSec,2017-04-04T23:23:41Z,x849402123313967104,7,3,"Since 2011, Ohio has created the 8th most private sector jobs in the nation. #OHSotS"
x142334996,OHPressSec,2017-04-04T23:47:20Z,x849408073093525505,1,2,A strong economy has allowed funding for K-12 education to hit all-time highs. #OHSOTS https://t.co/TAgCyTwlhE https://t.co/yr0bz5NSq1
x142334996,OHPressSec,2017-04-04T23:57:34Z,x849410648408813570,2,3,"From 1991-2010, Ohio ranked 48th in job growth rate. Since Gov. Kasich came into office Ohio has jumped to 25th. Let's keep rising! #OHSOTS"
x142334996,OHPressSec,2017-04-14T00:47:10Z,x852684619568865283,1,0,Cc:@OSHP https://t.co/hfeUvOm8jw
x142334996,OHPressSec,2017-05-11T16:59:57Z,x862713904715243520,2,0,Great event and press gaggle in Bluffton talking about workforce reforms. https://t.co/qWGzEs35Mo
x142334996,OHPressSec,2017-05-19T15:37:57Z,x865592369260974080,2,1,"Congratulations to this year’s inductees! Grateful for each of them
and their outstanding service to Ohio communities. https://t.co/y16dpy38Of"
x142334996,OHPressSec,2017-06-12T17:40:33Z,x874320532472295424,10,5,Great standing ovation from the nearly 1000 high school seniors attending Buckeye Girls State.
x142334996,OHPressSec,2017-06-26T20:49:34Z,x879441530167099392,4,3,"Pleased to see such a strong reception for @JohnKasich's
package of environmental reforms.
https://t.co/KH1FBZ7vmW"
x142334996,OHPressSec,2017-07-03T17:21:24Z,x881925857199214593,4,6,"Balanced budgets: A given in Ohio, but elusive for many other states.
 https://t.co/00KsZhPZP2"
x142334996,OHPressSec,2017-07-14T19:17:31Z,x885941345411584000,842,558,"The claim is not accurate. It's been fact checked twice. 

https://t.co/xiDh4Vi1tj

https://t.co/OEQSZP2Tw7 https://t.co/10eg2EPgad"
x142334996,OHPressSec,2017-07-25T14:48:16Z,x889859852855648259,43,17,"We'll soon be live streaming Gov @JohnKasich's comments in Cleveland at signing of SB 2, a bill to protect Lake Erie https://t.co/JS3idGGnTa"
x142334996,OHPressSec,2017-07-27T01:51:42Z,x890389198825545728,6,8,Gov. Kasich will join representatives from the @OSHP and Dept of Agriculture for a press conference at 10:15 re: Ohio State Fair incident.
x142334996,OHPressSec,2017-08-11T21:34:01Z,x896122555563507712,6,1,"The moment the federal gov't makes additional resources available, we will do whatever is necessary to get them to Ohio as fast as we can. https://t.co/FtImzTPA6u"
x142334996,OHPressSec,2017-11-01T19:14:39Z,x925803290088140800,72,22,Gov. Kasich talking to Ohio manufacturers about how we keep our workforce the best in the nation. https://t.co/imkaJrvEm7
x142334996,OHPressSec,2017-12-19T16:27:34Z,x943155859965796353,6,3,"Our year-end accomplishments doc is LIVE. 7+ pages documenting the great work done this year to strengthen Ohio!

LINK: https://t.co/7nDXGfGJt8"
x142334996,OHPressSec,2018-10-29T13:16:13Z,x1056897494733471744,0,1,"Since taking office, the Kasich Administration has focused increased attention and record levels of state funding on this long-neglected issue, making significant progress to ensure the safety of public and privately owned dams in Ohio.

https://t.co/I8B2Qe1o9q"
