user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x858716964,PFTCommenter,2018-11-14T00:39:58Z,x1062505383376363526,849,19,they call me kenny bloggins becuz' were on the highway to the danger zone brobie https://t.co/9SJ1uqRxjd
x858716964,PFTCommenter,2018-11-14T01:17:34Z,x1062514845399085056,315,22,Tom Wilson begins his negative 2 game supsension tonight so they should let him skate unapposed for the next 6 periods to make up for it @Espngreeny who say’s no?
x858716964,PFTCommenter,2018-11-14T02:31:36Z,x1062533478514876416,5514,383,Dumbass coach shouldnt of gone for two when they brought it to 20-24 https://t.co/KRSvOXC3WF
x858716964,PFTCommenter,2018-11-14T02:55:36Z,x1062539518639857669,1012,38,Great point John Kuhn. Our senators shoud be sending UN officalls to provide oversight to colorush Thursday https://t.co/MYOFGAxh83
x858716964,PFTCommenter,2018-11-14T12:07:53Z,x1062678502128914432,1217,60,"Wake up feeling dangerous

Also charitible. Mostly charitible

Baker on PMT
https://t.co/cO8DSITOAi"
x858716964,PFTCommenter,2018-11-14T13:15:21Z,x1062695481120378882,803,167,We are partnering w @bakermayfield to launch a line of merch and giving 100% of the net procedes to @SpecialOlympics. Get ur Baker stuff here and support a good cause https://t.co/qu30X7UlzU https://t.co/QfHtSPwQjy
x858716964,PFTCommenter,2018-11-14T15:10:41Z,x1062724507411058692,496,6,Ur call Danny. Hes a baker but Tampa bay has a barber. Just somthing to think about https://t.co/qEcXzHNxWx
x858716964,PFTCommenter,2018-11-14T15:58:51Z,x1062736628001767425,54,0,Big If True starting now Sirius XM 85. Call in 833-85-stool if u think your smarter than a blogger
x858716964,PFTCommenter,2018-11-14T17:31:15Z,x1062759883194462208,699,23,From Throwing footballs at Palmtrees to throwing them at Crabtree’s. Big  revenge game for RG3 this week verse his old coach Hue Jackson and the Bengals https://t.co/3KGhctUxy3
x858716964,PFTCommenter,2018-11-14T17:32:08Z,x1062760105509355521,3924,322,"Dog: vontaze burfict
Leaves: RG3s remaning ligaments https://t.co/5GEb3bxnuL"
x858716964,PFTCommenter,2018-11-14T21:02:32Z,x1062813053723516942,4591,251,Hey @Money23Green what are youre thoughts https://t.co/uyOI75ziPm
x858716964,PFTCommenter,2018-11-15T00:50:36Z,x1062870447233122305,1297,70,Two handed Layup count’s the same &amp;dosent run the risk of breaking the goal and making kids at home stay up past there bedtime waiting for a replacement https://t.co/2Qd8K5NElU
x858716964,PFTCommenter,2018-11-15T13:50:42Z,x1063066764270075904,3675,281,When the Packer’s are playing colorush and u remember u wont be seeing Clinton Dix https://t.co/qQP1n6V5H0
x858716964,PFTCommenter,2018-11-15T14:02:42Z,x1063069784672231424,122,7,👀👀👀20% off 2day https://t.co/B6ZbnpS4mI https://t.co/BCPMfeXKAx
x858716964,PFTCommenter,2018-11-15T17:53:54Z,x1063127968342532096,884,126,“Pluto the dog is a aberration”. Incredble. There shoud be a wikipedia solely written and edited by Mike Leach https://t.co/7mSFfEKZNf
x858716964,PFTCommenter,2018-11-15T17:57:09Z,x1063128788542873600,21382,2559,Its the beers I didnt’ drink that continue to haunt me https://t.co/OoKT3KUhxY
x858716964,PFTCommenter,2018-11-15T18:33:09Z,x1063137848952537094,8645,624,GRITTY FUCKING LOVES COCANE https://t.co/3OkBkRDnfR
x858716964,PFTCommenter,2018-11-15T19:03:15Z,x1063145420812115968,940,46,Could get intresting with Flacco out and Jackson out the Ravens are down to there third string WR
x858716964,PFTCommenter,2018-11-15T20:09:24Z,x1063162068227031041,1238,55,❄️❄️❄️ https://t.co/kgKXu0rNHV
x858716964,PFTCommenter,2018-11-15T21:59:34Z,x1063189792509362182,946,57,this is worse then the bounty stuff https://t.co/jSx2cx2nZ6
x858716964,PFTCommenter,2018-11-16T00:11:46Z,x1063223063796436993,306,5,"Tomorows Pardon My Take is w NFL TE superstar Stone Cold George Kittle dicsussing getting mic'd up, nick mullens, and much much more get exited stay exited https://t.co/VD0UvCoPJT"
x858716964,PFTCommenter,2018-11-16T00:54:59Z,x1063233937525391360,1568,149,U have my attenton https://t.co/EIdZB8E7bv
x858716964,PFTCommenter,2018-11-16T01:28:07Z,x1063242276305072128,1484,76,if im Pete Caroll im tossing in a couple more peaces of double bubble to prepare my jaw 4 the ass chewing im gona give Chris Carson at halftime
x858716964,PFTCommenter,2018-11-16T02:03:14Z,x1063251112764026883,2592,192,"The Packers collect these random homeless wide recevers over the course of a season youll never hear from again,there like Lena Dunhams dogs"
x858716964,PFTCommenter,2018-11-16T02:57:22Z,x1063264737641881601,518,22,I miss the Gensis halftime show. Give me a 75 second Marcy Playground concert @nflnetwork I promiss to buy a Genesis whatever that is
x858716964,PFTCommenter,2018-11-16T03:14:57Z,x1063269161550401536,2241,205,Just had this photo sent 2 me: if this man says hes to poor to pay Khalil Mack how come he can afford to dress up so sexual and fashinably? Dosent add up https://t.co/OBmQT8Lib3
x858716964,PFTCommenter,2018-11-16T03:21:23Z,x1063270782619582465,3097,59,😍😍😍 are mom and dad geting back 2gether? https://t.co/fODBCZeZVo
x858716964,PFTCommenter,2018-11-16T04:06:48Z,x1063282211884081152,6305,422,Cant beleve Tommy would disrepsect the most educational news progrum in America like this smh https://t.co/xF3fRwJZ7z
x858716964,PFTCommenter,2018-11-16T14:00:18Z,x1063431569602478080,152,8,"New PMT with @gkittle46 is up now plus:
-fantasy fuccbois
-crystal ball playoff peepin 
-how the city of Chicago is launching a smear campain against Pat Mahomes
https://t.co/gqUIqIWHQK https://t.co/GJQzGItQjF"
x858716964,PFTCommenter,2018-11-16T19:02:05Z,x1063507516452163586,25151,3650,"🎵But its’ just the price I pay
50grand for my AK 
Stolen from my phantom riiiiiide
Im Mr whiteside🎵

https://t.co/Wz6OaBJldM"
x858716964,PFTCommenter,2018-11-16T19:05:44Z,x1063508436669906944,930,37,Insaneley true https://t.co/bTmRxD2AQG
x858716964,PFTCommenter,2018-11-17T00:40:40Z,x1063592723087794178,1879,93,"No nut november,, expert level https://t.co/2QbGYGEPCi"
