user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x16963843,PabloTorre,2018-11-03T19:24:01Z,x1058801993844690945,482,34,I am here for Manu’s eFG takes https://t.co/9oiLO2YrPI
x16963843,PabloTorre,2018-11-04T19:06:19Z,x1059159926227001344,378,30,I can’t wait for The Peter Man to start next week
x16963843,PabloTorre,2018-11-05T20:22:06Z,x1059541385483874305,324,15,"The new @AroundtheHorn debuts today, complete with at-home scoring, and I cannot wait to make everyone rue the day that I got -336 points https://t.co/rRJ4p9Q3ST"
x16963843,PabloTorre,2018-11-05T21:11:22Z,x1059553785444552704,221,29,"Michael Irvin on First Take was one part James Brown, one part Howard Dean, and several quarts @LeBatardShow https://t.co/3ophHj4zfE"
x16963843,PabloTorre,2018-11-08T00:23:04Z,x1060326803217309697,66,5,#WhiteDonte is going to see @CJMcCollum in his nightmares https://t.co/hPGdfTK5j5
x16963843,PabloTorre,2018-11-10T03:20:20Z,x1061096191335768064,1387,263,Joel Embiid played organized basketball for the first time in 2009
x16963843,PabloTorre,2018-11-10T03:31:52Z,x1061099090753216513,182,10,He can roast this tweet in his third language tho https://t.co/bVKVlak3M5
x16963843,PabloTorre,2018-11-10T19:04:07Z,x1061333699990568960,490,95,"Reporter: Karl, thoughts on the tr—
Karl Anthony Towns: https://t.co/6BsWfamYbD"
x16963843,PabloTorre,2018-11-10T19:19:59Z,x1061337694633111553,709,63,"I will never forget you, Robert Covington https://t.co/nFjvx2Wdkv"
x16963843,PabloTorre,2018-11-13T01:35:51Z,x1062157059490308098,312,30,A victorious Jason Garrett was smiling like a man in a Cialis commercial https://t.co/83EV2hrBHG
x16963843,PabloTorre,2018-11-13T16:55:32Z,x1062388505177927682,42,1,🤔🤔🤔🤔🤔🤔🤔🤔🤔 https://t.co/35JSNfUe6j
x16963843,PabloTorre,2018-11-13T17:13:47Z,x1062393099761127424,0,0,@BeardedChris Fair
x16963843,PabloTorre,2018-11-13T23:06:41Z,x1062481906082680834,144,16,Bills finally releasing The Peter Man is like when Genie got freed at the end of Aladdin https://t.co/l2S9v1pSbr
x16963843,PabloTorre,2018-11-13T23:25:53Z,x1062486741112754176,1758,252,This GIF gets better with every passing day https://t.co/Kgwb5BlIYR
x16963843,PabloTorre,2018-11-14T03:36:57Z,x1062549923894312960,75,6,tfw the news cycles https://t.co/qf1PZk2EAT
x16963843,PabloTorre,2018-11-16T02:10:03Z,x1063252831258456064,42,6,Did Andrew Wiggins jumpkick Nikola Mirotic in the bofa? A @HIGHNOONonESPN investigation: https://t.co/hCsn8ZOT1q
x16963843,PabloTorre,2018-11-16T22:57:53Z,x1063566857028993030,249,29,I asked Barkley if he was surprised Tiger didn’t know what “coming home” meant. Charles replied: “Lol hell no. Just a nerd” https://t.co/taCxJPr0Aj
