user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x293131808,PattyMurray,2018-10-29T19:04:00Z,x1056985016918568966,112,38,"""These recent events have left me saddened. But what it hasn’t done is cause me to give up. We didn’t give up in 1992, &amp; so we can’t give up now.""

READ Senator Murray rallies everyone to keep fighting after Justice Kavanaugh's confirmation in @Refinery29: https://t.co/mr57IhRivx"
x293131808,PattyMurray,2018-10-29T20:30:21Z,x1057006746802237440,70,46,"States should be doing more to track maternal deaths &amp; understand their causes so we can do more to prevent them. That's why I fought to strengthen federal investments to help address this heartbreaking crisis.
 
WATCH: https://t.co/0PXUgAXjY8"
x293131808,PattyMurray,2018-10-29T21:03:00Z,x1057014963737219073,144,46,"Just like when I ran for the Senate, there are women who want to make changes in our country who have been told that they're “crazy” for trying. 

I'm happy to see that these women are NOT listening—I didn't give up &amp; you shouldn't either.

https://t.co/mr57IhzH6X"
x293131808,PattyMurray,2018-10-29T22:03:01Z,x1057030066381574144,1556,857,"According to President Trump, the best way to improve health care is to back a lawsuit that will strike down protections for patients w/ pre-existing conditions &amp; allow insurance companies to offer #JunkPlans.

This isn't improvement—it's sabotage. #ProtectOurCare"
x293131808,PattyMurray,2018-10-30T00:03:00Z,x1057060262140727296,263,153,"President Trump and Republicans are trying to:

 ❌ take away protections for people with pre-existing conditions, and
 ❌ strip power from patients to hand back over to insurance companies

We can't let that happen. #ProtectOurCare"
x293131808,PattyMurray,2018-10-30T01:04:00Z,x1057075613662670849,104,53,"To end the heartbreaking crisis of maternal deaths, we must: 

✔️support state efforts
✔️expand evidence-based programs
✔️improve care across clinical &amp; public health systems 

Each &amp; every mother across this country deserves to have a healthy pregnancy. 

https://t.co/HnOKwG4ae5"
x293131808,PattyMurray,2018-10-30T02:03:00Z,x1057090461872066560,233,88,"What Justice Thomas' &amp; Justice Kavanaugh's confirmation hearings did: 
✔ motivated women to make a change

What they didn't do:
❌ stopped women from getting to work

READ why Sen. Murray wants everyone to keep speaking out &amp; making waves in @Refinery29: https://t.co/mr57IhRivx"
x293131808,PattyMurray,2018-10-30T15:03:00Z,x1057286754808418304,156,65,"""These recent events have left me saddened. But what it hasn’t done is cause me to give up. We didn’t give up in 1992, &amp; so we can’t give up now.""

READ: Sen. Murray rallies everyone to keep fighting after Justice Kavanaugh's confirmation in @Refinery29 ➡️ https://t.co/mr57IhzH6X"
x293131808,PattyMurray,2018-10-31T16:01:11Z,x1057663786121879552,29,9,"I am grateful for programs like @WSACouncil's 12th Year Campaign, which will help students in WA fill out #FAFSA forms to help fund their higher education and workforce training goals—and help them have the knowledge to change the world. 
 
LEARN MORE: https://t.co/n6BcGBQzzv"
x293131808,PattyMurray,2018-10-31T17:05:24Z,x1057679946477387776,203,101,"It's infuriating that President Trump &amp; Republicans support a lawsuit to take away protections for people with pre-existing conditions. 

We can't let them sabotage health care for MILLIONS of people and families across the country. #ProtectOurCare

https://t.co/3EyZA1yVek"
x293131808,PattyMurray,2018-10-31T18:11:58Z,x1057696697671933952,64,47,"Health care is a basic human right and every single person in this country deserves high quality, affordable coverage. Open enrollment through the #ACA begins TOMORROW. 

Sign up for health care or renew your plan here ➡️ https://t.co/TWIHimmWhs https://t.co/5JFmtix6Ie"
x293131808,PattyMurray,2018-10-31T19:03:00Z,x1057709541234798593,51,29,"""We wanted to show that we were just like them. We had constituents we cared about, issues we cared about and we were going to participate fully as senators.""

Senator Murray reflects on her early experiences as a woman in Congress in @FortuneMagazine ➡️ https://t.co/oGP82Rwjju"
x293131808,PattyMurray,2018-10-31T20:03:00Z,x1057724640120819712,200,151,"Republicans want you to believe they have a health care plan that defends patient protections, but this is NOT true. They're: 

❌ backing a lawsuit to take away pre-existing condition protections
❌ giving power to insurance companies through #JunkPlans

https://t.co/3EyZA1Qw5S"
x293131808,PattyMurray,2018-10-31T20:40:24Z,x1057734052281810946,31,11,It was wonderful speaking at @VanChamber's 4th Annual Women in Leadership Lecture alongside trailblazers @Sen_ACleveland and Nan Henriksen—so proud to see so many women empowering and lifting each other up in our shared work to help families and communities across WA. https://t.co/Cz3arMKnGf
