user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x41509142,Rachel__Nichols,2018-11-12T03:13:13Z,x1061819175167905792,2544,179,Yeah this is amazing 😂 https://t.co/zjBeZU61MQ
x41509142,Rachel__Nichols,2018-11-12T04:18:56Z,x1061835714575224832,563,69,👀 https://t.co/byS6xZcMAf
x41509142,Rachel__Nichols,2018-11-12T05:12:43Z,x1061849248235347968,252,36,Seems like @PaulPierce34 was exactly right about @TysonChandler a couple days ago. (Underrated part of this clip is TMac chiming in on Paul’s Kansas education. 😂) https://t.co/Bac8xViht1
x41509142,Rachel__Nichols,2018-11-12T05:18:18Z,x1061850651922071554,368,47,The campaign to #DraftVince for the All Star Game dunk contest continues.... https://t.co/SZdhGukL8c
x41509142,Rachel__Nichols,2018-11-12T18:01:23Z,x1062042688172646400,453,66,It’s officially official... https://t.co/KCiBlirA5B
x41509142,Rachel__Nichols,2018-11-12T22:58:04Z,x1062117353268273152,171,27,FORESHADOWING... https://t.co/QKW2sN7Nno
x41509142,Rachel__Nichols,2018-11-13T00:04:59Z,x1062134190731288576,717,162,"Last week’s deadly attack in Thousand Oaks was America’s 307th mass shooting in the first 311 days of 2018. Over the weekend, NBA players said “enough” - and got the backing of Commisioner Adam Silver. https://t.co/cmbpuerQ7A"
x41509142,Rachel__Nichols,2018-11-13T00:45:25Z,x1062144367006228480,252,41,"The NBA has no chill. We look at ANOTHER huge weekend that involved huge moves for huge names - including who's under pressure after the Jimmy Butler deal, and what exactly is going on with Carmelo. https://t.co/0wfIrhuLWZ"
x41509142,Rachel__Nichols,2018-11-13T02:39:50Z,x1062173161586737152,2653,597,Cool way to close out Veteran’s Day celebrations: a compilation @ESPN producers made of some of the great national anthems performed at sporting events. So many stirring moments; hopefully we give the same reverence to the fight for veterans benefits. They deserve all we can do. https://t.co/bsDEHqaolU
x41509142,Rachel__Nichols,2018-11-13T07:11:11Z,x1062241447343210497,383,37,Oh. https://t.co/ZdmTNgam5Q
x41509142,Rachel__Nichols,2018-11-13T22:22:52Z,x1062470881383989249,2236,550,"Tracy McGrady says Carmelo Anthony should retire - for his own sake. (Interesting to note that TMac retired at 34, the same age Melo is now &amp; has said that after spending his career as his teams' primary scorer, just hanging around in a player-coach/deep-bench role had no appeal) https://t.co/kew12S9Ift"
x41509142,Rachel__Nichols,2018-11-13T22:28:20Z,x1062472258965262337,53,7,#DraftVince https://t.co/flxqKYygxw
x41509142,Rachel__Nichols,2018-11-13T22:44:14Z,x1062476256854335488,154,25,"Sixers coach Brett Brown says Jimmy Butler ""mirrors the spirit"" of his new city and indeed, Jimmy's personal story ranks right up there with Rocky Balboa's. But he may have to temper his instincts some for things to be as Sunny in Philadelphia on Day 100 as they were on Day 1. https://t.co/kDh8H6Il0h"
x41509142,Rachel__Nichols,2018-11-13T23:00:24Z,x1062480324989345793,686,106,👇🏼👇🏼👇🏼 https://t.co/ToKrtEoz8q
x41509142,Rachel__Nichols,2018-11-14T00:52:19Z,x1062508489744908288,75,11,"Interesting graph in @JonKrawczynski’s interesting chat w/Wolves owner Glen Taylor. Earlier today I wondered if Thibs would consider a Doc Rivers situation (giving up front office role/staying as coach)
@NickFriedell mocked me 😂
But maybe Taylor is already doing it in effect. https://t.co/K1KD1toUPn"
x41509142,Rachel__Nichols,2018-11-14T02:26:56Z,x1062532303321059328,1301,255,"This is my absolute favorite story to recount when people need fainting couches upon hearing a guy yelled at teammates or subtweeted them or whatever. 
MICHAEL JORDAN PUNCHED STEVE KERR IN THE FACE.
(Sidenote: Everybody lived and they won three titles together.) https://t.co/7ZGYGRjAkD"
x41509142,Rachel__Nichols,2018-11-14T19:18:30Z,x1062786869774057473,2235,326,"So this week in the NBA:
Jimmy Butler/Thibs standoff ends as he's traded to an East contender, Carmelo Anthony and the Rockets head toward a breakup, Warriors infighting leads to Draymond suspension.
AND IT'S ONLY WEDNESDAY."
x41509142,Rachel__Nichols,2018-11-14T19:28:50Z,x1062789472390017025,608,130,OH. https://t.co/M4yqZc3cYT
