user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x216881337,RandPaul,2018-10-17T15:54:03Z,x1052588557913722880,374,87,"Great roundtable in Hazard, KY this morning - one of the top issues brought up was the water levels at Buckhorn Lake and how the Corps won’t extend the season. I look forward to doing everything I can to try and resolve this problem and support local tourism. https://t.co/UmRU6DY9es"
x216881337,RandPaul,2018-10-17T18:45:06Z,x1052631606358360069,510,110,Thanks to the Pikeville Rotary for having me as their special guest at today’s luncheon! Next stop is Maysville to meet with Crounse Corporation to talk KY waterways &amp; how I can help the river industry. https://t.co/t08BKqApNt
x216881337,RandPaul,2018-10-18T01:02:29Z,x1052726575710527488,422,109,"Be sure to check out the story from @WillWYMT @WYMT on my stop in Hazard, KY today! https://t.co/HZjVKk8CmD"
x216881337,RandPaul,2018-10-18T12:44:26Z,x1052903228508200960,31550,17784,Soros paid protester arrested.  Same group operates inside congressional office buildings. Are democrats paying to incite violence? https://t.co/5XzLmqpvzs
x216881337,RandPaul,2018-10-18T15:03:59Z,x1052938348518670337,21204,9338,When will democrats condemn the violence? https://t.co/7OwrO1xs65
x216881337,RandPaul,2018-10-18T18:22:41Z,x1052988352406925314,499,115,Yesterday I stopped in Maysville to discuss Kentucky’s river industry. I chatted with the @MaysvilleNews about the visit and why it’s important for me to hear from Kentuckians on important issues like our waterways. https://t.co/FielO4wmJK
x216881337,RandPaul,2018-10-19T16:33:50Z,x1053323347273097217,479,96,"Glad I could stop by and be a part of this exciting moment for Comprehend! They provide important mental health, substance abuse, and prevention services to the community. https://t.co/OA0zjGqPZZ"
x216881337,RandPaul,2018-10-20T01:35:43Z,x1053459718641983488,9688,2792,"I could not agree more. We should also halt all military sales, aid and cooperation immediately. There must be a severe price for these actions by Saudi Arabia. https://t.co/ebi9dqYND8"
x216881337,RandPaul,2018-10-20T12:03:47Z,x1053617774185140226,16047,3617,The so-called “explanation” from the Saudis is not even close to credible. What they did was unacceptable and I call on my colleagues in Congress to join me in denouncing their behavior and changing how we treat them.
x216881337,RandPaul,2018-10-20T13:27:29Z,x1053638837283491843,2512,1045,This is why John Bolton shouldn’t be allowed anywhere near US foreign policy. This would undo decades of bipartisan arms control dating from Reagan. We shouldn’t do it. We should seek to fix any problems with this treaty and move forward.  https://t.co/xj5FqyCyS6 #FoxNews
x216881337,RandPaul,2018-10-21T15:39:48Z,x1054034524286279681,422,117,Senator Rand Paul joins Fox News Sunday to discuss Saudi Arabia’s suppor... https://t.co/JAQlsm9Lhf via @YouTube
x216881337,RandPaul,2018-10-21T19:07:41Z,x1054086840901423105,1087,94,I had a great time at the UK game this weekend! https://t.co/Wb2PXcpHqf
x216881337,RandPaul,2018-10-22T20:10:37Z,x1054465065741619201,4970,1666,"It takes a lot of damn gall for Saudi Arabia — a dictatorship with 3,000 political prisoners held without trial — to lecture anyone in the U.S. on the presumption of innocence. https://t.co/ilcapaPCLn"
x216881337,RandPaul,2018-10-23T13:10:21Z,x1054721689253240833,12302,3567,Violence and mob attacks are the same whether leveled at someone you like or your political adversary. They should all be condemned and stood up to. https://t.co/sYIAbnwgdd
x216881337,RandPaul,2018-10-23T15:34:32Z,x1054757976567889920,1055,293,Competition is essential to expanding access to a wider variety of affordable options for patients. I’m encouraged to see progress on an issue I’ve continued to work on to make medications more accessible. https://t.co/MOdTjDYKaE
x216881337,RandPaul,2018-10-23T20:57:04Z,x1054839145498099718,2351,643,"It sort of boggles the mind to think that our government is going to spend money in Libya teaching them how to have good governance, good legislating. https://t.co/LCiQUbbvPx"
x216881337,RandPaul,2018-10-24T13:02:24Z,x1055082077073354752,411,120,"A #WaybackWednesday worth celebrating: these are pictures from one of my many meetings w/ KYs Rough River Lake community as we worked to solve their issue with the Corps (April 2017). After nearly 2 years of work, yesterday POTUS signed into law my provision fixing the problem! https://t.co/hMaXOl1Zbz"
x216881337,RandPaul,2018-10-24T16:40:22Z,x1055136929417703424,20824,5142,"We should all stand united against the use of violent acts like those reported today against political and media figures. I condemn any such acts of violence, they have no place in our politics or society at all."
x216881337,RandPaul,2018-10-24T19:05:32Z,x1055173464586362887,21620,4913,I applaud @realdonaldtrump for signing legislation today containing reforms I fought for that will help more Americans fighting opioid addiction find help and allow more providers to administer care.
x216881337,RandPaul,2018-10-26T13:35:56Z,x1055815292872466432,9056,4087,Read this story of death and despair in Yemen and explain to me why we would sell one more bomb to Saudi Arabia! https://t.co/sdUNBDQ3WA
x216881337,RandPaul,2018-10-26T17:16:09Z,x1055870712127389696,969,512,Saudi Arabia’s not chastened by being caught brazenly murdering dissident. They continue bombing civilians!https://t.co/j7raPlFr6A
x216881337,RandPaul,2018-10-27T23:58:09Z,x1056334264369901568,12925,2595,"Our hearts go out to the victims and families of this terrible tragedy at the Tree of Life Synagogue in Pittsburgh today. As we mourn and pray for them, please also join me in praying for and seeking real healing of the hatred that exists in our society."
x216881337,RandPaul,2018-10-28T04:17:20Z,x1056399493934075904,1138,249,https://t.co/Umn3JNueVi
x216881337,RandPaul,2018-10-29T15:36:43Z,x1056932852405858305,603,121,"Great to see some of Monroe County, Kentucky's finest BBQ spots featured in @nytimes food section!  https://t.co/er1mbeaj6i"
x216881337,RandPaul,2018-10-29T22:05:27Z,x1057030678750134272,1630,430,What I want are allies that will come to Washington and say this: the Constitution demands that the people through their representatives vote on when we got to war. https://t.co/WTXrciyNen
x216881337,RandPaul,2018-10-30T14:24:09Z,x1057276979936980992,607,111,What a beautiful morning at Lake Cumberland to give a Washington update and take questions from the community. Thanks to all who joined me- I was honored to receive a key to the city! https://t.co/1ehiJUDsFx
x216881337,RandPaul,2018-10-30T16:51:30Z,x1057314059580776449,354,82,"In Harlan, KY I joined 100+ Kentuckians (and very smart high school students!) for a community forum where I answered questions and discussed the future of our coal industry. https://t.co/KtCrxNGXQE"
x216881337,RandPaul,2018-10-30T19:00:01Z,x1057346402769125376,320,83,"Thanks to all those who came to today’s Paintsville Rotary meeting for an engaging discussion of the issues still affecting the area, especially after years of job-killing coal regulations. https://t.co/fHHyfuDoRY"
x216881337,RandPaul,2018-10-30T20:23:52Z,x1057367505101037571,397,78,"Thanks for having me! I enjoyed learning more about Portable Solutions Group and the innovative work you all do with DropBox, Inc. https://t.co/8a5yF4Bw09"
x216881337,RandPaul,2018-10-31T00:04:16Z,x1057422967230095367,1469,863,The Tragedy of Saudi Arabia’s War in Yemen https://t.co/sdUNBDQ3WA
x216881337,RandPaul,2018-10-31T14:16:23Z,x1057637409461100544,312,73,"“After fighting so hard to protect community usage of Lake Cumberland, it's only fitting that U.S. Senator Rand Paul would hold his latest legislative update on its very waters Tuesday morning at Burnside Marina.” https://t.co/omf7GSLlIk"
x216881337,RandPaul,2018-10-31T16:53:53Z,x1057677048267923456,3096,1137,"I have advocated for Asia Bibi's release for years! This was a ridiculous case, and persecution of Christians, Jews, and Hindus must immediately stop. Why does the U.S. continue to provide funding to nations such as Pakistan?

https://t.co/CPekq0kHDK"
x216881337,RandPaul,2018-11-01T12:24:52Z,x1057971735318929411,1622,362,"Defending KY from government overreach is one of my top priorities in Congress, so I was excited to visit Burnside Marina at Lake Cumberland to discuss my successful efforts to prevent the businesses and residents in the community from paying a fee to use the lake's water. https://t.co/qpOP1CPhtv"
x216881337,RandPaul,2018-11-01T16:12:25Z,x1058029000768004096,1400,487,"""In a world increasingly transitioning into multipolarity and visceral competition among nation-states, the United States does not have the luxury of permanently ignoring governments it disagrees with or relying on the stick of economic sanctions alone.""
https://t.co/JjrBsY9xVR"
x216881337,RandPaul,2018-11-01T19:05:28Z,x1058072547638591490,420,102,"Had some great discussions at a community forum in Sturgis, KY today. Talked about the economy, Western Kentucky coal, and how to keep things moving in the right direction! https://t.co/DKv3KrpMPy"
