user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x21269970,RoyBlunt,2018-10-23T14:36:05Z,x1054743267781341184,14,6,".@Paws4Autism, a nonprofit that trains dogs to help kids with autism, is now serving families in St. Joseph https://t.co/Fe5k8h2kZK"
x21269970,RoyBlunt,2018-10-24T16:24:26Z,x1055132921747640320,21,7,"Congratulations, J’den Cox 🥇 The Team USA wrestler &amp; Columbia native won his first world title, making Missouri proud https://t.co/RZZ9tCV0LY"
x21269970,RoyBlunt,2018-10-24T19:47:32Z,x1055184034672848897,18,6,The @Chiefs recognized Jeff City Assistant Fire Chief Tim Grace on Sunday as a “Hometown Hero.” Congratulations &amp; thank you for your commitment to the Jeff City community https://t.co/TfMewaQtpy
x21269970,RoyBlunt,2018-10-25T16:43:10Z,x1055500022064861190,2,3,From @NewsTribune Holts Summit kits offering medical information during emergencies https://t.co/UGItQNHZ7n
x21269970,RoyBlunt,2018-10-25T19:40:12Z,x1055544576935710720,14,5,.@WSJ ranks Missouri #6 on its 10 Most Intriguing Travel Destinations for 2019 list https://t.co/d87NfOTkFV
x21269970,RoyBlunt,2018-10-25T20:20:23Z,x1055554688244834304,4,3,“Every single student who has gone through our program and graduated with a certificate has a job.” https://t.co/tmijd6QEX4 @CrowderCollege @joplinchamber
x21269970,RoyBlunt,2018-10-25T21:00:20Z,x1055564741022834688,8,5,Programs like #JobCorps help set young Americans up for success by providing them the skills &amp; hands-on experience they need to enter today’s workforce. That’s why I’ve supported job training programs as chair of LHHS approps https://t.co/eAQ4zSFLs7
x21269970,RoyBlunt,2018-10-25T21:01:48Z,x1055565111123939329,10,6,Great news for Missouri https://t.co/TvryuTMQrG
x21269970,RoyBlunt,2018-10-25T21:02:37Z,x1055565316015689728,7,4,Congratulations 👏👏 https://t.co/0S7BOLAS0v
x21269970,RoyBlunt,2018-10-25T22:00:01Z,x1055579761844649987,6,3,"Maintaining a strong federal commitment to #JobCorps, and other programs like work study and apprenticeship training, is critical to maintaining U.S. competitiveness in the 21st century economy. https://t.co/eAQ4zSFLs7"
