user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x275572403,SASCMajority,2017-09-27T21:19:21Z,x913151095832182790,77,19,SASC voted to report the nomination of Gen. Dunford for reappointment as Chairman of @thejointstaff. Nomination now goes to Senate floor.
x275572403,SASCMajority,2017-09-27T23:33:34Z,x913184870792417280,224,66,Tonight the Senate re-confirmed Gen. Dunford as Chairman of the Joint Chiefs of Staff.
x275572403,SASCMajority,2017-10-03T13:34:09Z,x915208351742603269,15,11,Tune in at 10 AM ET to SASC hearing on US strategy for Afghanistan &amp; S. Asia w/ Secretary Mattis &amp; Chairman Dunford https://t.co/ZNgDU0RLMk
x275572403,SASCMajority,2017-10-03T13:59:47Z,x915214801143521287,42,17,Tune in now: SASC hearing on US strategy for Afghanistan &amp; S. Asia with Secretary Mattis and Chairman Dunford https://t.co/ZNgDU0RLMk
x275572403,SASCMajority,2017-10-17T15:24:31Z,x920309558551220224,8,10,The Senate has voted to confirm David Trachtenberg to be @DeptofDefense Principal Deputy Under Secretary Of Defense For Policy.
x275572403,SASCMajority,2017-10-17T15:52:12Z,x920316522370879488,8,11,The Senate has agreed to the motion to go to conference on the #FY18NDAA and named all SASC members as conferees.
x275572403,SASCMajority,2017-11-02T12:48:16Z,x926068442066808832,26,18,"Today at 10AM (note time change) SASC holds DOD nominations hearing for Esper, Wilkie, Kernan, and Roberts. Tune in: https://t.co/OxEODY22CQ"
x275572403,SASCMajority,2017-11-07T17:44:00Z,x927954802956472325,2,4,The Senate voted 91-7 to confirm the nomination of John H. Gibson II to be Deputy Chief Management Officer of the @DeptofDefense.
x275572403,SASCMajority,2017-11-07T17:46:38Z,x927955466210201600,3,3,"Today the SASC voted by voice vote to report 4 @DeptofDefense nominations to the Senate floor: Esper, Wilkie, Kernan, and Roberts."
x275572403,SASCMajority,2017-11-08T19:47:06Z,x928348171134291968,27,21,SASC &amp; HASC complete conference on #FY18NDAA. SASC summary available here: https://t.co/DIH8hpKgUo
x275572403,SASCMajority,2017-11-09T15:03:54Z,x928639287230386176,1,3,Beginning now: SASC hearing on four @DeptofDefense nominations. Watch live: https://t.co/uHKa1pPBgw
x275572403,SASCMajority,2017-11-09T16:22:50Z,x928659154130128907,5,5,"Today the SASC voted by voice vote to report the following @DeptofDefense nominations to the Senate floor: Behler, Modly, and Geurts."
x275572403,SASCMajority,2017-11-09T18:20:21Z,x928688728645754880,54,32,The full text of the Conference Report for the National Defense Authorization Act is now available: https://t.co/CteB9Beij0 #FY18NDAA
x275572403,SASCMajority,2017-11-14T15:05:47Z,x930451704578965504,29,13,"SASC is holding a hearing on three @DeptofDefense nominees: Kurta, McPherson, and Maggs. Watch live - https://t.co/hkrgmPsOfk"
x275572403,SASCMajority,2017-11-14T17:21:12Z,x930485780170051589,1,2,"Today the SASC voted by voice vote to report the following @DeptofDefense nominations to the Senate floor: McMahon, James, Jette, and Manasco."
x275572403,SASCMajority,2017-11-15T18:22:04Z,x930863486598598658,92,33,Today the Senate confirmed Mark Esper to be Secretary of the Army by a vote of 89-6 .
x275572403,SASCMajority,2017-11-16T17:02:42Z,x931205899980541953,0,2,"Today the SASC voted by voice vote to report the following @DeptofDefense nominations to the Senate floor: Kurta, McPherson, and Maggs."
x275572403,SASCMajority,2017-11-16T19:33:50Z,x931243936663863296,10,8,"Today the Senate passed the conference report for the #FY18NDAA, which supports a total defense budget of $700 billion and provides our men and women in uniform with the resources, training, and equipment they need to protect our nation."
x275572403,SASCMajority,2017-11-16T23:03:45Z,x931296762169577473,2,4,"Today the Senate voted to confirm the following @DeptofDefense nominees: Wilkie, Kernan, Roberts, Behler, Modly, Geurts, McMahon, and Manasco."
x275572403,SASCMajority,2017-11-30T14:58:23Z,x936248046895157249,0,4,At 10:30 AM ET SASC will hold a hearing with defense experts on recommendations for the National Defense Strategy. The #FY17NDAA requires the SecDef to craft an NDS to set a strategy to achieve warfighting superiority over our adversaries. Watch live: https://t.co/LJcvX4GQWB
x275572403,SASCMajority,2017-11-30T15:48:45Z,x936260723386257408,4,7,"The Committee just voted to report the nominations of John Rood to be Under Secretary of Defense for Policy and Randall Schriver to be Assistant Secretary of Defense for Asian &amp; Pacific Affairs, along with 275 military nominations."
x275572403,SASCMajority,2017-12-02T16:20:12Z,x936993412212858881,5,5,The @ReaganDefense Forum is kicking off at the Ronald Reagan Presidential Library in California. Watch live here: https://t.co/DdZkri5geC #RNDF https://t.co/kgKUTdLODQ
x275572403,SASCMajority,2017-12-07T15:01:30Z,x938785547451076609,3,5,"At 10 AM ET, SASC will hold a heading on @DeptofDefense acquainted reform efforts. Witnesses will be AT&amp;L Under Sec Lord, @SecArmy Esper, @SecAFOfficial Wilson, and  Navy Asst Sec Geurts. Watch live: https://t.co/pgXgDjrriS"
x275572403,SASCMajority,2017-12-12T17:19:15Z,x940632150319214592,171,55,"The President just signed into law the #FY18NDAA, which authorizes the resources and policies necessary for our service members to do the jobs we ask of them and keep our nation safe. Thanks to all members of the SASC and HASC for their hard work on this bipartisan bill."
x275572403,SASCMajority,2017-12-14T15:07:01Z,x941323647435919360,1,3,Watch live now as the SASC holds a hearing on U.S. policy and strategy in the Middle East with four former Ambassadors who together have over a century of experience as diplomats and national security policymakers focused on the region: https://t.co/Eg43dHdAyF
x275572403,SASCMajority,2018-01-03T23:17:49Z,x948694919924932608,9,8,Tonight the Senate voted to confirm John Rood to be Undersecretary of Defense for Policy.
x275572403,SASCMajority,2018-01-10T15:39:29Z,x951116292261543937,117,13,"Last night the Senate passed a resolution naming @SenatorTimScott as the newest member of the Senate Armed Services Committee. Welcome aboard, Senator Scott!"
x275572403,SASCMajority,2018-01-18T14:38:58Z,x954000164712337408,1,3,Happening now: SASC hearing on DOD nominations. Watch live - https://t.co/Ka9zVQZsIT
