user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x234406945,SDGovDaugaard,2018-07-10T13:35:21Z,x1016677256436113408,38,7,"Big Supreme Court news yesterday. It was great to join Mark E. Salter as he was sworn in as a justice of the South Dakota Supreme Court. 

Looks like there was a good announcement in DC also. https://t.co/B2exWqXm13"
x234406945,SDGovDaugaard,2018-07-13T01:30:38Z,x1017582039040655361,135,25,I leave office at the end of the year and it looks like Linda and I don’t need to look far for the best place to live! https://t.co/NI76kptlLT
x234406945,SDGovDaugaard,2018-07-14T20:02:31Z,x1018224242532503553,24,3,Good luck! You are making SD proud! ⚽️ https://t.co/Y0jp8hgkTR
x234406945,SDGovDaugaard,2018-07-23T16:20:36Z,x1021429883128381440,8,3,"Our conservative financial practices are paying off. We announced a budget surplus, maintained our AAA with S&amp;P, and @SDBFM won a national financial reporting award from the @GFOA all in one week. https://t.co/Wv0WOpNtTn https://t.co/LKSrkesuuY"
x234406945,SDGovDaugaard,2018-07-26T19:39:03Z,x1022566989175373824,99,23,I am joining 31 of my fellow governors to urge the confirmation of Judge Kavanaugh. #KavanaughSCOTUS https://t.co/bYzwoWCUB7
x234406945,SDGovDaugaard,2018-07-27T14:58:20Z,x1022858731577651200,10,7,SD has updated our high school graduation requirements to give schools and students more flexibility to explore career paths and achieve success. https://t.co/F4j5zDCnXE https://t.co/yZmsGFB6hf
x234406945,SDGovDaugaard,2018-08-07T16:59:24Z,x1026875466798563328,21,19,I am calling a special session for 9/12 so SD can implement changes based on the SCOTUS decision on tax fairness. We led the fight and we should be among the states to benefit.
x234406945,SDGovDaugaard,2018-08-08T19:14:31Z,x1027271858977169411,10,1,"I am appointing Maggie Sutton, Rebecca Reimer, and Scyller Borglum to fill legislative vacancies prior to our special session. I’m grateful for their willingness to serve. https://t.co/u2duG0YVIA"
x234406945,SDGovDaugaard,2018-08-09T18:20:43Z,x1027620706824146949,30,23,I am asking South Dakotans to join #SuicidePrevention efforts. One conversation can save a life. https://t.co/WYDeUv1Ll8 via @YouTube
x234406945,SDGovDaugaard,2018-08-10T16:16:25Z,x1027951815621521409,14,5,South Dakota had the 3rd highest GDP growth in the nation for the 1st quarter of 2018. https://t.co/3YGuuNSvdy
x234406945,SDGovDaugaard,2018-08-12T14:21:03Z,x1028647558267236353,24,11,Dual credit has the power to put students on the fast track to bright futures.  https://t.co/tyaz8pUuad
x234406945,SDGovDaugaard,2018-08-20T17:40:22Z,x1031596817639768064,38,14,Vaccines protect children against serious and potentially life-threatening diseases. https://t.co/5iw4zERLdo
x234406945,SDGovDaugaard,2018-08-24T16:37:26Z,x1033030534178512897,17,8,I hope to see you at the @SDStateFair this year as we celebrate the 100th year of the fairgrounds grandstand. https://t.co/NzLGlRavhO https://t.co/EnNUlg2krU
