user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x76649729,SenAlexander,2018-10-19T16:00:00Z,x1053314831028285441,14,8,My statement on the passing of former Tennessee Farm Bureau Federation President W. Lacy Upchurch. https://t.co/1pvOg40Y1n
x76649729,SenAlexander,2018-10-19T19:29:05Z,x1053367450866212865,26,6,This is great news for Memphis! https://t.co/U3xRinxMlR
x76649729,SenAlexander,2018-10-23T15:29:10Z,x1054756625796554752,22,8,"The Trump Administration is giving states a better tool to help lower Obamacare health insurance premiums, giving them more freedom in Obamacare section 1332 waivers. https://t.co/O4MDN5wWyw"
x76649729,SenAlexander,2018-10-23T20:42:41Z,x1054835524656087041,5,4,"At a hearing I chaired in the Senate health committee last year, @ClevelandClinic said individuals can avoid chronic disease 80 percent of the time by achieving four of six normal measures of good health and two healthy behaviors."
x76649729,SenAlexander,2018-10-24T12:18:51Z,x1055071116530802688,9,5,"READ about my conversation with @davidplazas in The @Tennessean. We talked about getting results for Tennesseans, the importance of civility, and my work on landmark opioids legislation. https://t.co/qCcHc0InMV"
x76649729,SenAlexander,2018-10-24T16:18:35Z,x1055131447500136452,28,6,"I’ve often enjoyed visiting Tennessee River Gorge, and it is truly one of Tennessee’s most beautiful sites. Take a look and see for yourself! https://t.co/af7vV3jXjp"
x76649729,SenAlexander,2018-10-24T17:30:18Z,x1055149496135507968,22,11,I’m headed to the White House for @POTUS’s signing ceremony of the #OpioidCrisisResponse legislation that I helped pass out of the Senate. https://t.co/AudkHaYeYO
x76649729,SenAlexander,2018-10-24T17:58:52Z,x1055156687143874561,101,32,WATCH LIVE as @POTUS signs into law the #OpioidCrisisResponse legislation that I helped pass out of the Senate. https://t.co/AudkHaYeYO
x76649729,SenAlexander,2018-10-24T18:26:24Z,x1055163614787760129,11,6,HAPPENING NOW https://t.co/rqS8vJJJ2C
x76649729,SenAlexander,2018-10-24T18:53:29Z,x1055170431118913536,305,95,.@POTUS just signed the most important new health care law this year that helps communities fight the opioid crisis. #OpioidCrisisResponse https://t.co/qqFitBSsC9
x76649729,SenAlexander,2018-10-24T19:23:12Z,x1055177908388544512,702,158,"Today, @POTUS signed the most important new health care law this year to deal with the opioid epidemic, the biggest public health crisis in our country, which is ravaging nearly every community in Tennessee. #OpioidCrisisResponse https://t.co/125B1YyfEM"
x76649729,SenAlexander,2018-10-24T19:31:32Z,x1055180007260217344,122,11,Thank you @SenatorCollins for your significant contributions to the most important new health care law this year. #OpioidCrisisResponse https://t.co/xgtlFccsC4
x76649729,SenAlexander,2018-10-24T19:33:22Z,x1055180469908791296,11,7,"In the @Tennessean: In rare bipartisan victory, Trump signs opioid act into law #OpioidCrisisResponse https://t.co/uB3cYOQyxp"
x76649729,SenAlexander,2018-10-24T20:13:22Z,x1055190534124457984,2,3,"Tune in to @987news today at 5:05 PM ET. I will be speaking with @Hallerin about @POTUS signing my #OpioidCrisisResponse legislation into law, which will help Tennessee fight the opioid epidemic. Listen live here: https://t.co/FKX3YF2vlH"
x76649729,SenAlexander,2018-10-24T20:21:00Z,x1055192454624960516,10,6,"The #OpioidCrisisResponse legislation, which @senatemajldr calls “landmark legislation,” was just signed into law by @POTUS. https://t.co/dBc2ufoWOR"
x76649729,SenAlexander,2018-10-24T20:29:13Z,x1055194521720578050,1,2,"Via the @Tennessean: “I think the critics are imagining that somehow there is an agency in Washington that can solve this problem with a magic wand — that won’t work,” Alexander told the Tennessean."
x76649729,SenAlexander,2018-10-24T21:09:44Z,x1055204718081990672,7,3,HAPPENING NOW https://t.co/4YYZ3DhcO6
x76649729,SenAlexander,2018-10-24T21:30:42Z,x1055209995627913221,8,3,"In the @Tennessean: “We sometimes forget there are 100 million Americans living with some pain, and there are 25 million who really hurt because they have chronic pain,” Alexander has said previously."
x76649729,SenAlexander,2018-10-24T22:54:07Z,x1055230988916273152,20,7,Thank you @SenBobCorker for your strong support of this new law that will help Tennessee fight the opioid crisis. #OpioidCrisisResponse https://t.co/3VFpsKEk2F
x76649729,SenAlexander,2018-10-24T22:54:50Z,x1055231167295827968,16,9,"Years ago, I was the first governor to propose a statewide plan to evaluate the performance of teachers and reward them with more pay. Today, Tennessee is still setting an example.  https://t.co/Xz7VvndiqD"
x76649729,SenAlexander,2018-10-24T23:42:00Z,x1055243037641719808,14,4,"#OpioidCrisisResponse deals with the nation’s worst public health crisis by helping stop deadly fentanyl from coming from China to America by mail, finding a new non-addictive pain killer, preventing “doctor-shopping,”  and providing more opportunities for treatment. https://t.co/sDfNKDlHdw"
x76649729,SenAlexander,2018-10-25T14:22:00Z,x1055464497408851968,8,4,"#OpioidCrisisResponse represents the work of 8 committees in the House and 5 committees in the Senate who have worked together across party lines to help address the opioid crisis, which is hurting virtually every American community. https://t.co/DEkFVZuDt0"
x76649729,SenAlexander,2018-10-25T16:08:17Z,x1055491242849644545,1,3,"Music has always been an important part of my life, which is why I’m happy for the students in Hamilton County. The county schools announced a new partnership with @kencen to improve arts education. https://t.co/N0YrxiG1bI"
x76649729,SenAlexander,2018-10-25T16:19:18Z,x1055494016974893057,18,5,"What a lovely birthday tribute! James, I hope you had a wonderful 60th birthday. https://t.co/XOiGncZmpO"
x76649729,SenAlexander,2018-10-25T16:31:04Z,x1055496978497441792,21,9,Good news: @KeepTruckinInc just opened an office in Nashville and plans to invest $3.6 million and hire 385 people over the next three years! https://t.co/biuLln2K5B
x76649729,SenAlexander,2018-10-25T18:40:35Z,x1055529571137798145,50,9,"Thank you, President Trump, for your leadership in helping pass this new law that will help fight to end the opioid crisis that is ravaging virtually every community in America. #OpioidCrisisResponse https://t.co/zyo3X72D9M"
x76649729,SenAlexander,2018-10-26T13:36:39Z,x1055815470920671232,12,6,On @FOXNashville: @POTUS “signed a bill expanding resources to combat opioid addiction Wednesday. …The bill is co-sponsored by Tennessee Senator Lamar Alexander.” https://t.co/spziK4QEmq
x76649729,SenAlexander,2018-10-26T14:30:11Z,x1055828946070179845,2,3,From @AP: @POTUS “pledged on Wednesday to put an “extremely big dent” in the scourge of drug addiction in America as he signed legislation intended to help tackle the opioid crisis… Tennessee Senator Lamar Alexander was by his side.” https://t.co/SD1doU8F8z
