user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x20597460,SenBillNelson,2018-09-13T17:19:22Z,x1040288841519771648,350,139,"The NSF announced today a $30 million award for researchers to study harmful algae blooms, including @FGCU. I've pushed for increased NSF funding for algae research and I’m glad to see it is being put to work to help fix this algae crisis. https://t.co/FsFRLPSWM9"
x20597460,SenBillNelson,2018-09-13T18:01:19Z,x1040299399140786177,999,281,"Glad to see that the House has passed the water bill. @marcorubio and I have called on Senate leaders to bring it to the floor for a vote as soon as possible. The bill will authorize the EAA reservoir, which is critical to helping solve the algae crisis in Florida."
x20597460,SenBillNelson,2018-09-13T19:50:36Z,x1040326902924423169,851,420,Red tide has cost businesses in Sanibel and Capitva more than $19 million in lost revenue this summer. They need relief ASAP. I sat down with local business leaders to talk about a bill I sponsored that will provide tax breaks for those impacted by this crisis. https://t.co/eSrvlL4lQ7
x20597460,SenBillNelson,2018-09-17T19:03:11Z,x1041764521768042496,13998,4564,"I’m still waiting for a meeting with Judge Kavanaugh I’ve requested four times. I have a number of questions for him. Meantime, I agree there should be an investigation of the new allegations against him. I believe the people involved should appear before the Judiciary committee."
x20597460,SenBillNelson,2018-09-18T00:02:22Z,x1041839811932422144,357,118,"Getting this bill passed shows what we can do when we work together and put partisanship aside. The rapid increase in opioid overdoses shows why we need to do everything we can to address what has become a serious, national health crisis. https://t.co/aVtMKWRrgd"
x20597460,SenBillNelson,2018-09-18T17:16:19Z,x1042100016171638785,415,165,.@SenateMajLdr - the House passed the water bill authorizing the EAA Reservoir days ago. I’m asking – again – for you to bring it to the floor for a vote as soon as possible. It needs to pass ASAP! https://t.co/TP6iXJSHaA
x20597460,SenBillNelson,2018-09-18T20:04:00Z,x1042142213671673858,372,76,This evening begins the holiday of Yom Kippur. I wish all those observing the High Holiday an easy fast and a year of peace ahead.
x20597460,SenBillNelson,2018-09-18T20:54:06Z,x1042154822449999875,322,112,Renaming the Hobe Sound National Wildlife Refuge after environmentalist Nat Reed would be a testament to his legacy of championing Florida's environment and the Everglades. I'm proud to introduce this bill with @marcorubio as a tribute to Reed's lifetime of conservation work. https://t.co/FzLvFZ8nap
x20597460,SenBillNelson,2018-09-19T15:34:56Z,x1042436889247145985,136,44,"It was an honor to present special awards to two local heroes in DeLand this morning – a Congressional Badge of Bravery to Volusia County Sheriff’s Deputy Justin Ferrari and a Bronze Star and Purple Heart to MSgt. William Holder USAF, Ret. https://t.co/47dwZaD5JF"
x20597460,SenBillNelson,2018-09-19T17:55:02Z,x1042472147506147334,796,494,This is a humanitarian catastrophe caused by this administration. We can’t allow this to continue. I won’t stop fighting until these children are back with their families. https://t.co/B7Q6DurQFB
x20597460,SenBillNelson,2018-09-19T18:43:59Z,x1042484466424442880,141,108,"Esta es una catástrofe humanitaria, causada por esta administración. No podemos permitir que esto continúe. No dejaré de luchar hasta que estos niños vuelvan a estar con sus familias. https://t.co/B7Q6DurQFB"
