user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x73303753,SenBobCorker,2018-06-20T21:24:32Z,x1009547573852626945,20,5,This is good news for self-employed individuals and the millions of Americans who work for small businesses. My full statement on this announcement: https://t.co/Pe5BzrqxCw. https://t.co/LQ3Wm279Gu
x73303753,SenBobCorker,2018-06-20T21:51:08Z,x1009554266124529665,437,45,"This week, I called on the administration to halt family separations, so I am glad the president reversed his position and signed an executive order. We will continue to work toward a long term solution."
x73303753,SenBobCorker,2018-06-20T21:52:50Z,x1009554695352922112,270,60,I believe pressure is building in Washington and across the country as American businesses and consumers begin to feel the effects of the administration’s misguided trade policy.
x73303753,SenBobCorker,2018-06-21T19:30:11Z,x1009881181645627392,45,13,"I think most Tennesseans would agree that we are fortunate not to have a state income tax, and to help ensure that remains the case, it is important our sales tax system works. Today’s ruling is a win for states’ rights. My full statement: https://t.co/0CMag8nhLe. https://t.co/wT8CHNewtI"
x73303753,SenBobCorker,2018-06-21T20:46:04Z,x1009900279741984769,53,15,I continue to believe that selling TVA’s transmission lines would be harmful to the Tennessee Valley and remains a very unlikely outcome. My statement on the administration's proposal to sell TVA transmission lines: https://t.co/AfN1MsK5zb.
x73303753,SenBobCorker,2018-06-21T20:59:21Z,x1009903624615550977,23,8,My statement on the administration’s proposal to wind down government-sponsored enterprises Fannie Mae and Freddie Mac: https://t.co/pZX2rf8yrb
x73303753,SenBobCorker,2018-06-23T19:19:47Z,x1010603343696351232,60,15,Looking forward to a good conversation with @margbrennan on trade and immigration tomorrow morning on @FaceTheNation. Hope you'll tune in. #FTN https://t.co/ArJwP2KYYg
x73303753,SenBobCorker,2018-06-24T14:28:58Z,x1010892541481414656,75,13,All set and ready to join @margbrennan on @FaceTheNation. Tune in around 10:30 a.m. ET for our discussion on trade and immigration. https://t.co/FY670nhAmf
x73303753,SenBobCorker,2018-06-25T23:47:51Z,x1011395577672855553,37,10,"In case you missed it, I joined @margbrennan on @FaceTheNation yesterday to discuss trade and immigration policy. Watch the full interview here: https://t.co/kxXLfsE3tp."
x73303753,SenBobCorker,2018-06-26T21:13:17Z,x1011719069131788289,29,6,Enjoyed welcoming 165+ Tennesseans to Capitol Hill this morning at our weekly constituent breakfast. Learn more at https://t.co/KNtBh0uEie. #TennesseeTuesday https://t.co/4590Yr9r6i
x73303753,SenBobCorker,2018-06-26T21:20:06Z,x1011720783922647041,295,118,More than 270 business and agriculture groups today sent a letter urging my colleagues to support legislation I authored with @SenToomey to require congressional approval of national security-designated tariffs. See the full list and read the letter here: https://t.co/YIiIvUUmSa. https://t.co/1ycDWxD72Z
x73303753,SenBobCorker,2018-06-27T18:45:21Z,x1012044228321521664,507,73,"Thank you, Justice Kennedy, for a lifetime of distinguished service. It is my hope that the president will quickly nominate a well-qualified individual who understands the importance of upholding the Constitution and applying the law in a fair and independent manner."
x73303753,SenBobCorker,2018-06-28T13:24:59Z,x1012325993980231680,408,115,"Tariffs are a tax on the American people. The harm being done to the U.S. economy, businesses and consumers will only get worse. We will continue to fight for a vote on the Corker-@SenToomey tariff amendment. My floor remarks yesterday: https://t.co/ByD3Rrw5Uz."
x73303753,SenBobCorker,2018-06-28T15:43:26Z,x1012360835220623361,24,9,"Legislation approved by the #SFRC on Tuesday will more effectively focus and centralize cyber diplomacy efforts at the State Department so we can work with our allies and partners to maintain a secure, reliable and open internet. My full statement: https://t.co/0ctxBsBQpl."
x73303753,SenBobCorker,2018-06-29T16:50:28Z,x1012740091217891329,38,9,.@LeBonheurChild continues to impact the lives of thousands of young people like Leeya by providing innovative care. Congratulations on being named a “Best Children’s Hospital” by @usnews for the eighth year in a row. https://t.co/pcEt2Hm3tr
x73303753,SenBobCorker,2018-07-02T15:03:17Z,x1013800284454379521,561,214,"As I travel throughout the Baltics this week in my role as chairman of the Senate Foreign Relations Committee, it is clear that Russia’s destabilizing behavior continues to impact the region."
x73303753,SenBobCorker,2018-07-04T13:11:54Z,x1014497029358317569,196,30,I know all Tennesseans join me as we celebrate Independence Day and give thanks for the privilege of living in the greatest country on Earth. My statement in honor of #IndependenceDay: https://t.co/Y9EhcTEBDz. https://t.co/WiHak75rz7
x73303753,SenBobCorker,2018-07-06T13:39:22Z,x1015228717273178114,778,207,"Yesterday, I returned from a trip to the Nordic and Baltic regions, where we met with U.S. and foreign officials in Sweden, Denmark, Latvia, and Finland to discuss political and security issues important to the United States. My full statement: https://t.co/ph0VzH7cUR"
x73303753,SenBobCorker,2018-07-10T01:18:00Z,x1016491696916443136,225,52,My statement on the nomination of Brett M. Kavanaugh to be the next U.S. Supreme Court justice: https://t.co/CiiSDRQDYY
x73303753,SenBobCorker,2018-07-11T14:18:43Z,x1017050559264821248,573,129,"The Senate will hold a test vote today on our efforts with @SenToomey, @JeffFlake and others to ensure Congress plays a role in the implementation of national security-designated tariffs. This is a good first step and will get the Senate on the record on this critical issue."
x73303753,SenBobCorker,2018-07-11T15:23:39Z,x1017066898410868736,110,25,Speaking about this shortly on the Senate floor. Watch at https://t.co/84Iw0WCwOG. https://t.co/0yhpJM3R7p
x73303753,SenBobCorker,2018-07-12T13:30:57Z,x1017400922610257920,17,13,"TUNE IN: At 10:00 a.m. ET, the #SFRC will hold a hearing on the implications of tariffs for U.S. foreign policy and the international economy. Assistant Secretary of State @manishasingh and former White House Chief of Staff Josh Bolten to testify. Watch: https://t.co/7uZLiq4yo1."
x73303753,SenBobCorker,2018-07-12T13:46:35Z,x1017404858276515840,189,19,"Yesterday, the Senate spoke loud and clear by overwhelmingly expressing support for our efforts to ensure Congress plays its appropriate role in the implementation of national security-designated tariffs."
x73303753,SenBobCorker,2018-07-12T20:25:24Z,x1017505223122804737,22,6,Paul Ney has worked for the state of Tennessee ably and well for many years. I was proud to wholeheartedly support his confirmation. My remarks earlier this year at a hearing on his nomination: https://t.co/3eLV8xeeJn. https://t.co/itd7ry8SjV
x73303753,SenBobCorker,2018-07-13T00:34:53Z,x1017568008485687301,79,21,Today’s announcement is outstanding news for the people of Jefferson County. Looking forward to @oshkoshcorp and 300 new jobs coming to East Tennessee. https://t.co/6yFb7NKt1G
x73303753,SenBobCorker,2018-07-17T14:35:49Z,x1019229187914289157,3044,488,"As I said yesterday, the Helsinki press conference was saddening and disappointing, and I am glad people on both sides of the aisle condemned it strongly."
