user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x1262099252,SenBrianSchatz,2017-11-30T21:24:37Z,x936345244945195008,115,77,This Republican tax scam gives millionaires a tax cut paid for by the middle class.
x1262099252,SenBrianSchatz,2017-12-13T21:01:38Z,x941050504641048576,36,29,"This week the FCC will vote to roll back #netneutrality protections, ending the free and open internet as we know it. This move will take away your ability to use the internet the way you want to—putting the internet in the hands of companies instead. https://t.co/mK5W3BoEUG"
x1262099252,SenBrianSchatz,2017-12-14T18:48:34Z,x941379404353232898,100,40,"Trump’s FCC dealt a major blow to the free and open internet by repealing #netneutrality rules. Because of Chairman Pai and the other Republican commissioners, there are no longer any rules in place to stop internet service providers from changing the internet as we know it."
x1262099252,SenBrianSchatz,2018-01-22T04:16:31Z,x955293073210331136,57,13,"On January 13, the public’s trust was broken in Hawaii. Now we have to fix it. https://t.co/Vq9HkIFc4e"
x1262099252,SenBrianSchatz,2018-02-08T00:45:23Z,x961400533931167745,38,14,"The federal government is positioned to know first if a missile is on its way. If they make that call, there shouldn’t be a middleman involved in getting the word out. The ALERT Act will give the responsibility of alerting the public of a missile threat to the federal government. https://t.co/smh5P6WTIS"
x1262099252,SenBrianSchatz,2018-02-08T16:59:10Z,x961645594791104512,239,109,Equifax failed consumers with its data breach. So why isn’t the US agency that looks out for consumers doing anything? Today I sent a letter to the @CFPB to find out why its investigation into Equifax has been stopped. https://t.co/3ujaW7zgOU https://t.co/wOhIzn7Hq9
x1262099252,SenBrianSchatz,2018-02-27T22:28:09Z,x968613753624375296,277,154,"Today, the internet is uniting for a day-of-action to preserve the free and open internet as we know it. We only need #onemorevote in the Senate to save #netneutrality. Make you voice heard. https://t.co/uTy2027ScS"
x1262099252,SenBrianSchatz,2018-02-28T00:39:36Z,x968646832069980160,41,9,"I am honored to receive a perfect score from @LCVoters on their National Environmental Scorecard. Climate change is the challenge of our time, and I will keep working to solve it. https://t.co/UzR3o4AnLc https://t.co/S5AZeL4F8j"
x1262099252,SenBrianSchatz,2018-03-07T22:47:04Z,x971517615221985280,17,19,Too many people who are eligible for compassionate release die in prison because the decision takes so long. And many others wait for months just to get a response. It’s time to fix the system. https://t.co/R129i4cRAs
x1262099252,SenBrianSchatz,2018-03-08T23:35:19Z,x971892147946442752,36,10,Hawaii is a better place because of these three women. #IWD2018 https://t.co/t07TdmBgMM
x1262099252,SenBrianSchatz,2018-03-14T00:09:59Z,x973712812735455233,57,23,This administration is not simply ignoring climate change. It is throwing fuel on the fire. But there are 3 reasons why we should remain hopeful: https://t.co/BTpMI7kqi0
x1262099252,SenBrianSchatz,2018-03-22T13:00:04Z,x976805711102459904,461,191,Today I’m introducing the #DebtFreeCollege Act. Student debt currently stands at over $1.4 trillion and affects over 44 million people. Now is the time to get serious about ending the student debt crisis. https://t.co/r1s8O8OSAb
x1262099252,SenBrianSchatz,2018-03-22T16:15:40Z,x976854937941536768,29,12,"We’re at a point now where the full cost of college is more than twice as much as tuition, which is why solutions to the student debt crisis need to focus on the full cost to students and their families."
x1262099252,SenBrianSchatz,2018-03-22T18:03:00Z,x976881947707428866,35,24,For more than a decade student loan debt has been on the rise. The #DebtFreeCollege Act will ensure a debt free path through college for those who need it. https://t.co/BtfomftUqz
x1262099252,SenBrianSchatz,2018-03-22T20:10:46Z,x976914100428173312,109,50,U.S. college loan debt totals more than $1.4 trillion and holds back an entire generation of Americans from pursuing their dreams. I asked Federal Reserve Chairman Jay Powell about how this affects the economy. #DebtFreeCollege https://t.co/tNaCBp0N6b
x1262099252,SenBrianSchatz,2018-03-22T22:24:40Z,x976947796354977798,26,13,In 1977 the maximum Pell grant covered 70% of the cost of college attendance. Federal investment in education has not kept pace with rising college cost. It’s time for a #DebtFreeCollege option for those who need it. https://t.co/aiRsmM8f77
x1262099252,SenBrianSchatz,2018-03-23T00:00:01Z,x976971793381511168,18,5,Half of Hawaii’s students graduated with student loan debt in 2016. What would you do without any college debt? #DebtFreeCollege https://t.co/9CJGPJDoiT
x1262099252,SenBrianSchatz,2018-03-23T02:00:01Z,x977001991175069696,38,12,Each college class graduates with more student loan debt than the last. It’s time to guarantee that all Americans have a #DebtFreeCollege option if they need it. https://t.co/lQCOLyzska
