user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x193794406,SenCapito,2018-10-14T21:17:23Z,x1051582767862087680,7,5,TOMORROW: Service academy applications are due by 5 p.m. Click here if you’re interested in applying or want to learn more: https://t.co/3ztOlfr5qc
x193794406,SenCapito,2018-10-14T23:01:51Z,x1051609056320851968,19,13,"Lots of updates this week on new investments in West Virginia communities. From economic development grants to a bipartisan water infrastructure package, read all about the latest developments in my weekly newsletter: https://t.co/q3hjUE8y6T"
x193794406,SenCapito,2018-10-15T16:48:57Z,x1051877598236725249,12,5,Spending time at the Boys and Girls Club of the Eastern Panhandle in Martinsburg on Friday was another reminder of why I’m fighting so hard to address the opioid epidemic in West Virginia. These kids deserve a drug-free West Virginia. https://t.co/FF7Vr83BRp
x193794406,SenCapito,2018-10-15T18:06:13Z,x1051897045387268101,27,5,"I made sure the Senate-passed water infrastructure bill addresses the intractable water systems problem in southern #WV. All WVians should have reliable access to clean water, and this bill will help. Learn more from @WVNS59News: https://t.co/h6bltut3el"
x193794406,SenCapito,2018-10-15T19:59:14Z,x1051925486585241600,16,6,"Spoke w/ artist Anne Marie Zanfanga last week as she exhibited portraits of victims of the opioid epidemic. I’m optimistic the opioids bill we just passed can help put an end to this terrible crisis. Thank you, @SenatorShaheen, for bringing this moving exhibit to the @uscapitol. https://t.co/G41Fy0jF3b"
x193794406,SenCapito,2018-10-15T20:41:34Z,x1051936141698617345,6,4,Don’t forget: U.S. service academy applications are due by 5 p.m. today. Apply here: https://t.co/MTDHF4GS82 https://t.co/GHAziO3RGH
x193794406,SenCapito,2018-10-15T22:58:45Z,x1051970663039291393,9,5,"Spoke to @TheJournalWV about my trip Friday to check up on the progress of the Inwood Bypass, a project I’ve been working to make a reality for years. Read all about it here: https://t.co/7jNYyGctYY"
x193794406,SenCapito,2018-10-16T16:22:26Z,x1052233316433350656,21,5,"Proud to announce @ARCgov has granted WV more than $7.7M for projects supporting economic and workforce development efforts—including broadband expansion, tourism development, and assistance for West Virginians affected by substance abuse. Learn more: https://t.co/EHiImDxnwK"
x193794406,SenCapito,2018-10-16T19:51:41Z,x1052285973709672449,14,5,Enjoyed visiting @BridgeValleyCTC to announce a $749K grant with @ARCgov—some of which will be used to develop a new workforce training center in Montgomery. This center will help WVians develop skills to compete for good jobs in competitive fields. Thanks for showing me around! https://t.co/MqnCFo0J7Z
x193794406,SenCapito,2018-10-17T16:06:22Z,x1052591661207961600,29,8,Proud to have helped secure more than $6.7M in economic development grants for #WV. I’m making sure federal agencies are listening to our state. Learn more @WVVA ⬇️ https://t.co/1DQdZkiUb4
x193794406,SenCapito,2018-10-17T18:26:24Z,x1052626898424160257,26,6,#ThisGOPAgendaWorks https://t.co/jUPlLcBmcy
x193794406,SenCapito,2018-10-17T19:50:39Z,x1052648101838770177,10,6,"So impressed with the new @CCCWVA. With its new name and fresh look, I’m confident this center will attract new groups to our state and be a valuable resource for West Virginians. And check out the amazing local art on display! https://t.co/VxXOzdh8kv"
x193794406,SenCapito,2018-10-17T21:49:11Z,x1052677933268131841,44,13,“We have business to do.” I’m committed to working for the people of West Virginia and delivering solutions like American’s Water Infrastructure Act. Let’s keep our eye on the things that will make a difference for everyday Americans. https://t.co/eZVJp7KBZx
x193794406,SenCapito,2018-10-18T18:31:14Z,x1052990505024393217,13,4,"This morning, I joined the Appalachian Next Generation Aerospace Conference at @RCBI4Mfg to discuss ways we are growing and diversifying our economy. By investing in skills training, aviation education, and airports, we can make our region the next aerospace hub. #appnxtgen18 https://t.co/317fdKgyr8"
x193794406,SenCapito,2018-10-18T19:27:09Z,x1053004574754267136,9,2,"Meeting with organizations like PROACT in Huntington reminds me of the progress #WV is making when it comes to fighting the opioid epidemic. While we still have work to do, this community has been a leader in this effort, and PROACT is an important part of the solution. https://t.co/bZ9JWKfSiV"
x193794406,SenCapito,2018-10-18T20:22:41Z,x1053018551336996870,17,8,"#TBT to having lunch w/ my intern Gabe from Morgantown &amp; Senate page Luke from Raleigh Co. last week. These young men have shown such dedication to our state and country, and I’m grateful they have chosen to spend their time in DC learning about the importance of public service. https://t.co/Aem3dVWmPX"
x193794406,SenCapito,2018-10-18T21:42:22Z,x1053038604283498501,10,3,"I’m proud of all the legislative solutions I helped secure in the SUPPORT Act and was excited to discuss this groundbreaking legislation w/ physicians, nurses, and pharmacists at the Appalachian Addiction and Prescription Drug Abuse Conference this afternoon. https://t.co/F4pFgVJXJD"
x193794406,SenCapito,2018-10-19T17:10:55Z,x1053332680962703360,9,5,"If you’re in Charleston this weekend, you might want to take advantage of the FREE mobile clinic happening Saturday and Sunday. Find out more here: https://t.co/67nEqbWHnE"
x193794406,SenCapito,2018-10-19T18:21:52Z,x1053350533598195712,12,6,"More good economic news this week! With job openings at an all-time high, wages rising, and consumer confidence growing, it’s no secret that #ThisGOPAgendaWorks.  https://t.co/IwHVF1NGvT"
x193794406,SenCapito,2018-10-19T20:34:31Z,x1053383915384303619,17,6,"Took some time to speak with @WOWK13News about the SUPPORT Act and how this bipartisan legislation will help support those struggling with addiction, those recovering from addiction, and the families affected. https://t.co/YbIJfpa0Wf"
x193794406,SenCapito,2018-10-21T17:00:46Z,x1054054900722741253,14,7,The SUPPPORT Act addresses a whole spectrum of solutions from prevention to recovery. Educating communities—especially young people—on the dangers of opioid abuse is one part of tackling the problem and stopping the perpetual cycle of drug abuse.  More with @WSAZnews: https://t.co/H5UE0Y11eI
