user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x811313565760163844,SenCortezMasto,2018-10-26T22:27:43Z,x1055949119066423296,11,3,Tourism has long been the lifeblood of NV &amp; its impact is helping economies from Ely to Austin. Read about my commitment to ensure that our communities have the resources &amp; tools necessary to tap into their tourism potential &amp; strengthen local economies &gt;&gt; https://t.co/iHJHdPyDwd
x811313565760163844,SenCortezMasto,2018-10-27T00:30:30Z,x1055980021708398593,53,25,".@realDonaldTrump made a promise to Nevadans that his admin would end their policy supporting the failed Yucca Mountain project. @SecretaryPerry’s comments show that the President lied to the people of NV. It’s time for this President keep his promise.
https://t.co/ZZKqgRQNzp"
x811313565760163844,SenCortezMasto,2018-10-27T15:00:09Z,x1056198873838993409,9,2,"Can’t wait to celebrate our great state with so many proud Nevadans for the Nevada Day Parade in Carson City this morning! 

If you can’t make the parade, don't worry, there will be more celebrations in the coming days. See the full schedule--&gt; https://t.co/0hXS6iHf7H https://t.co/sUQuRqVpCq"
x811313565760163844,SenCortezMasto,2018-10-27T16:21:00Z,x1056219220172828673,83,29,"Horrific news out of Pittsburgh. Grateful to our first responders on the scene. Another community devastated by gun violence. Yet, Congress still fails to act to save lives. Our places of worship are sanctuaries. Anti-semintism, hate &amp; violence deserve no place in this country."
x811313565760163844,SenCortezMasto,2018-10-29T15:47:07Z,x1056935471513849857,25,6,I had the best time at the #NevadaDay Parade in Carson City on Saturday! It was wonderful seeing so many familiar faces &amp; celebrating our great state with proud Nevadans. I will always fight to help ensure our state remains a land of opportunity for our children &amp; grandchildren. https://t.co/bOIVllPg0y
x811313565760163844,SenCortezMasto,2018-10-29T16:52:28Z,x1056951915685261313,24,2,"I want to thank @DanielCoronaNV for taking me on a tour of West Wendover &amp; discussing the importance of Amtrak service in Northern NV’s rural communities. Last week, I sent a letter to @Amtrak's president advocating for the California Zephyr line &amp; a new station in West Wendover. https://t.co/bmH3xSuPCI"
x811313565760163844,SenCortezMasto,2018-10-29T17:28:08Z,x1056960890162044930,16,6,"Delighted to meet Kathy Durham, a high school teacher, who has served West Wendover for nearly 20 years. We discussed improving teacher training &amp; providing more support to help NV's rural communities attract &amp; retain quality teachers. Thanks for being a great advocate, Kathy! https://t.co/Q8vje69I6z"
x811313565760163844,SenCortezMasto,2018-10-29T20:16:19Z,x1057003216242688001,43,5,I toured Lamoille Canyon in Elko today to inspect the damage caused by the recent wildfire. I also hosted a roundtable with stakeholders around the Ruby Mountains to discuss the importance of proper land management and conservation &amp; wildfire prevention in the Rubies &amp; across NV. https://t.co/9eHYOjf3Qf
x811313565760163844,SenCortezMasto,2018-10-29T20:47:58Z,x1057011182182322181,9,5,"Thank you @SafeNest &amp; all the organizations involved for helping to raise awareness around domestic violence by turning one of our country's most iconic landmarks, purple. In the US Senate, I remain committed to helping ensure survivors have the tools they need to heal &amp; recover. https://t.co/jeBEWmWXJ7"
x811313565760163844,SenCortezMasto,2018-10-29T22:19:33Z,x1057034229240991750,15,3,"Delighted to tour Maggie Creek Ranch with Jon Griggs of the Nevada Cattlemen's Association in Elko today. We must ensure ranchers &amp; cattlemen have the resources they need to grow their businesses, protect the environment, combat wildfires &amp; drought, &amp; improve land management. https://t.co/JfhTTLCtYW"
x811313565760163844,SenCortezMasto,2018-10-29T22:32:48Z,x1057037561602949120,26,8,Glad to have met with the Nicaraguan Association of Northern NV this weekend with @SenatorDurbin to discuss TPS &amp; DACA. Ending #TPS for Nicaraguans is cruel &amp; we won't stop fighting until these families are kept intact &amp; protected from @realDonaldTrump's anti-immigrant agenda. https://t.co/vWTwsPOw1n
x811313565760163844,SenCortezMasto,2018-10-29T23:25:02Z,x1057050707520565248,22,6,I'll be at the Duncan Little Creek Gallery in Elko at 5pm to chat with Nevadans &amp; answer questions you may have. Some of my staff are already there getting ready. Come stop by and say Hi! I am eager to meet you. https://t.co/IQlDERQFcp
x811313565760163844,SenCortezMasto,2018-10-30T01:25:17Z,x1057080971646980097,35,6,"Wonderful hosting office hours in Elko this afternoon, listening to the concerns of some in our rural communities as well as letting folks know about the services my office can provide. Thank you so much to all who came out! My office is always available to help in any way. https://t.co/Vc4Bs1KZQo"
x811313565760163844,SenCortezMasto,2018-10-30T16:43:21Z,x1057312009090408450,33,15,"Thank you @AlejandraHChNV for reminding us that our diversity can bring us closer &amp; makes us stronger. By embracing your full self, you are empowering &amp; inspiring people of all backgrounds. #LGBTQHistoryMonth https://t.co/INfa7hiEvP"
x811313565760163844,SenCortezMasto,2018-10-30T17:44:11Z,x1057327319445131264,13,1,"Honored to meet with some incredibly courageous community leaders in Elko yesterday, working to help combat domestic violence in our rural communities. We must reauthorize a longer-term #VAWA to ensure survivors have the tools &amp; resources they need to recover. https://t.co/5LZQEGerTd"
x811313565760163844,SenCortezMasto,2018-10-30T18:06:02Z,x1057332814872526848,66,22,".@realDonaldTrump continues to promote hate in America, undermine our country's values &amp; attack our Constitution. #BirthrightCitizenship's a constitutional guarantee. President Trump should be uniting our country in the wake of the violence &amp; tragedy of the past few days. 1/2"
x811313565760163844,SenCortezMasto,2018-10-30T19:21:18Z,x1057351759922974721,3,4,"Starting on Thursday, 11/1, it’s time to #GetCovered. If you’re looking for quality, affordable health care, need to renew your plan or want to explore other insurance options that fits your needs - make sure to sign up soon. Open enrollment begins on 11/1 and ends on 12/15. https://t.co/ujXcabvP7w"
x811313565760163844,SenCortezMasto,2018-10-30T20:24:00Z,x1057367535933366273,10,2,"Grateful to tour the Horseshoe Ranch &amp; sit down with members of the Nevada Cattlemen's Association, including its president, Sam Mori, &amp; local ranchers in Beowawe. Honored to have the opportunity to discuss the issues &amp; challenges they're facing to their livelihood &amp; way of life. https://t.co/ZWxDGLeGXq"
x811313565760163844,SenCortezMasto,2018-10-30T22:31:26Z,x1057399607708270592,12,3,"Delighted to sit down with Lander County officials discussing their needs for federal support in fostering economic growth. It's critical our state &amp; federal governments work together to help create good paying jobs, &amp; ensure access to a good education &amp; quality health care. https://t.co/KiWBKBulCg"
x811313565760163844,SenCortezMasto,2018-10-31T15:15:13Z,x1057652217224814592,53,16,"#OTD 154 years ago, Nevada was the 36th state admitted to the Union. Today, we celebrate our state’s unique western history &amp; those who have helped ensure Nevada remains a land of opportunity. 

Here's just a few of our favorite things about Nevada. #NevadaDay #BattleBorn https://t.co/WJAr0ZkkoB"
x811313565760163844,SenCortezMasto,2018-10-31T20:10:40Z,x1057726569790300160,6,5,Are you interested in joining one of the United States Service Academies? Today is the last day to apply for the 2018 Service Academy Nominations through my office. I'm honored to recommend some of NV’s most gifted individuals for selection. Apply here &gt;&gt; https://t.co/jcyPFo3WjJ https://t.co/umgzc2pPTl
x811313565760163844,SenCortezMasto,2018-10-31T20:33:02Z,x1057732200190291968,10,2,.@RichardKnoeppel has served @ClarkCountySch since 1995. Congratulations on being named the 2019 Nevada Teacher of the Year. Thank you for your exceptional work at Advanced Technologies Academy in Las Vegas ensuring students are prepared for college &amp; the workforce.
x811313565760163844,SenCortezMasto,2018-10-31T20:45:00Z,x1057735210333298688,7,2,Pleased to learn @LakeTahoeCC  has extended its #LakeTahoeCollegePromise to NV residents living in #TahoeBasin. The program's expansion is a reminder that Lake Tahoe Basin is one community no matter what side of the state border you call home. https://t.co/Bfe0wAGGrK
