user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x266133081,SenDeanHeller,2018-09-23T00:46:16Z,x1043662801976401920,48,19,"Encouraged to see that the 5-year FAA reauthorization reflects the needs of some of #NV’s top industries - aviation, tourism, &amp; drones - and includes 13 of my priorities. Learn more about this legislation: https://t.co/8nYUaIOg54"
x266133081,SenDeanHeller,2018-09-24T16:56:32Z,x1044269364038553600,23,9,"I welcome the announcement from @USDArd that the Nye County Regional Economic Development Authority will receive $15,000 to help small businesses in rural #Nevada."
x266133081,SenDeanHeller,2018-09-24T17:34:47Z,x1044278990285017088,82,25,"Once again, I stopped the U.S. House of Representatives from funding the failed #YuccaMountain project. A state that doesn't even produce nuclear waste shouldn't be forced to serve as the nation’s nuclear waste dump. More on my efforts here: https://t.co/mUiVUbtk5N"
x266133081,SenDeanHeller,2018-09-24T21:13:35Z,x1044334050360655874,8,7,"Pleased to announce that @ClarkCountyNV will receive $500,000 from @DOJBJA to help keep our communities safe by using innovative technologies to improve information sharing. https://t.co/vtWpay9G7i"
x266133081,SenDeanHeller,2018-09-24T22:26:19Z,x1044352357830742018,51,26,"Congratulations to all of the graduates of @studentvets Leadership Institute Class of 2018! I wish all the best to this accomplished group of 100 leaders &amp; am grateful for the work of their 8 mentors, which include Bruno from my office. https://t.co/xoqvU3tkcm"
x266133081,SenDeanHeller,2018-09-24T22:52:44Z,x1044359005773221888,19,8,Pleased to see DOL announce that @GoodwillVegas will receive $1.4 million to help #Nevadans seeking employment.
x266133081,SenDeanHeller,2018-09-25T15:33:15Z,x1044610791310348288,56,15,"(1/3) It’s been nearly a year since the actions of a madman devastated Las Vegas, and we continue to carry the shock and pain of the events on October 1. The U.S. Senate honored the memory of the 58 innocent lives that were taken that night &amp; passed my bipartisan resolution,"
x266133081,SenDeanHeller,2018-09-25T18:03:20Z,x1044648560132849669,59,22,"#Nevadans shouldn’t be held back from a successful career because of responsibilities at home, which is why I was proud to help write the Tax Cuts and Jobs Act and help establish the first national Paid Family Leave policy."
x266133081,SenDeanHeller,2018-09-25T18:32:59Z,x1044656024886628352,36,17,"Proud to announce that Nevada’s tribal communities will be receiving nearly $400,000 in funding from @HHSGov to help address and fight the opioid crisis in our state."
x266133081,SenDeanHeller,2018-09-25T19:11:14Z,x1044665647777681408,20,10,"I’d like to again extend my congratulations to Jamey Hood for being recognized as the 2018 NV Principal of the Year at @GarrettBobcats! Nevada’s students are our future, &amp; I appreciate all that Jamey does to encourage a productive, engaging, &amp; successful learning environment. https://t.co/sCCGpav6u0"
x266133081,SenDeanHeller,2018-09-25T19:16:12Z,x1044666897655042048,16,10,Pleased to report our bipartisan resolution unanimously passed the Senate last night: https://t.co/fD7W2PtU3d https://t.co/CkvalzXft2
x266133081,SenDeanHeller,2018-09-25T20:12:30Z,x1044681069780520960,30,13,"Great to meet with Aileen, Sharon, Shannon, &amp; Jennifer from #LasVegas, #Pahrump and #Henderson today. In addition to discussing their work with @AmericanCancer, I pledged my strong support for the Palliative Care &amp; Hospice Training Act, a bill I’m proud to cosponsor. https://t.co/ETYBJ1XkMk"
x266133081,SenDeanHeller,2018-09-25T22:49:11Z,x1044720498683367424,19,9,"Thrilled to announce that the Pyramid Lake Paiute Tribe will receive $188,760 from @FTA_DOT to rehabilitate and purchase new buses."
x266133081,SenDeanHeller,2018-09-25T23:55:17Z,x1044737132093472773,79,25,Two bills that I strongly supported to bring down the cost of prescription drugs for patients are now headed to the President’s desk. Read about them here: https://t.co/hEusRQCfZZ
x266133081,SenDeanHeller,2018-09-26T01:09:41Z,x1044755855390859264,41,11,"I applaud @MarkAmodeiNV2 for navigating the Nevada Lands Bill Technical Corrections
Act, which includes a proposal I introduced to jumpstart economic development
&amp; enhance conservation efforts in Eastern NV, through the House of
Representatives. More here: https://t.co/usshdwLPYQ"
x266133081,SenDeanHeller,2018-09-26T03:07:34Z,x1044785523607384064,51,19,"I welcome the U.S. Senate’s approval of the Veterans’ Compensation Cost-of-Living Adjustment Act, legislation that I was proud to cosponsor to see that Nevada’s disabled veterans and their families receive the compensation they’ve earned and deserved: https://t.co/5XiGYzj7oe"
x266133081,SenDeanHeller,2018-09-26T13:22:53Z,x1044940370784788480,16,9,My office joined @UNRMed at the State of the School Address this week to kick off celebrating their 50 years of an unrivaled history and unlimited future. #UNRMed50 https://t.co/OhHBTL1AgB
x266133081,SenDeanHeller,2018-09-26T18:59:04Z,x1045024974367543298,36,12,"Pleased to see additional funding awarded to @ElkoCounty to expand the water system in Montello. After being affected by a severe drought, this grant will provide much needed funding to ensure the community has adequate drinking water moving forward."
x266133081,SenDeanHeller,2018-09-26T21:19:46Z,x1045060385978691584,40,18,"NV is one of the fastest growing states in the nation, &amp; as a result we are experiencing a lack of affordable housing. That's why I’m urging @SecretaryZinke to implement the reauthorization of a bipartisan program to expedite the sale of federal land: https://t.co/CIofBjUa7W"
