user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x216503958,SenDonnelly,2018-10-11T18:07:33Z,x1050447830559670272,99,33,The Indiana Credit Union League honored Joe as its 2018 Outstanding Hoosier Legislator. The award recognizes Joe’s bipartisan work to craft regulatory relief legislation – which was signed into law – that is helping reduce burdens on the 154 community credit unions in Indiana. https://t.co/yUo7lmZJCp
x216503958,SenDonnelly,2018-10-11T22:19:54Z,x1050511334666919942,170,48,Pres. Trump has signed into law bipartisan legislation Joe supported and helped pass that will ensure that pharmacists are not prevented from telling consumers the cheapest options for their prescriptions. https://t.co/WAVhp6btaz
x216503958,SenDonnelly,2018-10-12T14:00:02Z,x1050747928267116544,144,65,"Happy #NationalFarmersDay to all the hardworking Hoosier farmers who help feed communities across Indiana, our country, and the world. It’s an honor to be your hired help.  –Joe https://t.co/cNYrk93RcC"
x216503958,SenDonnelly,2018-10-12T20:00:00Z,x1050838516945440768,33,15,"Joe secured a number of bipartisan provisions that would benefit Hoosiers in the ‘America’s Water Infrastructure Act’, which passed the Senate earlier this week. One provision would help remedy erosion issues on the Ohio River near Clarksville. Read more: https://t.co/9ybQWa6yCR https://t.co/8x8WozFFiD"
x216503958,SenDonnelly,2018-10-12T20:15:28Z,x1050842408492126214,58,23,"Joe is a strong supporter of Israel and its security, as it is our greatest ally in the Middle East. He was proud to work with @SenTedCruz to get bipartisan anti-human shields legislation passed in the Senate. https://t.co/elJHIDtr2m https://t.co/svJPasfeGN"
x216503958,SenDonnelly,2018-10-12T21:26:49Z,x1050860363732983809,209,79,The disappearance of Jamal Khashoggi - an ISU grad - is deeply disturbing. Joe sent a letter to President Trump asking him to make a Global Magnitsky Act sanctions determination. https://t.co/XnRjwgUV5M https://t.co/kEfgDcqqnA
x216503958,SenDonnelly,2018-10-13T14:00:02Z,x1051110316157718529,68,21,Happy 243rd birthday to the @USNavy. Thank you to the brave men and women of the Navy – including at Crane in Indiana - for your service and sacrifice. – Joe https://t.co/F4P8Ap1KrN
x216503958,SenDonnelly,2018-10-13T20:00:00Z,x1051200903976386560,47,16,"(1/2)#GoodNews: @GaryChiAirport new customs facility welcomed its first international flight this week from Copenhagen, Denmark. The new facility allows airport users to fly into Gary from around the world without having to stop elsewhere to clear customs. https://t.co/5rF9hl2827"
x216503958,SenDonnelly,2018-10-13T20:01:00Z,x1051201154820931584,46,23,"(2/2) Joe, who worked for years to help expand the airport’s runway, was part of the opening ceremony for the new facility, which allows for more passengers, and further boosts the region’s economy. https://t.co/AZjmFc6CXn"
x216503958,SenDonnelly,2018-10-14T14:00:00Z,x1051472695005564928,119,47,"Hoosier farmers are dealing w/ low commodity prices, chaotic trade markets, &amp; uncertain federal policy, which is why Joe included a number of provisions in the Senate-passed Farm Bill that will help our farmers navigate significant challenges &amp; provide them with some stability. https://t.co/Y0nj6TUre3"
x216503958,SenDonnelly,2018-10-14T14:01:00Z,x1051472945942429696,68,29,The current Farm Bill expired last month and Joe has consistently called for quick action to find agreement on a final version of the 2018 Farm Bill that ensures certainty for our farmers.  https://t.co/5ZHQ78NULv
