user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x941080085121175552,SenDougJones,2018-08-29T00:37:34Z,x1034600913321828352,156,32,Judge Moorer will serve the Southern District with distinction. I was proud to support his confirmation today and to congratulate him personally for his historic appointment as the first African-American to hold this seat. https://t.co/xgepDcUbtK
x941080085121175552,SenDougJones,2018-08-29T17:14:07Z,x1034851704704040961,337,105,Glad to be supporting @SenatorBaldwin’s bill and to continue the fight to protect people with pre-existing conditions. https://t.co/qEdafQSW0w
x941080085121175552,SenDougJones,2018-08-29T18:51:01Z,x1034876089485676545,82,38,"The Administration’s tariffs were going to cost jobs, not save them. The ITC made a crucial ruling today to protect our local newspapers and the communities that depend on them. Read my statement here: https://t.co/hYCf6sjFB9. https://t.co/L7mhhmOCwJ"
x941080085121175552,SenDougJones,2018-08-30T17:47:42Z,x1035222541344944128,63,43,"Meet Regina Pruitt of Hoover, AL. Born w/Cystic Fibrosis, she must keep up w/a growing number of hospital trips &amp; medical bills while living her daily life. She wanted to share her story about living w/CF &amp; the high drug prices she pays, even w/insurance: https://t.co/3DwUd2aBOH https://t.co/SUKuNiRd05"
x941080085121175552,SenDougJones,2018-09-05T13:41:59Z,x1037335033042927616,332,220,"1-in-3 Alabamians under 65 have a pre-existing condition. If this lawsuit succeeds, AL would be among the states most hurt. Oral arguments start today. Pay close attention—there's too much at stake to let us backslide to a time before these protections. https://t.co/PLHZUEu0XL"
x941080085121175552,SenDougJones,2018-09-07T18:35:03Z,x1038133561507938304,157,61,Telemedicine can be a lifeline for rural communities—efforts like these ensure Alabamians in every corner of our state get access to high-quality health care. #broadband https://t.co/P0ikFxM95D
x941080085121175552,SenDougJones,2018-09-10T18:25:44Z,x1039218382812446721,46,23,"Interested in attending a U.S. military service academy? My team is hosting informational sessions across Alabama next week to explain the process and answer your questions. Check out the schedule here: 
https://t.co/mV46XxFAp8"
x941080085121175552,SenDougJones,2018-09-10T21:30:01Z,x1039264755863769088,80,21,"Alabama is a trade state &amp; the modernization of our port is key to our future. I’m proud to join ⁦@SenShelby⁩ and my colleagues in fighting for AL farmers/businesses and supporting efforts to secure new opportunities brought by a wider, deeper port. https://t.co/76ODO4IZTm"
x941080085121175552,SenDougJones,2018-09-11T13:38:20Z,x1039508444313788416,272,61,https://t.co/PI17GGcdMc
x941080085121175552,SenDougJones,2018-09-13T12:00:00Z,x1040208472602816512,35,25,"REMINDER: Next week, my team will be hosting informational sessions across Alabama for anyone interested in attending a U.S. military service academy. For more information, please visit: https://t.co/Xglj39DLwE. https://t.co/ok5COxR0LK"
x941080085121175552,SenDougJones,2018-09-13T16:27:53Z,x1040275884916330496,34,25,".@AAPA_Seaports+@AAR_FreightRail leaders: ""...policy emanating from DC—regardless of recent progress with Mexico—threatens Alabama's trade-dependent economy. Indeed, the macro-economic principle of free trade...remains under attack by select policymakers.""
https://t.co/ZyoFpZWyqv"
x941080085121175552,SenDougJones,2018-09-13T19:45:11Z,x1040325538592841730,81,22,Jody has served @NASA for 3+ decades and has gained the skills needed to take @NASA_Marshall to the next level. Her appointment as the 1st woman in this position is historic &amp; will be an inspiration to young women interested in STEM. My full statement: https://t.co/MfIkqL8EEO https://t.co/O6vdqp2yN8
x941080085121175552,SenDougJones,2018-09-13T20:29:02Z,x1040336575031398402,63,19,We're fortunate to have Dr. @mattmight leading the way at @UABNews on #PrecisionMedicine. I've been so impressed by this cutting-edge initiative and I am very proud that it is based in the great state of Alabama! https://t.co/LiD5Es4eD0
x941080085121175552,SenDougJones,2018-09-15T12:08:13Z,x1040935315958128640,648,240,"Addie Mae. Carole. Cynthia. Carol Denise. Today, we remember these four bright little girls who were killed at the 16th St Baptist Church 55 years ago in a bombing perpetrated by the KKK. This case and these families will always hold a special meaning for me. https://t.co/4eeSvqUx41"
x941080085121175552,SenDougJones,2018-09-16T20:09:14Z,x1041418754335367170,22679,5400,This was a very brave step to come forward. It is more important than ever to hit the pause button on Kavanaugh’s confirmation vote until we can fully investigate these serious and disturbing allegations. We cannot rush to move forward under this cloud. https://t.co/SIHzdnnOFJ
