user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x1058520120,SenDuckworth,2018-10-11T14:45:17Z,x1050396927173582849,1265,492,"Seniors, workers with disabilities and Veterans who rely on Social Security benefits use them on prescription medications, food and housing. Today’s COLA increase does not reflect the real cost they carry. I oppose any Social Security cuts and am fighting to #ExpandSocialSecurity"
x1058520120,SenDuckworth,2018-10-15T19:16:45Z,x1051914797313417217,9985,2839,"When I was growing up, school lunch was sometimes the only meal I could count on. That’s still a reality for too many young people in America. This #NationalSchoolLunchWeek, let’s do our part to ensure everyone in our communities has access to healthy and nutritious meals."
x1058520120,SenDuckworth,2018-10-16T22:09:45Z,x1052320719961501696,988,339,"Donald Trump’s willingness to accept the Saudi regime’s denials of any involvement in the disappearance of @WashingtonPost journalist Jamal #Khanshoggi despite overwhelming evidence to the contrary emboldens authoritarians, dictators and human rights abusers around the globe. https://t.co/HWKw5awmc3"
x1058520120,SenDuckworth,2018-10-17T17:48:12Z,x1052617287772049409,385,81,"When our Veterans return home from service, they deserve our full support in their transition into civilian life, and that includes supporting efforts to build and manage a small business. Our nation should be doing much more to help our Veterans"
x1058520120,SenDuckworth,2018-10-17T17:52:31Z,x1052618373601865729,3656,873,"Honored to be featured in this three part series on Women and Power. I talked about being a parent, being the first female commander of my unit and how motherhood makes me a stronger advocate in the Senate. https://t.co/GnmLTujgPX"
x1058520120,SenDuckworth,2018-10-17T20:43:02Z,x1052661285018656768,1796,823,"Yesterday, Donald Trump said he had “no financial interests in Saudi Arabia.” But according to public reports, the Trump Organization does. https://t.co/KDP1P1r38V"
x1058520120,SenDuckworth,2018-10-18T15:37:34Z,x1052946800796160001,2071,384,"Proud to be included in @TIME’s 50 most influential people in healthcare list. I’ll keep working for policies that support working mothers because helping them isn’t just a women’s issue or a health issue, it’s an economic issue too. https://t.co/jUnIEKA1fC"
x1058520120,SenDuckworth,2018-10-18T16:05:28Z,x1052953822065250307,390,112,"For 46 years, the #CleanWaterAct has helped restore &amp; protect the Great Lakes &amp; all of our nation’s rivers, lakes &amp; coastal waters as spaces for recreation, critical habitats for wildlife &amp; economic development."
x1058520120,SenDuckworth,2018-10-18T19:32:57Z,x1053006034095226880,287,97,"Glad my bipartisan bill w @senrobportman, @SenBrianSchatz, &amp; @SenBooker to help reform the criminal justice system, reduce recidivism and save taxpayer dollars is gaining support from several #CivilRights orgs and criminal justice leaders. Read more here: https://t.co/g6w1F4Qi0H"
x1058520120,SenDuckworth,2018-10-22T20:06:57Z,x1054464142147534848,1890,883,"The U.S. is the only developed nation in the world where the rate of women dying of pregnancy-related complications is still rising. We need to address this epidemic by passing legislation like the Maternal Health Accountability Act &amp; the Maternal CARE Act
https://t.co/DqTww3d70K"
