user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x983348251972816896,SenHydeSmith,2018-09-04T21:40:10Z,x1037092984142143488,7,5,We can look forward to more intelligent insights from Judge Kavanaugh at his #SCOTUS confirmation hearing tomorrow. His opening statement this afternoon was excellent. https://t.co/LgkI0npurl
x983348251972816896,SenHydeSmith,2018-09-05T19:32:03Z,x1037423131558903808,19,4,"I add my appreciation to all the first responders, emergency workers and others who put in long hours to prepare for and respond to #Gordon. https://t.co/RpJ0AXc4ze"
x983348251972816896,SenHydeSmith,2018-09-05T20:59:13Z,x1037445068830007296,5,4,I've cosponsored two #prolife bills authored by @SenSasse and @marcorubio. Both are important measures aimed at protecting infants and youth. Read more here: https://t.co/cpwgq6ZdEe
x983348251972816896,SenHydeSmith,2018-09-05T22:10:10Z,x1037462920840601600,16,6,Look forward to @MississippiDOT  applying for a share of @USDOT Competitive Bridge Program funding to replace or rehabilitate unsafe bridges. Read it here:   https://t.co/V03Ik8ccsG https://t.co/6CHs4CMMwk
x983348251972816896,SenHydeSmith,2018-09-07T15:39:00Z,x1038089258312056833,20,13,Let's honor the families of members of the #ArmedForces who have made the ultimate sacrifice to protect our freedoms and secure our nation. The Senate has passed my resolution setting Sept. 23-29 as 'Gold Star Families Remembrance Week.' Read more: https://t.co/UtZtl8j38r https://t.co/O0pZuzBpJr
x983348251972816896,SenHydeSmith,2018-09-07T18:33:53Z,x1038133266723885058,22,7,"Another excellent jobs report released today: 201,000 jobs added in August! Under @POTUS leadership, the U.S. economy has added more than 3.5 million new jobs. This is great news for the USA and Mississippi."
x983348251972816896,SenHydeSmith,2018-09-07T21:23:35Z,x1038175973508894720,115,37,Judge Brett Kavanaugh's week-long #SCOTUS confirmation hearing ended today. He nailed it! Now we can look forward to a Committee vote and then getting him confirmed by the full Senate. #ConfirmKavanaugh https://t.co/qSsTUCsMd6
x983348251972816896,SenHydeSmith,2018-09-11T12:29:10Z,x1039491037243301888,17,6,"Today we remember the cowardly terrorist attacks on our great nation, and the bravery of so many Americans 17 years ago. Let's recommit ourselves to defending American freedom and liberty. #NEVERFORGET #September11th https://t.co/yceepsb3AG"
x983348251972816896,SenHydeSmith,2018-09-13T00:04:33Z,x1040028423895347202,11,4,Veterans care receives strong support in a @DeptVetAffairs funding bill cleared by the Senate for @POTUS signature. Proud of the good work put into this bill with leadership of @SenShelby &amp; @JohnBoozman. More here: https://t.co/U0xIOHG9Ro
x983348251972816896,SenHydeSmith,2018-09-13T00:23:03Z,x1040033078117314560,13,4,Enjoyed visiting today with Jessica Fly of Grenada and National Hardwood Lumber Association reps to discuss the #FarmBill and trade. https://t.co/MxeaV3lYBq
x983348251972816896,SenHydeSmith,2018-09-13T17:55:14Z,x1040297868597321728,8,3,"With House action today, Congress will send a FY19 appropriations package to @POTUS. The bill funds important @USACEHQ flood &amp; water infrastructure projects in Mississippi. Read more: https://t.co/rikRAUe5Gx https://t.co/s9xOAL9oW4"
x983348251972816896,SenHydeSmith,2018-09-14T20:08:33Z,x1040693808369938432,14,6,The economy in MS and USA is stronger because of a pro-growth agenda anchored by lower taxes and fewer regulations. I also credit hard workers like those at the @CaterpillarInc plant in Corinth. More about my visit here: https://t.co/WRm5WV2Apl https://t.co/orXUfOydTc
x983348251972816896,SenHydeSmith,2018-09-17T17:56:56Z,x1041747849216774151,14,3,"Celebrate #ConstitutionDay and the wisdom within the U.S. Constitution. For 231 years, it has served as the foundation for the greatest nation in the world. May God continue to bless America. https://t.co/RdgLoI0hDD"
x983348251972816896,SenHydeSmith,2018-09-17T21:01:34Z,x1041794313150185475,7,3,"Thank you to everyone involved with #Florence relief efforts, including the @RedCross @USNationalGuard and other volunteers-especially those from Mississippi. https://t.co/7F0v0DrQ8Q"
x983348251972816896,SenHydeSmith,2018-09-17T23:07:00Z,x1041825878504873984,8,6,"I'm happy to support the Senate-passed Opioid Treatment and Recovery Act. It's a strong response to the trafficking of fentanyl, heroin, and other #opioids, while also addressing the need for better abuse prevention and treatment options. Read more: https://t.co/I9vK8pYvNo https://t.co/xPCsHAewYQ"
x983348251972816896,SenHydeSmith,2018-09-18T14:59:34Z,x1042065598925234178,27,7,"Happy 71st Birthday to the US Air Force! Mississippi is proud of @Columbus_AFB and @81trwKeeslerAFB, and all the women and men who serve in the @usairforce. Their bravery ensures we remain the greatest #airpower in the world. https://t.co/3wx9HMdC3W"
x983348251972816896,SenHydeSmith,2018-09-18T18:59:44Z,x1042126038984208384,5,5,Overwhelming Senate support for #defense measure with an additional $19.8 billion to continue rebuilding our military might. Let's get it to @POTUS to sign. More here: https://t.co/KYoc9HFddG https://t.co/0UYbVCssIA
x983348251972816896,SenHydeSmith,2018-09-18T23:19:33Z,x1042191425214062592,23,6,"Wonderful to be at the @WhiteHouse today to visit with more than 70 Mississippi leaders taking part in intergovernmental affairs meetings. Shared my views on the positive, pro-growth work being done by @POTUS and the Republican Congress. https://t.co/YzGJHe6fLZ"
x983348251972816896,SenHydeSmith,2018-09-19T17:52:51Z,x1042471596374589449,13,6,Pleased to see this important @USNavy contract awarded for work by VT Halter Marine in @PascagoulaCity. Another example of our work to ensure our troops are well equipped and trained. Read more: https://t.co/KZz8dQE72A https://t.co/y2f2bT96Uf
