user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x29201047,SenJeffMerkley,2018-10-24T17:52:01Z,x1055154961909252097,83,34,New report from @USAChildCare shows the cost of childcare remains too high – on par with mortgages and college tuition. Parents should never have to choose between work &amp; safe care for their kids. #ChildCareandUS https://t.co/0zgRbmZZwy
x29201047,SenJeffMerkley,2018-10-24T18:31:10Z,x1055164812991324162,143,74,"Climate chaos is changing where and how we can live. 4 million people live in the Arctic, and the rising sea is not only forcing native communities to leave behind their homes, but also their cultural traditions. #TodaysClimateFact 

https://t.co/hK6hrHbRFo"
x29201047,SenJeffMerkley,2018-10-25T01:32:36Z,x1055270873207398400,2357,1092,.@realDonaldTrump is putting personal convenience ahead of America’s national security. We need an investigation to definitively determine whether Trump has compromised classified information. https://t.co/OivkTOwTAV
x29201047,SenJeffMerkley,2018-10-25T17:00:25Z,x1055504362632552455,540,176,"Less than 24 hours after bombs were sent to public figures and media prominently targeted by @realDonaldTrump, Trump is at it again.
 
As soon as the echoes of his hollow call yesterday for “unity” faded away, he started frothing assaults on the media."
x29201047,SenJeffMerkley,2018-10-25T17:58:55Z,x1055519084568305665,14834,5776,"The Southern Poverty Law Center identifies at least seven white supremacist groups that use the word nationalist in their name. @realDonaldTrump, words matter. Nationalism is not the same thing as patriotism."
x29201047,SenJeffMerkley,2018-10-25T22:23:56Z,x1055585779509014529,5117,1944,"No matter how dark the times feel right now, don’t lose hope. Be bold. STAND UP. One of the most amazing things about democracy is that when the people STAND UP to make their voices heard, their representatives either listen, or they get replaced."
x29201047,SenJeffMerkley,2018-10-26T17:37:19Z,x1055876037534511108,2600,1560,"Another week has passed, and there are children separated from their parents. With everything that is happening, do not forget. This is STILL a serious problem. https://t.co/Jtft7aUAp5"
x29201047,SenJeffMerkley,2018-10-26T19:13:13Z,x1055900172209848328,389,110,"I will continue to do everything I can to support our LGBTQ community, including continuing to push for my #EqualityAct, which would ban discrimination against LGBTQ Americans. https://t.co/YWLsi3tdot"
x29201047,SenJeffMerkley,2018-10-27T15:38:20Z,x1056208485136916480,2717,754,This is a tragic act of terror. This antisemetic attack in #Pittsburgh while people are in a place of sanctuary observing the sabbath is pure evil.
x29201047,SenJeffMerkley,2018-10-28T18:18:08Z,x1056611088006033408,5129,1247,"They gathered in Pittsburgh to celebrate love and life, and found hate and death. Let us find a way to celebrate life and love in our lives, and to remove the hate, bigotry and division emanating from the Oval Office."
x29201047,SenJeffMerkley,2018-10-28T22:14:57Z,x1056670681545560065,3960,2350,"America is complicit. Stop Saudi arm sales.

Photo via @washingtonpost https://t.co/5wGjd4ts9T"
x29201047,SenJeffMerkley,2018-10-29T21:18:47Z,x1057018937806872578,341,118,"Please read this beautiful essay.  

We help others not because of who they are, but because of who we are.  

Let us all, of every religion, reach out to assist those in need. https://t.co/SqyI2Fl1r6"
x29201047,SenJeffMerkley,2018-10-30T14:07:18Z,x1057272737134272512,1679,1045,"The evil being perpetrated in our names is reprehensible.  There are STILL parents and children separated. There are more than 13,000 children in detention. No civilized people treat children this way.

https://t.co/MalbjaEE1Y"
x29201047,SenJeffMerkley,2018-10-30T18:24:02Z,x1057337346381750273,465,168,".@realDonaldTrump can’t change the Constitution by executive order.  Congress can’t change the Constitution by statute. Welcome to the rule of law. 

https://t.co/yq0L8oBTnk"
x29201047,SenJeffMerkley,2018-10-30T23:07:07Z,x1057408586744320003,660,499,"The open enrollment period for 2019 health care plans starts on November 1, but @realDonaldTrump plans to shut down the https://t.co/UqGkHA6ZhD website to limit people signing up. We can’t allow Trump to prevent Americans from getting quality health care. https://t.co/kyOGR6Ebt6"
x29201047,SenJeffMerkley,2018-10-31T19:59:12Z,x1057723685287723009,1023,393,.@realDonaldTrump: fixed it for you. #fixedit https://t.co/dfUA1hMuqo
x29201047,SenJeffMerkley,2018-10-31T22:57:46Z,x1057768623475957760,3808,981,"We need an America that values the dignity of all people, creates opportunity for everyone not just the wealthy, and brings people together instead of inflaming hate and division. That’s what I’m fighting for. What are you fighting for?"
x29201047,SenJeffMerkley,2018-11-01T13:42:02Z,x1057991154782879744,6829,3065,".@realDonaldTrump, @senatemajldr and the GOP want to gut Social Security and Medicare and roll back protections for millions of Americans with pre-existing conditions. We can’t let that happen."
x29201047,SenJeffMerkley,2018-11-01T20:01:30Z,x1058086652701237248,1936,910,"Mr. President,
Our troops are not political pawns. They’re heroes. Stop treating them like they are props for a reality television show. 

https://t.co/VsdtIp0O31"
x29201047,SenJeffMerkley,2018-11-01T20:41:11Z,x1058096636000432128,87,60,"In the wealthiest nation on earth, no one should go broke because they got sick or injured. So #GetCovered today and protect yourself and your family. https://t.co/AJdS1v1cgy"
x29201047,SenJeffMerkley,2018-11-02T00:09:58Z,x1058149179275526144,521,151,What’s really scary is not having health care for your loved ones when they’re sick or injured. https://t.co/4OLjOQHM2j
x29201047,SenJeffMerkley,2018-11-02T00:56:42Z,x1058160941194448896,14231,5502,.@realDonaldTrump wants to put families seeking asylum in tent cities and internment camps. I won’t stand for it and neither should you. This is not who we are. https://t.co/qKMgjDeV30
x29201047,SenJeffMerkley,2018-11-02T16:20:34Z,x1058393440533274624,1250,403,Let’s be 1000% clear: the press is not the enemy of the people. https://t.co/Vtb4C5eboS
x29201047,SenJeffMerkley,2018-11-02T21:11:21Z,x1058466616491630592,366,204,"The crisis in Yemen is beyond horrific. No baby should ever starve to death. This war and famine must come to an end and so should arms deals with the Saudis.

https://t.co/5ESXXrvuZ5"
x29201047,SenJeffMerkley,2018-11-02T23:49:48Z,x1058506492171689984,592,225,"As @realDonaldTrump’s former lawyer recounts, Trump has revealed his racist heart time and again. Trump disgraces the office and our American values of equality and opportunity every day he serves. 

https://t.co/tPSxrceLeX"
x29201047,SenJeffMerkley,2018-11-04T20:54:11Z,x1059187072139956224,364,205,"This is an eloquent call for America to live by its values from a family that suffered when we failed to do so in the past. We should listen. 

https://t.co/NcZVjZ4KwG"
x29201047,SenJeffMerkley,2018-11-05T22:11:32Z,x1059568927125241856,9102,2922,"Tomorrow, we have the power to prevent cuts to Medicare and Social Security. We have the power to protect our friends, family, and neighbors with pre-existing conditions. Keep fighting."
x29201047,SenJeffMerkley,2018-11-05T23:21:35Z,x1059586556397322240,2293,1586,"Translation: GOP voter suppression efforts are ramping up. If anyone tries to intimidate you at the polls or stop you from voting, call 866-OUR-VOTE for help. https://t.co/SEZbTvoukS"
x29201047,SenJeffMerkley,2018-11-06T01:20:23Z,x1059616451001282560,1200,483,Make no mistake: Republicans will use every trick possible to gut safety net programs to fund their huge tax cuts for the rich. We can’t let that happen.
x29201047,SenJeffMerkley,2018-11-06T11:38:01Z,x1059771886320697344,2181,608,Today is a pivotal election and one of the most important elections in a generation. Be bold. Make your voices heard. The world is watching us.
x29201047,SenJeffMerkley,2018-11-06T14:16:11Z,x1059811689376440320,704,221,Resist. PERSIST! And VOTE today!
x29201047,SenJeffMerkley,2018-11-06T14:33:50Z,x1059816131756728320,1507,548,"Our nation was founded for “We The People.”

But if we, the people, don’t vote, the powerful win out. You have a duty — a responsibility.

So get out the door, and Walk, Run, Roll or Drive. But get to the poll and VOTE!

Raining? Take an umbrella.

A long line? Take a book."
x29201047,SenJeffMerkley,2018-11-06T16:59:37Z,x1059852817941389312,963,336,Republicans have voted literally dozens of times to eliminate protections for millions of Americans with pre-existing conditions. It is up to us to fight for the people whose lives depend on this. VOTE!
x29201047,SenJeffMerkley,2018-11-06T19:46:04Z,x1059894708208570369,1337,546,"The tax cuts for the wealthy have made our deficit soar, and now Republicans are using that as an excuse to cut programs like Social Security and Medicare. This is disgraceful and would devastate the hardworking Americans who depend on these programs day in and day out."
x29201047,SenJeffMerkley,2018-11-06T22:38:28Z,x1059938092830859264,1200,303,Stand up and make your voice heard. We will not sit back and let our country continue to go down a dark path. Do not lose hope. Do not be silent.
x29201047,SenJeffMerkley,2018-11-07T12:58:48Z,x1060154601188614149,709,109,"The American people rejected the calls for hate and fear, and voted for hope and opportunity."
x29201047,SenJeffMerkley,2018-11-07T20:41:31Z,x1060271049395355648,5345,2038,"This is how the cover-up begins. This is a precarious moment, and Congress must immediately pass legislation to protect the work of the #MuellerInvestigation. The rule of law is at stake. https://t.co/jFFbn0NOez"
x29201047,SenJeffMerkley,2018-11-07T20:43:53Z,x1060271642952323072,1771,905,"Acting AG Whitaker must immediately recuse himself from the Mueller investigation. It’s clear that he has no interest in overseeing this investigation in a way that is fair, impartial, and follows the rule of law. https://t.co/NC6uxoetwR"
x29201047,SenJeffMerkley,2018-11-07T22:46:11Z,x1060302423623905280,1010,364,Recuse yourself. https://t.co/8ZmfULmEcg
x29201047,SenJeffMerkley,2018-11-08T16:37:07Z,x1060571931035009024,1184,342,"Devastating news from the #BorderlineShooting. College students out for a night of fun and music, slaughtered in a horrifying act of violence. It’s time for Congress to stand up to the NRA and say #Enough."
x29201047,SenJeffMerkley,2018-11-08T17:25:20Z,x1060584065693351936,12817,3981,".@Acosta, our Founders believed that the freedom of the press was so sacred that they protected it in the First Amendment. Stay in the fight for truth and keep asking the tough questions. Our nation is counting on you. https://t.co/oAo4hQd7zE"
x29201047,SenJeffMerkley,2018-11-08T17:52:34Z,x1060590916744998912,11177,2754,".@realDonaldTrump’s behavior and the decision to revoke @Acosta’s press credentials is unacceptable. In our society, reporters have a responsibility to question our leader and hold them accountable."
x29201047,SenJeffMerkley,2018-11-08T18:43:20Z,x1060603693274406914,5524,1959,It’s no coincidence that Trump fired Jeff Sessions the day after Democrats flipped the House. It’s a blatant attempt at a cover-up. But here’s the thing: We live in a country where NO ONE is above the law. Not even the President. #ProtectMueller
x29201047,SenJeffMerkley,2018-11-08T20:29:09Z,x1060630324818952192,953,469,"Today, we must come together to send a powerful message to President Trump that NO ONE is above the law. Learn where you can join a peaceful protest and make your voices heard here: https://t.co/STkjsxlnf9 https://t.co/2mMIXpd1QN"
x29201047,SenJeffMerkley,2018-11-08T22:26:22Z,x1060659824285941760,412,130,"These asylum seekers are real people – desperate men, women and children coming to us looking for safety. For many, their lives are at risk and turning our backs on them can be a death sentence. But this isn’t just about them – it’s about us. https://t.co/Y4ZQiATKYv"
x29201047,SenJeffMerkley,2018-11-08T22:40:21Z,x1060663342191337472,464,44,Good luck to @TimbersFC in the second leg of the conference semifinals! Hoping for a similar result to the first leg! #RCTID
x29201047,SenJeffMerkley,2018-11-09T14:48:15Z,x1060906921253847042,2478,584,"When you bring people together instead of sowing division, you’d be surprised at what we can accomplish. Now is the time to rise up as a country and demand actual problem solving, not setting of political scores and corrupt self-dealing. Our children will thank us."
x29201047,SenJeffMerkley,2018-11-09T16:54:51Z,x1060938783330369536,674,249,"NOBODY is above the law. Not even the President. This is just the beginning. Every day it becomes more and more clear that Matthew Whitaker is a totally inappropriate individual to lead this investigation. He must recuse.

 https://t.co/i5GM3oEtyp"
x29201047,SenJeffMerkley,2018-11-09T20:49:59Z,x1060997954373324801,151,36,"I applaud the @US_FDA for taking action. For years, fruit- and candy-flavored e-cigarettes have been key to the vaping industry’s strategy to addict our children. Banning these flavors is the single most important step we can take to tackle this epidemic. https://t.co/4xM6Jmo9Ue"
x29201047,SenJeffMerkley,2018-11-09T21:24:56Z,x1061006752060243970,626,184,We need to prevent our health care from being sabotaged. There are more than 100 million Americans who have a pre-existing condition. We must protect our families’ and neighbors’ quality of life by ensuring they have access quality care. It’s up to us.
x29201047,SenJeffMerkley,2018-11-09T21:38:25Z,x1061010141632442369,704,271,Reminder to @RealDonaldTrump re #KeystoneXL: Facts matter. Climate matters. Tribal sovereignty matters. Regardless of what your ideological executive orders say. https://t.co/avL5STgZD8
x29201047,SenJeffMerkley,2018-11-11T04:03:31Z,x1061469444235386881,2667,668,"Oregonians send our gratitude and admiration with the courageous @ORfirefighters going to help with the #Californiafires.

https://t.co/wBT1J31EpZ"
x29201047,SenJeffMerkley,2018-11-11T18:06:34Z,x1061681604056309760,669,177,"Today, we celebrate and honor our amazing veterans. These brave men and women are heroes who have sacrificed tremendously for our nation. Take a moment today to give thanks. #VeteransDay"
x29201047,SenJeffMerkley,2018-11-11T19:21:18Z,x1061700413823574019,260,70,"Congress designated today as Veterans Day in 1919 to mark the sacrifice of the millions of heroes who have served our great nation. Yesterday, @realDonaldTrump was in France to commemorate the end of the “war to end all wars” with other world leaders."
x29201047,SenJeffMerkley,2018-11-11T20:37:32Z,x1061719596883996673,30627,9600,It is shocking that Acting Attorney General Matthew Whitaker has NOT yet recused himself. His relationship to the Russia Investigation is deeply compromised. What is the @realDonaldTrump administration hiding? #ProtectMueller
x29201047,SenJeffMerkley,2018-11-11T23:15:18Z,x1061759299247095808,1652,475,Together we make up the greatest democracy in the world. The beauty of America is that NOBODY is above the law. People are making their voices heard in order to #ProtectMueller.
x29201047,SenJeffMerkley,2018-11-12T19:14:05Z,x1062060983215181824,10430,2785,"Mr. President, In America we count EVERY vote. https://t.co/uYaK88bF2V"
x29201047,SenJeffMerkley,2018-11-12T19:56:46Z,x1062071725553319937,1281,380,Robert Mueller’s investigation MUST be protected. It is clear that @realDonaldTrump is doing everything he can to hide the truth. What is he trying to hide?
x29201047,SenJeffMerkley,2018-11-12T20:48:30Z,x1062084743456612352,4106,1473,"Acting Attorney General Matthew Whitaker has a record of threatening to undermine the Russia investigation. If he were a true American patriot, he would recuse himself NOW. #ProtectMueller"
x29201047,SenJeffMerkley,2018-11-13T14:49:42Z,x1062356837088014336,3694,1035,"The American people voted last week to protect Americans with pre-existing conditions, keep Medicare funded, and make sure no one loses their health care. Now it’s our job to make sure that happens."
x29201047,SenJeffMerkley,2018-11-13T21:58:04Z,x1062464640150593538,862,240,"Freedom of the press is foundational to our American values, protected in the First Amendment. The White House was wrong to strip @Acosta of his credentials for doing his job. @CNN is right to take action.

https://t.co/x8mkJiGGaL"
x29201047,SenJeffMerkley,2018-11-13T23:06:33Z,x1062481876038942720,13823,5140,Acting Attorney General Matthew Whitaker: Your conflict of interest is massive. Do the right thing for justice and recuse yourself from the Mueller Investigation. https://t.co/covJeT5ks4
x29201047,SenJeffMerkley,2018-11-14T14:39:23Z,x1062716630642368512,4672,900,"The Senate is back in session. The American people stood up last week and spoke out against hate, racism, and division. Together, we can and will build a more perfect union."
