user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x202206694,SenJohnBarrasso,2018-08-19T00:37:15Z,x1030976954328080384,46,8,Bobbi and I enjoyed celebrating the grand opening of the High Altitude Performance Center and reopening of the Rochelle Athletic Center at the University of Wyoming. Glad to see our #UWYO student athletes have access to state of the art training facilities. #OneWyoming #GoWyo https://t.co/xrvzVV6zT7
x202206694,SenJohnBarrasso,2018-08-19T20:03:38Z,x1031270484023885824,44,15,It was a privilege to thank so many veterans at this weekend's Rocky Mountain Elk Foundation banquet in Gillette. Bobbi and I appreciate your willingness to serve our country. https://t.co/xEIqPel5wW
x202206694,SenJohnBarrasso,2018-08-21T15:59:12Z,x1031933746260402176,38,19,"The so-called ""Clean Power Plan"" would have cost Wyoming’s energy workers their jobs &amp; devastated communities. The Obama-era regulation wasn’t just bad policy, it was illegal. Glad the Trump admin is focused on getting this punishing rule off the books. https://t.co/r2R52V7SAu"
x202206694,SenJohnBarrasso,2018-08-25T00:51:36Z,x1033154893580824576,10,4,"Great day in Cheyenne at the Wyoming Trauma Conference and visiting local businesses. And thank you to @kgwntv for having me on the show tonight to talk about my visit, health care and other issues important to Wyoming. https://t.co/P9ZMZa5TXT"
x202206694,SenJohnBarrasso,2018-08-26T01:45:08Z,x1033530753559285761,63,22,"America has lost a true hero today. John McCain was a man of the highest character, courage and credibility. He was the conscience of the Senate. He was also my friend. https://t.co/xV6n2K2TFK https://t.co/IeGZ7rAtAP"
x202206694,SenJohnBarrasso,2018-08-29T17:12:21Z,x1034851260241993730,23,12,"I recently paid tribute to my late friend and colleague @SenJohnMcCain on the Senate floor. He was a man of the highest character, courage, and credibility. He leaves a legacy of unquestioned devotion and love for his country and his family. https://t.co/3RlTgXa9hB"
x202206694,SenJohnBarrasso,2018-08-29T20:44:50Z,x1034904733381734401,12,7,The US Int’l Trade Commission voted to end harmful tariffs on imported newsprint. This is great news for @WyoPress &amp; newspapers across Wyoming who were hurt by these tariffs. Now they can renew their focus on keeping communities informed and up to date. https://t.co/QAQREhzjkz
x202206694,SenJohnBarrasso,2018-09-02T02:03:17Z,x1036072036316209152,50,7,It’s always great to be in Laramie for the first home @Wyo_Football game of the year. Looking forward to cheering on the cowboys the rest of the season. #GoWyo #OneWyoming https://t.co/0IVHbAzDNg
x202206694,SenJohnBarrasso,2018-09-03T17:38:18Z,x1036669730772402176,24,8,Bobbi and I had a great time celebrating Labor Day in Meeteetse this morning. The pancake breakfast and parade bring in folks from around the state. #LaborDay #Wyoming https://t.co/9OwvgY7G9g
x202206694,SenJohnBarrasso,2018-09-07T23:02:55Z,x1038200972919619585,18,5,"Was good to stop by Lee’s Glass to celebrate 65 years of business in Casper and the retirement of Lee’s son, Rip Santoni. https://t.co/HaUVnsVB3h"
