user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x382791093,SenJohnHoeven,2018-09-17T21:44:39Z,x1041805155417640960,7,4,Congrats to @TeamMinot individuals receiving #AFGSC awards today: Capt. Alyssa Ford &amp; 1st Lt. Collin Crane recognized as best missile combat crew &amp; CHILL 33 crew as best bomber aircrew. https://t.co/YQYXf6nKDf
x382791093,SenJohnHoeven,2018-09-17T23:05:33Z,x1041825513420070912,7,4,"Opioid abuse continues to affect communities in #NorthDakota &amp; across the nation. I joined my Senate colleagues in passing the Opioid Crisis Response Act today to help us battle the opioid abuse epidemic by supporting prevention, treatment, recovery and law enforcement efforts. https://t.co/rnLenacZYU"
x382791093,SenJohnHoeven,2018-09-18T15:45:59Z,x1042077283195002881,14,4,"#NorthDakota has some of the best airmen in the world, &amp; our state is proud of the men &amp; women who protect our nation &amp; call #GrandForks AFB &amp; #Minot AFB home. We join w/ them in celebrating the @usairforce’s 71st birthday today. https://t.co/ptF8tl7tGw"
x382791093,SenJohnHoeven,2018-09-18T16:27:49Z,x1042087807588687872,9,12,"Thank you, @undeerc’s PCOR Partnership, for Pioneer Award. We’re committed to advancing CCS tech that supports our nation’s energy independence &amp; a true all-of-the-above energy strategy to provide affordable &amp; reliable energy. https://t.co/8UpLYZ3ZSo https://t.co/hJoIk6Y5FK"
x382791093,SenJohnHoeven,2018-09-18T23:14:00Z,x1042190028120584192,8,4,"Senate passed conferenced FY 2019 funding bill for our military to modernize our nuclear forces, advance #UAS operations &amp; give our courageous men &amp; women in uniform a pay raise: https://t.co/s4SzOlV2PV https://t.co/Eq9gA50Vdr"
x382791093,SenJohnHoeven,2018-09-19T15:06:37Z,x1042429761241448449,7,7,"Congrats to @CityofMinot &amp; #Harvey on being named 2018 City of the Year, large &amp; small city categories respectively, by @NDLeague. Stories by @MinotDailyNews
 
Harvey: https://t.co/gDqNDSkGOm
 
#Minot: https://t.co/4da5RhoMkx"
x382791093,SenJohnHoeven,2018-09-19T15:30:01Z,x1042435651801571328,20,7,State Senator Judy Lee has been a champion for #NorthDakota for decades &amp; recently recognized nationally by @FiscalNote as the #4th most productive state legislator. Congrats Judy on being honored today by the @fmwfchamber as this year’s Legacy Leader. #FMWFam18
x382791093,SenJohnHoeven,2018-09-19T16:27:59Z,x1042450238789898240,60,27,Music Modernization Act I cosponsored was passed by Senate this week. The bill will ensure that songwriters are fairly compensated for their work. Now goes to House for final vote before heading to president’s desk for signature.
x382791093,SenJohnHoeven,2018-09-20T18:59:04Z,x1042850649036218368,9,9,"I brought @FEMA Admin to #Minot last year &amp; as a result of that visit, state, local, federal &amp; regional emergency preparedness officials met this week to work on streamlining emergency preparedness efforts. Story from @MinotDailyNews: https://t.co/7L6YIbx5t7"
x382791093,SenJohnHoeven,2018-09-21T14:59:12Z,x1043152671526531073,13,6,#FlashbackFriday to July 2015 when we dedicated the POW/MIA Memorial at the #NorthDakota #Veterans Cemetery in #Mandan. Today we observe #POWMIARecognitionDay by commemorating those who’ve risked their lives &amp; freedoms to preserve ours. https://t.co/vyYAfS4hu1
x382791093,SenJohnHoeven,2018-09-21T21:39:00Z,x1043253284050329600,16,6,"I’m joining @UNDAerospace to celebrate the school’s 50th anniversary. Over the last 5 decades, UND has provided important training &amp; support for our aviation industry, &amp; the school is helping to advance our economy into the future through its #UAS work."
x382791093,SenJohnHoeven,2018-09-22T14:07:00Z,x1043501922546634753,29,8,Big weekend in #GrandForks &amp; #Fargo as @UNDfootball &amp; @NDSUfootball host their respective homecomings. We’ll be rooting – go #FightingHawks; go #Bison. https://t.co/Tyc88yKx62
x382791093,SenJohnHoeven,2018-09-22T20:49:21Z,x1043603176635736066,9,3,"Go #Bison 

Ran into realcaramund and dougburgum at the ndsu_fb homecoming game today. @ FARGODOME https://t.co/fAzXgbFkYc"
x382791093,SenJohnHoeven,2018-09-23T19:46:00Z,x1043949622454976512,17,5,"Congrats to Sons of Norway, Hjemdahl Lodge in #ValleyCity on celebrating 50 years of connecting folks in the Valley City area w/ their Norwegian ancestry."
x382791093,SenJohnHoeven,2018-09-25T15:05:44Z,x1044603869521747969,39,6,"Congrats @TopDogTeaching Kayla Delzer, 3rd grade teacher at #Mapleton Elementary, on being named #NorthDakota teacher of the year. This award highlights Kayla’s unwavering devotion to the students of Mapleton &amp; we’re grateful for her work &amp; the important work of all our teachers."
x382791093,SenJohnHoeven,2018-09-25T17:22:03Z,x1044638174125985792,4,3,Administrators from several #NorthDakota schools stopped by to discuss Impact Aid &amp; how it helps support education in our state. https://t.co/jXyXZdKv8E
x382791093,SenJohnHoeven,2018-09-25T18:08:15Z,x1044649798660501506,22,8,"I outlined our work to provide strong support for schools in my meeting w/ Shane Azure, who is the #NorthDakota Principal of the year &amp; the #Northwood Public School’s principal &amp; superintendent. https://t.co/8qhlgC7xhW"
x382791093,SenJohnHoeven,2018-09-25T18:59:00Z,x1044662570475343872,4,5,"Met w/truckers to discuss flexibility in reporting hours of service, and the need to pass a long term infrastructure bill. https://t.co/70MBsTVtxF"
x382791093,SenJohnHoeven,2018-09-25T19:34:00Z,x1044671378757046272,6,3,"Research is critical for patients &amp; families dealing w/ cancer. I discussed the increase in research funding we secured in the recently passed HHS funding bill, as well as efforts to improve access to palliative care w/ #NorthDakota representatives of @AmericanCancer https://t.co/keBrzXll4L"
x382791093,SenJohnHoeven,2018-09-25T20:18:00Z,x1044682451560222720,8,5,Electricity providers from across our state &amp; members of @NDAREC stopped by to meet w/ me on continuing efforts to support cost-effective &amp; reliable delivery of electricity to individuals living in rural areas. https://t.co/QTf19m8CHZ
x382791093,SenJohnHoeven,2018-09-25T21:23:00Z,x1044698808507092994,6,5,Met w/ @NationalCorn president Kevin Skunes from #Arthur. I outlined how we’re doing everything we can to quickly pass #FarmBill18. https://t.co/NpQDawqMC0
x382791093,SenJohnHoeven,2018-09-26T12:58:00Z,x1044934109800235008,14,8,We extend a warm welcome to all visiting #Minot this week for North America’s largest Scandinavian festival: @NorskHostfest.
x382791093,SenJohnHoeven,2018-09-26T16:43:43Z,x1044990913674711041,8,4,"Met w/ Eric Halverson from @BlackGoldFarms in #GrandForks &amp; potato growers from across the country representing #UnitedFresh about our work on #FarmBill18, research funding for potatoes, trade &amp; other topics. https://t.co/nmVY4HiD9N"
x382791093,SenJohnHoeven,2018-09-29T13:23:00Z,x1046027564798627845,32,6,Rooting for the #Bison today as @NDSUfootball is looking to win back Dakota Marker in game vs. SDSU at @fdome. #GoBison
x382791093,SenJohnHoeven,2018-09-29T14:28:00Z,x1046043922424713216,20,6,"For 119 years, members of @VFWHQ have been serving their fellow #veterans in communities across our nation. We’re grateful for their continued service to those who’ve answered the call to serve our nation. #NationalVFWDay https://t.co/KvOVGANtVe"
x382791093,SenJohnHoeven,2018-09-29T15:27:00Z,x1046058770751729665,13,5,Best wishes to state &amp; #UAS officials gathering in #Fargo today for the first public mission of #NorthDakota’s UAS Integrated Pilot Program. @NorthDakotaUAS
x382791093,SenJohnHoeven,2018-09-30T17:09:00Z,x1046446828621893634,51,19,"Those who serve don’t serve alone. Today we commemorate the mothers whose support for our men &amp; women in uniform has been unwavering, &amp; we extend our sympathies as we reflect on the sacrifice &amp; unflinching devotion to our nation showed by their sons and daughters. https://t.co/YRaeQpUISn"
x382791093,SenJohnHoeven,2018-10-01T20:43:50Z,x1046863282227896326,36,7,I met w/ 90 #NorthDakota &amp; MN #veterans today in D.C. w/ Honor Flight of ND/MN. Thanks to volunteers who brought this event together to honor our #vets. We are grateful for the tremendous work of our veterans who risked their lives to protect our freedoms &amp; way of life. https://t.co/Y4rZXTDaWm
x382791093,SenJohnHoeven,2018-10-01T22:04:00Z,x1046883455311712257,15,6,Administration announced a deal w/ Canada &amp; Mexico on renegotiation of NAFTA. We’ve pressed for an agreement ASAP because free &amp; fair trade will strongly benefit our economy. We are pleased the agreement eliminates automatic downgrading of U.S. wheat: https://t.co/kJVuOdfoYM https://t.co/5Is03PDP0f
x382791093,SenJohnHoeven,2018-10-01T23:01:00Z,x1046897799110045696,4,4,"Congrats to @usedgov @NatlBlueRibbon Schools in #NorthDakota – Central Valley in #Buxton, Freedom Elementary in #WestFargo &amp; Richland Elementary in #Abercrombie – a testament to the hard work &amp; dedication of teachers &amp; school admins. #NBRS2018"
x382791093,SenJohnHoeven,2018-10-02T17:04:52Z,x1047170565566595073,23,9,I met w/ Russ Hanson of @AGCofND &amp; other general contractors from #NorthDakota about our efforts to pass comprehensive infrastructure legislation. https://t.co/eEsJtjMMdk
x382791093,SenJohnHoeven,2018-10-03T15:34:44Z,x1047510270355169281,21,6,"I helped advance through committee bipartisan legislation I cosponsored to address the @nationalparkserice’s maintenance backlog, including $52 million in deferred maintenance in #NorthDakota. More here: https://t.co/x5DWGlEVZ9"
x382791093,SenJohnHoeven,2018-10-03T17:33:56Z,x1047540267484700677,16,11,"Joined my Senate colleagues in passing legislation reauthorizing the #FAA. I spoke on the floor prior to the vote about how this bill will help expand &amp; build new airports like #WillistonBasin, as well as help encourage the development of #UAS. @FAANews https://t.co/fXvzP9Qemj"
x382791093,SenJohnHoeven,2018-10-03T22:09:00Z,x1047609488671354880,28,8,"I joined the Senate in passing bipartisan, comprehensive legislation which bolsters efforts across the board to combat opioid abuse, supporting health care providers &amp; law enforcement - bill also contains language I worked to include to prevent sale &amp; shipment of dangerous drugs."
x382791093,SenJohnHoeven,2018-10-04T00:34:00Z,x1047645978889801728,18,8,We worked hard to ensure the bill we passed today to reauthorize the FAA provides certainty for #NorthDakota’s #UAS industry. The legislation also supports important investments in America’s aviation infrastructure. https://t.co/tWNXEysmOV https://t.co/J15pOGW0ML
x382791093,SenJohnHoeven,2018-10-04T16:26:29Z,x1047885677898223616,9,6,"Met w/ Col. Samuel Calkins, Commander @StPaulUSACE, to get an update on Corps projects &amp; work in #NorthDakota &amp; our region. https://t.co/E8zlzaemnN"
x382791093,SenJohnHoeven,2018-10-05T16:02:13Z,x1048241961726107651,209,39,I voted to move forward the process &amp; confirm Judge Kavanaugh to the U.S. Supreme Court. My statement on today’s Senate cloture vote ↓ https://t.co/sc0LnTSrLi
x382791093,SenJohnHoeven,2018-10-05T17:42:41Z,x1048267244382420992,24,8,America’s unemployment rate is at its lowest level in almost 50 years. Tax &amp; regulatory relief have played a big role in helping our economy grow &amp; we’re continuing to work to enable employers to create good paying jobs. Story via @WSJ: https://t.co/R0yLFrCAo4
x382791093,SenJohnHoeven,2018-10-05T18:16:13Z,x1048275684643225600,40,5,"Congratulations to #Washburn native @ClintHill_SS on being named 44th recipient of #NorthDakota’s Theodore Roosevelt Rough Rider Award. This award recognizes Clint’s 17-years of service w/ @SecretService, courageously protecting 5 U.S. Presidents at risk of his own life. https://t.co/uRt38WgGcR"
x382791093,SenJohnHoeven,2018-10-05T20:05:00Z,x1048303059338711040,11,5,The Senate passed my legislation to enable homeowners around Patterson Lake &amp; the #Jamestown Reservoir to purchase their lots. We’re committed to working w/ our colleagues in the House to pass these bills ASAP. https://t.co/To39iGDi9W https://t.co/XhQK6aWasf
x382791093,SenJohnHoeven,2018-10-06T22:37:27Z,x1048703811743887361,167,22,I voted to confirm Judge Kavanaugh because he is well-qualified to serve on the United States Supreme Court. My full statement: https://t.co/BvXGMMKaXV https://t.co/4iqv2mZGi8
x382791093,SenJohnHoeven,2018-10-08T16:52:24Z,x1049341755018174464,10,4,I helped kick off the 2018 Great Plains and Empower ND Conference &amp; we outlined efforts to advance an all-of-the-above approach to energy production at the state &amp; national level. https://t.co/8RiTBQQq8e
x382791093,SenJohnHoeven,2018-10-09T18:05:24Z,x1049722510755942400,12,4,"I addressed 2018 Triad Conference hosted by #Minot’s Task Force 21. As we face instability around the world, the efforts of those at @TeamMinot become ever more important &amp; I’m committed to ensuring our nuclear deterrent can continue to protect our nation: https://t.co/RT58NgsmRE"
x382791093,SenJohnHoeven,2018-10-09T19:11:48Z,x1049739221106401282,24,4,"Last week, I visited with #veterans from #NorthDakota as they visited the WWII memorial as part of their honor flight to our nation’s capital. We can’t say “thank you” enough to our courageous #vets who have risked their lives in service to our nation. https://t.co/wMG1l05aU7"
x382791093,SenJohnHoeven,2018-10-10T17:23:11Z,x1050074275397423104,13,11,Senate passed important water #infrastructure legislation which includes my provisions to help advance #floodprotection in Red River Valley &amp; extend ban on Corps from charging fees to draw water out of Lake Sakakawea. https://t.co/lEruFMFjZ5 https://t.co/pwbjTDu3f4
x382791093,SenJohnHoeven,2018-10-10T20:39:00Z,x1050123554556207104,3,4,Congrats to Burton Pfliger of #Bismarck on being appointed to serve on the Natl. Sheep Industry Improvement Center’s Board of Directors. Burton was selected for his expertise in finance &amp; management &amp; we’re confident his work will be a valuable help to our sheep producers.
x382791093,SenJohnHoeven,2018-10-10T21:07:45Z,x1050130789772476418,9,5,Met w/ #NorthDakota #farmers &amp; members of @NDCorn &amp; @NDGrainGrowers on updates for #FarmBill18 &amp; the administration’s agreement w/ Canada &amp; Mexico on the renegotiation of NAFTA. https://t.co/7O5AJkqFnW
x382791093,SenJohnHoeven,2018-10-11T22:06:17Z,x1050507909942169601,14,9,"Thanks to @FCC Comm. @BrendanCarrFCC for visiting @GrandSkyND today to see firsthand work to develop #UAS for a variety of services, all requiring spectrum. We also welcome his focus on efforts to improve 5G, wireless internet &amp; telehealth in mtgs w/ @Midcontinent &amp; @AltruHealth. https://t.co/r95AuaqtUZ"
